"Maker and Month Wise Data for Bihar (2026)"

"Maker","2026-Jan","2026-Feb","2026-Mar","2026-Apr","2026-May","2026-Jun","2026-Jul","2026-Aug","2026-Sep","Total"
"3S INDUSTRIES PRIVATE LIMITED","33","20","17","18","23","19","25","16","10","181"
"A K GUPTA & CO.","2","0","0","0","0","0","0","0","0","2"
"A P I MOTORS PVT LTD","2","1","0","0","2","3","2","0","0","10"
"A. A. TRAILOR","0","0","0","1","0","0","0","0","0","1"
"A.J ENTERPRISES","13","3","14","17","33","24","35","30","9","178"
"A.V.AUTOMOTIVES PVT LTD","1","0","1","0","0","0","1","3","0","6"
"AADHYA ENTERPRISES","2","0","2","1","0","0","0","0","0","5"
"AAHANA COMMERCE PVT LTD","11","7","9","9","12","14","10","9","0","81"
"AAKK AUTO PVT LTD","0","0","0","0","0","0","6","5","0","11"
"ACTION CONSTRUCTION EQUIPMENT LTD.","11","17","11","27","13","11","15","4","0","109"
"ADICO ESCORTS AGRI EQUIPMENTS PVT. LTD.","3","2","4","6","6","3","1","1","1","27"
"ADIDEV TECHNOA PVT LTD","96","52","33","116","54","56","86","74","24","591"
"ADIGURU MANUFACTURING PVT LTD","0","0","0","0","1","0","1","2","0","4"
"AERODRIVE PVT LTD","10","1","12","14","16","26","31","25","11","146"
"AFKON AUTOMOTIVES PVT LTD","7","1","12","3","2","4","5","5","4","43"
"AGI AUTO INDUSTRIES","3","1","2","3","5","2","0","1","0","17"
"AJAX ENGINEERING LTD","13","35","23","6","12","10","5","6","0","110"
"AKG INTERNATIONAL","3","2","6","16","8","6","4","7","4","56"
"ALBEDO VISION PVT LTD","1","0","0","0","4","0","0","0","0","5"
"ALIED E MOBILITY PVT LTD","0","0","0","0","3","6","2","6","1","18"
"ALLENTTI MOTORS PVT LTD","0","0","4","0","0","0","1","0","0","5"
"ALLFINE INDUSTRIES PVT LTD","80","69","56","70","53","70","88","75","20","581"
"ALTIER ELECTRIC VEHICLES PVT LTD","37","37","44","65","42","72","87","76","30","490"
"ALTIUS TECHNOLOGIES","1","0","0","0","0","0","0","0","0","1"
"AMAN ELECTRIC VEHICLES","3","2","4","3","3","13","23","25","4","80"
"AMBIKA ENTERPRISES","26","17","26","14","14","25","18","12","3","155"
"AMBIKA INDUSTRIES","0","4","3","2","0","0","2","3","1","15"
"AMMANN INDIA PVT LTD","1","0","0","2","0","1","0","0","0","4"
"ANJALI TRADERS","1","2","4","1","2","2","0","4","0","16"
"APSARA ENTERPRISE","42","10","5","13","30","4","30","17","1","152"
"ARCHIT ENTERPRISES","0","0","1","0","0","0","0","0","0","1"
"ARPITA E VEHICLES","0","0","0","0","0","0","6","4","0","10"
"ARROW AUTOMOTIVE","29","16","21","21","20","47","26","34","3","217"
"ASHMA-MOTORS PVT LTD","8","8","6","4","4","8","4","3","1","46"
"ASHOK LEYLAND LTD","566","650","657","565","467","380","412","384","62","4143"
"ATHER ENERGY LTD","231","257","433","383","423","465","524","478","120","3314"
"ATTOLENT AUTO GROUP PVT LTD","0","0","0","0","1","1","0","0","0","2"
"ATUL AUTO LTD","82","110","130","129","123","176","161","179","16","1106"
"ATUL GREENTECH PRIVATE LIMITED","65","32","22","10","4","7","4","1","0","145"
"ATUT SANGAM","20","14","14","14","11","14","11","2","0","100"
"AUTO SUPREME INDUSTRIES","1","1","0","1","3","2","0","0","0","8"
"AUTOHAUS PRIVATE LIMITED","0","0","0","0","1","0","0","0","0","1"
"AVL ELECTRIC VEHICLES PVT LTD","42","17","42","38","43","48","53","67","4","354"
"AVON CYCLES LTD","0","1","0","0","0","1","0","1","0","3"
"B24 ROKET EV","4","4","5","4","7","13","4","5","0","46"
"BABA E-VEHICLES","1","0","0","0","0","0","0","0","0","1"
"BAJAJ AUTO LTD","10987","12286","13276","15782","13879","11466","9898","9167","1126","97867"
"BALAJI TRADING COMPANY","1","2","8","0","0","0","0","0","0","11"
"BAMUR INDUSTRIES & ENGINEERING PVT LTD","0","0","0","0","0","2","2","3","0","7"
"BANDHAN ELECTRIC VEHICLES LLP","0","0","0","8","3","1","4","4","0","20"
"BAXY LTD","45","54","29","17","27","21","30","16","2","241"
"BENTINCK INDUSTRIES PVT. LTD.","0","1","0","4","0","0","0","0","0","5"
"BEST WAY AGENCIES PVT LTD","56","51","76","29","55","64","53","46","10","440"
"BGAUSS AUTO PRIVATE LIMITED","0","0","0","0","0","0","0","1","0","1"
"BHAVE ELECTRIC VEHICLES PVT LTD","6","11","2","2","1","2","0","5","2","31"
"BHM AUTOMOTIVES PVT LTD","37","30","22","19","19","28","24","23","7","209"
"BHOLE SHANKAR MOTOR BODY","5","0","1","0","0","0","0","0","0","6"
"BIG BULL TRADER PVT LTD","7","5","1","2","5","1","2","1","0","24"
"BMW INDIA PVT LTD","22","17","21","19","21","17","20","7","3","147"
"BRIGHT AUTOZONE PVT LTD","0","1","3","0","0","0","0","0","0","4"
"BULL MACHINES PVT LTD","3","0","5","1","4","4","1","0","0","18"
"BYD INDIA PRIVATE LIMITED","0","0","0","0","0","0","1","1","0","2"
"CARREE YUNUS VEHICLE PVT LTD","0","5","4","0","4","0","0","2","0","15"
"CARRY MOTORS","0","0","0","0","0","0","0","1","0","1"
"CART INDIA","0","0","0","0","15","4","3","0","0","22"
"CASE NEW HOLLAND CONSTRUCTION EQUIPMENT(I) PVT LTD","3","6","4","1","0","0","0","0","0","14"
"CATERPILLAR INDIA PRIVATE LIMITED","1","5","2","0","3","5","1","2","0","19"
"CEEON INDIA","2","6","3","3","1","4","6","4","1","30"
"CELLETRON MOTOR WORKS","1","0","0","1","0","1","0","0","0","3"
"CHAMPION POLY PLAST","79","83","86","63","88","77","119","93","16","704"
"CHAUHAN AUTO INDUSTRIES","6","3","14","4","1","1","1","0","0","30"
"CHEHAK BATTERIES","8","2","1","1","2","2","0","1","0","17"
"CITYGREEN AUTO & PETRO CHEMICALS (P) LTD","0","0","1","0","3","2","1","2","1","10"
"CLASSIC LEGENDS PVT LTD","192","178","189","193","240","144","175","134","12","1457"
"CNH INDUSTRIAL (INDIA) PVT LTD","31","31","46","44","47","51","54","29","2","335"
"COMETTO TRAILER","8","6","2","0","0","0","0","0","0","16"
"CONMAT HEAVY INDUSTRIES PVT LTD","3","5","7","2","3","2","0","3","0","25"
"CONTINENTAL ENGINES PVT LTD","2","1","0","1","0","1","0","0","0","5"
"DAIMLER INDIA COMMERCIAL VEHICLES PVT. LTD","27","39","36","30","30","24","9","34","2","231"
"DAKSH INDUSTRY PVT LTD","207","156","99","156","160","196","219","171","26","1390"
"DASMESH MECHANICAL WORKS PVT.LTD","15","11","3","19","16","2","1","2","1","70"
"DAVE EXIM PVT LTD","1","0","0","0","0","0","1","0","0","2"
"DE EUSI MOTORS PVT LTD.","39","35","23","38","27","18","19","22","4","225"
"DELTA AUTOCORP LTD","18","7","15","10","15","15","15","6","1","102"
"DEV MOTORS","23","23","8","14","20","35","56","41","2","222"
"DEVAM ELECTRIC VEHICLES PVT LTD","0","1","0","2","0","0","0","0","0","3"
"DHAR IN PVT LTD","8","31","22","30","23","23","17","13","1","168"
"DILLI ELECTRIC AUTO PVT LTD","269","190","223","192","218","266","372","323","48","2101"
"DIVYA ENTERPRISES","9","1","8","5","4","2","3","1","1","34"
"DUKE AUTO INDIA","0","2","8","1","3","0","0","4","0","18"
"DYS IMPEX PRIVATE LIMITED","0","0","0","1","0","0","1","0","0","2"
"E-MOTION AUTOMOTIVE INDUSTRY LLP","2","1","2","2","2","1","1","0","0","11"
"ECO SMART VEHICLES PVT LTD","18","10","7","11","9","23","13","13","5","109"
"ECO-FRIENDLY ELECTRIC VEHICLE PVT LTD","1","0","4","0","2","1","2","5","0","15"
"ECOBIT INTERNATIONAL(IMPORTER: JHEV MOTORS)","0","0","0","0","0","0","1","0","0","1"
"EDHANU INDIA PVT LTD","0","0","0","0","0","0","0","5","1","6"
"EFEV CHARGING SOLUTION PVT LTD","10","16","6","7","34","23","40","14","5","155"
"EICHER TRACTORS","415","400","329","392","401","581","607","292","24","3441"
"ELITE AUTO ENGINEERS PVT LTD","1","2","2","0","0","1","0","0","0","6"
"ENABLING E-VEHICLE PVT LTD","45","45","80","82","84","91","96","89","9","621"
"ENERGY ELECTRIC VEHICLES","165","122","158","153","169","164","165","209","28","1333"
"ENGINIA VEHICLES PVT LTD","0","0","0","0","0","2","3","12","2","19"
"ENTICE IMPEX PVT LTD","20","19","15","12","16","13","23","14","3","135"
"EPOWER VEHICLES PVT LTD","0","0","1","0","1","1","0","0","0","3"
"ESCORTS KUBOTA LIMITED (AGRI MACHINERY GROUP)","553","507","530","524","560","743","674","437","70","4598"
"ESCORTS KUBOTA LIMITED (CONSTRUCTION EQUIPMENT)","10","5","6","7","13","5","5","7","1","59"
"EULER MOTORS PVT LTD","26","21","21","26","23","29","32","26","3","207"
"EVBHARAT RANGE PRIVATE LIMITED","4","5","7","9","7","6","5","2","0","45"
"EVCO AUTOMOBILES PVT LTD","19","4","3","4","11","9","12","7","1","70"
"EXIDE INDUSTRIES LTD","6","2","4","5","5","4","9","11","2","48"
"EXTREME MOTORS","0","0","4","1","3","1","2","0","1","12"
"FEDE INDUSTRIES PVT LTD","16","21","9","30","32","17","18","16","6","165"
"FIRST CHOICE ELECTRIC VEHICLES PVT LTD","2","1","0","0","1","0","0","0","0","4"
"FITWEL MOBILITY PVT LTD","0","0","0","0","0","2","0","0","0","2"
"FORCE MOTORS LIMITED","23","158","52","52","31","33","49","42","3","443"
"FRED INDIA PVT LTD","0","0","1","0","0","2","0","0","0","3"
"G-LICKON AUTOMOBILE PVT LTD","0","0","0","0","1","1","2","4","0","8"
"G. M. VEHICLE INDUSTRIES","0","0","0","0","0","1","0","1","0","2"
"G.K. RICKSHAW LTD","10","11","10","11","26","11","5","1","0","85"
"GAGAN AUTOMOTIVES","27","6","4","6","17","14","11","15","3","103"
"GALAXY GREEN VEHICLES PVT LTD","3","8","0","6","7","2","0","5","0","31"
"GANGA IRON & STEELS","0","1","0","0","0","0","0","0","0","1"
"GAYATRI ELECTRIC VEHICLES PVT LTD","10","4","9","8","14","11","7","1","0","64"
"GKON ELECTRIC MOTOR VEHICLES PVT LTD","19","15","15","11","4","8","16","26","0","114"
"GKS RICKSHAW PVT LTD","0","1","5","4","4","7","14","5","3","43"
"GLAZE EV LLP","7","2","2","3","1","0","0","0","0","15"
"GOBIND INDUSTRIES PVT LTD","0","1","0","0","0","0","0","0","0","1"
"GODAWARI ELECTRIC MOTORS PVT LTD","1","0","0","0","0","0","0","0","0","1"
