"Maker and Month Wise Data for Chhattisgarh (2016)"

"Maker","2016-Jan","2016-Feb","2016-Mar","2016-Apr","2016-May","2016-Jun","2016-Jul","2016-Aug","2016-Sep","2016-Oct","2016-Nov","2016-Dec","Total"
"A K AUTTO ELECTRICAL","0","0","0","0","0","0","0","0","0","1","0","0","1"
"ACTION CONSTRUCTION EQUIPMENT LTD.","30","9","7","9","6","14","10","13","10","6","7","12","133"
"ADITYA AGRO INDUSTRIES","0","1","0","1","0","0","0","0","0","0","1","0","3"
"AGRASEN ENGINEERING WORKS","26","33","14","11","12","14","17","16","10","20","31","32","236"
"AGRI KING TRACTORS & EQUIPMENTS PVT LTD","0","0","0","0","0","0","0","0","1","0","0","0","1"
"AGRO INDUSTRIES","46","38","25","4","9","11","24","3","12","4","6","18","200"
"AJAX FIORI ENGINEERING PVT LTD","33","16","22","9","18","8","9","7","11","9","9","16","167"
"AKASH AGRO INDUSTRIES","1","6","8","4","0","7","1","0","0","0","4","0","31"
"AMAN AGRO INDUSTRIES","15","2","0","0","5","1","0","4","3","3","5","0","38"
"AMW MOTORS LIMITED","0","0","0","0","0","0","0","0","0","0","0","1","1"
"ANDHRA PRADESH SCOOTERS LTD   ","0","0","0","0","1","0","0","0","0","0","0","0","1"
"ANMOL AGRICULTURE","7","11","2","0","0","4","0","2","11","0","2","3","42"
"ANURADHA PADDY UDHYOG","0","1","0","0","1","3","9","6","1","3","5","8","37"
"ARUN INDUSTRIES","41","21","8","5","9","27","17","10","12","10","11","22","193"
"ASHOK LEYLAND LTD","306","339","283","284","239","199","160","116","210","268","258","197","2859"
"ASHUTOSH AGRO INDUSTRIES","0","2","0","0","0","0","8","0","0","0","0","0","10"
"ATUL AUTO LTD","91","82","121","72","71","83","73","64","82","86","91","94","1010"
"AUDI AG","11","9","10","5","10","2","5","4","6","7","3","3","75"
"AWACHAT INDUSTRIES LTD","0","0","0","0","0","0","0","0","0","0","1","0","1"
"AZIZ INDUSTRIES","5","1","1","0","0","0","0","0","0","0","0","3","10"
"BAJAJ AUTO LTD","3134","3211","3384","2659","3494","3256","3085","2666","2551","2912","4637","2989","37978"
"BAJAJ MILL STORES","1","0","0","0","0","0","1","0","0","0","0","0","2"
"BMW INDIA PVT LTD","9","6","9","2","6","8","7","11","7","8","9","7","89"
"BOTALADA ENGINEERING WORKS","2","6","4","0","3","6","1","0","2","0","8","2","34"
"CASE EQUIPMENT PRIVATE LTD","1","8","0","0","0","1","0","1","3","0","1","1","16"
"CATERPILLAR INDIA PRIVATE LIMITED","8","5","4","5","4","2","4","3","0","4","1","5","45"
"CHEVROLET SALES INDIA PVT LTD","35","29","31","20","24","30","23","25","19","25","35","36","332"
"CHHATTISGARH ENGINEERING","19","14","34","3","7","14","27","0","3","4","2","10","137"
"CNH INDUSTRIAL (INDIA) PVT LTD","137","125","74","32","63","55","50","81","24","18","59","110","828"
"DADGURU TRAILORS AND ENGINEERING WORKS","0","0","0","0","0","0","1","0","0","0","0","0","1"
"DAEWOO MOTORS INDIA LTD","1","0","0","0","0","0","0","0","0","0","0","0","1"
"DAIMLER INDIA COMMERCIAL VEHICLES PVT. LTD","26","31","27","27","23","25","20","10","7","11","27","14","248"
"DANTESHWARI AGRO INDUSTRIES","0","0","1","0","0","1","0","1","1","3","0","1","8"
"DASHMESH MECH WORKS PVT LTD","4","3","1","0","0","1","0","0","0","8","2","1","20"
"DASMESH MECHANICAL WORKS PVT.LTD","1","0","0","0","0","0","0","0","0","0","0","0","1"
"DILLI ELECTRIC AUTO PVT LTD","0","0","0","0","0","0","1","0","0","1","0","0","2"
"DOOSAN INT INDIA PVT LTD","0","0","0","1","0","0","0","0","0","0","0","0","1"
"DSK MOTOWHEELS PVT LTD.","0","1","1","0","0","0","0","1","0","0","0","0","3"
"DURG AGRO INDUSTRIES","42","46","18","11","8","0","29","11","11","23","9","38","246"
"EICHER MOTORS LTD","22","30","18","26","16","22","28","16","34","42","40","62","356"
"EICHER TRACTORS","259","150","138","34","103","165","137","76","69","79","82","163","1455"
"ELECTROTHERM (I) LIMITED","1","0","1","0","0","4","0","0","0","0","0","0","6"
"ESCORT JCB LTD","0","1","0","0","0","0","0","0","0","0","0","0","1"
"ESCORTS CONSTRUCTION EQUIPMENT LTD","161","106","113","87","123","92","118","124","75","79","94","195","1367"
"ESCORTS KUBOTA LIMITED (AGRI MACHINERY GROUP)","1","0","3","0","0","3","2","0","0","0","0","3","12"
"ESCORTS KUBOTA LIMITED (CONSTRUCTION EQUIPMENT)","0","1","0","0","0","0","0","0","0","0","0","0","1"
"ESCORTS LTD","0","0","1","0","0","0","0","0","0","0","0","0","1"
"FORCE MOTORS LIMITED","42","35","58","53","31","50","52","65","46","56","46","49","583"
"FORD INDIA PVT LTD","72","46","77","82","66","82","76","70","61","111","98","46","887"
"GANESH AGRO INDUSTRIES","0","5","2","0","0","0","0","0","0","0","0","0","7"
"GANGA AGRO INDUSTRIES","0","0","4","1","0","0","2","0","0","0","0","0","7"
"GANGA STEEL INDUSTRIES","0","0","0","0","0","0","0","1","0","0","0","0","1"
