"Maker and Month Wise Data for Chhattisgarh (2026)"

"Maker","2026-Jan","2026-Feb","2026-Mar","2026-Apr","2026-May","2026-Jun","2026-Jul","2026-Aug","2026-Sep","Total"
"3S INDUSTRIES PRIVATE LIMITED","4","0","4","5","0","3","5","3","0","24"
"A D AGRO WORKS","1","0","0","0","0","0","0","0","0","1"
"AAHANA COMMERCE PVT LTD","2","3","0","2","3","3","1","2","1","17"
"ACTION CONSTRUCTION EQUIPMENT LTD.","46","51","28","13","35","51","26","28","5","283"
"ADICO ESCORTS AGRI EQUIPMENTS PVT. LTD.","0","1","0","0","0","0","0","0","0","1"
"ADM TECHNOLOGIES PVT. LTD.","0","0","0","0","0","1","0","0","0","1"
"AFKON AUTOMOTIVES PVT LTD","0","0","0","0","0","0","2","0","0","2"
"AJAX ENGINEERING LTD","53","50","14","43","15","24","15","6","3","223"
"ALL TERRAIN CRANE","0","0","1","0","0","0","0","0","0","1"
"ALLFINE INDUSTRIES PVT LTD","2","1","0","2","2","3","5","1","0","16"
"ALTIER ELECTRIC VEHICLES PVT LTD","25","14","19","27","28","39","25","30","2","209"
"AMBIKA INDUSTRIES","0","0","0","0","1","0","0","0","0","1"
"ASHOK LEYLAND LTD","578","478","407","335","288","289","375","332","44","3126"
"ATHER ENERGY LTD","356","371","605","393","369","484","448","428","35","3489"
"ATUL AUTO LTD","58","95","64","58","56","61","54","59","13","518"
"ATUL GREENTECH PRIVATE LIMITED","11","9","3","6","0","2","2","1","0","34"
"ATUT SANGAM","1","2","1","1","5","2","2","4","0","18"
"AUDI AG","0","1","0","0","0","0","0","0","0","1"
"AUTONXT AUTOMATION PVT LTD","0","0","0","0","0","1","0","0","0","1"
"AVL ELECTRIC VEHICLES PVT LTD","0","0","1","0","0","0","0","0","0","1"
"AVON CYCLES LTD","0","0","1","0","1","0","0","0","1","3"
"B24 ROKET EV","5","7","2","7","5","8","4","6","0","44"
"BABA E-VEHICLES","0","0","0","1","0","0","0","0","0","1"
"BAJAJ AUTO LTD","7318","6180","7414","5208","5121","5259","4935","4390","588","46413"
"BAXY LTD","19","19","26","15","18","5","19","17","3","141"
"BEST WAY AGENCIES PVT LTD","6","7","2","1","2","3","3","1","1","26"
"BGAUSS AUTO PRIVATE LIMITED","31","21","38","25","43","81","70","59","8","376"
"BHAVE ELECTRIC VEHICLES PVT LTD","1","1","4","3","0","2","2","2","0","15"
"BHOGAL COMBINE SPARE PARTS","0","0","3","2","0","0","0","0","0","5"
"BIG BULL TRADER PVT LTD","3","4","15","9","8","6","6","11","2","64"
"BLACK DIAMOND MOTORS PVT LTD","0","0","0","0","1","0","0","0","0","1"
"BMW INDIA PVT LTD","33","41","15","18","15","19","18","9","1","169"
"BOUNCE ELECTRIC 1 PVT LTD","1","0","0","0","0","0","0","0","0","1"
"BSERAIL ENGINEERING PVT LTD","0","0","2","1","0","0","0","0","1","4"
"BULL MACHINES PVT LTD","5","3","0","5","4","0","2","3","0","22"
"BYD INDIA PRIVATE LIMITED","1","0","2","3","4","9","5","3","0","27"
"CASE NEW HOLLAND CONSTRUCTION EQUIPMENT(I) PVT LTD","10","12","5","9","5","4","6","0","0","51"
"CATERPILLAR INDIA PRIVATE LIMITED","12","17","6","5","6","3","3","14","5","71"
"CHAMPION POLY PLAST","1","0","0","3","3","1","1","2","0","11"
"CHINA HAOCHEN (IMPORTER: ADMS MARKETING)","0","1","0","0","0","1","0","0","0","2"
"CLASSIC LEGENDS PVT LTD","95","66","49","40","32","34","25","40","6","387"
"CNH INDUSTRIAL (INDIA) PVT LTD","86","81","91","125","72","94","113","70","14","746"
"CONMAT HEAVY INDUSTRIES PVT LTD","1","0","1","0","1","0","0","0","0","3"
"CONTINENTAL ENGINES PVT LTD","0","1","0","0","0","0","0","0","0","1"
"CRANE KRAFT INDIA PRIVATE LIMITED","0","1","0","0","0","0","0","0","0","1"
"DAIMLER INDIA COMMERCIAL VEHICLES PVT. LTD","50","55","16","30","20","36","23","53","2","285"
"DASMESH MECHANICAL WORKS PVT.LTD","0","6","5","1","2","2","0","1","0","17"
"DE EUSI MOTORS PVT LTD.","1","0","0","0","2","5","3","1","0","12"
"DELTA AUTOCORP LTD","1","0","1","2","1","1","1","0","0","7"
"DEV MOTORS","3","1","0","0","0","0","0","1","0","5"
"DEVAM ELECTRIC VEHICLES PVT LTD","0","2","0","0","0","0","0","0","0","2"
"DEWAN AGRICULTURE WORKS","0","0","0","0","0","1","0","0","0","1"
"DHIMAN AGRICULTURE","0","1","0","0","0","0","0","0","0","1"
"DHIMAN AGRICULTURE WORKS","1","0","0","0","0","0","0","0","0","1"
"DILLI ELECTRIC AUTO PVT LTD","22","29","40","31","15","37","44","32","2","252"
"DOOSAN BOBCAT INDIA PVT LTD","5","2","1","0","2","1","0","1","0","12"
"DUCATI INDIA PVT LTD","0","0","1","0","0","0","0","0","0","1"
