"Maker and Month Wise Data for Chandigarh (2023)"

"Maker","2023-Jan","2023-Feb","2023-Mar","2023-Apr","2023-May","2023-Jun","2023-Jul","2023-Aug","2023-Sep","2023-Oct","2023-Nov","2023-Dec","Total"
"ACTION CONSTRUCTION EQUIPMENT LTD.","0","0","1","0","5","3","0","0","0","0","1","0","10"
"ADISHWAR AUTO RIDE INDIA PVT LTD","1","0","0","0","0","1","0","0","0","0","0","0","2"
"AJAY ENGINEERING AND AGRICULTURAL EQUIPMENT CO.","0","0","0","0","0","0","0","0","1","0","0","0","1"
"ALLFINE INDUSTRIES PVT LTD","20","2","16","14","20","25","19","29","38","19","25","36","263"
"ALTIER ELECTRIC VEHICLES PVT LTD","19","10","10","15","2","17","19","13","27","14","10","20","176"
"ALTIGREEN PROPULSION LABS PVT LTD","0","0","0","0","0","0","0","8","3","2","1","3","17"
"AMPERE VEHICLES PRIVATE LIMITED","24","47","97","35","46","7","4","1","2","3","6","2","274"
"ASHOK LEYLAND DEFENCE SYSTEMS LTD","0","0","0","0","0","0","0","1","0","1","0","0","2"
"ASHOK LEYLAND LTD","3","12","10","14","25","7","11","6","3","0","6","7","104"
"ATHER ENERGY LTD","29","25","52","10","28","12","13","18","13","11","23","9","243"
"AUDI AG","3","2","3","4","4","9","9","2","1","0","1","0","38"
"AUTOMOBILI LAMBORGHINI S.P.A","0","0","0","0","0","1","1","0","0","0","1","0","3"
"BABA E-VEHICLES","5","5","0","0","7","10","0","11","4","10","3","1","56"
"BAJAJ AUTO LTD","188","96","29","165","258","274","147","170","210","187","246","148","2118"
"BAJAJ IMPLEMENTS PVT. LTD","3","0","0","1","0","8","5","10","15","9","0","14","65"
"BENTLEY MOTORS LIMITED","0","0","2","0","0","4","1","0","0","0","0","0","7"
"BEST WAY AGENCIES PVT LTD","0","0","0","0","0","0","0","0","13","4","0","17","34"
"BHAVE ELECTRIC VEHICLES PVT LTD","0","0","4","1","3","0","4","6","2","6","3","7","36"
"BMW INDIA PVT LTD","36","33","25","50","48","59","30","32","31","27","52","35","458"
"BRIGHT AUTOZONE PVT LTD","1","0","2","0","2","1","0","0","2","1","0","0","9"
"BYD INDIA PRIVATE LIMITED","11","8","5","3","1","9","3","6","5","2","4","4","61"
"CHAMPION POLY PLAST","8","2","1","4","3","6","2","3","5","10","1","4","49"
"CHAUHAN AUTO INDUSTRIES","18","11","3","3","10","6","16","7","25","15","15","15","144"
"CHETAK TECHNOLOGY LIMITED","0","5","22","2","2","0","0","0","0","0","0","0","31"
"CLASSIC LEGENDS PVT LTD","30","28","0","20","20","18","10","9","11","21","16","12","195"
"CNH INDUSTRIAL (INDIA) PVT LTD","0","0","1","0","0","0","0","0","0","0","0","0","1"
"CONTINENTAL ENGINES PVT LTD","0","0","1","1","0","0","1","2","0","0","1","0","6"
"CRANE KRAFT INDIA PRIVATE LIMITED","0","0","0","0","0","0","0","1","0","0","0","0","1"
"DAIMLER INDIA COMMERCIAL VEHICLES PVT. LTD","1","1","0","5","5","7","0","1","4","0","0","0","24"
"DEEP DRAWN TECHNOLOGIES","0","0","0","0","0","0","0","0","0","0","0","2","2"
"DILLI ELECTRIC AUTO PVT LTD","0","0","0","1","1","0","0","0","0","0","7","3","12"
"DUCATI INDIA PVT LTD","0","0","3","1","0","1","2","0","0","0","1","0","8"
"ECO SMART VEHICLES PVT LTD","0","0","0","0","0","0","3","1","0","8","9","11","32"
"EFEV CHARGING SOLUTION PVT LTD","0","0","0","0","0","0","0","3","1","0","0","0","4"
"ELITE AUTO ENGINEERS PVT LTD","0","0","0","0","0","0","0","0","1","1","0","0","2"
"ENERGY ELECTRIC VEHICLES","0","0","0","0","0","0","0","0","0","0","0","11","11"
"EULER MOTORS PVT LTD","0","0","0","0","0","0","0","0","8","0","2","1","11"
"EVAGE AUTOMOTIVE PVT LTD","0","0","0","0","0","0","0","0","0","0","0","16","16"
"EXTRA FAST SOLUTIONS","0","0","0","0","0","0","0","0","0","0","0","2","2"
"FERRARI INDIA PRIVATE LIMITED","0","0","0","0","0","1","0","0","0","0","0","0","1"
"FORCE MOTORS LIMITED","6","12","10","9","4","1","7","11","4","2","2","9","77"
"FORD INDIA PVT LTD","1","0","0","1","2","1","0","0","0","0","0","0","5"
"G & G AUTOMOTIVE","0","0","0","0","0","0","0","0","0","2","0","0","2"
"GALAXY GREEN VEHICLES PVT LTD","3","0","0","0","0","0","0","0","0","0","0","0","3"
"GOENKA ELECTRIC MOTOR VEHICLES PVT LTD","0","0","0","0","0","0","1","0","0","0","0","0","1"
"GRD MOTORS","0","3","1","1","2","0","0","6","0","6","1","0","20"
"GREAVES ELECTRIC MOBILITY LTD","0","0","0","0","0","27","13","27","35","68","40","28","238"
"GUANGDONG TAYO (IMPORTER: ADISHWAR AUTO)","0","0","0","0","0","0","1","0","0","0","0","0","1"
"HARLEY DAVIDSON (IMPORTER: HERO MOTOCORP)","2","4","0","2","1","4","2","2","1","0","1","1","20"
"HERO ELECTRIC VEHICLES PVT. LTD","13","23","31","0","4","1","3","2","5","6","4","1","93"
"HERO MOTOCORP LTD","459","186","157","344","356","441","345","288","339","439","580","213","4147"
"HIM TEKNOFORGE LTD","8","3","5","7","3","4","3","4","8","0","3","4","52"
"HONDA CARS INDIA LTD","108","69","100","90","72","75","69","47","76","105","119","91","1021"
"HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD","707","260","65","835","929","1100","725","801","775","795","889","426","8307"
"HOTAGE INDIA","0","1","20","3","7","6","5","15","3","22","23","19","124"
"HYUNDAI MOTOR INDIA LTD","454","370","439","424","407","445","432","341","236","273","259","208","4288"
"INDIA KAWASAKI MOTORS PVT LTD","4","2","0","2","3","1","0","1","2","0","1","0","16"
"INDIA YAMAHA MOTOR PVT LTD","22","15","2","42","42","66","40","38","25","28","52","28","400"
"INTERNATIONAL TRACTORS LIMITED","0","0","0","0","1","0","0","0","0","0","0","0","1"
"INVVIGORS INDIA","1","0","2","1","2","0","2","3","1","6","6","2","26"
"ISUZU MOTORS INDIA PVT LTD","1","2","4","9","4","1","4","1","1","1","1","0","29"
"JAGUAR LAND ROVER INDIA LIMITED","6","4","4","4","12","15","10","8","9","4","11","2","89"
"JS MOBILEON PVT LTD","0","0","0","0","2","2","0","6","1","3","11","4","29"
