"Maker and Month Wise Data for Chandigarh (2026)"

"Maker","2026-Jan","2026-Feb","2026-Mar","2026-Apr","2026-May","2026-Jun","2026-Jul","2026-Aug","2026-Sep","Total"
"AERODRIVE PVT LTD","0","0","0","0","0","0","1","1","0","2"
"AJAY ENGINEERING AND AGRICULTURAL EQUIPMENT CO.","0","0","0","0","0","0","1","0","0","1"
"AKG INTERNATIONAL","0","1","0","0","0","0","0","4","0","5"
"ALIED E MOBILITY PVT LTD","0","0","0","0","0","0","0","3","2","5"
"ALLFINE INDUSTRIES PVT LTD","0","0","0","1","0","1","3","1","0","6"
"ALTIER ELECTRIC VEHICLES PVT LTD","4","3","10","4","10","6","5","7","0","49"
"AMAN AUTOMOBILES","2","0","3","1","2","3","2","2","2","17"
"ASHOK LEYLAND LTD","7","9","14","6","5","12","4","6","1","64"
"ATHER ENERGY LTD","11","13","22","20","19","20","15","4","1","125"
"AUDI AG","2","0","1","2","0","3","0","0","0","8"
"AUTOMOBILI LAMBORGHINI S.P.A","2","0","0","0","0","0","0","0","0","2"
"AVL ELECTRIC VEHICLES PVT LTD","0","0","2","0","0","1","2","0","0","5"
"AVON CYCLES LTD","2","1","0","1","2","1","1","1","2","11"
"B24 ROKET EV","0","0","0","0","2","0","0","3","1","6"
"BAJAJ AUTO LTD","183","193","226","184","198","183","218","191","31","1607"
"BAJAJ IMPLEMENTS PVT. LTD","0","5","0","2","1","1","0","0","0","9"
"BAXY LTD","4","0","0","3","1","0","3","0","0","11"
"BEST WAY AGENCIES PVT LTD","0","0","0","1","0","0","1","1","0","3"
"BHAVE ELECTRIC VEHICLES PVT LTD","12","13","15","5","9","13","14","14","0","95"
"BMW INDIA PVT LTD","46","23","68","33","31","58","35","43","3","340"
"BRIGHT AUTOZONE PVT LTD","0","0","0","0","1","0","0","0","0","1"
"BYD INDIA PRIVATE LIMITED","6","5","7","7","5","25","18","31","10","114"
"CHAMPION POLY PLAST","2","2","1","0","1","7","1","4","0","18"
"CHAUHAN AUTO INDUSTRIES","9","4","4","8","3","0","1","1","0","30"
"CLASSIC LEGENDS PVT LTD","42","23","29","25","30","35","37","25","5","251"
"DAIMLER INDIA COMMERCIAL VEHICLES PVT. LTD","1","1","1","0","0","2","1","1","0","7"
"DEEP DRAWN TECHNOLOGIES","0","0","1","0","0","2","0","0","0","3"
"E-POWER CORP","2","0","0","1","0","2","1","1","0","7"
"EFEV CHARGING SOLUTION PVT LTD","2","1","0","3","4","2","0","0","0","12"
"ENERGY ELECTRIC VEHICLES","0","0","0","0","1","0","0","1","0","2"
"ESCORTS KUBOTA LIMITED (CONSTRUCTION EQUIPMENT)","0","2","0","0","0","0","0","0","0","2"
"EULER MOTORS PVT LTD","2","5","0","3","1","3","0","0","0","14"
"EVCO AUTOMOBILES PVT LTD","1","0","0","0","0","0","0","0","0","1"
"FORCE MOTORS LIMITED","17","22","27","24","30","45","18","13","3","199"
"GREAVES ELECTRIC MOBILITY LTD","15","10","14","17","32","29","22","9","0","148"
"HARLEY DAVIDSON (IMPORTER: HERO MOTOCORP)","3","2","1","2","2","2","1","4","0","17"
"HARYANA MOTORS PVT LTD","1","0","0","0","0","0","0","0","0","1"
"HERO ELECTRIC VEHICLES PVT. LTD","0","0","0","0","0","1","0","0","0","1"
"HERO MOTOCORP LTD","581","456","513","442","516","463","610","508","92","4181"
"HIM TEKNOFORGE LTD","2","0","0","0","0","1","0","0","0","3"
"HINDUSTAN MOTOR CORPORATION","3","3","0","1","0","2","0","0","0","9"
"HONDA CARS INDIA LTD","75","52","80","56","42","72","62","62","7","508"
"HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD","822","795","848","893","948","869","938","949","128","7190"
"HOTAGE INDIA","0","0","0","0","0","0","0","1","0","1"
"HYUNDAI MOTOR INDIA LTD","238","178","233","174","169","220","160","167","27","1566"
"INDIA KAWASAKI MOTORS PVT LTD","5","1","2","1","1","5","1","1","0","17"
"INDIA SHINE TECHNOLOGIES","1","0","0","0","1","0","0","0","0","2"
"INDIA YAMAHA MOTOR PVT LTD","45","37","46","49","41","52","56","46","3","375"
"INTERGLOBE ENERGY PVT LTD","0","0","0","1","0","1","0","0","0","2"
"ISUZU MOTORS INDIA PVT LTD","1","0","1","0","1","0","0","3","0","6"
"JAGUAR LAND ROVER INDIA LIMITED","18","9","31","16","8","26","14","29","2","153"
"JCB INDIA LIMITED","0","0","0","0","6","0","0","0","0","6"
"JSW MG MOTOR INDIA PVT LTD","74","45","91","69","57","110","87","92","5","630"
"KIA INDIA PRIVATE LIMITED","142","124","169","139","130","142","135","131","10","1122"
"KINETIC GREEN ENERGY & POWER SOLUTIONS LTD","0","1","2","1","0","0","0","0","0","4"
"KLB KOMAKI PVT LTD","0","0","0","0","0","0","1","0","0","1"
"KRISHNA VEHICALS","0","0","0","0","1","0","0","0","0","1"
"LAKSHYA MOTORS","0","1","0","0","0","0","0","1","0","2"
"LOHIA AUTO INDUSTRIES","0","0","0","0","0","0","0","1","0","1"
"MAHINDRA & MAHINDRA LIMITED","366","353","445","413","269","463","342","298","52","3001"
"MAHINDRA ELECTRIC AUTOMOBILE LTD","67","46","71","65","65","130","103","104","19","670"
"MAHINDRA LAST MILE MOBILITY LTD","12","13","10","11","15","19","18","20","1","119"
"MANITA CITY MOTORS LLP","1","8","0","1","1","1","1","1","0","14"
"MARUTI SUZUKI INDIA LTD","528","411","438","419","356","488","412","417","83","3552"
"MERCEDES -BENZ AG","3","5","6","8","4","10","4","9","2","51"
"MERCEDES-BENZ INDIA PVT LTD","40","28","58","31","19","57","40","46","3","322"
"MINI METRO EV L.L.P","3","2","0","3","3","1","0","1","0","13"
"MLR AUTO LTD","0","3","3","1","4","2","5","5","1","24"
"NISSAN MOTOR INDIA PVT LTD","2","5","7","5","3","0","6","0","4","32"
"OBEN ELECTRIC VEHICLES PVT LTD","3","0","1","2","4","2","2","1","1","16"
"OLA ELECTRIC TECHNOLOGIES PVT LTD","5","0","0","0","0","0","0","0","0","5"
"OPG Mobility and Power Pvt Ltd","0","0","1","1","0","0","0","0","0","2"
"PARAS INDUSTRIES","1","6","5","0","0","3","0","1","0","16"
"PARI METRO E RICKSHAW","0","0","0","0","0","0","0","1","0","1"
"PIAGGIO VEHICLES PVT LTD","19","19","17","12","13","18","21","10","0","129"
"PMI ELECTRO MOBILITY SOLUTIONS PRIVATE LIMITED","10","8","14","13","0","21","25","0","0","91"
"PORSCHE AG GERMANY","2","1","1","2","1","3","0","2","0","12"
"RAFTAAR ELECTRIC GREEN VEHICLES PVT LTD","0","0","0","0","1","0","0","0","0","1"
"RENAULT INDIA PVT LTD","6","4","2","11","9","7","5","4","0","48"
"REPUBLIC MOTORS","2","0","0","0","0","0","0","0","0","2"
"REVOLT INTELLICORP PVT LTD","0","0","0","0","1","0","0","2","0","3"
"ROYAL-ENFIELD (UNIT OF EICHER LTD)","241","229","227","263","184","243","237","232","32","1888"
"ROYCE EV PVT LTD","2","0","0","0","0","0","2","10","0","14"
"SAERA ELECTRIC AUTO PVT LTD","6","6","10","9","15","11","5","15","1","78"
"SAHNIANAND E VEHICLES PVT LTD","0","0","1","0","0","0","0","0","0","1"
"SAKSHAM TRADING COMPANY","0","3","0","0","0","0","0","0","0","3"
"SATHI MOTORS ELECTRIC VEHICLE PVT LTD","0","2","2","0","3","3","4","1","0","15"
"SHAKTI AUTO GREEN","14","4","17","14","16","8","8","4","4","89"
"SHRI BARSANA E-VEHICLES PVT LTD","2","1","4","1","0","2","0","0","0","10"
"SIDANA INDUSTRIES","2","0","1","2","1","4","6","5","0","21"
"SKODA AUTO AS","0","0","0","0","1","0","0","0","0","1"
"SKODA AUTO VOLKSWAGEN INDIA PVT LTD","106","76","106","90","82","108","71","66","12","717"
"SKS TRADE INDIA PVT LTD","7","18","18","18","9","20","14","23","1","128"
"SML MAHINDRA LTD","5","6","11","6","3","33","18","3","0","85"
"STELLANTIS AUTOMOBILES INDIA PVT LTD","4","1","0","7","1","3","1","1","0","18"
"STELLANTIS INDIA PVT LTD","5","5","8","7","3","8","2","5","0","43"
"SUNANDA GREENTECH PVT LTD","7","6","1","0","7","3","2","8","2","36"
"SUZUKI MOTORCYCLE INDIA PVT LTD","26","13","23","8","20","15","23","16","0","144"
"TAFE LIMITED","0","0","0","0","0","1","0","0","0","1"
"TATA ADVANCED SYSTEMS LTD","7","0","0","32","0","0","0","0","0","39"
"TATA MOTORS LTD","26","22","30","58","36","52","18","26","3","271"
"TATA MOTORS PASSENGER VEHICLES LTD","158","133","177","186","108","121","102","115","15","1115"
"TATA PASSENGER ELECTRIC MOBILITY LTD","87","47","74","106","89","124","108","106","11","752"
"TESLA INDIA MOTORS AND ENERGY PVT LTD","1","0","0","0","1","1","1","2","0","6"
"TI CLEAN MOBILITY PVT LTD","3","2","0","0","0","0","0","0","0","5"
"TOYOTA KIRLOSKAR MOTOR PVT LTD","298","224","301","251","185","362","216","240","33","2110"
"TPS INFRASTRUCTURE LTD","0","0","0","0","0","0","1","0","0","1"
"TRIUMPH MOTORCYCLES (INDIA) PVT LTD","0","0","1","0","0","0","0","1","0","2"
"TVS MOTOR COMPANY LTD","292","276","345","292","304","363","373","377","40","2662"
"UNIQUE AUTO ELECTRIC","0","0","0","7","4","1","8","3","1","24"
"UNIQUE ENTERPRISES","6","4","10","2","11","3","5","3","3","47"
"VE COMMERCIAL VEHICLES LTD","2","12","15","5","7","12","12","7","1","73"
"VE COMMERCIAL VEHICLES LTD (VOLVO BUSES DIVISION)","0","0","0","2","0","0","0","0","0","2"
"VICTORY ELECTRIC VEHICLES INTERNATIONAL LTD","1","0","0","0","0","0","0","0","0","1"
"VINFAST AUTO INDIA PVT LTD","4","2","15","12","6","29","14","10","3","95"
"VOLKSWAGEN AG","1","2","0","1","1","0","1","0","0","6"
"VOLVO AUTO INDIA PVT LTD","4","0","1","2","1","3","4","5","0","20"
"VRINDA ENTERPRISES","10","5","4","6","2","5","3","3","0","38"
"WUXI YIZHILING (IMPORTER: HOMFEEL VEGH)","40","0","0","0","0","0","0","0","0","40"
"YC ELECTRIC VEHICLE","2","2","0","1","2","0","1","2","1","11"
"ZEOPLUS AXIS INDIA PVT. LTD.","3","0","3","8","1","1","1","3","0","20"
