"Maker and Month Wise Data for UT of DNH and DD (2020)"

"Maker","2020-Jan","2020-Feb","2020-Mar","2020-Apr","2020-May","2020-Jun","2020-Jul","2020-Aug","2020-Sep","2020-Oct","2020-Nov","2020-Dec","Total"
"ACTION CONSTRUCTION EQUIPMENT LTD.","1","0","1","1","0","0","0","0","0","2","0","2","7"
"ADISHWAR AUTO RIDE INDIA PVT LTD","1","0","0","0","0","0","0","0","0","0","0","3","4"
"AGRI KING TRACTORS & EQUIPMENTS PVT LTD","1","0","0","0","0","0","0","0","0","0","0","0","1"
"AGRO INDUSTRIES","0","0","0","0","0","0","0","1","0","0","0","0","1"
"AJAX ENGINEERING LTD","1","1","0","0","0","0","0","1","0","0","0","0","3"
"AMMANN INDIA PVT LTD","0","0","0","0","0","0","0","0","0","0","1","0","1"
"AMPERE VEHICLES PRIVATE LIMITED","0","0","0","0","0","0","0","0","0","0","1","1","2"
"ASHOK LEYLAND LTD","39","42","44","5","0","1","0","4","6","28","20","19","208"
"ATUL AUTO LTD","0","0","1","0","0","0","0","0","0","0","1","0","2"
"AUDI AG","7","2","9","2","0","0","0","1","0","0","0","1","22"
"BAJAJ AUTO LTD","91","6","108","41","0","9","23","47","43","55","62","53","538"
"BMW INDIA PVT LTD","33","12","42","4","0","2","6","21","8","10","10","10","158"
"CASE NEW HOLLAND CONSTRUCTION EQUIPMENT(I) PVT LTD","0","0","0","0","0","0","0","0","1","0","0","0","1"
"CHEVROLET SALES INDIA PVT LTD","0","0","1","0","0","0","0","0","0","0","0","0","1"
"CLASSIC LEGENDS PVT LTD","6","2","12","3","0","0","1","2","3","0","5","4","38"
"DADGURU TRAILORS AND ENGINEERING WORKS","0","0","0","0","0","2","0","0","0","0","0","0","2"
"DAIMLER AG","3","1","3","1","0","0","0","0","3","0","0","1","12"
"DAIMLER INDIA COMMERCIAL VEHICLES PVT. LTD","3","3","7","2","0","0","0","0","0","2","2","0","19"
"EICHER MOTORS LTD","1","0","0","0","0","0","0","0","0","0","0","0","1"
"EICHER TRACTORS","0","0","1","0","0","0","0","0","1","0","0","1","3"
"ESCORTS KUBOTA LIMITED (AGRI MACHINERY GROUP)","0","0","1","0","0","0","0","2","0","1","2","1","7"
"ESCORTS KUBOTA LIMITED (CONSTRUCTION EQUIPMENT)","1","0","2","0","0","0","0","0","0","0","0","0","3"
"FORCE MOTORS LIMITED","13","11","15","6","0","0","4","0","1","2","1","4","57"
"FORD INDIA PVT LTD","10","1","12","2","1","2","2","2","4","2","9","2","49"
"GODREJ & BOYCE MFG. CO. LTD","2","0","0","0","0","0","0","0","0","0","0","0","2"
"GODREJ AND BOYCE MFG CO LTD","0","0","1","0","0","0","0","0","0","0","0","0","1"
"H-D MOTOR COMPANY INDIA PVT LTD","0","0","0","1","0","0","0","0","1","0","0","0","2"
"HAMM AG","0","0","0","1","0","0","0","0","0","0","0","0","1"
"HERO ELECTRIC VEHICLES PVT. LTD","0","0","1","0","0","1","1","0","1","0","0","0","4"
"HERO MOTOCORP LTD","247","18","271","151","0","12","80","297","140","102","164","178","1660"
"HONDA CARS INDIA LTD","6","2","13","1","0","0","1","1","5","6","6","9","50"
"HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD","637","38","967","273","7","80","262","349","427","385","466","576","4467"
"HYUNDAI MOTOR INDIA LTD","39","16","85","6","2","16","27","43","41","57","76","54","462"
"HYUNDAI MOTORS LTD, SOUTH KOREA","0","0","0","1","0","0","0","0","0","0","0","0","1"
