"Maker and Month Wise Data for UT of DNH and DD (2026)"

"Maker","2026-Jan","2026-Feb","2026-Mar","2026-Apr","2026-May","2026-Jun","2026-Jul","2026-Aug","2026-Sep","Total"
"ACTION CONSTRUCTION EQUIPMENT LTD.","0","2","2","2","0","0","0","1","0","7"
"AJAX ENGINEERING LTD","0","1","1","1","0","0","1","0","0","4"
"ASHOK LEYLAND LTD","94","66","121","76","76","74","74","115","12","708"
"ATHER ENERGY LTD","8","8","6","9","10","5","6","7","0","59"
"ATUL AUTO LTD","0","5","1","1","1","1","3","1","0","13"
"AUDI AG","0","1","1","0","0","0","3","0","0","5"
"BAJAJ AUTO LTD","46","52","45","50","43","57","53","29","18","393"
"BGAUSS AUTO PRIVATE LIMITED","0","1","0","0","0","0","0","0","0","1"
"BMW INDIA PVT LTD","154","101","81","81","87","68","55","77","5","709"
"BRIGHT AUTOZONE PVT LTD","0","0","0","1","0","0","0","0","0","1"
"BULL MACHINES PVT LTD","1","0","0","0","0","0","1","0","0","2"
"BYD INDIA PRIVATE LIMITED","1","0","0","0","0","0","1","0","1","3"
"CATERPILLAR INDIA PRIVATE LIMITED","0","0","0","0","1","0","0","0","0","1"
"CHITRA MANUFACTURERS LLP","0","0","0","0","0","0","0","1","0","1"
"CLASSIC LEGENDS PVT LTD","4","2","2","0","0","1","1","2","0","12"
"CONMAT HEAVY INDUSTRIES PVT LTD","0","0","0","1","0","0","0","0","0","1"
"DAIMLER INDIA COMMERCIAL VEHICLES PVT. LTD","13","2","11","4","5","2","4","7","0","48"
"DOOSAN BOBCAT INDIA PVT LTD","0","0","0","1","0","0","0","0","0","1"
"DUCATI INDIA PVT LTD","3","1","0","0","1","4","0","2","0","11"
"ECOBIT INTERNATIONAL(IMPORTER: JHEV MOTORS)","0","0","1","0","0","0","0","0","0","1"
"ESCORTS KUBOTA LIMITED (AGRI MACHINERY GROUP)","0","0","0","1","0","2","1","0","0","4"
"ESCORTS KUBOTA LIMITED (CONSTRUCTION EQUIPMENT)","2","2","0","2","3","0","3","0","0","12"
"EULER MOTORS PVT LTD","0","0","0","0","1","0","0","0","0","1"
"FORCE MOTORS LIMITED","24","95","177","105","75","82","63","174","45","840"
"GAYATRI AGRO INDUSTRIES","0","0","1","0","2","0","0","0","0","3"
"GODREJ & BOYCE MFG. CO. LTD","2","0","1","2","0","0","0","0","0","5"
"HERO MOTOCORP LTD","272","285","199","210","194","250","264","250","60","1984"
"HONDA CARS INDIA LTD","6","3","2","4","5","4","4","4","3","35"
"HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD","631","702","468","418","495","544","560","526","131","4475"
"HYUNDAI MOTOR INDIA LTD","62","61","61","27","57","59","52","85","13","477"
"INDIA KAWASAKI MOTORS PVT LTD","0","1","0","2","2","0","1","1","0","7"
"INDIA YAMAHA MOTOR PVT LTD","28","30","7","31","15","26","28","25","2","192"
"INTERNATIONAL TRACTORS LIMITED","0","0","0","0","0","1","0","1","0","2"
"JAGUAR LAND ROVER INDIA LIMITED","16","25","12","15","8","11","17","24","2","130"
"JCB INDIA LIMITED","2","1","3","1","3","2","0","4","0","16"
"JOHN DEERE INDIA  PVT LTD(TRACTOR DEVISION)","0","0","1","0","0","0","1","0","0","2"
"JSW MG MOTOR INDIA PVT LTD","1","6","4","5","1","3","3","1","0","24"
"KIA INDIA PRIVATE LIMITED","29","36","45","29","35","39","35","71","17","336"
"KION INDIA PVT LTD","4","3","4","0","0","1","0","0","1","13"
"M/S SCHWING STETTER (INDIA) PRIVATE LIMITED","0","0","1","0","0","0","0","0","0","1"
"MAHALAXMI ENG. WORKS","0","0","0","0","0","1","0","0","0","1"
"MAHINDRA & MAHINDRA LIMITED","68","67","73","57","55","75","76","93","13","577"
"MAHINDRA & MAHINDRA LIMITED (SWARAJ DIVISION)","0","1","2","0","1","1","0","1","0","6"
"MAHINDRA & MAHINDRA LIMITED (TRACTOR)","0","7","0","1","2","2","0","5","1","18"
"MAHINDRA ELECTRIC AUTOMOBILE LTD","0","3","3","2","1","1","1","6","0","17"
"MAHINDRA LAST MILE MOBILITY LTD","1","1","2","2","3","1","3","1","0","14"
"MARUTI SUZUKI INDIA LTD","259","214","228","160","175","171","165","228","25","1625"
"MASERATI S.P.A","1","0","0","0","0","0","0","0","0","1"
"MERCEDES -BENZ AG","3","3","2","3","4","6","6","2","0","29"
"MERCEDES-BENZ INDIA PVT LTD","69","50","51","41","35","50","39","33","6","374"
"NINGBO LONGJIA (IMPORTER: ADISHWAR AUTO)","0","0","0","1","0","0","0","0","0","1"
"NISSAN MOTOR INDIA PVT LTD","1","4","2","5","7","2","6","3","0","30"
"OLA ELECTRIC TECHNOLOGIES PVT LTD","0","2","0","0","0","0","0","1","0","3"
"PIAGGIO VEHICLES PVT LTD","1","3","4","3","0","6","1","1","0","19"
"PORSCHE AG GERMANY","5","2","4","3","1","2","0","0","0","17"
"RENAULT INDIA PVT LTD","3","2","3","3","1","3","2","4","4","25"
"REVOLT INTELLICORP PVT LTD","0","0","1","0","0","0","0","4","0","5"
"RIVER MOBILITY PVT LTD","0","0","0","0","0","0","0","2","0","2"
"ROYAL-ENFIELD (UNIT OF EICHER LTD)","64","66","45","39","46","57","48","63","13","441"
"SCANIA COMMERCIAL VEHICLES INDIA PVT LIMITED","0","0","0","0","0","0","0","2","0","2"
"SEC-RJMT ENGINEERING PVT LTD","0","0","0","0","1","0","0","0","0","1"
"SHAKTTI CONSTRUCTIONS EQUIPMENT PVT LTD","0","0","1","0","0","0","0","0","0","1"
"SKODA AUTO AS","0","0","0","0","0","0","0","1","0","1"
"SKODA AUTO VOLKSWAGEN INDIA PVT LTD","31","19","20","24","33","23","32","37","8","227"
"SML MAHINDRA LTD","0","5","2","1","1","2","0","2","0","13"
"STELLANTIS AUTOMOBILES INDIA PVT LTD","1","0","0","0","0","0","1","0","0","2"
"STELLANTIS INDIA PVT LTD","3","4","3","1","5","5","5","4","0","30"
"SUZUKI MOTORCYCLE INDIA PVT LTD","181","140","117","121","93","194","166","124","33","1169"
"TAFE LIMITED","0","0","1","0","1","0","0","0","0","2"
"TATA HITACHI CONSTRUCTION MACHINERY COMP. PVT LTD","0","1","0","0","0","0","0","0","0","1"
"TATA MOTORS LTD","79","81","110","69","108","83","71","76","13","690"
"TATA MOTORS PASSENGER VEHICLES LTD","41","35","32","40","28","39","55","30","7","307"
"TATA PASSENGER ELECTRIC MOBILITY LTD","3","2","1","1","5","3","2","4","0","21"
"TESLA INDIA MOTORS AND ENERGY PVT LTD","0","0","0","0","0","1","0","0","0","1"
"TOYOTA KIRLOSKAR MOTOR PVT LTD","76","66","76","56","56","105","79","89","17","620"
"TOYOTA MATERIAL HANDLING INDIA PVT LTD","0","0","0","1","0","1","1","0","0","3"
"TRATEC ENGINEERS PVT LTD","0","6","3","0","0","3","0","0","0","12"
"TRIUMPH MOTORCYCLES (INDIA) PVT LTD","1","0","0","0","0","0","0","0","0","1"
"TVS MOTOR COMPANY LTD","77","83","61","61","77","71","80","127","28","665"
"ULTRAVIOLETTE AUTOMOTIVE PVT LTD","0","0","0","0","0","1","0","0","0","1"
"V.S.T. TILLERS TRACTORS LIMITED","0","0","2","0","0","0","0","0","0","2"
"VAHAK FUTURE SOLUTIONS LLP","0","0","0","0","0","0","0","1","0","1"
"VE COMMERCIAL VEHICLES LTD","55","43","79","61","50","56","47","44","8","443"
"VE COMMERCIAL VEHICLES LTD (VOLVO BUSES DIVISION)","0","0","0","0","0","1","0","1","0","2"
"VINFAST AUTO INDIA PVT LTD","0","0","0","0","1","3","0","1","0","5"
"VMT INDUSTRIES","0","6","6","0","0","3","6","3","0","24"
"VOLKSWAGEN AG","0","0","1","0","1","0","0","0","0","2"
"VOLVO AUTO INDIA PVT LTD","7","2","4","2","6","7","3","4","1","36"
"VOLVO GROUP INDIA PVT LTD","0","0","0","0","0","1","0","0","0","1"
"ZHEJIANG CHANGLING (IMPORTER: ADISHWAR AUTO)","0","0","0","0","0","1","0","0","0","1"
