"Maker and Month Wise Data for Delhi (2016)"

"Maker","2016-Jan","2016-Feb","2016-Mar","2016-Apr","2016-May","2016-Jun","2016-Jul","2016-Aug","2016-Sep","2016-Oct","2016-Nov","2016-Dec","Total"
"AL-ZAHOOR  CO","0","0","0","0","0","0","0","0","0","6","0","0","6"
"ALTIUS TECHNOLOGIES","1","0","0","3","5","2","1","4","0","4","2","10","32"
"AMAN ELECTRIC VEHICLES","0","0","0","0","0","1","4","6","4","18","28","19","80"
"ANKUSH AUTO DEALS","0","0","0","0","0","0","0","0","0","1","12","2","15"
"ARMAN GREEN VEHICLES PVT LTD","0","0","0","0","0","0","0","0","0","0","1","4","5"
"ASHOK LEYLAND LTD","41","33","95","28","71","63","90","88","62","63","51","60","745"
"ATTOLENT AUTO GROUP PVT LTD","0","0","0","0","1","0","0","0","4","167","69","119","360"
"ATTOLENT AUTOGROUP PVT LTD","68","104","159","146","158","206","158","127","116","25","7","2","1276"
"ATUL AUTO LTD","0","0","0","10","10","10","8","3","11","19","2","2","75"
"AUDI AG","60","58","80","41","48","24","25","17","20","32","32","19","456"
"BABA E-VEHICLES","0","0","0","0","0","0","0","0","0","0","0","2","2"
"BAJAJ AUTO LTD","3436","3611","4762","5039","4857","4864","5822","4795","4141","6336","4816","2620","55099"
"BAJAJ TEMPO LIMITED","0","0","1","4","0","0","0","0","0","0","0","0","5"
"BATTERY RICKSHAW SANGH","71","89","1109","3","2","1","0","0","0","0","0","46","1321"
"BENTLEY MOTORS LIMITED","2","3","1","0","1","1","1","1","0","0","1","0","11"
"BEST WAY AGENCIES PVT LTD","0","0","0","0","0","0","0","0","0","25","13","19","57"
"BESTWAY AGENCIES PVT LTD","0","4","5","17","24","20","15","10","9","0","0","0","104"
"BMW INDIA PVT LTD","16","17","18","25","17","11","26","18","36","38","23","38","283"
"CASE NEW HOLLAND CONSTRUCTION EQUIPMENT(I) PVT LTD","0","0","0","0","0","0","0","0","0","0","1","0","1"
"CEEON INDIA","0","0","0","0","2","19","27","18","25","27","41","28","187"
"CHAMPION POLY PLAST","0","0","0","0","0","0","0","0","0","186","181","120","487"
"CHANGZHOU YEFEND VEHICLE CO","0","0","0","0","0","0","0","1","0","0","0","0","1"
"CHEHAK BATTERIES","0","0","1","0","0","0","0","0","0","0","0","0","1"
"CHEVROLET SALES INDIA PVT LTD","0","0","1","2","3","1","0","0","1","0","0","1","9"
"CLH GASEOUS FUEL APPL PVT LTD","3","1","0","3","1","6","6","3","8","6","4","10","51"
"CNH INDUSTRIAL (INDIA) PVT LTD","0","0","0","0","2","0","0","0","0","0","0","0","2"
"DAIMLER AG","0","0","1","3","2","0","5","8","12","10","5","8","54"
"DAIMLER INDIA COMMERCIAL VEHICLES PVT. LTD","0","0","0","0","0","0","1","0","0","1","2","0","4"
"DD AUTO PVT LTD","0","0","0","0","4","11","35","8","14","31","1","32","136"
"DILIP CHHABRIA DESIGN PVT LTD","0","0","0","0","0","1","0","0","1","2","1","0","5"
"DILLI ELECTRIC AUTO PVT LTD","2","19","55","57","59","112","119","181","127","225","117","136","1209"
"DSK MOTOWHEELS PVT LTD.","14","16","15","13","12","15","10","11","11","10","28","10","165"
"DUCATI MOTOR HOLDING S.P.A","7","6","3","3","1","4","2","0","4","16","2","3","51"
"DYS IMPEX PRIVATE LIMITED","0","0","0","0","0","0","0","0","0","0","0","2","2"
"DYS IMPEX PVT LTD","0","0","0","0","0","0","0","0","1","0","3","0","4"
"EICHER MOTORS LTD","16","14","17","6","0","0","46","65","25","29","5","0","223"
"EICHER POLARIS PVT. LTD.","0","0","0","16","11","68","21","12","27","6","1","0","162"
"EICHER TRACTORS","1","0","2","1","0","4","1","1","0","0","0","1","11"
"ELECTROTHERM (I) LIMITED","15","25","63","29","43","59","52","54","60","9","2","4","415"
"ELECTROTHERM (INDIA) LIMITED","0","0","1","0","1","0","1","0","0","98","39","46","186"
"ENERGY ELECTRIC VEHICLES","0","0","0","0","0","9","17","48","39","95","90","63","361"
"ENTICE IMPEX PVT LTD","0","0","1","0","0","13","17","20","21","46","23","11","152"
"ESCORTS KUBOTA LIMITED (AGRI MACHINERY GROUP)","0","0","0","0","0","0","0","0","0","1","0","0","1"
"ESCORTS KUBOTA LIMITED (CONSTRUCTION EQUIPMENT)","0","0","0","0","0","0","0","0","0","0","1","0","1"
"FERRARI INDIA PRIVATE LIMITED","0","0","0","1","0","1","1","1","0","0","0","0","4"
"FORCE MOTORS LIMITED","38","35","62","35","65","67","39","35","16","14","18","10","434"
"FORD INDIA PVT LTD","354","351","492","387","367","353","369","399","311","544","374","284","4585"
"FOTON MOTORS MANUFACTURING INDIA PVT LTD","0","0","0","0","0","0","0","0","1","0","0","0","1"
"GALAXY GREEN VEHICLES PVT LTD","9","23","24","12","31","36","69","80","71","105","65","90","615"
"GENERAL MOTORS INDIA PVT LTD","138","83","88","106","113","66","43","27","29","68","57","54","872"
"GOENKA ELECTRIC MOTOR VEH P L","3","6","8","0","8","7","3","3","1","0","0","0","39"
"GOENKA ELECTRIC MOTOR VEHICLES PVT LTD","0","0","0","0","0","0","0","0","0","5","2","2","9"
