"Maker and Month Wise Data for Delhi (2026)"

"Maker","2026-Jan","2026-Feb","2026-Mar","2026-Apr","2026-May","2026-Jun","2026-Jul","2026-Aug","2026-Sep","Total"
"3S INDUSTRIES PRIVATE LIMITED","0","0","0","0","0","5","19","43","8","75"
"A K GUPTA & CO.","0","5","5","6","2","6","8","4","1","37"
"A P I MOTORS PVT LTD","8","4","7","3","4","5","3","5","0","39"
"ACTION CONSTRUCTION EQUIPMENT LTD.","0","0","2","0","1","0","0","0","0","3"
"ADISHWAR AUTO RIDE INDIA PVT LTD","1","2","1","0","0","1","0","0","0","5"
"AFKON AUTOMOTIVES PVT LTD","0","0","0","1","0","0","0","3","0","4"
"AJAY ENGINEERING AND AGRICULTURAL EQUIPMENT CO.","0","0","0","0","0","0","0","1","2","3"
"AKG INTERNATIONAL","3","0","5","2","3","3","1","0","0","17"
"ALLFINE INDUSTRIES PVT LTD","0","0","4","1","12","31","0","0","0","48"
"AMIR KHAN SAIFI STEEL WORKS","0","2","1","0","2","1","2","0","0","8"
"ASHOK LEYLAND DEFENCE SYSTEMS LTD","0","0","0","18","0","0","0","0","0","18"
"ASHOK LEYLAND LTD","64","67","55","75","58","58","45","37","7","466"
"ATHER ENERGY LTD","311","326","459","362","450","406","409","439","75","3237"
"ATTOLENT AUTO GROUP PVT LTD","0","0","0","0","0","0","0","1","0","1"
"ATUL AUTO LTD","0","1","0","0","0","0","0","0","0","1"
"AUDI AG","0","0","0","1","0","0","0","0","0","1"
"AUTOMOBILI LAMBORGHINI S.P.A","1","0","0","0","1","0","0","0","0","2"
"AVL ELECTRIC VEHICLES PVT LTD","0","0","1","0","5","3","0","0","0","9"
"AVON CYCLES LTD","0","5","2","0","0","1","0","0","0","8"
"B24 ROKET EV","0","0","2","0","0","0","0","0","0","2"
"BAJAJ AUTO LTD","4431","3411","3495","3350","3226","3456","4108","3743","534","29754"
"BALAJI TRADING COMPANY","0","1","1","0","0","0","1","0","0","3"
"BAXY LTD","2","0","0","0","0","0","1","0","0","3"
"BENTLEY MOTORS LTD (SAVWIPL)","0","1","0","0","0","1","1","1","0","4"
"BGAUSS AUTO PRIVATE LIMITED","211","319","587","1188","1168","724","996","1387","375","6955"
"BHAVE ELECTRIC VEHICLES PVT LTD","0","0","2","0","0","0","0","0","0","2"
"BHOLE SHANKAR MOTOR BODY","0","1","0","0","3","0","0","0","0","4"
"BMW INDIA PVT LTD","237","124","185","144","150","214","147","123","19","1343"
"BOOMA INNOVATIVE TRANSPORT SULUTIONS PVT LTD","3","0","0","80","200","74","0","0","0","357"
"BOUNCE ELECTRIC 1 PVT LTD","1","0","0","0","0","40","120","7","0","168"
"BUZZCHARGE ELECTRIC VEHICLES PVT LTD","0","1","6","0","1","0","1","7","2","18"
"BYD INDIA PRIVATE LIMITED","53","52","92","80","148","126","93","38","10","692"
"CART INDIA","0","0","1","0","0","59","0","12","0","72"
"CHAMPION POLY PLAST","19","10","18","16","18","24","4","10","2","121"
"CHANDAKE-AUTOMOBILES LLP","1","2","1","7","2","0","0","0","0","13"
"CLASSIC LEGENDS PVT LTD","309","277","232","229","277","225","211","177","46","1983"
"DAIMLER INDIA COMMERCIAL VEHICLES PVT. LTD","1","0","1","1","6","0","4","3","4","20"
"DASHMESH TRADERS","2","5","1","2","3","2","0","2","2","19"
"DELTA AUTOCORP LTD","1","0","0","0","0","0","0","0","0","1"
"DEVAM ELECTRIC VEHICLES PVT LTD","0","2","3","0","1","0","0","0","0","6"
"DILLI ELECTRIC AUTO PVT LTD","27","13","17","29","29","25","20","21","3","184"
"DUCATI INDIA PVT LTD","1","3","1","2","5","3","4","8","0","27"
"DYS IMPEX PRIVATE LIMITED","0","0","0","0","0","0","1","18","0","19"
"E-SPRINTO GREEN ENERGY PVT LTD","880","0","196","204","120","840","120","0","0","2360"
"ECO SMART VEHICLES PVT LTD","1","1","0","0","0","0","0","0","0","2"
"ECO-FRIENDLY ELECTRIC VEHICLE PVT LTD","0","0","0","0","0","70","85","77","11","243"
"EFEV CHARGING SOLUTION PVT LTD","0","0","1","3","6","1","0","0","0","11"
"ELECTRODRIVE VEHICLES PVT LTD","0","0","0","3","1","1","0","0","0","5"
"ENERGY ELECTRIC VEHICLES","11","6","6","7","16","7","2","0","0","55"
"ENTICE IMPEX PVT LTD","0","0","1","4","3","5","1","0","0","14"
"ESCORTS KUBOTA LIMITED (AGRI MACHINERY GROUP)","0","0","11","0","1","0","0","6","0","18"
