"Maker and Month Wise Data for Goa (2023)"

"Maker","2023-Jan","2023-Feb","2023-Mar","2023-Apr","2023-May","2023-Jun","2023-Jul","2023-Aug","2023-Sep","2023-Oct","2023-Nov","2023-Dec","Total"
"ACTION CONSTRUCTION EQUIPMENT LTD.","0","1","0","0","1","2","0","0","1","0","0","0","5"
"ADISHWAR AUTO RIDE INDIA PVT LTD","0","0","1","0","0","1","2","0","0","0","0","0","4"
"AFTEK MOTORS INDIA PVT LTD","0","0","1","0","0","0","0","0","0","0","0","0","1"
"AJAX ENGINEERING LTD","0","1","2","1","0","0","1","1","1","3","0","2","12"
"ALTIGREEN PROPULSION LABS PVT LTD","0","0","1","0","0","0","0","1","0","0","0","0","2"
"AMO MOBILITY SOLUTIONS PVT LTD","0","0","0","3","1","0","0","0","0","0","0","0","4"
"AMPERE VEHICLES PRIVATE LIMITED","3","1","3","44","8","2","0","1","4","6","1","3","76"
"ARMIX CONSTRUCTION MACHINERY PVT LTD","0","0","0","0","0","0","0","0","0","1","0","0","1"
"ASHOK LEYLAND LTD","44","29","33","37","32","25","31","33","47","41","43","29","424"
"ATHER ENERGY LTD","250","193","264","128","234","65","108","123","111","139","126","86","1827"
"ATUMOBILE PVT LTD","0","0","0","0","1","0","0","1","0","0","0","1","3"
"AUDI AG","9","5","0","3","0","1","0","1","1","0","0","0","20"
"BAJAJ AUTO LTD","96","70","124","108","116","128","139","216","279","229","227","282","2014"
"BATTRE ELECTRIC MOBLITY PVT LTD","6","1","1","13","11","1","0","0","0","0","0","0","33"
"BENLING INDIA ENERGY AND TECHNOLOGY PVT LTD","12","12","26","11","10","6","5","6","6","4","7","7","112"
"BGAUSS AUTO PRIVATE LIMITED","0","0","0","0","0","0","0","0","0","0","0","2","2"
"BMW INDIA PVT LTD","11","7","10","15","9","8","10","10","9","8","16","9","122"
"BYD INDIA PRIVATE LIMITED","0","1","2","1","1","1","0","1","0","0","1","1","9"
"CATERPILLAR INDIA PRIVATE LIMITED","1","0","1","1","2","0","0","0","0","1","1","2","9"
"CHETAK TECHNOLOGY LIMITED","0","51","51","0","0","0","0","0","0","0","0","0","102"
"CLASSIC LEGENDS PVT LTD","21","11","14","10","7","10","10","10","10","5","4","0","112"
"DAIMLER INDIA COMMERCIAL VEHICLES PVT. LTD","4","4","7","7","2","3","1","6","8","8","7","2","59"
"DOOSAN BOBCAT INDIA PVT LTD","0","0","0","0","0","1","0","0","1","0","0","0","2"
"DUCATI INDIA PVT LTD","1","1","1","0","0","0","1","0","1","1","0","0","6"
"E-ASHWA AUTOMOTIVE PVT LTD","0","0","0","0","1","0","0","0","0","0","0","0","1"
"EDMRC MANNSCHAFT LLP","1","5","0","0","0","0","1","0","0","0","0","0","7"
"ELSA CONCRETING MACHINERY INDIA PVT LTD","0","0","0","0","0","1","0","0","0","0","0","0","1"
"ELTHOR ENERGY PRIVATE LIMITED","3","2","3","1","5","9","3","3","1","2","1","0","33"
"ENGTIAN ELECTRIC BIKE PVT LTD","1","0","0","0","0","0","0","0","0","0","0","0","1"
