"Maker and Month Wise Data for Goa (2026)"

"Maker","2026-Jan","2026-Feb","2026-Mar","2026-Apr","2026-May","2026-Jun","2026-Jul","2026-Aug","2026-Sep","Total"
"ACTION CONSTRUCTION EQUIPMENT LTD.","0","0","2","2","0","2","0","1","0","7"
"AJAX ENGINEERING LTD","4","0","2","2","1","0","2","0","0","11"
"AMPERE VEHICLES PRIVATE LIMITED","0","0","4","0","0","0","0","0","0","4"
"ASHOK LEYLAND LTD","48","39","35","39","29","25","28","18","7","268"
"ATHER ENERGY LTD","209","188","404","350","238","332","290","268","79","2358"
"AUDI AG","0","0","0","2","1","0","0","0","0","3"
"BAJAJ AUTO LTD","294","297","479","289","265","404","349","321","63","2761"
"BENTLEY MOTORS LTD (SAVWIPL)","0","1","0","0","0","1","0","0","0","2"
"BGAUSS AUTO PRIVATE LIMITED","0","0","0","2","1","0","0","0","0","3"
"BMW INDIA PVT LTD","17","13","22","16","11","2","0","14","7","102"
"BULL MACHINES PVT LTD","0","0","0","0","0","0","0","0","1","1"
"BYD INDIA PRIVATE LIMITED","0","4","2","2","4","8","7","2","0","29"
"CATERPILLAR INDIA PRIVATE LIMITED","2","0","0","1","1","1","1","0","0","6"
"CLASSIC LEGENDS PVT LTD","15","21","21","14","16","18","11","13","6","135"
"DAIMLER INDIA COMMERCIAL VEHICLES PVT. LTD","16","9","7","9","5","5","3","4","0","58"
"DUCATI INDIA PVT LTD","1","1","1","2","2","1","1","0","0","9"
"E-ASHWA AUTOMOTIVE PVT LTD","1","0","0","0","0","0","0","0","0","1"
"ESCORTS KUBOTA LIMITED (AGRI MACHINERY GROUP)","1","0","0","1","1","1","1","0","0","5"
"ESCORTS KUBOTA LIMITED (CONSTRUCTION EQUIPMENT)","0","0","2","1","1","2","0","0","0","6"
"FERRARI SPA (IMPORTER:SELECT CARS P LTD)","1","0","0","0","0","0","1","1","0","3"
"FORCE MOTORS LIMITED","15","14","12","2","4","11","7","16","4","85"
"GOREEN E-MOBILITY PVT LTD","0","0","1","0","0","2","7","1","0","11"
"GREAVES ELECTRIC MOBILITY LTD","23","7","29","10","11","14","13","12","4","123"
"HARLEY DAVIDSON (IMPORTER: HERO MOTOCORP)","0","0","0","0","1","1","0","0","1","3"
"HERO MOTOCORP LTD","424","403","495","380","279","329","287","311","79","2987"
"HONDA CARS INDIA LTD","22","16","28","17","21","27","22","25","4","182"
"HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD","1753","1555","1780","1164","1131","1227","1137","1164","379","11290"
"HONGKONG YIXING (IMPORTER: ADMS MARKETING)","0","0","0","1","0","0","0","1","0","2"
"HYUNDAI MOTOR INDIA LTD","290","233","246","244","205","202","232","231","59","1942"
"INDIA KAWASAKI MOTORS PVT LTD","9","6","5","3","5","6","1","1","0","36"
"INDIA YAMAHA MOTOR PVT LTD","801","1113","1278","1047","962","962","878","1034","214","8289"
"ISUZU MOTORS INDIA PVT LTD","0","6","2","0","1","0","0","0","0","9"
"IYANS INDUSTRIES PVT LTD","1","0","0","0","0","0","0","0","0","1"
"JAGUAR LAND ROVER INDIA LIMITED","2","2","1","4","5","4","4","6","3","31"
"JCB INDIA LIMITED","9","5","8","6","2","4","4","6","0","44"
"JOHN DEERE INDIA  PVT LTD(TRACTOR DEVISION)","0","0","0","1","0","1","1","0","0","3"
"JSW MG MOTOR INDIA PVT LTD","46","35","51","52","50","51","52","37","0","374"
"KABIRA MOBILITY LLP","0","0","0","0","0","0","0","1","0","1"
"KIA INDIA PRIVATE LIMITED","136","134","170","139","145","113","142","141","20","1140"
"KLB KOMAKI PVT LTD","3","1","6","2","5","1","3","3","1","25"
"KSR SOLUTION (IMPORTER: KAWVELOCE MOTORS PVT LTD)","1","0","0","0","0","0","0","0","0","1"
"KTM MOTORRAD AG","0","0","0","1","0","0","0","0","0","1"
"LOCAL TRAILER MANUFACTURER","0","0","0","10","0","0","0","1","0","11"
