"Maker and Month Wise Data for Gujarat (2019)"

"Maker","2019-Jan","2019-Feb","2019-Mar","2019-Apr","2019-May","2019-Jun","2019-Jul","2019-Aug","2019-Sep","2019-Oct","2019-Nov","2019-Dec","Total"
"A K AUTTO ELECTRICAL","0","2","0","0","0","0","0","0","0","0","0","0","2"
"A P I MOTORS PVT LTD","21","17","13","12","6","9","7","18","10","37","37","14","201"
"ACTION CONSTRUCTION EQUIPMENT LTD.","83","75","79","50","59","50","75","85","54","42","51","55","758"
"ADICO ESCORTS AGRI EQUIPMENTS PVT. LTD.","50","5","6","14","6","12","269","344","69","47","97","119","1038"
"ADISHAKTI TRACTORS","0","0","0","0","1","0","0","0","0","0","0","0","1"
"ADISHWAR AUTO RIDE INDIA PVT LTD","0","0","0","0","0","3","0","0","0","2","1","7","13"
"ADITYA AGRO INDUSTRIES","1","2","2","1","2","2","2","0","0","2","1","1","16"
"AGRO INDUSTRIES","1","2","5","2","1","1","4","0","0","1","7","4","28"
"AJAX ENGINEERING LTD","25","7","13","45","12","20","21","8","11","10","15","27","214"
"AJAX FIORI ENGINEERING PVT LTD","1","1","0","0","0","0","0","0","0","0","0","0","2"
"AJAY AGRO ENTERPRISES,SBP","1","0","0","0","0","0","0","0","0","0","0","0","1"
"AKMAAN MULTI MECH MACHINES","1","0","0","0","0","0","0","0","0","0","0","0","1"
"AKSHAR STEEL","19","2","6","1","1","0","0","0","3","15","0","0","47"
"ALL TERRAIN CRANE","0","7","6","0","1","0","0","0","0","0","1","1","16"
"AMBICA INDUSTRIES","41","2","2","1","3","7","0","0","0","2","0","0","58"
"AMBIKA INDUSTRIES","0","0","0","0","0","3","0","0","0","0","0","0","3"
"AMMANN INDIA PVT LTD","2","4","4","1","2","0","1","5","0","1","2","2","24"
"AMPERE VEHICLES PRIVATE LIMITED","0","0","0","0","0","0","0","0","0","0","1","0","1"
"ANNAPURNA AGRO INDUSTRIES","1","0","0","0","0","0","0","0","0","0","0","0","1"
"ANNAPURNA INDUSTRIES","0","0","0","0","0","0","0","1","0","0","0","1","2"
"APOLLO CARMIX EQUIPMENTS PVT LTD","0","4","1","1","1","0","0","1","0","1","1","0","10"
"ASHOK LEYLAND JOHN DEERE CONST EQUIP COMP PVT LTD","0","0","0","0","0","0","1","0","0","0","0","1","2"
"ASHOK LEYLAND LTD","998","1014","993","1120","871","732","923","616","646","1240","945","815","10913"
"ATTOLENT AUTO GROUP PVT LTD","0","0","0","0","0","0","1","0","0","0","0","0","1"
"ATUL AUTO LTD","1100","1088","1038","1027","1201","871","965","873","803","1199","1490","1256","12911"
"AUDI AG","62","55","63","73","44","41","41","22","32","35","28","37","533"
"AVL ELECTRIC VEHICLES PVT LTD","0","0","0","0","0","0","0","0","0","4","0","0","4"
"BAJAJ AUTO LTD","9696","11837","12245","12659","13103","10954","14456","12136","11707","19863","19481","12172","160309"
"BAJRANG AGRO INDUSTRIES","0","0","0","0","0","0","0","2","2","1","0","0","5"
"BALAJI AGRO INDUSTRIES","1","9","5","5","2","6","4","2","3","1","2","3","43"
"BEML LIMITED","0","0","1","1","0","0","0","0","0","0","1","0","3"
"BENTLEY MOTORS LIMITED","0","0","0","0","0","0","0","0","1","0","0","0","1"
"BHAGBATI INDUSTRIES","0","0","0","0","0","0","0","0","0","1","0","0","1"
"BHAGWAN AGRO INDUSTRIES","0","0","0","0","0","0","0","0","0","1","0","0","1"
"BHARAT MOTORS","0","0","0","1","0","0","0","0","0","0","0","0","1"
"BHARATH AGRO PRODUCTS","0","0","0","0","0","0","0","0","0","0","0","2","2"
"BHARATH ENGINEERING WORKS","0","0","0","0","2","0","0","1","0","1","0","0","4"
"BHOOMI ENGINEERING","0","0","0","0","0","0","0","0","1","0","0","0","1"
"BMW INDIA PVT LTD","141","73","90","101","76","51","60","75","57","135","100","123","1082"
"BULL MACHINES PVT LTD","4","0","7","2","1","2","6","2","4","3","2","1","34"
"C M OVERSEAS","0","0","2","1","5","1","1","0","1","0","0","5","16"
"CAPTAIN TRACTORS PVT. LTD.","69","6","5","0","7","12","345","633","89","72","152","196","1586"
"CASE EQUIPMENT PRIVATE LTD","2","0","1","0","0","0","0","0","0","0","0","0","3"
"CASE NEW HOLLAND CONSTRUCTION EQUIPMENT(I) PVT LTD","48","41","36","34","47","32","34","26","23","33","42","73","469"
"CATERPILLAR INDIA PRIVATE LIMITED","9","12","9","13","19","14","14","7","8","3","17","14","139"
"CHAMUNDA AGRICULTURE AND WELDING WORKS","0","0","0","0","1","0","0","0","0","0","0","0","1"
"CHEVROLET SALES INDIA PVT LTD","0","0","0","0","1","0","0","0","0","0","0","0","1"
"CLASSIC LEGENDS PVT LTD","0","0","0","2","24","59","40","93","72","171","211","197","869"
"CNH INDUSTRIAL (INDIA) PVT LTD","97","55","41","56","48","49","372","701","234","190","150","194","2187"
"CONTINENTAL ENGINES PVT LTD","86","78","77","76","83","87","134","126","107","154","148","134","1290"
"D K DIESELS PVT LTD","0","0","0","0","0","0","0","0","0","1","0","0","1"
"DAIMLER AG","0","3","6","3","2","0","4","4","4","6","5","8","45"
"DAIMLER INDIA COMMERCIAL VEHICLES PVT. LTD","131","89","86","119","85","115","118","48","73","73","59","63","1059"
"DEMAG DEMAG HC 340","0","0","2","1","1","0","0","0","0","0","1","1","6"
"DHANALAKSHMI ENGINEERING WORKS","0","1","0","0","0","0","0","0","0","0","0","0","1"
"DHARMRAJ AGRO IND.","0","0","0","0","0","0","0","0","1","0","0","0","1"
"DHIMAN BROTHERS","0","0","0","0","1","0","0","2","0","0","0","2","5"
"DOOSAN INT INDIA PVT LTD","0","0","0","0","0","0","0","1","0","0","0","0","1"
"DSK MOTOWHEELS PVT LTD.","1","2","0","1","0","2","2","0","0","0","0","3","11"
"DUCATI INDIA PVT LTD","1","3","2","1","2","0","0","1","1","0","1","0","12"
"DUCATI MOTOR HOLDING S.P.A","0","0","0","0","0","1","0","0","0","0","0","1","2"
"DURGA TRACTORS PVT LTD","0","0","0","0","0","0","0","0","0","2","0","0","2"
"EICHER MOTORS LTD","2","1","7","2","0","0","2","0","0","0","1","2","17"
"EICHER TRACTORS","167","87","86","96","118","109","867","1130","256","199","270","361","3746"
"EIMCO ELECON","0","1","0","0","0","0","1","0","1","1","0","3","7"
"ELECTRECA VEHICLES","0","0","0","0","0","0","0","0","1","2","0","0","3"
"ELECTROTHERM (INDIA) LIMITED","0","2","0","0","0","0","0","0","0","0","0","0","2"
"EPIROC MINING INDIA LTD","0","0","0","1","0","0","0","0","0","0","0","0","1"
"ESCORTS CONSTRUCTION EQUIPMENT LTD","3","1","1","0","0","2","1","0","0","0","1","2","11"
"ESCORTS KUBOTA LIMITED (AGRI MACHINERY GROUP)","127","82","87","73","84","81","646","834","221","166","156","298","2855"
"ESCORTS KUBOTA LIMITED (CONSTRUCTION EQUIPMENT)","21","36","27","14","27","23","29","28","20","25","29","25","304"
"ESCORTS LTD","0","0","1","0","0","0","0","0","0","0","0","0","1"
"FARMER TRACTOR, METODA G.I.D.C.","0","0","1","0","0","0","2","1","0","0","0","0","4"
"FORCE MOTORS LIMITED","91","120","118","108","111","106","140","111","90","105","66","79","1245"
"FORD INDIA PVT LTD","594","512","556","645","561","441","564","455","378","785","564","506","6561"
"FRED INDIA PVT LTD","0","0","0","0","0","2","0","0","0","0","0","0","2"
"GANESH AGRO INDUSTRIES","0","2","1","1","1","0","0","0","1","1","1","0","8"
"GAYATRI ELECTRIC VEHICLES PVT LTD","0","0","1","0","0","0","0","0","0","0","0","0","1"
"GENERAL MOTORS INDIA PVT LTD","0","0","0","0","0","0","0","0","0","0","0","1","1"
"GILLPREETAGRO INDUSTRIES","0","0","0","0","0","0","0","0","0","1","0","0","1"
"GODAWARI TECHNO SOLUTIONS PVT LTD","0","0","0","0","0","0","0","0","0","0","0","1","1"
"GODREJ & BOYCE MFG. CO. LTD","5","5","13","15","9","7","6","6","2","9","15","6","98"
"GOENKA ELECTRIC MOTOR VEHICLES PVT LTD","1","0","0","0","0","0","0","0","1","0","0","0","2"
"GRG SMART VEHICLE PVT LTD","0","0","0","0","0","1","1","0","0","0","0","0","2"
"GROMAX AGRI EQUIPMENT LTD","0","3","4","2","0","3","1","5","7","2","2","3","32"
"GROVE INDIA PVT LTD","0","3","2","0","2","0","1","1","1","0","2","2","14"
"GURUKIRPA INDUSTRIES","0","0","0","1","0","0","0","0","0","0","1","0","2"
"GURUKRAPA ENGINEERING WORKS","2","1","0","0","0","0","0","0","0","0","0","0","3"
"H-D MOTOR COMPANY INDIA PVT LTD","6","17","18","17","9","12","5","13","7","16","16","10","146"
"HAMM AG","0","0","0","0","0","0","0","0","0","0","1","0","1"
"HERO ELECTRIC VEHICLE PVT LTD","0","0","0","0","0","0","0","0","0","0","1","0","1"
"HERO ELECTRIC VEHICLES PVT. LTD","24","33","98","66","25","2","10","0","0","7","24","4","293"
"HERO HONDA MOTORS  LTD","3","9","2","6","1","3","5","3","4","10","6","6","58"
"HERO MOTOCORP LTD","34737","29302","30983","34337","32455","26664","31147","28131","21233","50534","53804","35083","408410"
"HINDUSTAN AGRO INDUSTRIES","0","0","0","1","0","0","0","0","0","0","0","0","1"
"HINDUSTAN MOTOR FINANCE CORPORATION LIMITED","4","0","1","1","0","0","1","0","0","1","0","0","8"
"HMT LIMITED","2","0","0","0","0","0","0","0","0","0","0","0","2"
"HONDA CARS INDIA LTD","1694","1686","1690","1838","1624","999","1354","1211","769","1764","1169","974","16772"
"HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD","32626","31735","35367","35240","35630","32648","39531","33089","26176","56240","49623","32059","439964"
"HYUNDAI MOTOR INDIA LTD","5924","5256","4294","4817","5044","4066","5026","4351","3401","7426","6089","4916","60610"
"HYUNDAI MOTORS LTD, SOUTH KOREA","0","0","0","0","1","2","0","0","0","0","0","2","5"
"IDEAL JAWA INDIA PVT LTD","0","0","0","0","0","0","0","0","0","0","0","1","1"
"INDIA KAWASAKI MOTORS PVT LTD","4","8","8","3","3","3","3","7","6","13","9","6","73"
"INDIA YAMAHA MOTOR PVT LTD","1565","1533","1663","1690","1569","1334","1481","1233","1053","2054","1741","1238","18154"
"INDO FARM EQUIPMENT LIMITED","3","4","1","3","9","2","7","43","6","5","6","4","93"
"INTERNATIONAL TRACTORS LIMITED","169","96","118","94","165","210","852","1199","318","237","309","276","4043"
"ISUZU MOTORS INDIA PVT LTD","53","72","71","74","62","31","68","42","41","102","71","80","767"
"International Cars & Motors Limited","0","0","2","0","0","1","1","0","0","0","0","0","4"
