"Maker and Month Wise Data for Himachal Pradesh (2025)"

"Maker","2025-Jan","2025-Feb","2025-Mar","2025-Apr","2025-May","2025-Jun","2025-Jul","2025-Aug","2025-Sep","2025-Oct","2025-Nov","2025-Dec","Total"
"ACTION CONSTRUCTION EQUIPMENT LTD.","2","3","0","3","2","6","4","1","2","1","1","2","27"
"ADICO ESCORTS AGRI EQUIPMENTS PVT. LTD.","0","0","0","0","1","0","0","0","1","0","0","0","2"
"AJAX ENGINEERING LTD","2","4","4","3","9","13","4","3","2","0","3","2","49"
"AJAY ENGINEERING AND AGRICULTURAL EQUIPMENT CO.","0","0","1","0","0","0","0","0","0","0","0","0","1"
"ALL TERRAIN CRANE","1","0","1","0","0","1","2","0","0","0","0","1","6"
"ALPHA SERVICES","0","0","0","0","0","0","1","0","0","0","0","0","1"
"APOLLO CARMIX EQUIPMENTS PVT LTD","0","0","0","0","0","1","0","0","0","0","0","0","1"
"ASHOK LEYLAND LTD","102","119","134","143","160","133","128","139","96","101","126","123","1504"
"ATHER ENERGY LTD","1","0","3","1","1","2","2","1","7","8","10","10","46"
"ATUL AUTO LTD","0","0","0","0","1","0","0","0","0","0","0","0","1"
"AUDI AG","0","2","0","1","0","2","0","0","0","0","0","0","5"
"AUTOMOBILI LAMBORGHINI S.P.A","0","0","0","1","0","0","0","0","0","0","0","1","2"
"BAJAJ AUTO LTD","878","655","672","662","837","768","687","698","550","949","1889","1345","10590"
"BENLING INDIA ENERGY AND TECHNOLOGY PVT LTD","0","0","0","0","0","0","0","1","3","0","0","0","4"
"BHAVE ELECTRIC VEHICLES PVT LTD","0","0","0","0","0","1","0","0","0","0","0","0","1"
"BMW INDIA PVT LTD","13","13","9","13","9","10","9","10","11","8","10","9","124"
"BULL MACHINES PVT LTD","1","0","1","2","1","3","1","3","0","0","0","1","13"
"BYD INDIA PRIVATE LIMITED","2","2","1","2","3","5","0","0","0","0","0","1","16"
"CASE NEW HOLLAND CONSTRUCTION EQUIPMENT(I) PVT LTD","2","0","3","2","4","3","0","0","1","0","0","1","16"
"CATERPILLAR INDIA PRIVATE LIMITED","1","0","1","2","5","1","1","1","1","1","0","0","14"
"CLASSIC LEGENDS PVT LTD","43","23","27","27","28","25","20","26","14","54","80","64","431"
"CNH INDUSTRIAL (INDIA) PVT LTD","7","7","6","16","10","13","16","6","4","11","8","15","119"
"CONVENIENT MACHINES PVT LTD","0","0","0","0","0","2","0","0","0","0","0","0","2"
"CRANE KRAFT INDIA PRIVATE LIMITED","1","2","2","1","1","2","1","2","0","0","0","0","12"
"DAIMLER AG","1","0","0","0","0","0","0","0","0","0","0","0","1"
"DAIMLER INDIA COMMERCIAL VEHICLES PVT. LTD","19","33","20","22","26","16","23","11","11","9","17","15","222"
"DILLI ELECTRIC AUTO PVT LTD","0","0","0","0","0","0","0","0","0","1","0","0","1"
"DODGE MOTORS","0","0","0","0","0","0","0","0","0","1","0","0","1"
"DOOSAN INT INDIA PVT LTD","0","0","0","0","0","0","0","0","1","0","0","0","1"
"DUCATI INDIA PVT LTD","0","0","1","2","0","0","0","0","0","0","0","0","3"
"EICHER TRACTORS","0","2","2","1","0","2","0","2","1","1","0","1","12"
"ERISHA E MOBILITY PVT LTD","2","0","0","0","0","0","0","0","0","0","0","0","2"
"ESCORTS KUBOTA LIMITED (AGRI MACHINERY GROUP)","13","26","25","26","17","15","12","30","7","9","12","19","211"
"ESCORTS KUBOTA LIMITED (CONSTRUCTION EQUIPMENT)","1","1","3","2","6","3","2","3","1","1","0","0","23"
"EULER MOTORS PVT LTD","0","0","0","0","0","0","0","0","0","0","0","1","1"
"FIORI CONCRETE MACHINES INDIA PVT LTD","0","0","0","0","1","1","0","0","0","0","0","0","2"
"FORCE MOTORS LIMITED","62","59","59","82","70","95","67","49","48","51","55","33","730"
"FORD INDIA PVT LTD","1","0","0","0","0","0","0","0","0","0","0","0","1"
"GREAVES ELECTRIC MOBILITY LTD","2","7","5","3","4","1","6","4","3","4","11","0","50"
"GROVE INDIA PVT LTD","1","1","0","0","0","0","0","0","0","1","0","1","4"
"HARLEY DAVIDSON (IMPORTER: HERO MOTOCORP)","1","0","0","0","1","0","0","1","0","0","0","0","3"
"HERO ELECTRIC VEHICLES PVT. LTD","0","0","1","0","0","0","0","0","0","0","0","0","1"
"HERO HONDA MOTORS  LTD","0","0","0","0","1","0","0","1","0","0","0","0","2"
"HERO MOTOCORP LTD","1418","1148","1144","1140","1192","1195","1101","1224","995","1246","4156","1664","17623"
"HIM TEKNOFORGE LTD","0","0","0","0","0","1","0","0","0","0","0","0","1"
"HINDUSTAN MOTOR CORPORATION","0","0","0","0","0","0","0","0","0","0","0","1","1"
"HINDUSTAN MOTORS LTD","1","0","0","0","0","0","0","0","0","0","0","0","1"
"HONDA CARS INDIA LTD","84","66","47","61","41","45","40","57","35","46","128","58","708"
"HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD","1606","1254","1450","1658","1756","1840","1412","1556","986","1887","4293","2951","22649"
"HYUNDAI MOTOR INDIA LTD","765","551","553","642","547","515","538","538","338","649","1125","837","7598"
"IDEAL JAWA INDIA PVT LTD","0","1","0","0","0","0","0","0","0","0","0","0","1"
"INDIA KAWASAKI MOTORS PVT LTD","1","4","1","2","2","1","2","3","2","2","3","8","31"
"INDIA YAMAHA MOTOR PVT LTD","177","167","205","204","242","187","204","229","163","195","526","359","2858"
"INDO FARM EQUIPMENT LIMITED","5","2","4","4","6","6","6","1","2","3","0","1","40"
"INTERNATIONAL TRACTORS LIMITED","34","48","65","75","46","65","55","36","42","42","46","51","605"
