"Maker and Month Wise Data for Himachal Pradesh (2026)"

"Maker","2026-Jan","2026-Feb","2026-Mar","2026-Apr","2026-May","2026-Jun","2026-Jul","2026-Aug","2026-Sep","Total"
"ACTION CONSTRUCTION EQUIPMENT LTD.","5","1","2","1","4","5","4","6","3","31"
"AGRI KING TRACTORS & EQUIPMENTS PVT LTD","0","0","1","0","0","0","0","0","0","1"
"AJAX ENGINEERING LTD","1","2","3","5","12","5","8","8","0","44"
"APOLLO CARMIX EQUIPMENTS PVT LTD","0","0","0","0","2","0","3","0","0","5"
"ASHOK LEYLAND LTD","134","153","153","175","145","114","177","145","30","1226"
"ATHER ENERGY LTD","10","10","21","7","21","15","27","13","8","132"
"AUDI AG","0","0","1","0","0","0","0","0","0","1"
"AUTOMOBILI LAMBORGHINI S.P.A","1","1","0","0","0","0","0","2","0","4"
"BAJAJ AUTO LTD","810","765","731","818","726","677","1022","822","106","6477"
"BEML LIMITED","0","0","0","0","0","0","1","0","0","1"
"BMW INDIA PVT LTD","23","15","6","6","7","16","15","18","0","106"
"BULL MACHINES PVT LTD","0","0","1","0","0","1","0","2","0","4"
"BYD INDIA PRIVATE LIMITED","1","1","1","1","3","1","0","2","1","11"
"CASE NEW HOLLAND CONSTRUCTION EQUIPMENT(I) PVT LTD","3","2","0","0","4","0","2","1","0","12"
"CATERPILLAR INDIA PRIVATE LIMITED","0","0","1","0","0","1","1","1","0","4"
"CLASSIC LEGENDS PVT LTD","42","30","55","51","43","33","40","30","6","330"
"CNH INDUSTRIAL (INDIA) PVT LTD","13","14","8","15","12","11","14","8","4","99"
"CONMAT HEAVY INDUSTRIES PVT LTD","0","0","0","0","0","1","0","0","0","1"
"CRANE KRAFT INDIA PRIVATE LIMITED","1","0","0","0","1","1","0","0","0","3"
"DAIMLER INDIA COMMERCIAL VEHICLES PVT. LTD","28","35","20","21","29","19","21","25","7","205"
"DILLI ELECTRIC AUTO PVT LTD","0","0","0","0","0","0","1","0","0","1"
"EICHER MOTORS LTD","0","0","0","0","0","0","1","1","0","2"
"ENERGY ELECTRIC VEHICLES","0","0","0","0","0","0","1","0","0","1"
"ESCORTS KUBOTA LIMITED (AGRI MACHINERY GROUP)","16","20","22","5","13","5","17","8","4","110"
"ESCORTS KUBOTA LIMITED (CONSTRUCTION EQUIPMENT)","0","1","1","0","2","0","1","0","0","5"
"EULER MOTORS PVT LTD","1","1","2","0","2","1","4","3","1","15"
"FIORI CONCRETE MACHINES INDIA PVT LTD","1","0","2","0","0","1","0","0","0","4"
"FORCE MOTORS LIMITED","49","74","89","95","110","68","89","53","19","646"
"GODAWARI ELECTRIC MOTORS PVT LTD","0","0","0","0","0","0","0","1","0","1"
"GREAVES ELECTRIC MOBILITY LTD","1","2","1","2","6","6","9","9","1","37"
"GUANGDONG TAYO (IMPORTER: ADISHWAR AUTO)","0","0","0","1","0","0","0","0","0","1"
"HARLEY DAVIDSON (IMPORTER: HERO MOTOCORP)","1","0","0","0","0","1","0","0","0","2"
"HERO MOTOCORP LTD","1509","1199","1342","1290","1075","1213","1679","1274","243","10824"
"HIM TEKNOFORGE LTD","1","0","0","1","1","0","0","0","0","3"
"HONDA CARS INDIA LTD","71","68","48","81","63","48","71","59","10","519"
"HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD","1935","1508","1534","1831","2019","1670","2610","1833","358","15298"
"HYUNDAI MOTOR INDIA LTD","821","665","568","629","507","457","578","478","88","4791"
"INDIA KAWASAKI MOTORS PVT LTD","6","3","4","2","1","2","5","3","0","26"
"INDIA YAMAHA MOTOR PVT LTD","265","194","216","272","236","229","310","281","56","2059"
"INDO FARM EQUIPMENT LIMITED","0","0","2","4","4","4","4","3","0","21"
"INTERNATIONAL TRACTORS LIMITED","66","36","56","31","29","28","63","62","9","380"
"ISUZU MOTORS INDIA PVT LTD","2","1","4","4","2","3","3","0","0","19"
"JAGUAR LAND ROVER INDIA LIMITED","13","6","14","12","14","12","24","21","2","118"
"JCB INDIA LIMITED","22","25","13","25","29","18","24","18","2","176"
"JOHN DEERE INDIA  PVT LTD(TRACTOR DEVISION)","6","6","7","5","3","9","6","2","0","44"
"JSW MG MOTOR INDIA PVT LTD","31","28","20","25","25","24","33","24","3","213"
"KIA INDIA PRIVATE LIMITED","202","229","200","239","224","171","253","160","42","1720"
"KINETIC GREEN ENERGY & POWER SOLUTIONS LTD","0","0","0","0","1","0","0","0","0","1"
"KION INDIA PVT LTD","0","0","1","0","0","0","1","0","0","2"
"KLB KOMAKI PVT LTD","0","5","5","3","12","10","4","8","3","50"
"LEOPAN MOTORS PRIVATE LIMITED","1","0","0","0","0","1","0","1","0","3"
"M/S SCHWING STETTER (INDIA) PRIVATE LIMITED","1","1","0","6","2","2","2","2","0","16"
"M/S SHRIRAM AUTO TECH PVT LTD","0","0","0","0","1","0","0","0","0","1"
"MAHINDRA & MAHINDRA LIMITED","1242","1051","1206","1141","1085","1108","1216","954","176","9179"
"MAHINDRA & MAHINDRA LIMITED (SWARAJ DIVISION)","113","73","59","68","60","58","69","51","7","558"
"MAHINDRA & MAHINDRA LIMITED (TRACTOR)","78","59","29","40","47","34","48","41","4","380"
"MAHINDRA ELECTRIC AUTOMOBILE LTD","10","15","15","21","22","26","29","31","8","177"
"MAHINDRA LAST MILE MOBILITY LTD","26","33","15","34","21","15","29","27","3","203"
"MANITOU EQUIPMENT INDIA PVT LTD","0","1","0","0","1","2","3","0","0","7"
"MARUTI SUZUKI INDIA LTD","3330","2784","2878","2747","2352","2315","2649","2137","356","21548"
"MARUTI UDYOG LTD","2","0","1","0","0","1","0","0","0","4"
"MASERATI S.P.A","1","0","0","0","2","0","0","1","0","4"
"MATHARU ENGINEERING AGRI WORKS","0","0","0","0","0","0","1","0","0","1"
"MERCEDES -BENZ AG","4","2","4","4","3","7","7","3","3","37"
"MERCEDES-BENZ INDIA PVT LTD","50","27","26","36","29","28","29","19","5","249"
"MLR AUTO LTD","0","0","1","0","0","0","0","0","0","1"
"NISSAN MOTOR INDIA PVT LTD","22","11","12","32","20","14","24","26","1","162"
"OBEN ELECTRIC VEHICLES PVT LTD","1","0","2","1","0","0","1","0","0","5"
"OKINAWA AUTOTECH PVT LTD","4","2","0","2","0","4","1","3","0","16"
"OLA ELECTRIC TECHNOLOGIES PVT LTD","23","10","8","11","4","4","3","2","0","65"
"OLECTRA GREENTECH LTD","0","0","0","0","0","0","17","240","11","268"
"OMEGA CONSTRUCTION EQUIPMENT PVT LTD","0","0","0","0","1","0","0","0","0","1"
"OPG Mobility and Power Pvt Ltd","0","0","0","0","0","0","0","0","1","1"
"PIAGGIO VEHICLES PVT LTD","11","12","17","9","19","13","24","18","3","126"
"POLARIS INDIA PVT LTD","0","0","0","0","0","1","1","0","0","2"
"PORSCHE AG GERMANY","5","3","5","4","3","2","2","4","0","28"
"PREET CONSRUCTION EQUIPMENTS PVT LTD","0","0","0","0","0","0","1","0","0","1"
"PREET TRACTORS PVT LTD","3","0","1","1","2","1","7","3","0","18"
"PUR ENERGY PVT LTD","0","0","1","1","0","0","2","0","0","4"
"QIANJIANG-KEEWAY (IMPORTER: ADISHWAR AUTO)","0","1","0","1","0","0","0","0","0","2"
"RENAULT INDIA PVT LTD","33","39","24","30","47","44","28","31","9","285"
"RGM BUSINESS PLUS PVT LTD","0","0","0","0","1","0","0","0","0","1"
"ROYAL-ENFIELD (UNIT OF EICHER LTD)","736","660","568","636","662","582","860","731","122","5557"
"SAME DEUTZ - FAHR INDIA (P) LTD.","0","0","0","0","0","0","1","0","0","1"
"SAS MOTORS LTD.","0","0","0","0","0","0","0","1","0","1"
"SKODA AUTO VOLKSWAGEN INDIA PVT LTD","130","87","81","107","111","89","111","68","14","798"
"SML MAHINDRA LTD","38","41","33","81","54","48","48","49","13","405"
"STELLANTIS AUTOMOBILES INDIA PVT LTD","21","13","7","5","13","15","17","9","1","101"
"STELLANTIS INDIA PVT LTD","3","5","3","5","4","7","4","3","1","35"
"SUZUKI MOTORCYCLE INDIA PVT LTD","379","354","353","295","362","352","506","519","68","3188"
"SWARAJ AUTOMOTIVES LTD","0","0","0","0","0","1","0","0","0","1"
"SWITCH MOBILITY AUTOMOTIVE LTD","0","0","0","0","0","1","1","1","0","3"
"TAFE LIMITED","7","7","2","3","3","3","5","2","0","32"
"TATA HITACHI CONSTRUCTION MACHINERY COMP. PVT LTD","9","2","1","1","0","1","2","0","0","16"
"TATA MOTORS LTD","307","331","401","404","348","285","399","343","74","2892"
"TATA MOTORS PASSENGER VEHICLES LTD","742","641","659","682","622","435","609","481","68","4939"
"TATA PASSENGER ELECTRIC MOBILITY LTD","23","30","23","26","38","40","56","51","3","290"
"TESLA INDIA MOTORS AND ENERGY PVT LTD","0","0","0","1","0","0","1","1","0","3"
"TIL LTD","0","0","1","0","0","0","0","0","0","1"
"TORK MOTORS PVT LTD","0","0","0","0","0","1","0","0","0","1"
"TOYOTA KIRLOSKAR MOTOR PVT LTD","374","382","332","371","365","337","372","309","43","2885"
"TRIUMPH MOTORCYCLES (INDIA) PVT LTD","0","0","0","0","3","0","0","2","0","5"
"TVS MOTOR COMPANY LTD","1555","1335","1351","1561","1572","1473","2067","1750","344","13008"
"V.S.T. TILLERS TRACTORS LIMITED","0","0","0","0","0","0","0","1","0","1"
"VE COMMERCIAL VEHICLES LTD","39","54","57","74","68","53","63","50","8","466"
"VE COMMERCIAL VEHICLES LTD (VOLVO BUSES DIVISION)","2","2","0","4","11","0","0","4","0","23"
"VENUS TECHNO EQUIPMENT PVT LTD","0","0","1","0","0","0","1","2","0","4"
"VINFAST AUTO INDIA PVT LTD","2","0","2","2","1","0","3","1","0","11"
"VOLKSWAGEN AG","0","0","0","0","0","0","0","1","0","1"
"VOLVO AUTO INDIA PVT LTD","3","3","5","2","2","1","3","0","1","20"
"WARDWIZARD INNOVATIONS & MOBILITY LIMITED","0","2","2","3","0","2","0","0","0","9"
"WARIVO MOTOR INDIA PVT LTD","0","0","0","1","0","1","0","0","0","2"
"YC ELECTRIC VEHICLE","0","0","0","6","0","0","4","0","0","10"
