"Maker and Month Wise Data for Haryana (2019)"

"Maker","2019-Jan","2019-Feb","2019-Mar","2019-Apr","2019-May","2019-Jun","2019-Jul","2019-Aug","2019-Sep","2019-Oct","2019-Nov","2019-Dec","Total"
"3GB TECHNOLOGY PVT LTD","1","0","0","0","0","0","0","0","0","0","0","0","1"
"3S INDUSTRIES PRIVATE LIMITED","0","0","0","0","0","0","0","0","0","1","0","0","1"
"A D AGRO WORKS","1","0","1","0","0","0","0","0","0","0","0","0","2"
"A P I MOTORS PVT LTD","12","17","12","25","18","22","14","6","14","14","17","9","180"
"A1 HEAVY EQUIPMENTS DEVELOPER","0","3","1","0","1","0","1","0","0","0","0","1","7"
"A3T INCORPORTED","0","2","0","0","0","1","1","0","0","1","2","1","8"
"AADITYA EMOTORS INDIA PVT LTD","2","0","1","0","1","0","0","2","0","0","0","0","6"
"AASHI INDIA AUTOMOBILES PVT LTD","0","0","0","1","0","0","0","0","0","0","0","0","1"
"ACTION CONSTRUCTION EQUIPMENT LTD.","56","53","38","51","48","33","47","43","44","27","54","50","544"
"ADICO ESCORTS AGRI EQUIPMENTS PVT. LTD.","4","2","6","3","5","3","7","6","11","3","4","5","59"
"ADISHWAR AUTO RIDE INDIA PVT LTD","0","0","0","0","0","1","0","0","3","0","1","1","6"
"ADITYA SAI INDUSTRIES","2","0","2","3","2","0","1","0","3","1","0","0","14"
"AGRI KING TRACTORS & EQUIPMENTS PVT LTD","0","1","0","0","0","0","0","0","0","0","0","1","2"
"AJAX ENGINEERING LTD","4","3","5","3","6","1","3","3","2","4","7","5","46"
"AKASH AGRO INDUSTRIES","0","0","0","1","0","0","0","0","0","0","0","0","1"
"AKASH EQUIPMENTS & MACHINERIES (P) LTD.","0","0","0","0","0","0","1","0","0","0","0","0","1"
"ALL TERRAIN CRANE","1","0","0","1","0","0","0","0","0","0","0","0","2"
"ALLFINE INDUSTRIES PVT LTD","8","0","3","0","5","0","0","0","0","0","1","0","17"
"ALTIER ELECTRIC VEHICLES PVT LTD","0","0","0","0","0","0","2","8","11","1","5","8","35"
"ALTIUS TECHNOLOGIES","0","0","0","0","0","0","0","0","20","35","0","0","55"
"AMAR COACH BUILDERS","0","0","0","0","0","0","0","0","0","1","0","0","1"
"AMPERE VEHICLES PRIVATE LIMITED","0","0","0","0","0","0","0","0","0","0","1","0","1"
"AMRIT ENGG WORKS,DKL","0","0","0","0","0","0","0","0","0","0","0","1","1"
"ANKUSH AUTO DEALS","0","4","2","0","3","2","1","2","0","0","1","0","15"
"APARNA INDUSTRIES","0","1","0","0","0","0","0","0","0","0","0","0","1"
"APOLLO CARMIX EQUIPMENTS PVT LTD","0","0","0","0","0","0","0","0","2","0","0","0","2"
"ARNA ELECTRIC AUTO PVT LTD","0","0","1","0","0","0","0","0","0","1","0","0","2"
"ASHOK LEYLAND LTD","654","527","612","799","579","382","494","524","478","414","354","319","6136"
"ATTOLENT AUTO GROUP PVT LTD","3","1","3","1","1","1","1","14","9","7","5","2","48"
"ATUL AUTO LTD","106","105","111","80","92","91","97","110","124","96","126","144","1282"
"AUDI AG","35","24","29","51","40","41","27","32","25","20","15","21","360"
"AUTOLITE (INDIA) LIMITED","1","0","16","7","4","5","9","1","6","3","4","3","59"
"AVL ELECTRIC VEHICLES PVT LTD","0","0","0","0","0","0","5","1","6","1","24","16","53"
"AVON CYCLES LTD","0","1","1","0","2","1","0","1","0","0","0","0","6"
"BABA E-VEHICLES","0","0","0","1","0","1","0","1","2","4","6","1","16"
"BAJAJ AUTO LTD","9600","6590","7832","9012","6767","7909","9974","9310","10132","8745","16122","9184","111177"
"BAJAJ IMPLEMENTS PVT. LTD","14","10","4","4","2","1","11","16","7","15","3","8","95"
"BAL GOPAL WHEELS PVT LTD","2","1","0","1","0","0","0","1","0","0","0","0","5"
"BEIQI FOTON MOTOR CO. LTD","0","0","0","0","0","2","0","0","0","0","0","0","2"
"BENTLEY MOTORS LIMITED","0","1","0","0","1","0","0","0","0","0","0","0","2"
"BEST WAY AGENCIES PVT LTD","1","0","1","1","1","0","0","0","1","0","1","1","7"
"BHAGAT AGRO INDUSTRIES","0","0","1","0","0","0","0","0","0","0","0","0","1"
"BMW INDIA PVT LTD","123","88","65","75","68","62","63","63","55","55","119","100","936"
"BULL MACHINES PVT LTD","0","0","0","1","2","2","0","4","0","4","2","2","17"
"CART INDIA","0","0","0","0","0","0","0","0","1","0","0","15","16"
"CASE EQUIPMENT PRIVATE LTD","0","0","0","0","0","0","0","0","1","0","0","0","1"
"CASE NEW HOLLAND CONSTRUCTION EQUIPMENT(I) PVT LTD","13","9","16","5","8","10","12","18","15","6","11","14","137"
"CATERPILLAR INDIA PRIVATE LIMITED","8","8","10","5","7","5","12","7","4","6","9","3","84"
"CEEON INDIA","3","6","0","1","1","0","0","2","1","0","0","2","16"
"CHALAM FORM EQUPMENTS","0","0","0","0","0","0","0","0","0","0","1","0","1"
"CHAMPION POLY PLAST","1","2","0","0","0","5","10","18","29","10","14","2","91"
"CHARAN AGROTECH","0","1","1","1","1","1","1","0","0","0","0","0","6"
"CHARDI KALAN AGRO INDUSTRIES","0","0","0","0","1","0","0","0","0","0","1","0","2"
"CHAUHAN AUTO INDUSTRIES","10","6","6","15","5","2","9","2","7","1","4","4","71"
"CHEVROLET SALES INDIA PVT LTD","3","3","1","3","2","1","0","0","0","3","0","1","17"
"CITYGREEN AUTO & PETRO CHEMICALS (P) LTD","0","0","1","0","1","0","0","0","0","1","0","0","3"
"CLASSIC LEGENDS PVT LTD","0","0","0","0","1","17","9","15","41","68","99","54","304"
"CNH INDUSTRIAL (INDIA) PVT LTD","245","138","160","203","130","224","246","250","198","114","213","215","2336"
"CONTINENTAL ENGINES PVT LTD","280","144","118","191","122","78","157","135","192","214","343","150","2124"
"DAIMLER AG","4","3","1","8","6","2","3","6","5","10","6","5","59"
"DAIMLER INDIA COMMERCIAL VEHICLES PVT. LTD","46","51","57","71","63","75","31","44","44","64","35","32","613"
"DALIAN FORKLIFT CO.","0","0","0","0","1","0","0","0","0","0","0","0","1"
"DASMESH MECHANICAL WORKS PVT.LTD","0","0","0","0","0","2","0","0","1","0","0","1","4"
"DD AUTO PVT LTD","0","1","0","0","0","0","0","1","0","0","2","0","4"
"DEEP DRAWN TECHNOLOGIES","3","4","2","0","5","3","6","5","5","9","9","4","55"
"DELTA AUTOCORP LTD","0","0","0","0","0","0","0","0","0","0","0","1","1"
"DELTEK ENTERPRISES PVT LTD","3","0","0","0","0","0","1","0","0","0","0","1","5"
"DEMAG DEMAG HC 340","0","1","0","0","0","0","1","1","0","0","0","0","3"
"DEV AGRO INDUSTRIES","0","1","1","1","0","0","0","0","0","0","0","1","4"
"DHIMAN BROTHERS","0","0","0","1","0","1","0","0","0","0","0","0","2"
"DILLI ELECTRIC AUTO PVT LTD","59","23","21","17","29","40","29","29","62","46","77","67","499"
"DIVANSU AUTOMOBILES LTD","1","2","2","1","1","4","0","1","6","1","4","1","24"
"DOOSAN BOBCAT INDIA PVT LTD","0","0","0","0","0","0","0","0","3","0","0","0","3"
"DUCATI INDIA PVT LTD","0","2","1","3","0","0","2","1","1","1","3","2","16"
"DUCATI MOTOR HOLDING S.P.A","1","0","0","0","0","0","0","0","0","0","0","0","1"
"DUKEMOTO MOTORS PVT LTD","0","0","0","0","0","3","0","0","0","0","1","0","4"
"E-MOTION AUTOMOTIVE INDUSTRY LLP","0","0","0","0","1","0","0","0","0","0","0","0","1"
"EICHER MOTORS LTD","0","1","1","0","0","0","1","1","0","0","1","1","6"
"EICHER POLARIS PVT. LTD.","1","0","0","0","0","1","0","0","0","0","0","0","2"
"EICHER TRACTORS","474","335","282","415","361","312","370","376","287","328","434","334","4308"
"EIMCO ELECON","1","0","0","0","0","1","0","0","0","0","0","0","2"
"ELECTROTHERM (INDIA) LIMITED","0","0","1","0","0","0","0","0","0","0","0","0","1"
"ENERGY ELECTRIC VEHICLES","0","3","0","0","0","0","0","0","0","0","0","0","3"
"EPIROC MINING INDIA LTD","0","0","0","1","0","0","0","0","0","0","0","0","1"
"ESCORTS CONSTRUCTION EQUIPMENT LTD","2","0","0","0","0","0","1","0","0","1","2","2","8"
"ESCORTS KUBOTA LIMITED (AGRI MACHINERY GROUP)","671","527","620","649","539","565","853","727","476","379","673","617","7296"
"ESCORTS KUBOTA LIMITED (CONSTRUCTION EQUIPMENT)","35","21","20","15","13","14","11","25","20","15","14","14","217"
"EVEX AUTO INDIA PVT LTD","0","0","1","0","0","0","0","0","0","0","1","0","2"
"FARMER TRACTOR, METODA G.I.D.C.","1","0","1","1","1","0","0","0","0","0","0","0","4"
"FERRARI INDIA PRIVATE LIMITED","0","0","0","0","0","1","0","0","0","0","0","0","1"
"FORCE MOTORS LIMITED","102","72","104","199","193","117","132","101","108","70","80","88","1366"
"FORD INDIA PVT LTD","517","323","369","431","371","300","359","355","287","261","497","313","4383"
"FRED INDIA PVT LTD","0","0","1","0","0","1","0","0","0","0","0","2","4"
"G & G AUTOMOTIVE","0","3","0","0","0","0","0","0","1","5","0","0","9"
"G.K. RICKSHAW LTD","0","0","0","0","0","2","7","5","2","0","0","0","16"
"GALAXY GREEN VEHICLES PVT LTD","0","2","0","0","0","0","0","1","1","0","0","0","4"
"GAURI AUTO INDIA PVT. LTD","2","2","1","0","2","0","0","0","3","3","3","2","18"
"GENERAL MOTORS INDIA PVT LTD","4","4","0","2","7","3","2","4","5","0","4","2","37"
"GILL AGRICULTURE WORKS","0","1","1","0","1","2","3","1","2","3","0","1","15"
"GILLPREETAGRO INDUSTRIES","0","1","1","1","0","0","3","1","2","1","2","0","12"
"GKON ELECTRIC MOTOR VEHICLES PVT LTD","7","1","3","0","12","4","15","12","13","15","4","18","104"
"GODREJ AND BOYCE MFG CO LTD","0","0","0","0","0","0","0","0","1","0","0","0","1"
"GOENKA ELECTRIC MOTOR VEHICLES PVT LTD","0","1","0","2","1","1","1","0","1","1","0","2","10"
"GOREEN E-MOBILITY PVT LTD","0","0","0","0","0","0","0","0","0","0","0","1","1"
"GRD MOTORS","0","0","0","0","0","0","0","0","5","0","3","0","8"
"GREEN KAIKETSU AUTOMOTIVE INDIA PVT LTD","0","1","0","0","0","0","2","4","0","0","0","0","7"
"GREEN TECHNOLOGIES","0","2","1","0","2","1","1","0","0","1","0","0","8"
"GREEN WHEELZ (INDIA)","0","0","0","1","0","2","1","0","0","0","0","0","4"
"GRG SMART VEHICLE PVT LTD","0","0","0","0","0","0","0","1","0","0","0","0","1"
"GROMAX AGRI EQUIPMENT LTD","0","1","0","0","0","0","0","3","2","0","3","1","10"
"GROVE INDIA PVT LTD","2","5","4","1","1","2","4","2","0","0","1","1","23"
"GURDEEP AGRO  INDUSTRIES","1","0","0","0","0","0","0","0","0","0","0","0","1"
"GURJEET COMBINE","0","0","0","0","0","0","0","0","0","0","0","1","1"
"GURMUKH AGRO INDUSTRIES","1","0","0","0","0","0","0","0","0","0","0","0","1"
"GURU NANAK AGRI ENGG WORKS","0","0","0","0","1","1","0","0","0","0","0","1","3"
