"Maker and Month Wise Data for Jharkhand (2019)"

"Maker","2019-Jan","2019-Feb","2019-Mar","2019-Apr","2019-May","2019-Jun","2019-Jul","2019-Aug","2019-Sep","2019-Oct","2019-Nov","2019-Dec","Total"
"3S INDUSTRIES PRIVATE LIMITED","0","0","0","0","0","0","2","1","4","13","4","18","42"
"A P I MOTORS PVT LTD","2","1","0","1","0","2","0","0","2","0","0","0","8"
"A1 HEAVY EQUIPMENTS DEVELOPER","0","0","0","0","0","0","0","0","0","1","0","0","1"
"A3T INCORPORTED","0","0","2","0","0","0","0","1","4","3","0","0","10"
"AADHYA ENTERPRISES","0","0","0","0","0","0","3","1","2","0","0","0","6"
"AADITYA EMOTORS INDIA PVT LTD","0","0","0","0","0","0","2","0","2","1","0","0","5"
"AADITYA GARBAGE PRODUCTS PVT LTD","0","0","0","0","0","0","2","0","0","0","0","0","2"
"ACTION CONSTRUCTION EQUIPMENT LTD.","21","11","15","14","14","14","13","20","16","11","16","13","178"
"ADICO ESCORTS AGRI EQUIPMENTS PVT. LTD.","0","1","1","0","0","2","0","1","0","0","0","0","5"
"ADISHWAR AUTO RIDE INDIA PVT LTD","0","0","0","0","0","0","0","0","1","1","0","1","3"
"AJAX ENGINEERING LTD","8","5","2","5","15","10","12","7","4","5","5","5","83"
"AJAY AGRO ENTERPRISES,SBP","0","1","0","0","0","0","0","0","0","0","0","0","1"
"AKSHAR STEEL","0","1","0","0","0","0","0","0","0","0","0","0","1"
"ALL TERRAIN CRANE","0","0","4","0","0","0","0","0","0","1","0","0","5"
"ALLFINE INDUSTRIES PVT LTD","0","1","0","0","1","0","1","1","0","0","1","5","10"
"ALTIER ELECTRIC VEHICLES PVT LTD","0","0","0","0","0","0","0","0","0","0","0","3","3"
"AMMANN INDIA PVT LTD","0","0","0","1","0","0","0","0","0","0","0","0","1"
"ANJALI TRADERS","2","0","0","0","2","1","0","1","0","0","0","0","6"
"APOLLO CARMIX EQUIPMENTS PVT LTD","0","0","1","0","0","0","1","0","0","1","0","0","3"
"ARROW AUTOMOTIVE","1","0","0","1","1","0","1","1","0","4","5","0","14"
"ASHOK LEYLAND LTD","123","109","294","103","88","76","97","65","63","62","66","48","1194"
"ATUL AUTO LTD","232","100","84","94","175","168","180","185","168","151","214","287","2038"
