"Maker and Month Wise Data for Jammu & Kashmir (2016)"

"Maker","2016-Jan","2016-Feb","2016-Mar","2016-Apr","2016-May","2016-Jun","2016-Jul","2016-Aug","2016-Sep","2016-Oct","2016-Nov","2016-Dec","Total"
"AARYA AUTOMOBILES","0","0","0","0","0","1","0","0","0","0","0","0","1"
"ACTION CONSTRUCTION EQUIPMENT LTD.","2","0","4","0","2","5","1","0","5","0","1","1","21"
"AGRI KING","1","0","0","0","0","0","0","0","0","0","0","0","1"
"AMW MOTORS LIMITED","0","0","8","0","0","0","0","0","0","0","0","0","8"
"ASHOK LEYLAND LTD","30","31","43","53","43","70","10","32","23","41","23","38","437"
"ATUL AUTO LTD","31","37","29","51","19","42","7","4","14","13","14","18","279"
"AUDI AG","1","1","1","1","2","0","1","0","0","0","0","0","7"
"BAJAJ AUTO LTD","608","638","837","927","1108","1182","595","669","681","1257","1519","1590","11611"
"BMW INDIA PVT LTD","0","1","0","0","0","0","0","1","0","0","0","1","3"
"CASE EQUIPMENT PRIVATE LTD","1","0","0","0","0","0","0","0","1","0","0","0","2"
"CASE NEW HOLLAND CONSTRUCTION EQUIPMENT(I) PVT LTD","0","0","0","0","0","1","0","0","0","0","1","0","2"
"CATERPILLAR INDIA PRIVATE LIMITED","0","1","2","7","0","0","2","0","2","1","0","2","17"
"CHEVROLET SALES INDIA PVT LTD","3","1","3","2","3","5","4","2","3","3","2","1","32"
"CNH INDUSTRIAL (INDIA) PVT LTD","45","34","23","25","17","20","6","6","13","15","16","11","231"
"EICHER MOTORS LTD","18","8","17","5","3","3","2","5","11","3","5","0","80"
"EICHER TRACTORS","1","0","0","0","0","0","0","1","0","1","1","0","4"
"ESCORTS CONSTRUCTION EQUIPMENT LTD","10","10","7","11","14","11","3","3","7","2","1","0","79"
"ESCORTS KUBOTA LIMITED (AGRI MACHINERY GROUP)","0","0","1","1","1","2","0","1","0","2","3","5","16"
"ESCORTS KUBOTA LIMITED (CONSTRUCTION EQUIPMENT)","1","2","2","2","0","2","1","0","1","0","1","1","13"
"FORCE MOTORS LIMITED","34","27","40","21","32","42","11","11","12","18","9","19","276"
"FORD INDIA PVT LTD","55","80","84","79","77","90","46","41","43","70","50","54","769"
"GENERAL MOTORS INDIA PVT LTD","64","72","69","47","60","60","47","55","47","80","46","42","689"
"HERO HONDA MOTORS  LTD","1034","987","1188","1142","1179","1204","923","1120","1075","909","575","21","11357"
"HERO MOTOCORP LTD","315","397","490","394","578","719","277","288","338","782","1453","1960","7991"
"HINDUSTAN MOTOR FINANCE CORPORATION LIMITED","0","1","1","1","0","3","0","0","0","1","0","0","7"
"HMT LIMITED","0","1","0","0","0","0","0","0","0","0","0","1","2"
"HONDA CARS INDIA LTD","96","79","90","75","95","121","50","59","67","66","52","63","913"
"HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD","1202","977","1313","1265","1769","1732","923","1344","1517","2369","2200","2070","18681"
"HYUNDAI MOTOR INDIA LTD","540","468","449","343","514","512","203","186","222","359","338","353","4487"
"INDIA KAWASAKI MOTORS PVT LTD","0","0","0","0","0","0","0","0","0","0","0","1","1"
"INDIA YAMAHA MOTOR PVT LTD","270","265","389","353","407","502","230","246","259","755","1031","842","5549"
"INDO FARM EQUIPMENT LIMITED","0","2","1","2","1","3","0","3","8","0","3","0","23"
"INTERNATIONAL CARS & MOTORS LTD","2","1","1","1","2","0","0","0","1","0","0","0","8"
"INTERNATIONAL TRACTORS LIMITED","30","29","40","19","39","40","28","31","21","23","24","14","338"
"JAGUAR LAND ROVER INDIA LIMITED","0","0","0","0","1","0","0","0","0","0","0","0","1"
"JAMMU MOTORS CORPORATION","0","0","0","0","1","0","0","0","0","0","0","0","1"
"JCB INDIA LIMITED","1","1","5","2","1","3","2","3","4","2","3","5","32"
"JCB INDIA LTD","5","12","12","14","13","18","9","11","8","5","4","0","111"
"JCBL LIMITED","1","2","1","0","0","0","0","0","0","0","0","0","4"
"JOHN DEERE INDIA  PVT LTD(TRACTOR DEVISION)","16","9","13","7","9","15","1","5","6","3","5","9","98"
"KAWASAKI HEAVY INDUSTRIES LTD","0","1","0","0","0","0","0","0","0","0","0","0","1"
"KTM MOTORRAD AG","4","6","7","6","7","6","1","4","1","8","3","0","53"
"L & T CASE EQUIPMENT PVT LTD","0","2","0","1","0","3","3","2","5","2","1","0","19"
"LML LIMITED","6","5","8","7","11","14","0","0","1","9","3","0","64"
"MAHINDRA & MAHINDRA LIMITED","351","419","462","403","509","674","242","258","277","270","283","278","4426"
"MAHINDRA & MAHINDRA LIMITED (SWARAJ DIVISION)","22","7","10","6","11","11","8","7","12","14","11","36","155"
"MAHINDRA & MAHINDRA LIMITED (TRACTOR)","3","3","4","8","5","5","4","4","3","6","5","21","71"
"MAHINDRA GUJARAT TRACTOR LIMITED","0","2","1","0","0","0","0","0","0","0","0","0","3"
"MAHINDRA NAVISTAR  AUTOMOTIVES LTD","0","1","0","0","0","0","0","0","0","0","0","0","1"
"MAHINDRA TWO WHEELERS LTD","68","51","51","49","53","67","34","42","28","72","66","58","639"
"MAN TRUCKS INDIA PVT. LTD.","0","0","1","0","0","0","0","0","0","0","0","1","2"
"MARUTI INDUSTRIES","1","0","0","0","0","0","0","0","0","0","0","0","1"
"MARUTI SUZUKI INDIA LTD","2659","2725","2793","2400","2562","2380","1232","1483","1511","1817","1842","2157","25561"
"MARUTI UDYOG LTD","0","0","1","0","0","0","0","1","0","0","0","0","2"
"MERCEDES-BENZ INDIA PVT LTD","0","0","1","0","1","0","0","0","1","1","1","0","5"
"MITSUBISHI MOTORS CORPORATION","0","0","1","0","0","0","0","0","0","0","0","0","1"
"NISSAN MOTOR INDIA PVT LTD","42","36","14","18","24","31","8","6","6","16","13","21","235"
"OTHERS","22","3","5","4","10","7","5","10","2","5","3","0","76"
"PIAGGIO VEHICLES PVT LTD","103","111","162","112","165","143","52","26","22","60","51","80","1087"
"PREET TRACTORS PVT. LTD.","0","0","0","2","0","2","1","1","1","2","1","0","10"
"PUNJAB TRACTORS LIMITED","1","1","0","0","0","0","0","0","0","0","0","0","2"
"R.N.A.I.P.LTD","0","0","0","1","0","0","0","1","0","0","0","0","2"
"RENAULT INDIA PVT LTD","89","118","127","117","167","157","75","43","36","65","29","28","1051"
"ROYAL-ENFIELD (UNIT OF EICHER LTD)","230","348","366","336","420","461","357","444","554","616","489","464","5085"
"SCOOTERS INDIA LTD","0","0","0","0","1","0","0","0","0","0","0","0","1"
"SKODA AUTO INDIA PVT LTD","2","1","0","0","0","0","0","0","0","0","0","0","3"
"SML MAHINDRA LTD","12","17","7","5","3","0","2","0","1","0","0","2","49"
"SOORAJ AUTOMOBILES LTD.","0","0","0","1","0","0","0","0","0","0","0","0","1"
"STANDARD COMBINES PVT LTD","1","0","0","0","0","0","0","0","0","0","0","0","1"
"STANDARD CORPORATION INDIA LTD","2","0","0","3","1","0","0","1","0","0","0","0","7"
"STANDARD TRACTORS","0","0","0","2","1","0","0","1","0","0","0","0","4"
"STELLANTIS INDIA PVT LTD","11","11","5","6","9","6","7","15","7","1","7","6","91"
"SUZUKI MOTORCYCLE INDIA PVT LTD","78","73","92","97","129","129","88","75","89","141","140","125","1256"
"TAFE LIMITED","5","3","9","4","5","3","0","3","5","5","1","1","44"
"TATA MOTORS LTD","343","470","476","388","503","403","207","271","291","279","264","269","4164"
"TEDC LTD","0","0","0","0","0","0","1","1","0","0","0","0","2"
"TEREX CORPORATION","0","1","1","4","1","1","3","0","0","0","0","0","11"
"TEREX EQUIPMENT PVT LTD","0","2","0","0","0","1","0","0","0","2","0","1","6"
"TIL LIMITED","0","0","1","0","0","0","0","0","0","0","0","0","1"
"TOYOTA KIRLOSKAR MOTOR PVT LTD","68","60","66","58","47","38","44","30","62","63","40","41","617"
"TRACTOR INDIA PVT LTD","0","0","0","0","2","0","0","0","0","0","0","0","2"
"TVS MOTOR COMPANY LTD","263","312","367","354","533","544","209","213","278","957","923","878","5831"
"V.S.T. TILLERS TRACTORS LIMITED","0","0","0","0","0","0","0","0","0","0","1","0","1"
"VE COMMERCIAL VEHICLES LTD","2","0","4","2","1","2","0","6","12","6","2","2","39"
"VOLKSWAGEN INDIA PVT LTD","6","7","6","2","14","23","2","2","2","1","5","5","75"
"VOLVO AUTO INDIA PVT LTD","0","1","0","0","0","0","0","0","0","0","0","0","1"
"XYZ1","0","0","0","0","0","1","0","0","0","0","0","0","1"
