"Maker and Month Wise Data for Karnataka (2017)"

"Maker","2017-Jan","2017-Feb","2017-Mar","2017-Apr","2017-May","2017-Jun","2017-Jul","2017-Aug","2017-Sep","2017-Oct","2017-Nov","2017-Dec","Total"
"3GB TECHNOLOGY PVT LTD","0","0","0","0","0","0","0","0","1","1","0","0","2"
"A B EXCAVATORS & EARTHMOVER LTD","0","0","0","0","0","1","0","0","0","0","0","0","1"
"A B K ENGINEERING CO.","0","0","0","1","0","0","0","1","0","0","0","0","2"
"A K ENGINEERING WORKS","0","1","0","0","0","0","0","1","0","0","0","0","2"
"A. A. TRAILOR","0","0","0","0","0","0","0","0","0","0","1","0","1"
"A.V.AUTOMOTIVES PVT LTD","0","0","0","0","0","0","1","0","0","0","0","0","1"
"A1 HEAVY EQUIPMENTS DEVELOPER","0","0","0","0","0","0","0","1","0","0","0","0","1"
"AADHYA ENTERPRISES","1","0","0","0","0","0","0","0","0","0","0","0","1"
"ABHARAN MOTORS PRIVATE LTD","0","1","0","1","0","0","0","0","0","0","0","2","4"
"ABHISHEK  ENGINEERING WORKS","6","6","8","5","6","5","0","5","0","4","4","3","52"
"ACTION CONSTRUCTION EQUIPMENT LTD.","28","39","56","43","28","54","35","53","43","36","35","53","503"
"ADISHAKTI TRACTORS","0","0","0","0","0","0","0","0","0","0","1","0","1"
"ADITYA AGRO INDUSTRIES","3","3","1","6","2","1","1","0","3","1","2","1","24"
"AFREEN AGRO ENGG WORKS HUBLI","0","0","0","0","0","0","0","0","0","0","0","1","1"
"AGRI & IND. MACHINERY SUPPLIER","0","2","0","0","2","0","0","1","0","2","0","0","7"
"AGRI EQUIPMENT","1","0","0","0","0","0","1","0","1","0","0","0","3"
"AGRI KING","0","0","0","1","0","0","0","0","0","1","0","0","2"
"AGRI KING TRACTORS & EQUIPMENTS PVT LTD","0","0","0","0","0","1","0","0","0","0","1","0","2"
"AGRO INDUSTRIES","4","5","4","3","4","4","1","3","0","3","6","4","41"
