"Maker and Month Wise Data for Kerala (2017)"

"Maker","2017-Jan","2017-Feb","2017-Mar","2017-Apr","2017-May","2017-Jun","2017-Jul","2017-Aug","2017-Sep","2017-Oct","2017-Nov","2017-Dec","Total"
"A1 HEAVY EQUIPMENTS DEVELOPER","0","0","0","0","0","1","0","0","0","0","0","0","1"
"AADITYA GARBAGE PRODUCTS PVT LTD","0","1","0","0","0","0","0","0","0","0","0","0","1"
"ACTION CONSTRUCTION EQUIPMENT LTD.","8","2","9","1","6","12","7","7","6","11","5","12","86"
"ADISHWAR AUTO RIDE INDIA PVT LTD","0","0","0","0","0","0","1","0","0","0","0","0","1"
"AJAX FIORI ENGINEERING PVT LTD","1","2","2","1","2","2","3","4","2","3","1","2","25"
"ALPHA SERVICES","0","0","0","0","0","0","0","0","0","0","1","0","1"
"ANDHRA PRADESH SCOOTERS LTD   ","0","0","0","0","0","0","0","0","1","0","0","0","1"
"APOLLO CARMIX EQUIPMENTS PVT LTD","0","0","0","0","1","0","0","0","0","0","0","0","1"
"ASHOK LEYLAND LTD","283","337","595","390","448","555","306","430","542","405","488","418","5197"
"ATLAS AUTO INDUSTRIES         ","0","0","0","0","1","0","0","0","0","1","0","0","2"
"ATLAS COPCO INDIA LIMITED","0","0","0","3","1","0","0","0","0","0","2","0","6"
"ATUL AUTO LTD","103","85","138","57","36","67","78","86","55","83","78","74","940"
"AUDI AG","22","24","27","19","22","22","29","25","40","41","15","20","306"
"AUTOHAUS PRIVATE LIMITED","0","0","0","0","0","0","0","0","0","0","1","0","1"
"BAJAJ AUTO LTD","4826","4518","6126","5367","5603","5693","5502","6300","8048","6604","5429","4916","68932"
"BAJAJ TEMPO LIMITED","6","6","11","10","20","27","10","16","19","21","18","11","175"
"BENTLEY MOTORS LIMITED","0","0","0","1","0","0","0","1","1","0","0","0","3"
"BHARAT MOTORS","0","0","0","0","0","1","0","0","0","0","0","0","1"
"BHARATH AGRO PRODUCTS","0","0","0","0","0","0","0","1","0","0","0","0","1"
"BMW INDIA PVT LTD","64","48","48","46","41","51","74","56","97","65","60","40","690"
"BSA MOTORS","0","0","0","0","0","1","0","0","0","0","0","0","1"
"BULL MACHINES PVT LTD","1","0","0","0","0","0","0","0","0","0","0","0","1"
"CASE EQUIPMENT PRIVATE LTD","0","0","0","0","0","0","0","0","0","0","0","1","1"
"CASE NEW HOLLAND CONSTRUCTION EQUIPMENT(I) PVT LTD","2","2","4","4","1","0","2","1","1","2","3","3","25"
"CATERPILLAR INDIA PRIVATE LIMITED","2","0","10","7","3","5","6","7","5","5","12","6","68"
"CLASSIC (INDIA) MOTORS","0","0","0","0","0","0","0","0","0","0","0","1","1"
"CLH GASEOUS FUEL APPL PVT LTD","0","0","0","0","0","0","1","1","1","1","3","1","8"
"CNH INDUSTRIAL (INDIA) PVT LTD","2","3","0","0","2","2","6","1","1","3","5","1","26"
"CONSTRUCTION AND EARTHMOVING","2","0","0","0","0","0","0","1","0","0","0","0","3"
"DAIMLER AG","0","0","0","0","0","0","2","0","0","1","0","0","3"
"DAIMLER CHRYSLER INDIA PVT LTD","3","5","3","3","8","10","3","2","1","6","1","1","46"
"DAIMLER INDIA COMMERCIAL VEHICLES PVT. LTD","59","65","97","67","146","147","113","99","77","122","140","132","1264"
"DD AUTO PVT LTD","0","0","0","0","0","0","0","1","0","0","0","0","1"
"DOODAN INFRACORE CONSTRUCTION","0","2","0","2","0","1","2","1","0","0","1","1","10"
"DOOSAN BOBCAT INDIA PVT LTD","0","0","0","0","0","0","0","0","1","0","0","0","1"
"DSK MOTOWHEELS PVT LTD.","5","6","9","9","1","6","16","6","7","8","12","6","91"
"DUCATI INDIA PVT LTD","0","2","7","7","3","2","0","1","2","2","3","3","32"
"DUCATI MOTOR HOLDING S.P.A","3","0","0","0","0","1","0","0","2","0","1","0","7"
"EICHER MOTORS LTD","1","1","21","3","4","2","5","1","0","0","1","1","40"
"EICHER POLARIS PVT. LTD.","15","21","48","44","59","43","37","43","45","43","35","33","466"
"ESCORTS CONSTRUCTION EQUIPMENT LTD","11","3","11","2","6","6","7","9","10","7","6","4","82"
"ESCORTS KUBOTA LIMITED (AGRI MACHINERY GROUP)","0","0","0","0","0","0","1","0","0","0","0","0","1"
"ESCORTS KUBOTA LIMITED (CONSTRUCTION EQUIPMENT)","0","0","0","0","0","1","0","0","0","0","0","0","1"
"FORCE MOTORS LIMITED","105","140","234","208","174","225","171","239","185","192","241","166","2280"
"FORD INDIA PVT LTD","735","488","565","598","587","528","618","514","584","485","404","421","6527"
"GENERAL MOTORS INDIA PVT LTD","97","69","56","48","33","15","33","9","1","2","0","0","363"
"GOENKA ELECTRIC MOTOR VEHICLES PVT LTD","0","0","0","1","1","0","0","0","0","0","0","0","2"
"H-D MOTOR COMPANY INDIA PVT LTD","25","29","25","14","23","22","28","16","24","16","16","19","257"
"HERO ELECTRIC VEHICLE PVT LTD","0","1","0","1","0","0","0","0","0","0","0","0","2"
"HERO HONDA MOTORS  LTD","10","12","9","9","9","5","5","3","7","7","5","6","87"
"HERO MOTOCORP LTD","7591","7843","9525","7450","7660","6711","6405","7301","11681","12058","8330","6312","98867"
"HINDUSTAN MOTOR FINANCE CORPORATION LIMITED","4","2","2","3","1","2","3","2","6","2","1","1","29"
"HONDA CARS INDIA LTD","1230","939","1139","1413","1530","1282","1384","1564","1805","1465","1205","981","15937"
"HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD","18087","19398","23525","17735","24556","24116","21614","23706","27975","31197","22332","19313","273554"
"HOVEL CYLINDER PVT LTD","0","0","0","1","0","0","0","0","0","0","0","0","1"
"HYUNDAI MOTOR INDIA LTD","3897","2202","1956","2138","2259","2360","2691","2651","3899","3256","2678","1863","31850"
"INDIA KAWASAKI MOTORS PVT LTD","0","0","0","2","0","2","6","10","4","6","4","3","37"
"INDIA YAMAHA MOTOR PVT LTD","7170","6793","8443","6392","7237","6559","5804","7144","10600","9177","6839","5726","87884"
"INDIAN AUTO RAYONS PVT LTD","0","0","0","0","1","0","0","0","0","0","0","0","1"
"INDIAN MOTORCYCLE COMPANY","0","1","1","0","0","1","0","0","0","0","1","0","4"
"INDIAN MOTORS","0","0","0","0","0","1","0","0","0","0","0","0","1"
"INDO FARM EQUIPMENT LIMITED","0","0","0","0","0","0","0","2","1","0","0","0","3"
"INTERNATIONAL TRACTORS LIMITED","0","0","0","0","1","0","0","1","1","5","7","0","15"
"ISUZU MOTOR INDIA PVT LTD","22","15","13","15","14","15","21","23","19","24","18","14","213"
"ISUZU MOTORS INDIA PVT LTD","1","3","1","1","3","0","2","3","2","2","2","3","23"
"JAGUAR LAND ROVER INDIA LIMITED","2","7","13","3","5","9","11","16","13","13","10","6","108"
"JCB INDIA LIMITED","0","0","1","1","0","1","1","2","1","1","3","3","14"
"JCB INDIA LTD","25","25","27","19","31","36","47","45","30","41","54","61","441"
"JESSOP & COMPANY LTD","0","0","0","1","1","0","0","0","0","1","2","1","6"
"JOHN DEERE INDIA  PVT LTD(TRACTOR DEVISION)","12","8","11","12","11","9","13","13","21","21","21","15","167"
"KAWASAKI HEAVY INDUSTRIES LTD","3","3","1","2","0","0","1","5","1","0","2","2","20"
"KERALA AGRO MACHINERY CORPORATION LTD","0","0","1","1","0","1","1","0","0","0","1","0","5"
"KION INDIA PVT LTD","0","0","1","1","0","0","1","0","0","1","1","1","6"
"KTM MOTORRAD AG","0","1","3","0","0","0","0","0","0","0","0","0","4"
"KUBOTA AGRICULTURAL MACHINERY INDIA PVT.LTD.","0","1","0","5","3","3","0","1","0","0","1","0","14"
"KURUKSHETRA AUTOMOBILES (P) LTD.","0","1","0","0","0","0","0","0","0","0","0","0","1"
"LIUGONG IND PVT LTD","0","0","0","0","0","0","1","0","0","0","0","0","1"
"LIUGONG INDIA PVT. LTD","0","0","0","0","0","1","0","0","0","0","0","0","1"
"LML LIMITED","0","1","0","0","0","0","0","16","8","16","6","0","47"
