"Maker and Month Wise Data for Kerala (2026)"

"Maker","2026-Jan","2026-Feb","2026-Mar","2026-Apr","2026-May","2026-Jun","2026-Jul","2026-Aug","2026-Sep","Total"
"ACTION CONSTRUCTION EQUIPMENT LTD.","8","10","10","13","6","5","10","4","0","66"
"ADISHWAR AUTO RIDE INDIA PVT LTD","0","1","0","0","1","0","0","0","0","2"
"AJAX ENGINEERING LTD","2","3","8","7","3","5","6","3","0","37"
"AMMANN INDIA PVT LTD","1","0","0","1","0","2","0","2","0","6"
"ANCHI MOTORCYCLE (IMPORTER:HINDUSTAN EV MOTORS)","0","0","0","0","0","0","1","0","0","1"
"ASHOK LEYLAND LTD","599","663","592","632","690","604","682","556","119","5137"
"ATHER ENERGY LTD","2362","2156","2948","2812","2565","2931","2656","3275","702","22407"
"ATUL AUTO LTD","314","293","309","223","295","347","345","346","76","2548"
"AUDI AG","0","2","1","1","0","0","1","0","0","5"
"AUTOMOBILI LAMBORGHINI S.P.A","1","0","0","0","0","0","0","0","0","1"
"BAJAJ AUTO LTD","4747","4629","5360","4429","4714","5028","5266","5154","1002","40329"
"BALAN ENGINEERING PVT LTD","0","2","0","0","0","0","0","0","0","2"
"BAXY LTD","28","29","14","24","25","20","19","29","3","191"
"BENLING INDIA ENERGY AND TECHNOLOGY PVT LTD","0","0","1","0","0","0","0","0","0","1"
"BGAUSS AUTO PRIVATE LIMITED","52","29","36","36","33","48","75","52","18","379"
"BMW INDIA PVT LTD","114","65","69","86","62","73","82","62","2","615"
"BULL MACHINES PVT LTD","7","5","5","5","4","7","2","5","0","40"
"BYD INDIA PRIVATE LIMITED","21","20","26","31","49","49","51","16","3","266"
"CASE NEW HOLLAND CONSTRUCTION EQUIPMENT(I) PVT LTD","0","4","5","2","0","3","1","0","0","15"
"CATERPILLAR INDIA PRIVATE LIMITED","2","1","3","0","3","1","1","6","0","17"
"CLASSIC LEGENDS PVT LTD","35","27","50","47","41","51","49","67","12","379"
"CNH INDUSTRIAL (INDIA) PVT LTD","12","4","6","3","7","14","11","6","1","64"
"CONMAT HEAVY INDUSTRIES PVT LTD","0","1","0","0","0","0","0","0","0","1"
"DAIMLER INDIA COMMERCIAL VEHICLES PVT. LTD","192","208","230","181","187","138","171","145","38","1490"
"DOOSAN BOBCAT INDIA PVT LTD","2","4","2","4","2","2","0","1","0","17"
"DSR EV MOBILITY PVT LTD","0","0","1","1","0","1","1","0","0","4"
"DUCATI INDIA PVT LTD","1","2","3","1","2","0","1","0","0","10"
"EICHER POLARIS PVT. LTD.","0","0","1","0","0","0","0","0","0","1"
"ESCORTS KUBOTA LIMITED (AGRI MACHINERY GROUP)","1","2","3","4","2","5","5","0","0","22"
"ESCORTS KUBOTA LIMITED (CONSTRUCTION EQUIPMENT)","3","3","6","3","6","4","4","5","1","35"
"EULER MOTORS PVT LTD","2","3","3","8","5","5","9","7","3","45"
"FIORI CONCRETE MACHINES INDIA PVT LTD","0","0","0","0","0","0","0","1","0","1"
"FORCE MOTORS LIMITED","180","214","213","193","125","184","268","202","28","1607"
"GAURA ELECTRIC VEHICLES PVT LTD","1","1","1","2","1","2","4","1","0","13"
"GODAWARI ELECTRIC MOTORS PVT LTD","4","1","0","0","0","0","0","0","0","5"
"GODREJ & BOYCE MFG. CO. LTD","0","2","1","0","3","0","3","1","0","10"
"GOREEN E-MOBILITY PVT LTD","0","0","0","0","1","0","0","0","0","1"
"GREAVES ELECTRIC MOBILITY LTD","57","46","72","55","54","82","75","59","10","510"
"GROMAX AGRI EQUIPMENT LTD","0","1","1","1","2","1","1","0","0","7"
"HARLEY DAVIDSON (IMPORTER: HERO MOTOCORP)","1","0","1","0","1","0","1","0","0","4"
"HERO ELECTRIC VEHICLES PVT. LTD","4","0","0","0","0","0","0","0","0","4"
"HERO MOTOCORP LTD","5712","5234","6034","5181","5517","5885","5813","7264","1524","48164"
"HINDUSTAN MOTORS LTD","0","0","0","0","0","1","0","0","0","1"
"HONDA CARS INDIA LTD","436","374","376","405","352","393","465","370","65","3236"
"HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD","15804","14198","14689","13726","14617","15351","15237","17577","4183","125382"
"HYUNDAI MOTOR INDIA LTD","2160","1665","1684","1777","1844","1860","1795","1653","285","14723"
"INDIA KAWASAKI MOTORS PVT LTD","52","37","27","25","16","31","45","26","2","261"
"INDIA YAMAHA MOTOR PVT LTD","4089","4539","4549","4220","4648","4982","4930","5640","1231","38828"
"INDO FARM EQUIPMENT LIMITED","1","0","2","1","2","1","0","0","0","7"
"INTERNATIONAL TRACTORS LIMITED","0","0","0","4","2","0","2","0","0","8"
"ISUZU MOTORS INDIA PVT LTD","11","14","38","14","14","13","12","10","6","132"
"JAGUAR LAND ROVER INDIA LIMITED","23","16","30","29","27","26","23","18","1","193"
"JAIN POWER CORP","0","0","0","0","0","0","0","0","1","1"
"JBM AUTO LIMITED","0","1","0","0","0","0","0","0","0","1"
"JCB INDIA LIMITED","34","34","34","25","26","33","39","20","2","247"
"JIANGSU XINRI (IMPORTER: ECO FUEL SYSTEMS LTD)","0","1","0","0","0","0","0","0","0","1"
"JOHN DEERE INDIA  PVT LTD(TRACTOR DEVISION)","17","19","24","22","20","50","30","27","2","211"
"JSW MG MOTOR INDIA PVT LTD","405","380","405","411","432","459","448","281","33","3254"
"JUNENG MOTORCYCLE (IMPORTER: JHEV MOTORS PVT LTD)","1","2","1","2","0","0","1","0","0","7"
"JUPITER ELECTRIC MOBILITY PVT LTD","0","0","1","1","2","0","0","1","0","5"
"JVK MOTORS PVT LTD","0","1","0","0","0","2","0","0","0","3"
"KAINING (HONGKONG) (IMPORTER: VOLTA EV PVT LTD)","1","2","0","0","0","0","0","0","0","3"
"KERALA AUTOMOBILES LIMITED","0","0","0","1","0","0","0","0","0","1"
"KIA INDIA PRIVATE LIMITED","1287","1170","1189","1242","1348","1330","1241","1158","142","10107"
"KINETIC GREEN ENERGY & POWER SOLUTIONS LTD","1","1","0","1","0","0","0","0","0","3"
"KION INDIA PVT LTD","0","0","0","0","1","1","0","0","0","2"
"KLB KOMAKI PVT LTD","8","18","8","19","15","17","12","9","1","107"
"LIUGONG INDIA PVT. LTD","0","0","0","0","0","0","1","0","0","1"
"M/S SCHWING STETTER (INDIA) PRIVATE LIMITED","0","1","5","0","2","3","3","1","0","15"
"MAHINDRA & MAHINDRA LIMITED","2570","2117","2269","2308","2218","2542","2815","1898","267","19004"
"MAHINDRA & MAHINDRA LIMITED (SWARAJ DIVISION)","2","5","6","7","5","3","10","5","0","43"
"MAHINDRA & MAHINDRA LIMITED (TRACTOR)","18","19","22","7","15","23","20","19","1","144"
"MAHINDRA ELECTRIC AUTOMOBILE LTD","268","199","245","349","352","422","395","270","17","2517"
"MAHINDRA LAST MILE MOBILITY LTD","416","357","549","490","519","586","724","646","126","4413"
"MANITOU EQUIPMENT INDIA PVT LTD","0","2","0","0","0","0","2","0","1","5"
"MARUTI SUZUKI INDIA LTD","14034","9050","11119","10039","11888","13082","12305","14080","2706","98303"
"MARUTI UDYOG LTD","0","0","0","0","2","5","1","3","1","12"
"MATTER MOTOR WORKS PVT LTD","0","1","0","0","0","0","0","0","0","1"
"MERCEDES -BENZ AG","6","6","5","4","6","9","9","1","0","46"
"MERCEDES-BENZ INDIA PVT LTD","62","47","35","45","57","40","48","26","2","362"
"MLR AUTO LTD","151","121","153","95","122","185","205","176","58","1266"
