"Maker and Month Wise Data for Ladakh (2021)"

"Maker","2021-Jan","2021-Feb","2021-Mar","2021-Apr","2021-May","2021-Jun","2021-Jul","2021-Aug","2021-Sep","2021-Oct","2021-Nov","2021-Dec","Total"
"ASHOK LEYLAND LTD","0","0","0","1","0","0","5","3","0","4","10","5","28"
"BAJAJ AUTO LTD","0","0","0","0","1","0","2","0","1","0","0","0","4"
"BMW INDIA PVT LTD","0","0","0","0","0","0","0","1","1","0","0","0","2"
"CLASSIC LEGENDS PVT LTD","0","0","0","0","0","0","0","1","0","0","0","0","1"
"CNH INDUSTRIAL (INDIA) PVT LTD","0","0","0","0","0","0","0","0","0","2","0","0","2"
"DAIMLER INDIA COMMERCIAL VEHICLES PVT. LTD","0","0","0","0","0","0","0","0","0","0","0","18","18"
"FORCE MOTORS LIMITED","2","0","0","0","0","2","1","1","4","0","0","0","10"
"FORD INDIA PVT LTD","3","1","0","0","0","1","1","1","3","2","0","0","12"
"HERO ELECTRIC VEHICLES PVT. LTD","0","0","0","0","0","0","0","0","0","6","0","0","6"
"HERO MOTOCORP LTD","0","0","0","0","1","0","0","0","0","0","0","1","2"
"HONDA CARS INDIA LTD","0","0","0","0","0","0","0","0","1","0","0","0","1"
"HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD","4","3","1","0","5","1","15","16","19","9","15","11","99"
"HYUNDAI MOTOR INDIA LTD","28","11","21","9","26","39","144","85","99","58","77","26","623"
"INDIA KAWASAKI MOTORS PVT LTD","0","1","0","0","0","0","0","0","0","0","0","0","1"
"INDIA YAMAHA MOTOR PVT LTD","0","0","0","0","0","0","4","0","0","0","3","0","7"
"INTERNATIONAL TRACTORS LIMITED","0","0","0","0","0","0","3","1","2","1","0","0","7"
"ISUZU MOTORS INDIA PVT LTD","0","1","0","0","2","1","2","0","1","0","1","2","10"
"JAGUAR LAND ROVER INDIA LIMITED","0","0","0","0","0","0","1","0","0","0","0","0","1"
"JCB INDIA LIMITED","0","0","0","0","1","1","0","0","0","0","0","0","2"
"JSW MG MOTOR INDIA PVT LTD","0","0","0","0","0","0","1","0","0","0","1","0","2"
"KIA INDIA PRIVATE LIMITED","9","7","2","1","3","6","13","6","4","6","4","4","65"
"MAHINDRA & MAHINDRA LIMITED","118","23","39","9","15","26","106","144","135","87","52","51","805"
"MAHINDRA & MAHINDRA LIMITED (TRACTOR)","0","0","0","0","0","0","2","2","1","0","0","0","5"
"MARUTI SUZUKI INDIA LTD","167","60","22","6","30","70","332","281","250","157","174","106","1655"
"NISSAN MOTOR INDIA PVT LTD","2","0","2","0","2","0","2","0","2","2","5","1","18"
"PIAGGIO VEHICLES PVT LTD","0","1","0","0","0","1","0","0","0","0","0","0","2"
"RENAULT INDIA PVT LTD","1","1","0","0","2","0","5","0","2","3","1","1","16"
"ROYAL-ENFIELD (UNIT OF EICHER LTD)","8","7","3","0","4","1","16","5","3","1","1","1","50"
"SML MAHINDRA LTD","1","5","4","3","0","1","14","7","4","1","6","4","50"
"STELLANTIS INDIA PVT LTD","1","0","1","0","1","0","1","0","0","2","0","0","6"
"SUZUKI MOTORCYCLE INDIA PVT LTD","2","19","0","2","2","0","11","7","2","2","9","2","58"
"TAFE LIMITED","0","0","0","0","0","0","0","1","0","0","0","0","1"
"TATA MOTORS LTD","3","6","2","1","9","1","20","18","11","14","21","12","118"
"TOYOTA KIRLOSKAR MOTOR PVT LTD","0","0","5","1","0","5","7","25","3","5","14","5","70"
"TVS MOTOR COMPANY LTD","1","0","0","1","0","0","4","0","0","0","0","0","6"
"VOLKSWAGEN INDIA PVT LTD","0","0","0","0","1","0","0","0","0","0","0","0","1"
