"Maker and Month Wise Data for Ladakh (2026)"

"Maker","2026-Jan","2026-Feb","2026-Mar","2026-Apr","2026-May","2026-Jun","2026-Jul","2026-Aug","2026-Sep","Total"
"ACTION CONSTRUCTION EQUIPMENT LTD.","0","0","0","0","0","0","0","1","0","1"
"AJAX ENGINEERING LTD","0","0","0","0","0","0","1","0","0","1"
"ASHOK LEYLAND LTD","0","1","0","3","4","3","4","6","2","23"
"BAJAJ AUTO LTD","0","0","0","0","0","2","16","2","0","20"
"BYD INDIA PRIVATE LIMITED","1","0","0","0","0","0","0","0","0","1"
"CLASSIC LEGENDS PVT LTD","2","0","0","0","2","0","0","1","0","5"
"CNH INDUSTRIAL (INDIA) PVT LTD","0","0","0","0","1","3","1","0","0","5"
"DAIMLER INDIA COMMERCIAL VEHICLES PVT. LTD","0","0","0","0","1","1","1","1","0","4"
"EICHER TRACTORS","0","0","0","0","1","8","0","0","0","9"
"ESCORTS KUBOTA LIMITED (AGRI MACHINERY GROUP)","1","0","0","0","0","0","0","0","0","1"
"ESCORTS KUBOTA LIMITED (CONSTRUCTION EQUIPMENT)","0","0","1","1","0","0","0","0","0","2"
"FORCE MOTORS LIMITED","0","0","0","1","0","16","1","1","0","19"
"HERO ELECTRIC VEHICLES PVT. LTD","0","0","0","0","0","1","0","0","0","1"
"HERO MOTOCORP LTD","0","6","4","7","19","19","10","7","9","81"
"HONDA CARS INDIA LTD","0","0","1","0","0","0","0","0","0","1"
"HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD","10","20","7","12","17","18","57","31","4","176"
"HYUNDAI MOTOR INDIA LTD","28","9","30","55","53","61","56","61","14","367"
"INDIA YAMAHA MOTOR PVT LTD","0","0","0","0","0","1","0","2","1","4"
"INTERNATIONAL TRACTORS LIMITED","0","0","0","0","4","1","2","0","0","7"
"ISUZU MOTORS INDIA PVT LTD","1","0","0","4","3","1","5","2","0","16"
"JAGUAR LAND ROVER INDIA LIMITED","0","0","0","0","0","0","0","2","0","2"
"JCB INDIA LIMITED","1","2","7","6","4","2","4","4","0","30"
"JOHN DEERE INDIA  PVT LTD(TRACTOR DEVISION)","6","0","1","0","1","9","0","0","0","17"
"JSW MG MOTOR INDIA PVT LTD","0","0","0","0","0","0","1","0","0","1"
"KIA INDIA PRIVATE LIMITED","8","3","4","4","4","10","7","2","1","43"
"MAHINDRA & MAHINDRA LIMITED","48","52","53","84","104","109","94","92","14","650"
"MAHINDRA & MAHINDRA LIMITED (SWARAJ DIVISION)","0","0","0","0","1","0","0","0","0","1"
"MAHINDRA & MAHINDRA LIMITED (TRACTOR)","0","0","0","0","0","0","0","1","0","1"
"MAHINDRA ELECTRIC AUTOMOBILE LTD","0","0","0","0","0","0","0","1","0","1"
"MAHINDRA LAST MILE MOBILITY LTD","0","0","0","1","0","0","0","0","0","1"
"MARUTI SUZUKI INDIA LTD","143","25","36","217","255","285","199","219","26","1405"
"NISSAN MOTOR INDIA PVT LTD","0","0","0","0","0","1","0","0","0","1"
"PREET TRACTORS PVT LTD","0","0","0","0","3","6","0","0","0","9"
"RENAULT INDIA PVT LTD","0","0","0","0","0","1","0","0","0","1"
"ROYAL-ENFIELD (UNIT OF EICHER LTD)","1","1","0","12","56","57","69","23","1","220"
"SKODA AUTO VOLKSWAGEN INDIA PVT LTD","1","0","0","0","0","1","1","2","0","5"
"SML MAHINDRA LTD","8","3","0","5","6","12","13","9","1","57"
"STELLANTIS INDIA PVT LTD","0","0","0","0","0","0","0","2","0","2"
"SUZUKI MOTORCYCLE INDIA PVT LTD","0","2","1","1","55","36","30","13","5","143"
"TAFE LIMITED","0","0","0","0","0","0","0","0","2","2"
"TATA MOTORS LTD","4","3","2","8","9","9","14","21","5","75"
"TATA MOTORS PASSENGER VEHICLES LTD","19","11","10","20","19","17","31","21","3","151"
"TATA PASSENGER ELECTRIC MOBILITY LTD","0","0","0","1","0","0","0","0","0","1"
"TEREX INDIA PRIVATE LIMITED","0","0","0","0","0","0","1","0","0","1"
"TOYOTA KIRLOSKAR MOTOR PVT LTD","14","9","11","19","33","22","14","16","6","144"
"TRIUMPH MOTORCYCLES (INDIA) PVT LTD","2","0","0","0","0","0","0","0","0","2"
"TVS MOTOR COMPANY LTD","3","5","2","5","8","10","5","17","1","56"
"VE COMMERCIAL VEHICLES LTD","0","0","0","0","1","1","0","0","0","2"
