"Maker and Month Wise Data for Lakshadweep (2021)"

"Maker","2021-Jan","2021-Feb","2021-Mar","2021-Apr","2021-May","2021-Jun","2021-Jul","2021-Aug","2021-Sep","2021-Oct","2021-Nov","2021-Dec","Total"
"ACTION CONSTRUCTION EQUIPMENT LTD.","0","0","0","0","0","0","0","0","0","1","0","0","1"
"ASHOK LEYLAND LTD","1","0","0","0","0","0","0","0","0","1","1","0","3"
"BAJAJ AUTO LTD","5","2","9","10","2","0","5","2","2","1","5","6","49"
"BMW INDIA PVT LTD","0","1","0","0","0","0","0","0","0","0","0","0","1"
"BSA MOTORS","5","13","8","2","1","12","7","2","1","7","14","6","78"
"ESCORTS AUTOMOTIVE LTD","0","1","0","0","0","0","0","0","0","0","0","0","1"
"ESCORTS CONSTRUCTION EQUIPMENT LTD","0","0","0","0","0","1","0","0","0","0","0","2","3"
"FORD INDIA PVT LTD","0","0","0","0","0","0","1","0","0","0","0","0","1"
"GODREJ AND BOYCE MFG CO LTD","1","2","2","2","1","0","4","0","0","1","0","3","16"
"HERO HONDA MOTORS  LTD","6","4","8","1","3","10","4","1","5","2","6","4","54"
"HERO MOTOCORP LTD","19","17","31","16","10","10","12","5","14","12","14","9","169"
"HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD","27","26","50","30","16","13","19","8","4","7","19","24","243"
"HYUNDAI MOTOR INDIA LTD","0","1","1","0","0","0","0","0","0","0","0","0","2"
"INDIA YAMAHA MOTOR PVT LTD","3","3","7","3","0","0","3","0","0","0","4","3","26"
"INDUS ELECTROTHERM INDIA LTD","4","2","11","6","1","1","1","1","1","1","4","6","39"
"MAHINDRA & MAHINDRA LIMITED","4","2","6","5","1","4","3","1","0","1","4","5","36"
"MAHINDRA & MAHINDRA LIMITED (TRACTOR)","0","0","0","1","0","0","0","0","0","0","0","0","1"
"MAHINDRA ELECTRIC MOBILITY LIMITED","2","1","0","0","0","2","0","0","1","0","0","0","6"
"MAHINDRA NISSAN ALLWYN LTD.","0","0","0","0","0","0","0","0","0","1","1","0","2"
"MARUTI SUZUKI INDIA LTD","16","12","23","21","12","8","8","9","4","10","16","21","160"
"NISSAN MOTOR INDIA PVT LTD","0","0","0","0","1","0","0","0","0","0","0","0","1"
"OTHERS","0","0","0","0","1","0","0","0","0","0","1","0","2"
"PIAGGIO VEHICLES PVT LTD","7","2","4","7","3","0","3","4","0","1","3","4","38"
"ROYAL-ENFIELD (UNIT OF EICHER LTD)","12","13","26","13","8","12","14","5","4","11","19","18","155"
"SUZUKI MOTORCYCLE INDIA PVT LTD","1","1","0","0","0","0","0","0","1","0","0","0","3"
"TATA MOTORS LTD","0","1","2","0","1","2","2","0","0","0","4","1","13"
"TVS MOTOR COMPANY LTD","13","8","21","16","3","0","5","1","5","7","5","11","95"
"ULTRA MOTORS INDIA PVT LTD","0","0","0","0","0","0","0","0","0","0","2","0","2"
"UNIVERSAL LTD","0","0","0","0","0","0","0","0","1","0","0","0","1"
