"Maker and Month Wise Data for Maharashtra (2021)"

"Maker","2021-Jan","2021-Feb","2021-Mar","2021-Apr","2021-May","2021-Jun","2021-Jul","2021-Aug","2021-Sep","2021-Oct","2021-Nov","2021-Dec","Total"
"3EV INDUSTRIES PVT LTD","0","1","0","0","0","0","0","0","0","0","0","0","1"
"3S INDUSTRIES PRIVATE LIMITED","0","1","0","0","0","0","0","0","0","0","1","0","2"
"A K AUTTO ELECTRICAL","0","0","2","0","0","0","0","0","0","0","0","0","2"
"AARYA AUTOMOBILES","0","0","0","0","0","0","0","0","0","0","1","0","1"
"ACTION CONSTRUCTION EQUIPMENT LTD.","67","65","88","22","32","76","74","59","48","62","48","51","692"
"ADISHAKTI TRACTORS","0","0","0","0","1","0","0","0","0","0","0","0","1"
"ADISHWAR AUTO RIDE INDIA PVT LTD","24","25","35","19","3","19","16","30","31","41","53","36","332"
"ADRIS ELECTRIC PVT LTD","0","0","0","0","0","0","0","2","1","6","0","5","14"
"AGRASEN ENGINEERING WORKS","0","0","0","0","0","0","0","0","0","2","0","0","2"
"AGRI KING TRACTORS & EQUIPMENTS PVT LTD","1","0","0","0","0","0","4","1","1","2","0","0","9"
"AGRO INDUSTRIES","0","89","107","8","1","50","62","95","36","10","4","1","463"
"AHITESHAM AGRO ENGINEERING","1","2","0","0","0","0","0","0","0","0","0","0","3"
"AJANTA KRUSHI YANTRA","20","9","2","0","1","1","23","2","1","24","0","1","84"
"AJAX ENGINEERING LTD","28","17","25","12","3","20","33","38","65","38","17","9","305"
"AJAX FIORI ENGINEERING PVT LTD","0","0","1","0","0","0","0","0","0","0","0","0","1"
"AJAY ENGINEERING AND AGRICULTURAL EQUIPMENT CO.","6","3","0","0","0","1","1","1","5","2","1","0","20"
"AKASH AGRO INDUSTRIES","0","2","0","0","0","0","0","0","1","0","0","0","3"
"AKASH TRAILOR","0","11","4","0","0","0","1","5","4","6","3","2","36"
"AKSHAY INDUSTRIES","0","0","0","0","0","0","0","0","0","0","0","1","1"
"ALL TERRAIN CRANE","2","0","18","10","6","2","18","16","11","23","9","18","133"
"ALPHA SERVICES","0","0","0","0","0","0","0","1","1","1","0","0","3"
"ALTIGREEN PROPULSION LABS PVT LTD","0","0","0","0","0","0","0","0","5","5","13","0","23"
"ALTIUS TECHNOLOGIES","0","0","0","0","0","0","0","0","3","0","1","0","4"
"AMBICA INDUSTRIES","0","1","0","0","0","0","0","0","0","0","0","0","1"
"AMBIKA INDUSTRIES","0","1","0","0","0","0","0","0","0","0","0","0","1"
"AMMANN INDIA PVT LTD","0","0","0","0","0","0","0","0","1","0","1","0","2"
"AMPERE VEHICLES PRIVATE LIMITED","111","112","153","78","18","101","153","149","188","304","434","530","2331"
"ANKIT RAJ ENGINEERIG WORKS SHOP","0","0","0","0","0","0","0","0","0","2","0","0","2"
"ANUGRAH ENGINEERING","0","6","0","0","0","0","0","0","0","0","0","0","6"
"ANVITA AUTO TECH WORKS PVT LTD","0","0","0","0","0","0","1","0","0","0","0","0","1"
"APOLLO CARMIX EQUIPMENTS PVT LTD","1","0","0","1","0","1","1","2","2","0","0","0","8"
"ARD EXIM","0","0","0","0","0","0","0","0","0","0","1","3","4"
"ASHA METAL INDUSTRIES","0","1","0","0","0","0","0","0","0","0","0","0","1"
"ASHOK LEYLAND LTD","1527","1556","1511","994","606","818","993","1104","1242","1441","1538","1291","14621"
"ASTON MARTIN LAGONDA PVT LTD","0","1","0","0","0","0","0","0","0","0","0","0","1"
"ATHER ENERGY LTD","119","141","194","65","45","92","97","128","396","757","489","714","3237"
"ATOMEX E-MOTORS INDIA PVT LTD","1","0","1","1","0","2","0","0","2","2","2","2","13"
"ATUL AUTO LTD","15","17","12","8","2","6","5","2","9","18","15","14","123"
"AUDI AG","2","8","7","8","4","7","14","17","14","17","14","22","134"
"AUM ENGINEERING AND WORKS","0","0","0","0","0","0","0","0","0","3","2","3","8"
"AUTOMOBILI LAMBORGHINI S.P.A","1","1","0","3","2","2","2","4","3","1","0","0","19"
"AWACHAT INDUSTRIES LTD","113","89","111","36","29","96","103","109","107","282","122","154","1351"
"BAJAJ AUTO LTD","15338","14058","14593","4803","1352","8446","18692","15792","11622","14747","19914","17242","156599"
"BALAJEE ENGINEERING","0","0","0","0","0","0","0","0","0","0","0","1","1"
"BALAJI AGRO INDUSTRIES","6","7","4","0","0","0","4","3","1","5","0","6","36"
"BEML LIMITED","2","1","0","0","0","0","1","0","0","0","0","0","4"
