"Maker and Month Wise Data for Meghalaya (2016)"

"Maker","2016-Jan","2016-Feb","2016-Mar","2016-Apr","2016-May","2016-Jun","2016-Jul","2016-Aug","2016-Sep","2016-Oct","2016-Nov","2016-Dec","Total"
"AMW MOTORS LIMITED","0","0","0","0","1","0","0","0","0","0","0","0","1"
"ASHOK LEYLAND LTD","1","0","30","5","0","2","4","9","14","33","39","14","151"
"ATLAS COPCO INDIA LIMITED","0","0","0","0","0","0","0","0","2","0","0","0","2"
"ATUL AUTO LTD","31","21","33","22","50","27","3","19","7","22","12","31","278"
"AUDI AG","0","0","0","1","1","0","0","0","3","0","0","1","6"
"BAJAJ AUTO LTD","275","370","391","523","422","519","377","438","433","342","239","193","4522"
"BAJAJ TEMPO LIMITED","0","0","0","0","0","0","0","0","0","0","1","0","1"
"BATEI STEEL FABRICATION","0","1","1","0","0","0","0","0","0","1","0","0","3"
"BMW INDIA PVT LTD","1","0","0","0","0","0","1","1","1","0","0","0","4"
"BRITANNIA ENGINEERING LIMITED","0","0","0","0","0","0","0","0","0","0","0","1","1"
"CASE EQUIPMENT PRIVATE LTD","0","0","0","1","0","0","1","0","0","0","0","1","3"
"CASE NEW HOLLAND CONSTRUCTION EQUIPMENT(I) PVT LTD","0","0","0","0","2","3","2","0","0","0","0","0","7"
"CATERPILLAR INDIA PRIVATE LIMITED","0","0","0","0","1","0","0","0","0","1","2","0","4"
"DAIMLER INDIA COMMERCIAL VEHICLES PVT. LTD","0","0","0","0","0","0","1","0","0","0","0","0","1"
"DSK MOTOWHEELS PVT LTD.","1","0","1","1","0","0","3","1","0","0","0","0","7"
"EICHER MOTORS LTD","3","1","1","0","0","0","0","0","0","0","0","1","6"
"EICHER POLARIS PVT. LTD.","0","0","0","0","0","0","1","0","1","0","0","0","2"
"EICHER TRACTORS","0","0","1","0","0","0","0","1","0","0","0","0","2"
"ESCORTS CONSTRUCTION EQUIPMENT LTD","1","1","1","1","0","0","1","3","0","0","0","0","8"
"ESCORTS KUBOTA LIMITED (CONSTRUCTION EQUIPMENT)","0","0","1","0","0","0","0","0","0","0","0","0","1"
"FORCE MOTORS LIMITED","1","3","54","1","0","4","6","11","7","1","2","2","92"
"FORD INDIA PVT LTD","29","15","20","22","18","27","24","28","20","24","19","22","268"
"GENERAL MOTORS INDIA PVT LTD","12","10","8","11","13","8","11","9","10","8","15","4","119"
"H NONGRUM","0","0","1","0","0","1","0","0","0","0","0","1","3"
"H-D MOTOR COMPANY INDIA PVT LTD","0","1","0","1","0","0","0","0","1","0","1","2","6"
"HAMM AG","0","0","0","0","0","1","0","0","0","0","0","0","1"
"HARLEY DAVIDSON (IMPORTER: HERO MOTOCORP)","0","0","1","0","0","0","0","0","0","0","0","0","1"
"HERO HONDA MOTORS  LTD","30","31","21","37","48","46","29","19","28","38","22","21","370"
"HERO MOTOCORP LTD","63","68","86","126","92","78","68","105","98","80","88","89","1041"
"HINDUSTAN MOTOR FINANCE CORPORATION LIMITED","0","0","1","0","0","0","0","0","0","2","0","0","3"
"HONDA CARS INDIA LTD","10","8","7","12","9","7","18","7","10","5","9","9","111"
"HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD","17","27","32","35","26","43","41","39","43","37","37","23","400"
"HYUNDAI MOTOR INDIA LTD","126","71","64","77","74","80","80","95","123","109","106","116","1121"
"INDIA KAWASAKI MOTORS PVT LTD","0","1","0","0","0","0","1","0","0","0","1","0","3"
"INDIA YAMAHA MOTOR PVT LTD","221","248","309","265","277","370","320","356","392","340","329","219","3646"
"INTERNATIONAL TRACTORS LIMITED","0","0","1","0","0","1","0","0","0","0","0","1","3"
"ISUZU MOTORS INDIA PVT LTD","0","0","0","0","0","0","0","1","0","1","1","0","3"
"IZUZU JAPAN","0","0","0","0","0","0","0","0","0","0","1","0","1"
"JAGUAR LAND ROVER INDIA LIMITED","0","1","1","1","0","0","0","0","0","0","0","0","3"
"JCB INDIA LIMITED","3","0","3","1","4","2","0","1","2","3","3","2","24"
"JCB INDIA LTD","3","6","13","9","7","8","4","7","6","2","8","5","78"
"JCBL LIMITED","2","1","0","0","0","0","0","0","1","0","0","0","4"
"KAMAZ VECTRA MOTORS LTD.","0","0","0","0","0","0","0","1","0","0","0","0","1"
"KINETIC MOTOR COMPANY LIMITED","0","0","0","0","0","0","0","0","0","0","0","1","1"
"KION INDIA PVT LTD","0","0","0","0","0","0","0","0","0","0","2","0","2"
"KOMATSU INDIA PRIVATE LIMITED","0","1","1","0","0","0","0","0","0","0","0","0","2"
"KTM MOTORRAD AG","0","0","0","0","0","0","0","3","0","0","0","0","3"
"KYNTIEWLANG STEEL","0","1","0","0","0","1","0","0","0","0","0","0","2"
"L & T CASE EQUIPMENT PVT LTD","0","0","1","0","2","0","0","0","3","1","0","0","7"
"LML LIMITED","3","0","0","0","0","0","0","0","0","0","0","0","3"
"MAHINDRA & MAHINDRA LIMITED","161","154","155","160","148","171","152","186","177","146","176","129","1915"
"MAHINDRA ELECTRIC MOBILITY LIMITED","0","1","0","0","0","0","0","0","0","0","0","0","1"
"MAHINDRA GUJARAT TRACTOR LIMITED","0","0","0","0","0","2","0","0","0","0","0","0","2"
"MAHINDRA TWO WHEELERS LTD","26","21","30","22","25","29","26","23","24","23","18","14","281"
"MARUTI SUZUKI INDIA LTD","726","552","502","412","376","445","440","504","427","483","466","401","5734"
"MARUTI UDYOG LTD","0","0","0","0","0","0","0","0","0","0","1","0","1"
"MERCEDES-BENZ INDIA PVT LTD","1","3","2","0","0","0","0","0","0","1","0","1","8"
"NISSAN MOTOR INDIA PVT LTD","3","2","1","3","9","16","30","38","31","34","37","29","233"
"OTHERS","1","0","1","4","4","8","1","14","7","8","7","3","58"
"PIAGGIO VEHICLES PVT LTD","51","50","69","56","80","78","57","67","74","44","51","52","729"
"PUNJAB TRACTORS LIMITED","0","0","0","0","0","0","0","0","0","0","0","1","1"
"RENAULT INDIA PVT LTD","46","45","33","37","34","22","24","29","30","22","23","28","373"
"ROYAL-ENFIELD (UNIT OF EICHER LTD)","26","26","26","39","34","39","34","33","33","39","29","34","392"
"SKODA AUTO INDIA PVT LTD","0","0","0","0","0","2","0","0","2","0","0","0","4"
"SML MAHINDRA LTD","0","0","1","0","1","0","0","0","0","3","0","0","5"
"STELLANTIS INDIA PVT LTD","0","0","0","1","0","0","1","0","0","0","0","0","2"
"SUNKU AUTO LTD","0","0","0","0","0","0","0","0","2","0","0","0","2"
"SUZUKI MOTORCYCLE INDIA PVT LTD","0","1","0","2","0","0","0","0","1","2","1","0","7"
"TAFE LIMITED","0","0","0","1","0","0","0","0","0","0","0","0","1"
"TATA ADVANCED SYSTEMS LTD","0","0","0","0","0","0","0","0","0","0","0","1","1"
"TATA HITACHI CONSTRUCTION MACHINERY COMP. PVT LTD","0","0","0","1","0","0","1","0","0","0","0","0","2"
"TATA MOTORS LTD","44","59","144","48","61","93","59","97","135","94","107","78","1019"
"TEREX CORPORATION","1","0","1","0","0","0","0","0","0","0","0","0","2"
"TIL LIMITED","0","0","0","0","1","0","0","0","0","0","0","0","1"
"TIL LTD","0","0","0","0","0","0","0","0","0","0","1","0","1"
"TOYOTA KIRLOSKAR MOTOR PVT LTD","7","6","7","8","6","8","6","10","6","10","8","6","88"
"TVS MOTOR COMPANY LTD","25","29","49","48","37","53","30","26","30","28","31","20","406"
"UM LOHIA TWO WHEELERS PVT LTD","0","0","0","0","0","0","0","0","0","0","1","0","1"
"VOLKSWAGEN INDIA PVT LTD","2","3","1","3","0","0","0","2","2","1","0","0","14"
"VOLVO GROUP INDIA PVT LTD","1","0","0","0","4","4","8","0","0","0","1","0","18"
"WIRTGEN INDIA PVT LTD","0","0","0","0","0","1","9","0","0","0","0","0","10"
