"Maker and Month Wise Data for Meghalaya (2026)"

"Maker","2026-Jan","2026-Feb","2026-Mar","2026-Apr","2026-May","2026-Jun","2026-Jul","2026-Aug","2026-Sep","Total"
"ACTION CONSTRUCTION EQUIPMENT LTD.","7","1","3","0","0","3","0","4","0","18"
"AJAX ENGINEERING LTD","3","3","1","0","0","3","0","1","0","11"
"ARROW AUTOMOTIVE","0","0","0","0","0","0","1","0","0","1"
"ASHOK LEYLAND LTD","0","3","12","6","4","0","6","3","0","34"
"ATHER ENERGY LTD","7","2","7","15","2","0","0","0","0","33"
"AUDI AG","1","0","0","0","0","0","0","0","0","1"
"BAJAJ AUTO LTD","259","274","279","410","445","466","248","328","68","2777"
"BAXY LTD","0","0","0","0","0","0","1","0","0","1"
"BMW INDIA PVT LTD","4","0","0","0","3","2","2","2","0","13"
"BULL MACHINES PVT LTD","2","2","3","0","2","3","2","1","0","15"
"BYD INDIA PRIVATE LIMITED","0","0","1","0","0","0","0","0","0","1"
"CASE NEW HOLLAND CONSTRUCTION EQUIPMENT(I) PVT LTD","0","0","0","0","0","1","0","0","0","1"
"CATERPILLAR INDIA PRIVATE LIMITED","0","12","3","1","1","0","1","1","0","19"
"CLASSIC LEGENDS PVT LTD","3","3","2","4","2","6","2","1","0","23"
"CNH INDUSTRIAL (INDIA) PVT LTD","0","0","1","0","0","0","0","0","0","1"
"DAIMLER INDIA COMMERCIAL VEHICLES PVT. LTD","0","0","2","0","0","6","1","0","0","9"
"DOOSAN BOBCAT INDIA PVT LTD","0","0","0","2","0","0","0","0","0","2"
"ESCORTS KUBOTA LIMITED (AGRI MACHINERY GROUP)","1","0","0","0","0","0","0","0","0","1"
"ESCORTS KUBOTA LIMITED (CONSTRUCTION EQUIPMENT)","3","0","3","2","1","2","1","2","0","14"
"FIORI CONCRETE MACHINES INDIA PVT LTD","0","2","2","0","0","1","0","0","0","5"
"FORCE MOTORS LIMITED","0","3","5","2","0","4","6","1","1","22"
"G.K. RICKSHAW LTD","0","1","0","0","0","0","0","0","0","1"
"HERO MOTOCORP LTD","69","84","98","62","106","121","111","103","5","759"
"HONDA CARS INDIA LTD","2","0","1","2","1","1","1","0","1","9"
"HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD","73","40","68","46","56","57","83","70","13","506"
"HYUNDAI MOTOR INDIA LTD","145","90","83","77","90","94","82","95","17","773"
