"Maker and Month Wise Data for Manipur (2024)"

"Maker","2024-Jan","2024-Feb","2024-Mar","2024-Apr","2024-May","2024-Jun","2024-Jul","2024-Aug","2024-Sep","2024-Oct","2024-Nov","2024-Dec","Total"
"ACTION CONSTRUCTION EQUIPMENT LTD.","0","0","0","0","1","0","0","0","2","0","0","0","3"
"ADISHWAR AUTO RIDE INDIA PVT LTD","0","1","0","2","0","0","0","0","0","0","0","0","3"
"AJAX ENGINEERING LTD","0","0","1","0","0","0","0","0","0","0","0","0","1"
"ASHOK LEYLAND LTD","1","7","1","0","0","0","1","1","2","2","1","0","16"
"ATHER ENERGY LTD","0","0","1","0","0","0","0","1","0","0","0","0","2"
"BAJAJ AUTO LTD","50","18","29","20","26","12","31","9","57","38","21","76","387"
"BMW INDIA PVT LTD","0","0","1","0","1","0","0","0","0","0","0","0","2"
"CATERPILLAR INDIA PRIVATE LIMITED","1","0","1","0","0","0","0","0","2","0","0","0","4"
"CLASSIC LEGENDS PVT LTD","17","9","9","18","9","8","12","0","11","10","0","17","120"
"CNH INDUSTRIAL (INDIA) PVT LTD","0","0","0","0","2","0","5","0","0","0","0","0","7"
"DAIMLER INDIA COMMERCIAL VEHICLES PVT. LTD","3","0","0","0","0","0","0","0","0","0","0","0","3"
"ESCORTS KUBOTA LIMITED (CONSTRUCTION EQUIPMENT)","0","0","0","0","1","0","0","0","0","0","1","0","2"
"EXIDE INDUSTRIES LTD","2","1","0","2","2","1","0","1","0","0","0","0","9"
"FORCE MOTORS LIMITED","0","0","0","0","0","1","0","1","0","1","0","0","3"
"GUANGDONG TAYO (IMPORTER: ADISHWAR AUTO)","0","0","0","0","1","0","2","0","0","0","0","0","3"
"H-D MOTOR COMPANY INDIA PVT LTD","0","0","0","0","0","0","0","0","0","0","0","1","1"
"HARLEY DAVIDSON (IMPORTER: HERO MOTOCORP)","0","0","0","0","0","0","2","0","0","0","0","0","2"
"HERO ELECTRIC VEHICLES PVT. LTD","0","0","0","0","2","0","0","0","0","0","0","0","2"
"HERO MOTOCORP LTD","24","22","3","95","72","72","154","136","84","178","89","80","1009"
"HONDA CARS INDIA LTD","13","4","4","4","4","7","4","8","1","8","1","2","60"
"HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD","296","660","568","716","823","863","1060","920","522","848","615","614","8505"
"HOOGHLY MOTORS PVT LTD","1","3","0","2","0","0","0","6","0","0","0","0","12"
"HOTAGE INDIA","2","5","2","0","4","1","10","7","0","3","0","7","41"
"HYUNDAI MOTOR INDIA LTD","11","46","53","57","34","37","57","39","38","70","34","64","540"
