"Maker and Month Wise Data for Madhya Pradesh (2023)"

"Maker","2023-Jan","2023-Feb","2023-Mar","2023-Apr","2023-May","2023-Jun","2023-Jul","2023-Aug","2023-Sep","2023-Oct","2023-Nov","2023-Dec","Total"
"A D AGRO WORKS","1","0","0","0","0","1","0","0","0","0","0","0","2"
"A K GUPTA & CO.","0","0","0","0","0","7","3","2","0","6","8","0","26"
"A P I MOTORS PVT LTD","4","5","5","3","11","16","9","11","8","3","4","10","89"
"A.V.AUTOMOTIVES PVT LTD","4","2","12","5","5","5","5","19","18","11","9","12","107"
"AAHANA COMMERCE PVT LTD","0","0","0","0","0","0","0","0","10","0","1","1","12"
"ACTION CONSTRUCTION EQUIPMENT LTD.","22","29","47","9","30","45","49","28","51","32","37","40","419"
"ADISHWAR AUTO RIDE INDIA PVT LTD","2","0","0","0","0","1","0","0","0","0","0","1","4"
"ADITYA ENTERPRISES","0","0","0","0","0","1","0","0","0","0","0","0","1"
"AGRI KING TRACTORS & EQUIPMENTS PVT LTD","0","0","0","0","0","0","0","1","1","0","0","0","2"
"AJAX ENGINEERING LTD","9","13","43","28","57","42","41","27","42","35","36","41","414"
"AJAX FIORI ENGINEERING PVT LTD","0","0","1","0","0","1","0","0","0","0","0","0","2"
"AJAY MOTORS PRIVATE LIMITED","0","0","0","0","0","2","0","0","1","1","10","0","14"
"ALL TERRAIN CRANE","0","0","1","0","1","0","0","0","0","0","0","0","2"
"ALLFINE INDUSTRIES PVT LTD","41","43","69","23","58","51","78","75","59","51","48","61","657"
"ALPHA SERVICES","0","0","0","0","5","1","0","0","1","0","0","1","8"
"ALTIER ELECTRIC VEHICLES PVT LTD","8","19","30","12","12","32","39","54","27","68","43","22","366"
"ALTIGREEN PROPULSION LABS PVT LTD","0","2","5","1","2","0","6","4","3","2","4","1","30"
"AMARJEET HARVESTER INDUSTRY","0","0","1","0","0","0","0","0","0","0","1","1","3"
"AMMANN INDIA PVT LTD","0","0","0","0","0","1","0","0","0","0","0","1","2"
"AMO MOBILITY SOLUTIONS PVT LTD","35","55","32","7","26","4","6","22","4","1","1","0","193"
"AMPERE VEHICLES PRIVATE LIMITED","223","230","488","266","453","68","102","69","64","31","18","30","2042"
"AMPERE VEHICLES PVT LTD","0","0","8","0","0","0","0","0","0","0","0","0","8"
"ANCHI MOTORCYCLE  (IMPORTER: ECOTRINITY AUTOMOBILE","0","0","0","0","0","0","0","0","1","0","0","1","2"
"APM AUTO SALES","3","5","7","0","11","6","19","9","6","1","46","19","132"
"APOLLO CARMIX EQUIPMENTS PVT LTD","0","0","1","1","0","0","1","0","2","1","1","1","8"
"APOLLO CONSTRUCTION EQUIPMENTS PVT LTD","0","0","1","0","0","0","0","0","0","0","0","0","1"
"APTEC EQUIPMENT PRIVATE LIMITED","0","0","0","0","0","0","1","0","0","0","0","0","1"
"ARCHIT ENTERPRISES","0","0","0","0","0","1","0","0","0","0","0","0","1"
"ARD EXIM","0","1","0","0","0","1","0","0","0","0","0","0","2"
"ARNA ELECTRIC AUTO PVT LTD","0","0","0","2","9","5","3","10","11","6","4","3","53"
"ASHOK LEYLAND LTD","342","420","356","347","337","283","309","328","264","380","433","369","4168"
"ATHER ENERGY LTD","106","64","87","76","122","31","100","115","125","137","223","77","1263"
"ATTOLENT AUTO GROUP PVT LTD","0","0","0","0","0","0","2","1","0","0","2","1","6"
"ATUL AUTO LTD","229","227","323","109","222","146","144","162","200","245","274","229","2510"
"ATUMOBILE PVT LTD","0","0","0","0","0","0","0","0","0","0","1","0","1"
"ATUT SANGAM","38","6","10","0","20","9","19","14","12","22","14","24","188"
"AUDI AG","6","2","2","0","0","2","1","0","1","2","3","1","20"
"AVL ELECTRIC VEHICLES PVT LTD","2","2","7","5","7","6","30","41","36","35","85","34","290"
"AVON CYCLE LTD INDIA","8","4","0","0","0","0","0","0","0","0","0","0","12"
"AVON CYCLES LTD","0","12","9","16","12","11","15","20","2","11","1","2","111"
"AWACHAT INDUSTRIES LTD","0","0","0","0","0","0","2","0","0","0","0","0","2"
"BAJAJ AUTO LTD","12291","11819","16332","8798","17933","13772","12434","12305","12608","16728","36156","15497","186673"
"BATTRE ELECTRIC MOBLITY PVT LTD","5","1","3","12","33","0","2","16","9","1","10","10","102"
"BAXY LTD","0","0","0","0","0","0","0","0","0","12","18","53","83"
"BEML LIMITED","0","0","0","0","0","1","0","0","0","0","0","0","1"
"BENLING INDIA ENERGY AND TECHNOLOGY PVT LTD","33","11","11","8","12","8","4","2","4","4","5","1","103"
"BENTLEY MOTORS LIMITED","1","0","0","0","0","0","0","0","0","0","0","0","1"
"BEST WAY AGENCIES PVT LTD","0","1","28","24","16","29","27","32","37","20","18","14","246"
"BESTWAY AGENCIES PVT LTD","23","20","2","0","0","0","0","0","0","0","0","0","45"
"BGAUSS AUTO PRIVATE LIMITED","0","0","6","5","8","7","16","7","7","8","17","7","88"
"BHAGWAN AGRO INDUSTRIES","0","1","0","0","0","1","0","0","0","0","0","0","2"
"BHAVE ELECTRIC VEHICLES PVT LTD","0","0","2","1","11","2","11","3","15","32","12","9","98"
"BHM AUTOMOTIVES PVT LTD","0","0","1","4","5","5","6","13","11","12","3","2","62"
"BIG BULL TRADER PVT LTD","0","6","2","0","0","0","0","0","0","0","0","0","8"
"BMW INDIA PVT LTD","35","34","24","12","25","18","21","13","26","29","19","16","272"
"BOUNCE ELECTRIC 1 PVT LTD","12","7","3","0","5","0","4","4","5","0","10","0","50"
"BRIGHT AUTOZONE PVT LTD","0","2","0","0","0","0","1","5","6","7","22","21","64"
"BULL MACHINES PVT LTD","0","4","2","0","6","0","3","1","2","2","3","4","27"
"BYD INDIA PRIVATE LIMITED","2","5","0","1","0","3","2","1","0","0","6","1","21"
"CAPTAIN TRACTORS PVT. LTD.","13","10","0","5","8","4","8","13","6","9","2","13","91"
"CASE NEW HOLLAND CONSTRUCTION EQUIPMENT(I) PVT LTD","7","3","3","2","11","11","2","9","6","4","7","6","71"
"CATERPILLAR INDIA PRIVATE LIMITED","14","29","21","9","9","20","2","14","8","29","8","22","185"
"CEEON INDIA","11","5","17","5","13","12","11","12","6","5","11","11","119"
"CHAMPION POLY PLAST","27","28","72","8","53","40","72","51","48","33","28","28","488"
"CHEHAK BATTERIES","0","0","0","0","0","1","0","0","0","0","0","0","1"
"CITYGREEN AUTO & PETRO CHEMICALS (P) LTD","0","1","17","0","3","2","0","1","0","0","6","13","43"
"CLAAS INDIA P LTD","0","2","11","0","1","12","0","0","1","0","0","0","27"
"CLASSIC LEGENDS PVT LTD","146","100","93","54","83","89","77","70","102","99","171","69","1153"
"CNH INDUSTRIAL (INDIA) PVT LTD","501","538","865","171","471","736","536","452","378","379","492","757","6276"
"CONMAT HEAVY INDUSTRIES PVT LTD","0","0","0","0","2","0","0","0","0","0","0","0","2"
"CONTINENTAL ENGINES PVT LTD","115","91","129","45","80","95","139","114","76","94","85","89","1152"
"CRANE KRAFT INDIA PRIVATE LIMITED","0","0","0","0","0","0","0","0","0","0","0","1","1"
"DAIMLER INDIA COMMERCIAL VEHICLES PVT. LTD","9","41","45","24","27","46","5","14","23","35","49","40","358"
"DAKSH INDUSTRY PVT LTD","0","0","0","0","1","7","3","5","3","14","4","4","41"
