"Maker and Month Wise Data for Mizoram (2020)"

"Maker","2020-Jan","2020-Feb","2020-Mar","2020-Apr","2020-May","2020-Jun","2020-Jul","2020-Aug","2020-Sep","2020-Oct","2020-Nov","2020-Dec","Total"
"ACTION CONSTRUCTION EQUIPMENT LTD.","0","0","0","3","0","1","1","0","0","0","0","1","6"
"AJAX ENGINEERING LTD","0","0","2","0","0","0","0","0","0","0","0","6","8"
"ASHOK LEYLAND LTD","13","34","41","0","0","0","10","7","5","11","14","34","169"
"BAJAJ AUTO LTD","50","27","58","7","37","26","89","41","92","80","48","89","644"
"BULL MACHINES PVT LTD","0","0","0","0","0","0","0","0","0","0","1","0","1"
"CASE NEW HOLLAND CONSTRUCTION EQUIPMENT(I) PVT LTD","1","0","3","0","0","1","1","0","0","0","0","0","6"
"CLASSIC LEGENDS PVT LTD","0","1","4","1","0","0","0","0","0","27","40","56","129"
"CNH INDUSTRIAL (INDIA) PVT LTD","0","1","3","0","0","0","0","1","1","0","0","0","6"
"DAIMLER INDIA COMMERCIAL VEHICLES PVT. LTD","6","2","10","0","0","0","0","1","1","0","0","0","20"
"ESCORTS KUBOTA LIMITED (CONSTRUCTION EQUIPMENT)","0","0","0","0","0","0","1","0","0","0","1","0","2"
"FORCE MOTORS LIMITED","0","0","1","0","0","0","0","0","0","0","0","0","1"
"FORD INDIA PVT LTD","2","7","6","0","0","0","2","1","2","4","3","3","30"
"H-D MOTOR COMPANY INDIA PVT LTD","1","2","0","0","0","0","0","0","1","0","1","0","5"
"HERO MOTOCORP LTD","46","64","63","5","7","5","67","33","41","53","31","42","457"
"HONDA CARS INDIA LTD","0","0","0","0","0","0","0","0","0","0","1","0","1"
"HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD","315","193","184","8","86","94","200","209","275","337","200","310","2411"
"HYUNDAI MOTOR INDIA LTD","123","70","61","11","29","45","70","28","63","66","41","71","678"
"INDIA KAWASAKI MOTORS PVT LTD","1","0","2","0","0","0","0","0","0","1","0","0","4"
"INDIA YAMAHA MOTOR PVT LTD","314","282","330","76","251","196","477","286","483","416","503","517","4131"
"ISUZU MOTORS INDIA PVT LTD","2","0","1","0","0","0","0","0","0","0","1","0","4"
"JCB INDIA LIMITED","20","17","21","14","8","6","13","7","12","10","12","16","156"
"KIA INDIA PRIVATE LIMITED","1","1","1","1","0","0","0","0","1","3","2","4","14"
"M/S SCHWING STETTER (INDIA) PRIVATE LIMITED","1","0","0","0","0","0","0","0","0","0","0","1","2"
"MAHINDRA & MAHINDRA LIMITED","227","183","154","7","7","47","71","47","74","141","72","179","1209"
"MAHINDRA & MAHINDRA LIMITED (TRACTOR)","0","2","0","0","1","0","1","0","0","0","0","0","4"
"MANITOU EQUIPMENT INDIA PVT LTD","1","2","1","0","0","1","0","0","1","0","0","0","6"
"MARUTI SUZUKI INDIA LTD","276","199","205","34","140","117","254","134","231","321","188","273","2372"
"MERCEDES-BENZ INDIA PVT LTD","1","0","0","0","0","0","0","0","0","0","0","0","1"
"MOTOROYALE KINETIC PRIVATE LIMITED","0","1","0","0","0","0","0","0","0","0","0","0","1"
"NISSAN MOTOR INDIA PVT LTD","8","10","23","2","0","2","3","3","2","5","7","5","70"
"OKINAWA AUTOTECH PVT LTD","0","0","0","0","0","0","1","0","0","0","0","0","1"
"PIAGGIO VEHICLES PVT LTD","131","78","80","15","31","41","116","51","68","122","73","92","898"
"RENAULT INDIA PVT LTD","24","15","12","6","2","2","7","5","18","9","12","14","126"
"ROYAL-ENFIELD (UNIT OF EICHER LTD)","93","100","88","7","27","35","46","34","43","68","45","84","670"
"SANY HEAVY INDUSTRY INDIA PVT LTD","1","0","0","0","0","0","0","0","0","0","0","0","1"
"SKODA AUTO VOLKSWAGEN INDIA PVT LTD","0","0","0","0","0","0","0","1","0","0","0","0","1"
"SML MAHINDRA LTD","9","6","9","0","0","1","10","10","15","15","16","18","109"
"STELLANTIS INDIA PVT LTD","0","1","1","0","0","0","0","0","0","0","0","0","2"
"SUZUKI MOTORCYCLE INDIA PVT LTD","738","768","486","73","444","238","334","216","322","689","608","892","5808"
"TATA HITACHI CONSTRUCTION MACHINERY COMP. PVT LTD","0","1","0","0","0","0","0","0","1","1","0","0","3"
"TATA MOTORS LTD","106","139","238","9","4","5","31","27","71","101","73","142","946"
"TOYOTA KIRLOSKAR MOTOR PVT LTD","0","0","0","0","0","0","0","2","0","2","1","1","6"
"TRIUMPH MOTORCYCLES (INDIA) PVT LTD","0","1","0","0","0","0","0","0","0","0","0","0","1"
"TVS MOTOR COMPANY LTD","287","254","200","41","106","141","134","184","173","214","139","305","2178"
"VE COMMERCIAL VEHICLES LTD","1","0","0","0","0","0","0","0","0","2","0","0","3"
