"Maker and Month Wise Data for Mizoram (2026)"

"Maker","2026-Jan","2026-Feb","2026-Mar","2026-Apr","2026-May","2026-Jun","2026-Jul","2026-Aug","2026-Sep","Total"
"ACTION CONSTRUCTION EQUIPMENT LTD.","0","0","0","0","0","0","2","1","0","3"
"AJAX ENGINEERING LTD","0","3","0","0","0","4","2","0","0","9"
"ASHOK LEYLAND LTD","22","15","13","24","10","15","4","7","0","110"
"ATHER ENERGY LTD","50","59","90","65","60","92","82","77","4","579"
"BAJAJ AUTO LTD","136","69","101","72","107","89","147","76","16","813"
"BMW INDIA PVT LTD","0","1","0","0","0","0","0","0","0","1"
"CASE NEW HOLLAND CONSTRUCTION EQUIPMENT(I) PVT LTD","0","1","0","0","0","0","0","0","0","1"
"CATERPILLAR INDIA PRIVATE LIMITED","0","0","0","1","0","0","1","0","0","2"
"CLASSIC LEGENDS PVT LTD","0","0","0","0","0","1","0","0","0","1"
"CNH INDUSTRIAL (INDIA) PVT LTD","1","0","0","0","0","1","0","0","0","2"
"DAIMLER INDIA COMMERCIAL VEHICLES PVT. LTD","3","5","6","7","2","4","2","3","0","32"
"FIORI CONCRETE MACHINES INDIA PVT LTD","1","0","0","0","0","0","0","0","0","1"
"FORCE MOTORS LIMITED","2","0","2","3","1","0","0","2","0","10"
"HERO MOTOCORP LTD","188","135","205","194","204","181","297","190","31","1625"
"HONDA CARS INDIA LTD","1","0","1","0","0","0","0","0","0","2"
"HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD","143","103","144","135","127","117","123","120","16","1028"
"HYUNDAI MOTOR INDIA LTD","49","28","36","36","42","44","46","38","11","330"
"INDIA KAWASAKI MOTORS PVT LTD","0","1","0","0","0","0","2","1","0","4"
"INDIA YAMAHA MOTOR PVT LTD","314","271","233","373","179","362","484","337","97","2650"
"ISUZU MOTORS INDIA PVT LTD","1","0","0","0","1","1","0","0","0","3"
"JCB INDIA LIMITED","9","7","11","6","5","3","6","3","2","52"
"JSW MG MOTOR INDIA PVT LTD","0","1","0","0","0","0","0","1","0","2"
"KIA INDIA PRIVATE LIMITED","17","4","7","6","11","8","9","8","1","71"
"KSR SOLUTION (IMPORTER: KAWVELOCE MOTORS PVT LTD)","0","0","1","2","0","0","0","0","0","3"
"M/S SCHWING STETTER (INDIA) PRIVATE LIMITED","0","0","0","2","0","1","0","0","0","3"
"MAHINDRA & MAHINDRA LIMITED","226","185","236","160","281","189","237","172","25","1711"
"MAHINDRA & MAHINDRA LIMITED (TRACTOR)","0","0","6","1","1","0","0","0","0","8"
"MAHINDRA ELECTRIC AUTOMOBILE LTD","0","1","1","2","1","3","0","0","0","8"
"MAHINDRA LAST MILE MOBILITY LTD","0","0","1","0","0","0","0","0","0","1"
"MARUTI SUZUKI INDIA LTD","290","197","262","197","255","236","221","219","10","1887"
"MARUTI UDYOG LTD","0","0","1","1","0","1","0","0","0","3"
"NISSAN MOTOR INDIA PVT LTD","0","1","1","0","1","0","1","0","0","4"
"OLA ELECTRIC TECHNOLOGIES PVT LTD","0","0","0","0","1","0","0","0","0","1"
"PAI MACHINES PVT LTD","0","0","0","0","2","0","0","0","0","2"
"PIAGGIO VEHICLES PVT LTD","10","4","3","9","4","4","14","6","0","54"
"RENAULT INDIA PVT LTD","0","0","0","0","1","1","2","1","0","5"
"ROYAL-ENFIELD (UNIT OF EICHER LTD)","124","56","68","98","87","93","85","78","29","718"
"SIMPLEENERGY PVT LTD","0","0","0","0","0","0","0","0","1","1"
"SKODA AUTO VOLKSWAGEN INDIA PVT LTD","0","0","0","0","0","0","1","0","0","1"
"SML MAHINDRA LTD","6","3","30","4","5","4","8","7","2","69"
"SUZUKI MOTORCYCLE INDIA PVT LTD","945","821","1042","897","1088","1051","1060","960","84","7948"
"TATA ADVANCED SYSTEMS LTD","0","0","0","3","5","0","18","0","0","26"
"TATA MOTORS LTD","59","68","84","57","47","74","107","85","3","584"
"TATA MOTORS PASSENGER VEHICLES LTD","32","24","49","24","35","45","56","41","3","309"
"TOYOTA KIRLOSKAR MOTOR PVT LTD","16","9","8","10","15","8","16","16","1","99"
"TRIUMPH MOTORCYCLES (INDIA) PVT LTD","1","0","0","2","2","1","3","2","0","11"
"TVS MOTOR COMPANY LTD","535","365","431","421","391","426","421","389","52","3431"
"ULTRAVIOLETTE AUTOMOTIVE PVT LTD","0","0","0","0","0","3","4","1","0","8"
"VE COMMERCIAL VEHICLES LTD","7","11","7","4","11","6","12","6","0","64"
"VELOCIFERO (IMPORTER: KAWVELOCE MOTORS PVT LTD)","39","29","30","5","38","36","25","11","0","213"
"WIRTGEN INDIA PVT LTD","1","4","0","0","0","0","4","0","0","9"
"ZHEJIANG CHANGLING (IMPORTER: ADISHWAR AUTO)","0","0","1","0","0","0","0","0","0","1"
"ZHEJIANG QIANJIANG (IMPORTER: ADISHWAR AUTO)","0","0","1","0","0","0","0","0","0","1"
