"Maker and Month Wise Data for Odisha (2020)"

"Maker","2020-Jan","2020-Feb","2020-Mar","2020-Apr","2020-May","2020-Jun","2020-Jul","2020-Aug","2020-Sep","2020-Oct","2020-Nov","2020-Dec","Total"
"A P I MOTORS PVT LTD","0","0","7","0","0","0","0","0","0","0","0","0","7"
"A.S.R BODY WORKS","1","0","0","0","0","0","0","0","0","0","0","0","1"
"A1 HEAVY EQUIPMENTS DEVELOPER","1","0","0","0","0","1","0","0","0","0","0","0","2"
"A3T INCORPORTED","2","0","1","0","0","0","0","0","0","0","0","0","3"
"ACTION CONSTRUCTION EQUIPMENT LTD.","19","19","24","1","6","5","12","10","23","5","13","17","154"
"ADISHAKTI TRACTORS","0","0","1","0","0","0","0","0","0","0","0","0","1"
"ADISHWAR AUTO RIDE INDIA PVT LTD","0","1","3","1","0","0","0","0","6","1","0","1","13"
"ADITYA AGRO INDUSTRIES","0","0","0","0","0","0","0","0","1","0","0","0","1"
"AFZAL ENGG WORKS,JUNAGARH","2","2","1","0","0","0","0","0","0","1","0","1","7"
"AGRASEN ENGINEERING WORKS","0","1","0","0","0","0","0","0","0","0","0","0","1"
"AGRI KING TRACTORS & EQUIPMENTS PVT LTD","0","0","1","0","0","1","2","2","0","0","0","0","6"
"AGRO INDUSTRIES","0","0","0","0","0","0","0","0","0","0","0","1","1"
"AJAX ENGINEERING LTD","15","21","23","1","4","6","18","5","4","6","4","8","115"
"AJAY AGRO ENTERPRISES,SBP","9","8","9","0","0","12","10","18","10","4","2","13","95"
"AJAY ENGINEERING AND AGRICULTURAL EQUIPMENT CO.","0","0","1","0","0","1","0","3","1","3","2","1","12"
"ALL TERRAIN CRANE","0","0","1","0","0","0","0","0","0","0","0","0","1"
"AMAN AGRO INDUSTRIES","19","28","24","2","7","5","16","13","10","5","5","7","141"
"AMBIKA ENTERPRISES","0","0","1","0","0","0","0","0","0","0","0","0","1"
"AMMANN INDIA PVT LTD","0","0","5","0","0","0","3","0","1","0","1","2","12"
"AMPERE VEHICLES PRIVATE LIMITED","1","3","2","0","0","3","1","3","16","11","4","16","60"
"AMRIT ENGG WORKS,DKL","2","18","9","1","1","2","6","6","4","4","8","4","65"
"ANNAPURNA AGRO INDUSTRIES","0","1","0","0","0","1","0","0","2","0","0","0","4"
"ANNAPURNA AGRO INTERNATIONAL PVT LTD","0","0","2","0","0","0","0","0","1","0","0","0","3"
"ANUP ENTERPRISES,SNG","0","0","1","0","0","0","0","2","4","0","0","0","7"
"APOLLO CARMIX EQUIPMENTS PVT LTD","2","1","4","0","1","1","1","0","0","1","2","0","13"
"ARATI ENTERPRISES, BHPATNA","4","14","4","0","6","7","3","2","4","6","8","6","64"
"ASHOK LEYLAND LTD","345","463","615","42","5","34","43","103","220","229","265","294","2658"
"ASIS ENG.WORKS, BERHAMPUR","0","0","1","0","0","0","0","0","2","0","0","0","3"
"ASTON MARTIN LAGONDA LTD","0","0","1","0","0","0","0","0","0","0","0","0","1"
"ATHER ENERGY LTD","0","0","0","0","1","0","0","0","0","0","0","0","1"
"ATUL AUTO LTD","222","273","443","31","0","22","62","63","101","120","169","120","1626"
"AUDI AG","7","8","7","0","0","0","0","0","0","0","1","1","24"
"AUTOMOBILI LAMBORGHINI S.P.A","0","0","0","0","0","0","1","0","0","0","0","0","1"
"B N ENG WORKS, BERHAMPUR","1","3","0","0","1","1","0","2","0","1","0","0","9"
"BAJAJ AUTO LTD","4529","4440","5896","344","844","2799","2612","2461","3379","5072","4663","3735","40774"
"BASUDEB ENGINEERING, CUTTACK","9","5","7","0","0","0","0","0","5","2","1","7","36"
"BAUTI ENGINEERING,NAYAGARH","1","2","3","0","1","5","0","0","0","0","0","3","15"
"BEML LIMITED","7","4","5","2","0","0","0","0","0","0","1","2","21"
"BISWESWARIA ENGINEERING INFRASTRUCTURE PVT LTD","1","0","0","0","0","0","0","0","0","0","0","0","1"
"BMW INDIA PVT LTD","19","19","43","0","0","3","1","1","4","17","24","28","159"
"BULL MACHINES PVT LTD","0","5","2","0","2","1","0","1","4","1","0","4","20"
"CART INDIA","0","0","0","0","0","0","0","0","4","3","0","0","7"
"CASE NEW HOLLAND CONSTRUCTION EQUIPMENT(I) PVT LTD","25","18","35","2","4","15","22","12","19","13","9","21","195"
"CATERPILLAR INDIA PRIVATE LIMITED","18","34","22","1","2","14","12","17","19","7","19","19","184"
"CIVIMEC ENGINEERING PVT LTD","0","0","0","0","0","0","0","0","1","1","0","0","2"
"CLASSIC LEGENDS PVT LTD","34","33","164","4","0","0","7","18","63","112","101","74","610"
"CNH INDUSTRIAL (INDIA) PVT LTD","83","58","54","0","34","56","77","106","113","62","64","87","794"
"CUBE AUTO INDUSTRIES BNGLORE","0","1","0","0","0","0","0","0","0","0","0","0","1"
"DAIMLER AG","1","2","0","0","0","1","0","1","0","0","0","0","5"
"DAIMLER INDIA COMMERCIAL VEHICLES PVT. LTD","51","72","130","6","0","1","5","25","30","19","35","57","431"
"DELTA AUTOCORP LTD","2","6","1","0","0","0","0","0","0","0","0","0","9"
"DEMAG DEMAG HC 340","0","0","0","0","0","0","0","0","0","0","1","0","1"
"DEV ENGINEERING WORKS","0","0","2","0","0","0","1","0","0","0","0","1","4"
"DHANALAKSHMI ENGINEERING WORKS","8","10","15","0","1","3","6","2","7","2","4","4","62"
"DHANAVENKAT ENGG.WORKS","1","1","0","0","2","2","5","3","4","2","2","3","25"
"DHANNLAXMI AUTOWORKS","0","3","0","0","0","0","0","0","2","0","0","0","5"
"DIAMOND ENGG,CTC","16","8","11","0","0","8","0","8","7","6","2","1","67"
"DOOSAN BOBCAT INDIA PVT LTD","1","4","5","0","1","1","0","3","5","3","3","2","28"
"DOOSAN INT INDIA PVT LTD","0","0","1","0","0","0","0","0","1","0","0","0","2"
"DUCATI INDIA PVT LTD","0","0","1","0","0","0","0","0","1","0","0","0","2"
"DUCATI MOTOR HOLDING S.P.A","1","0","1","0","0","0","0","0","0","0","0","0","2"
"DURGA AGRO ENGG,BALASORE","10","14","8","0","1","14","3","7","11","2","4","3","77"
"DURGA ENGINEERING WORKS","1","6","3","0","0","4","2","12","5","1","0","7","41"
"DURGA&DURGA ENGG WORKS,BHMPUR","12","11","14","0","6","10","2","9","16","3","1","0","84"
"DWARI ENGG WORKS,SAMBALPUR","3","5","4","0","0","2","6","0","3","0","5","2","30"
"EICHER MOTORS LTD","0","1","0","0","0","0","0","0","0","0","0","0","1"
"EICHER POLARIS PVT. LTD.","1","0","0","2","0","0","0","0","0","0","0","0","3"
"EICHER TRACTORS","106","68","118","2","34","78","96","94","83","86","112","136","1013"
"ELSA CONCRETING MACHINERY INDIA PVT LTD","0","0","1","0","0","0","0","0","0","0","0","0","1"
"ENTICE IMPEX PVT LTD","0","0","0","0","0","0","0","3","8","0","0","0","11"
"EPIROC MINING INDIA LTD","0","1","0","0","0","0","0","0","0","0","0","0","1"
"ESCORTS CONSTRUCTION EQUIPMENT LTD","0","2","0","0","0","0","0","0","0","0","0","0","2"
"ESCORTS KUBOTA LIMITED (AGRI MACHINERY GROUP)","85","58","93","1","6","64","172","84","72","110","84","87","916"
"ESCORTS KUBOTA LIMITED (CONSTRUCTION EQUIPMENT)","15","18","22","3","1","6","12","3","8","9","18","13","128"
"ESSAR ENGINEERING","10","10","13","0","2","12","8","10","14","0","3","6","88"
"ESSAR ENGINEERING MAYURBHANJ BARIPADA","1","0","0","0","0","0","0","0","0","0","0","0","1"
"EVEX AUTO INDIA PVT LTD","2","0","0","0","0","0","0","0","0","0","0","0","2"
"FORCE MOTORS LIMITED","47","77","50","5","0","0","1","4","13","5","95","11","308"
"FORD INDIA PVT LTD","84","77","91","2","13","57","57","71","68","156","129","118","923"
"FRED INDIA PVT LTD","1","2","3","0","0","1","0","0","0","0","0","2","9"
"G.K. RICKSHAW LTD","1","3","2","0","0","1","0","0","0","0","0","1","8"
"GAMZEN INFRASTRUCTURE PVT LTD","0","0","1","0","0","0","0","0","0","0","0","0","1"
"GOBIND INDUSTRIES PVT LTD","1","0","0","0","0","0","0","0","0","0","0","0","1"
"GODREJ & BOYCE MFG. CO. LTD","0","2","3","0","3","0","0","4","1","0","0","1","14"
"GOENKA ELECTRIC MOTOR VEHICLES PVT LTD","1","0","2","0","0","1","0","0","0","0","1","9","14"
"GOPAL AGROTECH","1","1","0","0","0","0","0","1","0","0","0","0","3"
"GOPAL ENGG. WORKS","5","1","4","0","2","3","0","5","1","1","0","0","22"
"GOPAL ENGINEERING, BALASORE","5","5","3","0","1","1","5","1","9","0","0","2","32"
"GOVIND MOTOR GARRAGE","0","0","3","0","0","0","0","0","0","0","0","0","3"
"GREEN VALLEY MOTORS","1","0","0","0","0","0","0","0","0","0","0","0","1"
"GROMAX AGRI EQUIPMENT LTD","7","11","0","0","0","7","6","2","7","7","8","5","60"
