"Maker and Month Wise Data for Punjab (2020)"

"Maker","2020-Jan","2020-Feb","2020-Mar","2020-Apr","2020-May","2020-Jun","2020-Jul","2020-Aug","2020-Sep","2020-Oct","2020-Nov","2020-Dec","Total"
"3S INDUSTRIES PRIVATE LIMITED","0","0","2","0","0","0","0","0","0","0","0","0","2"
"A D AGRO WORKS","3","6","9","0","0","0","1","2","8","2","4","6","41"
"A P I MOTORS PVT LTD","2","3","7","7","0","0","0","0","0","0","0","0","19"
"A.S.R BODY WORKS","0","0","0","0","0","0","0","1","0","0","0","0","1"
"ACTION CONSTRUCTION EQUIPMENT LTD.","4","8","18","4","0","3","11","7","5","7","5","6","78"
"ADISHWAR AUTO RIDE INDIA PVT LTD","0","0","0","1","0","0","0","0","0","1","3","1","6"
"AGNEE IRON WORKS,BARIPADA","1","0","0","0","0","0","0","0","0","0","0","0","1"
"AGRI KING TRACTORS & EQUIPMENTS PVT LTD","1","0","0","0","0","0","3","0","2","0","0","0","6"
"AGRO INDUSTRIES","0","1","0","0","0","0","0","0","0","0","0","0","1"
"AJAX ENGINEERING LTD","0","4","1","0","0","1","0","0","0","0","1","1","8"
"ALLFINE INDUSTRIES PVT LTD","7","3","3","0","0","0","3","2","3","4","2","1","28"
"AMAN AGRO INDUSTRIES","0","0","1","0","0","0","0","0","0","0","0","0","1"
"AMAR COACH BUILDERS","0","1","1","0","0","0","0","0","0","0","0","0","2"
"AMARJEET HARVESTER INDUSTRY","1","0","0","0","0","0","0","0","0","0","0","0","1"
"AMMANN INDIA PVT LTD","0","0","0","0","0","0","0","0","0","0","0","1","1"
"ASHOK LEYLAND DEFENCE SYSTEMS LTD","2","0","0","0","0","0","0","0","0","0","0","0","2"
"ASHOK LEYLAND LTD","156","260","385","31","0","3","2","12","57","75","78","94","1153"
"ATLAS COPCO INDIA LTD","0","0","1","0","0","0","0","0","0","0","0","0","1"
"ATTOLENT AUTO GROUP PVT LTD","0","0","0","0","0","0","0","0","0","0","1","0","1"
"ATUL AUTO LTD","126","184","270","9","0","0","3","4","27","14","24","35","696"
"AUDI AG","9","9","24","4","0","1","0","1","2","0","1","3","54"
"AUTOLITE (INDIA) LIMITED","0","2","4","4","0","6","0","1","7","0","2","0","26"
"AVL ELECTRIC VEHICLES PVT LTD","1","0","0","0","0","0","0","0","0","0","0","0","1"
"AVON CYCLES LTD","0","1","1","0","0","0","5","0","12","5","0","0","24"
"BAJAJ AUTO LTD","9475","9157","18928","215","548","3002","5046","5126","4914","5456","9291","8156","79314"
"BEST WAY AGENCIES PVT LTD","2","0","3","0","0","0","0","0","0","0","0","0","5"
"BHAGWAN AGRO INDUSTRIES","0","1","1","0","0","0","0","1","0","1","0","1","5"
"BHARAT MOTORS","0","0","1","0","0","0","0","0","0","0","0","0","1"
"BHARATH AGRO PRODUCTS","0","1","0","0","0","0","0","0","0","0","0","0","1"
"BHARATH ENGINEERING WORKS","0","1","0","0","0","0","0","0","0","0","0","0","1"
"BISWESWARIA ENGINEERING INFRASTRUCTURE PVT LTD","0","0","0","0","0","0","0","0","0","0","1","0","1"
"BMW INDIA PVT LTD","27","31","65","1","0","2","9","7","12","7","20","23","204"
"BSMS AGRICULTURE WORKSHOP","0","0","0","0","0","0","0","0","0","0","0","1","1"
"BULL MACHINES PVT LTD","0","0","1","0","0","0","0","0","0","0","0","0","1"
"CASE NEW HOLLAND CONSTRUCTION EQUIPMENT(I) PVT LTD","6","0","4","1","0","0","6","2","0","2","1","4","26"
"CATERPILLAR INDIA PRIVATE LIMITED","5","6","7","2","0","0","3","5","6","1","2","1","38"
"CHAMPION POLY PLAST","0","0","0","0","0","0","0","0","1","0","0","5","6"
"CHANNY AGRO INDUSTRIES","0","1","1","0","0","0","0","0","0","0","0","0","2"
"CHARAN AGROTECH","0","1","0","0","0","0","0","0","0","0","0","0","1"
