"Maker and Month Wise Data for Puducherry (2024)"

"Maker","2024-Jan","2024-Feb","2024-Mar","2024-Apr","2024-May","2024-Jun","2024-Jul","2024-Aug","2024-Sep","2024-Oct","2024-Nov","2024-Dec","Total"
"ACTION CONSTRUCTION EQUIPMENT LTD.","0","0","1","0","1","1","1","0","1","0","0","0","5"
"ASHOK LEYLAND LTD","16","28","36","41","29","23","20","18","19","15","10","11","266"
"ASTON MARTIN LAGONDA LTD","0","0","0","0","0","0","2","0","0","0","0","0","2"
"ATHER ENERGY LTD","43","31","59","11","13","22","18","42","52","55","56","32","434"
"ATUL AUTO LTD","0","0","1","1","1","0","1","1","1","0","0","3","9"
"ATUL GREENTECH PRIVATE LIMITED","0","0","0","0","0","0","0","0","0","0","0","1","1"
"AUDI AG","0","2","0","3","1","2","0","0","2","0","0","0","10"
"AUTOMOBILI LAMBORGHINI S.P.A","0","0","0","1","0","1","0","1","0","0","1","1","5"
"BAJAJ AUTO LTD","646","491","517","395","551","421","443","426","402","394","319","273","5278"
"BENLING INDIA ENERGY AND TECHNOLOGY PVT LTD","2","0","0","1","0","0","3","1","0","0","0","0","7"
"BENTLEY MOTORS LIMITED","0","1","0","0","0","0","0","0","0","0","0","0","1"
"BGAUSS AUTO PRIVATE LIMITED","22","25","20","5","6","4","9","1","6","11","20","11","140"
"BMW INDIA PVT LTD","29","22","25","28","30","32","41","29","29","31","22","30","348"
"BOOMA INNOVATIVE TRANSPORT SULUTIONS PVT LTD","0","0","0","0","0","0","0","1","2","0","2","0","5"
"BYD INDIA PRIVATE LIMITED","0","0","0","0","0","1","0","0","0","2","0","1","4"
"CAPTAIN TRACTORS PVT. LTD.","0","1","0","0","0","0","0","0","0","1","0","0","2"
"CHAMPION POLY PLAST","0","0","1","0","1","0","0","0","0","0","0","0","2"
"CLASSIC LEGENDS PVT LTD","22","16","20","18","20","23","21","15","12","14","18","11","210"
"CNH INDUSTRIAL (INDIA) PVT LTD","0","1","0","1","0","1","0","0","0","0","0","2","5"
"DAIMLER INDIA COMMERCIAL VEHICLES PVT. LTD","1","0","6","0","1","1","3","3","0","1","0","2","18"
"DILLI ELECTRIC AUTO PVT LTD","0","1","0","1","0","2","0","0","0","2","0","0","6"
"DOOSAN BOBCAT INDIA PVT LTD","0","0","0","0","0","0","0","0","0","1","0","0","1"
"DSR EV MOBILITY PVT LTD","1","2","2","3","0","4","0","3","1","1","1","0","18"
"DUCATI INDIA PVT LTD","0","0","0","0","1","2","0","2","1","0","0","1","7"
"EICHER TRACTORS","1","0","0","0","0","3","0","1","2","0","1","0","8"
"ESCORTS KUBOTA LIMITED (AGRI MACHINERY GROUP)","0","0","0","1","0","0","0","0","0","0","0","0","1"
"FORCE MOTORS LIMITED","3","8","3","10","8","10","15","13","10","7","5","6","98"
"G.K. RICKSHAW LTD","2","0","0","0","0","0","3","0","1","0","0","0","6"
