"Maker and Month Wise Data for Puducherry (2026)"

"Maker","2026-Jan","2026-Feb","2026-Mar","2026-Apr","2026-May","2026-Jun","2026-Jul","2026-Aug","2026-Sep","Total"
"ACTION CONSTRUCTION EQUIPMENT LTD.","0","0","0","1","0","0","0","0","0","1"
"AJAX ENGINEERING LTD","0","0","1","0","1","0","0","1","0","3"
"ASHOK LEYLAND LTD","22","34","44","24","21","16","24","17","5","207"
"ATHER ENERGY LTD","70","55","118","67","47","85","53","103","1","599"
"ATUL AUTO LTD","6","4","4","3","3","6","6","6","0","38"
"ATUL GREENTECH PRIVATE LIMITED","1","1","0","0","0","0","1","0","0","3"
"AUDI AG","1","0","1","0","1","0","0","0","0","3"
"AUTOMOBILI LAMBORGHINI S.P.A","0","0","1","0","0","1","0","0","0","2"
"BAJAJ AUTO LTD","979","581","751","593","558","685","572","612","109","5440"
"BENLING INDIA ENERGY AND TECHNOLOGY PVT LTD","0","0","0","0","0","1","0","0","0","1"
"BENTLEY MOTORS LTD (SAVWIPL)","0","0","0","0","0","0","1","0","0","1"
"BGAUSS AUTO PRIVATE LIMITED","44","26","55","25","22","28","49","38","0","287"
"BMW INDIA PVT LTD","19","9","20","18","15","16","27","23","4","151"
"BOOMA INNOVATIVE TRANSPORT SULUTIONS PVT LTD","0","1","0","0","0","1","0","0","0","2"
"BULL MACHINES PVT LTD","0","1","0","0","0","0","0","0","1","2"
"BYD INDIA PRIVATE LIMITED","1","0","0","0","0","0","0","0","0","1"
"CLASSIC LEGENDS PVT LTD","21","15","20","9","21","27","33","17","7","170"
"DAIMLER INDIA COMMERCIAL VEHICLES PVT. LTD","0","4","1","6","4","2","5","9","2","33"
"DILLI ELECTRIC AUTO PVT LTD","0","1","1","0","1","0","1","0","0","4"
"DSR EV MOBILITY PVT LTD","1","2","1","1","0","0","1","0","0","6"
"EICHER TRACTORS","1","2","1","0","2","2","0","0","0","8"
"ESCORTS KUBOTA LIMITED (AGRI MACHINERY GROUP)","0","0","1","1","0","0","0","0","2","4"
"ESCORTS KUBOTA LIMITED (CONSTRUCTION EQUIPMENT)","0","1","0","0","0","0","0","0","0","1"
"EULER MOTORS PVT LTD","0","0","0","0","0","0","1","0","0","1"
"FORCE MOTORS LIMITED","12","23","18","19","4","8","14","21","3","122"
"GAURA ELECTRIC VEHICLES PVT LTD","0","0","0","3","1","1","4","6","0","15"
"GREAVES ELECTRIC MOBILITY LTD","14","7","37","20","13","11","21","22","4","149"
"HARLEY DAVIDSON (IMPORTER: HERO MOTOCORP)","0","0","1","0","0","1","0","0","0","2"
"HERO ELECTRIC VEHICLES PVT. LTD","0","0","2","0","0","0","0","0","1","3"
"HERO MOTOCORP LTD","1105","794","916","772","643","758","908","846","132","6874"
"HONDA CARS INDIA LTD","42","31","35","42","33","34","40","38","8","303"
