"Maker and Month Wise Data for Rajasthan (2020)"

"Maker","2020-Jan","2020-Feb","2020-Mar","2020-Apr","2020-May","2020-Jun","2020-Jul","2020-Aug","2020-Sep","2020-Oct","2020-Nov","2020-Dec","Total"
"3S INDUSTRIES PRIVATE LIMITED","7","16","4","0","1","1","6","1","9","6","9","5","65"
"A P I MOTORS PVT LTD","15","25","84","45","0","0","0","0","0","0","0","2","171"
"A.V.AUTOMOTIVES PVT LTD","0","0","0","0","0","0","0","0","5","9","11","7","32"
"A1 HEAVY EQUIPMENTS DEVELOPER","0","1","0","0","0","0","0","0","0","0","0","1","2"
"AADHYA ENTERPRISES","2","0","0","0","0","0","0","0","0","1","1","0","4"
"ACTION CONSTRUCTION EQUIPMENT LTD.","52","75","90","37","4","29","46","48","81","58","39","74","633"
"ADICO ESCORTS AGRI EQUIPMENTS PVT. LTD.","0","0","2","0","0","2","0","1","1","2","1","2","11"
"ADISHWAR AUTO RIDE INDIA PVT LTD","10","3","34","2","0","0","0","5","9","3","6","9","81"
"AGRO INDUSTRIES","1","0","0","0","0","0","0","0","0","0","0","0","1"
"AJAX ENGINEERING LTD","6","16","22","12","1","5","24","7","5","7","4","11","120"
"AJAX FIORI ENGINEERING PVT LTD","0","0","2","0","0","0","0","0","0","0","0","0","2"
"AKASH AGRO INDUSTRIES","1","0","0","0","0","0","1","0","0","0","0","0","2"
"AKASH TRAILOR","0","2","0","0","0","0","0","0","0","0","0","0","2"
"AKSHAR AGRO LNDUSTRIES","0","0","1","0","0","0","0","0","0","0","0","0","1"
"AKSHAY INDUSTRIES","1","0","0","0","0","0","0","0","0","0","0","0","1"
"ALLFINE INDUSTRIES PVT LTD","0","0","0","0","0","0","0","0","0","3","0","3","6"
"AMAN AGRO INDUSTRIES","0","0","0","0","0","0","0","1","1","0","0","0","2"
"AMAN AUTOMOBILES","2","0","3","0","0","0","1","1","3","2","0","10","22"
"AMMANN INDIA PVT LTD","0","1","4","3","0","0","2","0","1","2","0","0","13"
"AMPERE VEHICLES PRIVATE LIMITED","7","3","2","0","0","0","12","0","0","9","0","5","38"
"APOLLO CARMIX EQUIPMENTS PVT LTD","0","0","0","0","0","0","0","0","1","0","0","0","1"
"ARMAN GREEN VEHICLES PVT LTD","0","0","1","0","0","0","2","0","3","0","4","1","11"
"ARNA ELECTRIC AUTO PVT LTD","13","5","4","0","1","1","5","0","4","2","1","8","44"
"ASHOK LEYLAND LTD","371","643","889","224","1","4","35","63","86","152","247","286","3001"
"ATLAS COPCO INDIA LTD","0","0","0","0","0","0","1","0","1","0","0","0","2"
"ATUL AUTO LTD","360","398","1104","506","0","4","17","30","42","53","70","136","2720"
"ATUT SANGAM","2","1","1","0","0","0","3","1","2","1","0","3","14"
"AUDI AG","19","18","17","5","0","0","0","0","0","1","2","2","64"
"AUTOLITE (INDIA) LIMITED","37","28","10","0","3","47","9","13","5","7","7","7","173"
"AVON CYCLES LTD","5","21","5","0","0","0","3","4","12","1","3","13","67"
"AYAAN ELECTRONIC PVT LTD","0","0","1","0","0","0","1","0","0","0","0","0","2"
"BAJAJ AUTO LTD","8925","8964","18987","3973","752","3767","6403","5950","5530","7040","13080","10618","93989"
"BAJAJ TEMPO LIMITED","0","0","1","1","0","0","0","0","0","0","0","0","2"
"BAL GOPAL WHEELS PVT LTD","0","6","0","1","0","0","6","3","1","3","0","1","21"
"BEML LIMITED","0","0","1","0","0","0","0","0","0","0","0","0","1"
"BENLING INDIA ENERGY AND TECHNOLOGY PVT LTD","0","0","0","0","0","0","1","0","0","0","0","0","1"
"BEST WAY AGENCIES PVT LTD","11","27","16","0","0","10","16","12","20","11","23","27","173"
"BESTWAY AGENCIES PVT LTD","0","0","0","0","0","0","0","1","0","0","0","0","1"
"BHARATH ENGINEERING WORKS","1","0","0","0","0","0","0","0","0","0","0","0","1"
