"Maker and Month Wise Data for Sikkim (2019)"

"Maker","2019-Jan","2019-Feb","2019-Mar","2019-Apr","2019-May","2019-Jun","2019-Jul","2019-Aug","2019-Sep","2019-Oct","2019-Nov","2019-Dec","Total"
"ADISHWAR AUTO RIDE INDIA PVT LTD","0","0","0","0","0","0","1","0","0","0","0","0","1"
"AJAX ENGINEERING LTD","0","0","0","0","1","0","0","0","0","0","0","0","1"
"ASHOK LEYLAND LTD","0","5","2","1","0","5","0","0","0","0","1","4","18"
"AUDI AG","0","0","0","1","0","0","0","1","0","0","0","0","2"
"BAJAJ AUTO LTD","37","21","27","34","37","39","41","54","41","33","74","46","484"
"BMW INDIA PVT LTD","1","1","1","0","0","1","1","0","0","0","1","0","6"
"CASE NEW HOLLAND CONSTRUCTION EQUIPMENT(I) PVT LTD","0","1","0","0","3","0","0","0","0","2","0","1","7"
"CATERPILLAR INDIA PRIVATE LIMITED","0","0","0","0","0","2","0","0","0","0","0","0","2"
"CHEVROLET SALES INDIA PVT LTD","0","0","0","0","0","1","0","0","0","0","0","0","1"
"CLASSIC LEGENDS PVT LTD","0","0","0","0","0","0","0","1","1","2","3","4","11"
"DAIMLER INDIA COMMERCIAL VEHICLES PVT. LTD","0","0","5","0","0","0","0","0","0","0","0","0","5"
"DUCATI INDIA PVT LTD","0","0","0","1","0","0","0","0","0","0","0","0","1"
"ESCORTS KUBOTA LIMITED (AGRI MACHINERY GROUP)","0","0","0","0","0","1","0","0","0","0","0","0","1"
"ESCORTS KUBOTA LIMITED (CONSTRUCTION EQUIPMENT)","0","0","0","0","0","0","0","1","0","0","0","0","1"
"FORCE MOTORS LIMITED","1","1","2","0","3","0","2","0","2","1","3","1","16"
"FORD INDIA PVT LTD","10","6","3","8","3","12","9","8","7","4","17","11","98"
"H-D MOTOR COMPANY INDIA PVT LTD","0","0","0","0","0","1","0","1","0","0","0","0","2"
"HERO MOTOCORP LTD","1","0","0","0","1","0","1","2","3","1","5","11","25"
"HONDA CARS INDIA LTD","9","7","5","9","6","4","5","2","9","8","13","5","82"
"HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD","31","31","30","40","39","33","43","35","42","26","44","38","432"
"HYUNDAI MOTOR INDIA LTD","40","51","59","41","46","38","57","45","63","58","113","74","685"
"IDEAL JAWA INDIA PVT LTD","0","0","0","1","0","0","0","0","0","0","0","0","1"
"INDIA KAWASAKI MOTORS PVT LTD","0","0","0","0","0","0","1","0","1","2","0","0","4"
"INDIA YAMAHA MOTOR PVT LTD","64","61","63","69","91","117","125","116","97","80","144","113","1140"
"ISUZU MOTORS INDIA PVT LTD","2","1","2","1","2","0","0","1","0","0","1","0","10"
"JAGUAR LAND ROVER INDIA LIMITED","0","0","0","0","1","1","0","0","0","0","1","0","3"
"JCB INDIA LIMITED","0","2","1","0","0","0","1","0","0","0","1","0","5"
"JSW MG MOTOR INDIA PVT LTD","0","0","0","0","0","0","0","1","0","0","1","0","2"
"KIA INDIA PRIVATE LIMITED","0","0","0","0","0","0","0","0","2","7","12","11","32"
"MAHINDRA & MAHINDRA LIMITED","106","114","125","138","124","128","159","154","166","89","205","133","1641"
"MAHINDRA & MAHINDRA LIMITED (TRACTOR)","0","1","0","0","0","0","0","0","0","0","0","0","1"
"MARUTI INDUSTRIES","0","3","0","1","0","0","0","0","0","0","0","0","4"
"MARUTI SUZUKI INDIA LTD","222","200","206","207","159","175","273","263","321","228","372","210","2836"
"MARUTI UDYOG LTD","0","0","0","1","0","0","1","1","0","0","0","0","3"
"MERCEDES-BENZ INDIA PVT LTD","0","0","0","1","0","0","0","0","0","1","0","0","2"
"NISSAN MOTOR INDIA PVT LTD","0","1","1","0","0","0","0","0","0","0","0","0","2"
"OIL FIELD WAREHOUSE AND SERVICE LIMITED","0","1","0","0","0","0","0","0","0","0","0","0","1"
"PIAGGIO VEHICLES PVT LTD","13","5","9","6","11","42","35","36","29","34","44","37","301"
"POWERLAND AGRO TRACTOR VEHICLES PVT LTD","0","0","0","0","0","0","0","0","0","0","0","1","1"
"RENAULT INDIA PVT LTD","12","8","5","6","7","6","6","10","13","13","23","13","122"
"ROYAL-ENFIELD (UNIT OF EICHER LTD)","67","49","46","67","51","77","67","72","104","63","91","80","834"
"SKODA AUTO INDIA PVT LTD","0","0","1","0","0","0","0","0","0","0","0","0","1"
"SML MAHINDRA LTD","5","0","0","1","2","0","0","10","1","0","3","3","25"
"STELLANTIS INDIA PVT LTD","1","1","0","3","1","0","0","0","0","6","3","0","15"
"SUZUKI MOTORCYCLE INDIA PVT LTD","26","20","44","23","32","34","33","31","71","32","73","118","537"
"TATA HITACHI CONSTRUCTION MACHINERY COMP. PVT LTD","0","0","0","1","0","0","0","0","0","0","0","0","1"
"TATA MOTORS LTD","26","30","22","16","21","39","31","27","40","22","35","17","326"
"TOYOTA KIRLOSKAR MOTOR PVT LTD","49","38","47","28","18","15","17","14","27","18","18","19","308"
"TRIUMPH MOTORCYCLES (INDIA) PVT LTD","0","0","0","1","0","0","1","0","0","1","0","0","3"
