"Maker and Month Wise Data for Telangana (2020)"

"Maker","2020-Jan","2020-Feb","2020-Mar","2020-Apr","2020-May","2020-Jun","2020-Jul","2020-Aug","2020-Sep","2020-Oct","2020-Nov","2020-Dec","Total"
"ACTION CONSTRUCTION EQUIPMENT LTD.","13","17","77","1","0","18","21","15","17","12","16","13","220"
"ADAPT MOTORS PVT LTD","0","0","1","0","0","0","0","0","0","0","0","1","2"
"ADISHWAR AUTO RIDE INDIA PVT LTD","24","51","292","0","0","0","0","9","31","38","43","32","520"
"AFTEK MOTORS INDIA PVT LTD","0","0","2","0","0","0","0","0","0","0","0","0","2"
"AGRO INDUSTRIES","0","1","0","0","0","0","0","0","0","0","0","0","1"
"AJAX FIORI ENGINEERING PVT LTD","6","4","6","0","0","5","7","5","7","6","4","6","56"
"ALL TERRAIN CRANE","0","0","0","0","1","0","0","0","0","0","0","0","1"
"AMAR ENGINEERING WORKS","0","0","0","0","0","0","0","0","0","0","0","4","4"
"AMMANN INDIA PVT LTD","0","1","0","0","0","0","1","1","0","0","0","0","3"
"AMPERE VEHICLES PVT LTD","2","3","4","0","0","1","4","7","8","9","13","7","58"
"ANJANI INDUSTRIES","6","11","5","0","0","1","1","2","7","1","2","0","36"
"APOLLO CARMIX EQUIPMENTS PVT LTD","0","1","0","0","0","0","0","0","0","0","1","0","2"
"APOLLO CONSTRUCTION EQUIPMENTS PVT LTD","0","0","0","0","0","0","1","0","0","0","0","0","1"
"ASHOK LEYLAND LTD","1122","1369","1474","16","3","182","218","338","616","586","673","802","7399"
"ASTON MARTIN","0","0","0","0","0","0","0","0","0","0","1","0","1"
"ATHER ENERGY LTD","0","0","0","0","0","0","0","0","0","0","0","38","38"
"ATUL AUTO LTD","14","14","28","0","0","0","0","0","0","2","0","0","58"
"AUDI AG","30","28","81","0","1","0","1","2","5","5","6","12","171"
"AUTOMOBILI LAMBORGHINI S.P.A","1","0","2","0","0","0","0","0","0","0","1","0","4"
"BAJAJ AUTO LTD","11171","13414","34883","1","1339","5743","7722","7061","9659","7036","10892","10506","119427"
"BALAJI AGRO INDUSTRIES","1","0","6","0","0","3","7","2","16","12","32","39","118"
"BALAJI ENGG WORKS","5","1","1","0","1","0","4","2","2","4","3","3","26"
"BALAJI INDUSTRIES","0","2","12","0","0","5","4","2","7","6","5","8","51"
"BENLING INDIA ENERGY AND TECHNOLOGY PVT LTD","0","0","6","0","0","5","4","7","4","0","13","13","52"
"BENTLEY MOTORS LIMITED","0","0","2","0","0","1","0","0","0","0","0","0","3"
"BHARAT AGRO ENGG WORKS","0","0","0","0","0","0","0","1","7","3","3","4","18"
"BHARAT BHUSHAN ENGNEERING WORK","4","3","12","0","0","5","9","8","8","8","8","6","71"
"BHARATH ENGINEERING WORKS","14","29","32","0","1","14","18","10","25","30","25","22","220"
"BHASKARA INDUSTRIES","1","0","0","0","0","0","0","0","0","0","0","0","1"
"BMW INDIA PVT LTD","124","95","343","0","4","8","14","26","29","28","69","64","804"
