"Maker and Month Wise Data for Telangana (2026)"

"Maker","2026-Jan","2026-Feb","2026-Mar","2026-Apr","2026-May","2026-Jun","2026-Jul","2026-Aug","2026-Sep","Total"
"A-1 SUREJA INDUSTRIES","0","0","0","0","0","0","0","1","0","1"
"ACTION CONSTRUCTION EQUIPMENT LTD.","16","22","19","14","30","9","17","21","3","151"
"ADAPT MOTORS PVT LTD","0","0","0","0","0","1","0","0","0","1"
"ADISHWAR AUTO RIDE INDIA PVT LTD","6","2","1","0","2","2","0","0","0","13"
"ADM TECHNOLOGIES PVT. LTD.","8","1","0","3","0","2","0","0","0","14"
"AGRI KING TRACTORS & EQUIPMENTS PVT LTD","0","0","0","1","0","0","0","0","0","1"
"AJAX ENGINEERING LTD","6","12","12","8","10","16","9","9","0","82"
"AMAR ENGINEERING WORKS","1","1","0","1","0","0","2","2","0","7"
"ANVITA AUTO TECH WORKS PVT LTD","1","0","0","1","0","0","0","0","0","2"
"ASHOK LEYLAND LTD","913","1152","1179","879","731","834","1123","805","0","7616"
"ASHOK LEYLAND LTD.","0","1","0","0","0","0","0","0","0","1"
"ATHER ENERGY LTD","880","431","346","1192","2495","1670","1644","1732","328","10718"
"ATUL AUTO LTD","14","11","16","8","4","10","16","8","0","87"
"ATUL GREENTECH PRIVATE LIMITED","4","0","3","3","1","4","0","1","0","16"
"AUDI AG","21","9","14","1","1","0","1","2","0","49"
"AUTOMOBILI LAMBORGHINI S.P.A","0","0","0","0","1","0","1","1","0","3"
"BAJAJ AUTO LTD","10940","10339","11177","10954","11772","11300","12799","9673","1599","90553"
"BALAJI AGRO INDUSTRIES","4","4","2","0","0","0","0","0","0","10"
"BALAJI ENGG WORKS","4","8","9","4","7","2","4","4","0","42"
"BALAJI INDUSTRIES","4","11","5","8","6","5","0","4","0","43"
"BATTRE ELECTRIC MOBLITY PVT LTD","1","0","0","2","0","2","1","0","0","6"
"BAXY LTD","0","0","2","0","0","1","0","1","0","4"
"BENTLEY MOTORS LIMITED","0","1","0","0","0","0","0","0","0","1"
"BGAUSS AUTO PRIVATE LIMITED","57","308","86","162","32","95","92","252","10","1094"
"BHARAT AGRO ENGG WORKS","6","14","12","4","3","6","1","6","0","52"
"BHARAT BHUSHAN ENGNEERING WORK","6","12","5","1","8","8","1","3","0","44"
"BHARATH ENGINEERING WORKS","10","19","11","10","9","6","0","5","0","70"
"BHASKARA INDUSTRIES","5","2","2","1","3","1","0","2","0","16"
"BMW INDIA PVT LTD","152","124","131","90","186","176","159","113","30","1161"
"BOUNCE ELECTRIC 1 PVT LTD","0","0","0","0","284","120","20","188","212","824"
"BU4 AUTO PVT LTD","0","0","0","0","0","0","1","0","1","2"
"BULL MACHINES PVT LTD","2","3","6","6","10","6","9","10","0","52"
"BYD AUTO","57","38","16","8","4","1","1","1","0","126"
"BYD INDIA PRIVATE LIMITED","0","16","43","30","100","144","110","100","21","564"
"CAPTAIN TRACTORS PVT. LTD.","1","3","3","1","2","2","4","0","0","16"
"CASE NEW HOLLAND CONSTRUCTION EQUIPMENT(I) PVT LTD","3","2","3","3","1","1","1","7","0","21"
