"Maker and Month Wise Data for Tamil Nadu (2024)"

"Maker","2024-Jan","2024-Feb","2024-Mar","2024-Apr","2024-May","2024-Jun","2024-Jul","2024-Aug","2024-Sep","2024-Oct","2024-Nov","2024-Dec","Total"
"3EV INDUSTRIES PVT LTD","20","0","0","0","0","0","0","0","0","0","0","0","20"
"ACTION CONSTRUCTION EQUIPMENT LTD.","51","65","60","56","55","57","62","63","64","49","27","67","676"
"ADISHWAR AUTO RIDE INDIA PVT LTD","2","2","5","0","1","0","2","2","2","0","2","1","19"
"ADM TECHNOLOGIES PVT. LTD.","1","0","1","0","0","0","0","0","1","0","0","0","3"
"ADRIS ELECTRIC PVT LTD","0","0","0","1","0","0","0","0","0","0","0","0","1"
"AGRI KING TRACTORS & EQUIPMENTS PVT LTD","0","0","2","1","0","3","1","3","2","1","1","1","15"
"AJAX ENGINEERING LTD","19","30","31","28","19","12","20","15","20","11","18","14","237"
"ALL TERRAIN CRANE","0","0","0","2","2","1","1","0","1","0","0","0","7"
"ALTIGREEN PROPULSION LABS PVT LTD","14","24","80","0","2","16","19","11","10","6","7","5","194"
"AMMANN INDIA PVT LTD","12","7","12","9","10","4","6","6","7","8","4","9","94"
"AMPERE VEHICLES PRIVATE LIMITED","18","12","8","12","8","2","2","4","1","3","2","2","74"
"ANCHI MOTORCYCLE (IMPORTER: EVNEXUS PVT. LTD.)","1","0","0","1","0","1","0","0","0","0","1","0","4"
"ARD EXIM","0","0","0","1","0","0","0","0","0","0","0","0","1"
"ASHOK LEYLAND LTD","2268","2312","2233","2433","2196","1966","2677","2138","2278","2326","2027","1871","26725"
"ASTON MARTIN LAGONDA LTD","0","0","0","0","0","0","1","0","0","0","0","0","1"
"ATHER ENERGY LTD","1404","1368","2409","543","831","932","1280","1525","1670","1596","1590","1463","16611"
"ATUL AUTO LTD","98","122","127","103","117","102","141","149","109","138","108","87","1401"
"ATUL GREENTECH PRIVATE LIMITED","0","0","0","1","0","0","0","0","0","0","0","0","1"
"ATUMOBILE PVT LTD","2","0","0","0","0","0","0","0","0","0","0","0","2"
"AUDI AG","4","3","4","4","4","0","1","0","5","2","1","3","31"
"AUTOMOBILI LAMBORGHINI S.P.A","2","0","0","0","0","0","2","1","0","0","1","0","6"
"AVON CYCLES LTD","0","0","0","0","0","0","1","0","0","0","0","0","1"
"BAJAJ AUTO LTD","23661","21397","16450","16484","15185","16232","17791","16178","16091","14740","17236","9188","200633"
"BALAN ENGINEERING PVT LTD","0","25","11","49","16","0","0","0","1","0","0","2","104"
"BATTRE ELECTRIC MOBLITY PVT LTD","49","42","86","16","22","37","35","59","38","33","32","24","473"
"BAXY LTD","0","0","0","0","0","0","0","12","36","253","180","0","481"
"BENLING INDIA ENERGY AND TECHNOLOGY PVT LTD","18","14","11","11","9","4","5","6","3","0","3","4","88"
"BENTLEY MOTORS LIMITED","1","0","1","0","0","0","1","0","0","0","0","0","3"
"BGAUSS AUTO PRIVATE LIMITED","307","351","497","106","209","189","484","202","258","291","429","239","3562"
"BLUE ENERGY COMMERCIAL VEHICLES PVT. LTD.","0","6","0","15","0","0","0","0","0","0","0","4","25"
"BMW INDIA PVT LTD","168","150","147","156","136","146","165","141","178","168","158","162","1875"
"BOOMA INNOVATIVE TRANSPORT SULUTIONS PVT LTD","32","27","58","25","39","48","66","68","54","71","77","71","636"
"BOUNCE ELECTRIC 1 PVT LTD","2","4","11","1","0","0","5","30","2","1","1","3","60"
"BULL MACHINES PVT LTD","17","47","36","19","29","15","24","39","28","34","37","33","358"
"BYD INDIA PRIVATE LIMITED","11","40","54","14","16","22","32","17","22","21","22","18","289"
"CAPTAIN TRACTORS PVT. LTD.","2","5","6","1","4","0","5","3","1","1","3","1","32"
"CASE NEW HOLLAND CONSTRUCTION EQUIPMENT(I) PVT LTD","11","5","3","7","2","5","9","4","2","5","2","1","56"
"CATERPILLAR INDIA PRIVATE LIMITED","10","17","19","28","21","21","18","15","17","26","10","14","216"
"CHAMPION POLY PLAST","10","11","8","8","5","7","2","5","6","6","2","1","71"
"CHETAK TECHNOLOGY LIMITED","0","0","1","0","0","0","0","0","0","0","0","0","1"
"CHINA HAOCHEN (IMPORTER: ADMS MARKETING)","0","0","0","0","0","1","2","4","6","1","9","1","24"
"CITYGREEN AUTO & PETRO CHEMICALS (P) LTD","0","0","0","0","0","0","20","120","20","0","2","0","162"
"CLAAS INDIA P LTD","0","1","0","0","0","0","0","0","0","0","0","0","1"
"CLASSIC LEGENDS PVT LTD","313","285","238","266","249","210","228","203","221","299","329","229","3070"
"CLENERGY INNOVATIONS PVT LTD","0","0","0","0","0","0","0","2","0","0","2","0","4"
"CNH INDUSTRIAL (INDIA) PVT LTD","148","241","262","163","155","139","149","160","140","159","127","107","1950"
"CONMAT HEAVY INDUSTRIES PVT LTD","0","0","1","0","0","0","0","0","0","0","0","2","3"
"COVAI GREEN RIDE","0","0","0","0","0","0","0","0","0","0","0","3","3"
"DAIMLER AG","0","0","1","0","0","0","0","0","0","0","0","0","1"
"DAIMLER INDIA COMMERCIAL VEHICLES PVT. LTD","320","289","272","338","210","228","303","232","241","290","231","214","3168"
"DAO EVTECH PRIVATE LIMITED","3","4","6","2","0","2","0","2","2","0","0","1","22"
"DOOSAN BOBCAT INDIA PVT LTD","8","9","3","7","10","3","2","9","9","1","4","3","68"
"DSR EV MOBILITY PVT LTD","0","0","0","0","0","0","1","2","1","0","2","1","7"
"DUCATI INDIA PVT LTD","0","6","2","1","5","3","1","6","1","7","4","4","40"
"E ROYCE MOTORS INDIA PVT LTD","5","0","0","230","0","120","0","3","0","0","126","323","807"
"E-SPRINTO GREEN ENERGY PVT LTD","1","2","0","0","0","0","2","1","1","0","0","0","7"
"ECO DYNAAMIC EQUIPMENTS","5","10","8","12","3","7","10","7","10","4","12","9","97"
"ECOBIT INTERNATIONAL(IMPORTER: JHEV MOTORS)","0","0","0","0","0","0","0","0","0","0","0","1","1"
"EICHER TRACTORS","84","137","197","84","78","63","81","67","67","74","55","39","1026"
"ELECTRECA VEHICLES","3","0","1","0","0","0","1","0","0","0","0","0","5"
"ELTHOR ENERGY PRIVATE LIMITED","1","3","3","1","1","5","5","1","2","3","0","6","31"
"ENERGY ELECTRIC VEHICLES","0","0","0","0","0","0","0","0","1","4","2","0","7"
"ENGTIAN ELECTRIC BIKE PVT LTD","18","2","26","0","16","15","16","4","6","2","7","2","114"
"ERISHA E MOBILITY PVT LTD","0","0","0","1","1","1","0","0","0","0","0","0","3"
"ESCORTS CONSTRUCTION EQUIPMENT LTD","0","1","0","0","0","0","0","0","0","0","0","0","1"
"ESCORTS KUBOTA LIMITED (AGRI MACHINERY GROUP)","119","210","200","151","160","124","168","119","155","105","102","97","1710"
"ESCORTS KUBOTA LIMITED (CONSTRUCTION EQUIPMENT)","25","24","40","26","34","19","17","24","20","25","20","25","299"
"ETRIO AUTOMOBILES PVT LTD","1","0","1","0","0","0","0","0","0","0","0","0","2"
"EULER MOTORS PVT LTD","29","19","55","4","21","25","31","33","23","25","23","22","310"
"EVTRIC MOTORS PVT LTD","4","2","1","6","1","0","0","0","0","0","0","0","14"
"EXERVAL PVT LTD","0","1","0","0","0","0","0","0","0","0","0","0","1"
"FERRARI SPA (IMPORTER:NAVNIT MOTORS PVT LTD)","0","0","0","0","0","0","0","0","0","0","0","1","1"
"FIORI CONCRETE MACHINES INDIA PVT LTD","1","0","0","0","0","0","0","1","0","0","0","0","2"
"FORCE MOTORS LIMITED","147","204","181","165","177","215","251","180","152","148","133","214","2167"
"FORD INDIA PVT LTD","0","0","0","0","1","0","0","0","0","0","0","0","1"
"FRED INDIA PVT LTD","0","2","3","1","0","0","2","0","2","0","1","0","11"
"FSTMOTO INTERNATIONAL (IMPORTER: TEDI (INDIA))","0","1","0","0","0","0","1","0","0","0","0","0","2"
"GAURA ELECTRIC VEHICLES PVT LTD","1","11","22","25","18","23","55","63","61","40","63","49","431"
"GENERAL MOTORS INDIA PVT LTD","0","0","0","0","1","0","0","0","0","0","1","0","2"
"GODAWARI ELECTRIC MOTORS PVT LTD","2","5","0","3","0","4","7","5","0","0","2","7","35"
"GODREJ & BOYCE MFG. CO. LTD","0","0","0","0","0","0","0","1","0","0","0","0","1"
"GOREEN E-MOBILITY PVT LTD","12","13","12","13","11","3","9","4","2","4","3","43","129"
"GREAVES ELECTRIC MOBILITY LTD","727","904","1051","863","655","731","1067","977","1053","1254","1409","1065","11756"
"GREENETICS INDUSTRIES PVT LTD","0","0","0","0","0","0","0","0","0","1","0","0","1"
"GROMAX AGRI EQUIPMENT LTD","4","0","5","1","0","1","2","0","1","1","3","2","20"
"GROVE INDIA PVT LTD","0","0","0","0","0","0","1","0","0","0","0","0","1"
"GUANGDONG TAYO (IMPORTER: ADISHWAR AUTO)","3","2","2","5","2","5","4","1","5","5","2","0","36"
"HARLEY DAVIDSON (IMPORTER: HERO MOTOCORP)","0","1","0","1","2","0","3","1","1","2","0","1","12"
"HD HYUNDAI CONSTRUCTION EQUIPMENT INDIA PVT LTD","0","0","0","0","1","0","0","0","0","0","0","1","2"
"HERO ELECTRIC VEHICLES PVT. LTD","89","61","68","47","55","58","57","46","26","28","31","10","576"
"HERO MOTOCORP LTD","21914","20855","18033","17901","17243","16873","18783","17361","16160","17432","21901","10733","215189"
"HONDA CARS INDIA LTD","919","686","686","651","579","458","550","527","482","515","482","463","6998"
"HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD","36427","35641","30097","30519","30355","30476","33935","31302","29774","27778","31494","18581","366379"
"HONGKONG WANGYUAN (IMPORTER:POWERTRANS MOBILITY)","0","0","0","0","0","0","1","0","0","0","0","0","1"
"HONGKONG YIXING (IMPORTER: ADMS MARKETING)","0","0","0","0","0","0","3","2","7","0","6","2","20"
"HOP MOTORS PVT LTD","0","0","0","6","18","4","1","1","3","4","1","1","39"
"HYUNDAI MOTOR INDIA LTD","3433","3704","3240","3441","3250","3052","3425","3209","3220","3243","2849","3363","39429"
"HYUNDAI MOTORS LTD, SOUTH KOREA","1","0","0","0","0","2","0","0","0","0","0","0","3"
"INDIA KAWASAKI MOTORS PVT LTD","60","67","53","41","43","36","52","34","35","36","39","32","528"
"INDIA YAMAHA MOTOR PVT LTD","17749","15078","11844","12692","12802","13042","14902","13766","12740","12862","13983","8161","159621"
"INDO FARM EQUIPMENT LIMITED","9","14","14","19","13","11","14","11","12","9","12","9","147"
"INTERNATIONAL TRACTORS LIMITED","216","293","279","190","233","197","241","180","202","169","163","140","2503"
"IPL TECH ELECTRIC PVT LTD","0","0","0","0","0","0","0","0","0","3","0","2","5"
"ISHWAR FARMLINE EQUIPMENTS PRIVATE LIMITED","0","1","0","1","0","0","0","0","0","0","1","0","3"
"ISUZU MOTORS INDIA PVT LTD","12","15","19","16","11","17","14","13","5","15","17","10","164"
"IVOOMI INNOVATION PVT LTD","45","49","39","31","24","27","50","60","23","32","66","30","476"
"J. S. AUTO (P) LTD","0","0","0","0","0","0","0","0","0","0","1","0","1"
"JAGUAR LAND ROVER INDIA LIMITED","25","14","19","11","21","18","30","32","38","20","14","9","251"
"JAIDKA POWER SYSTEMS PVT LTD","0","0","0","0","0","0","0","0","0","0","0","2","2"
"JBM AUTO LIMITED","0","0","0","0","0","0","0","0","3","0","0","0","3"
"JCB INDIA LIMITED","217","281","295","225","176","178","220","203","250","243","168","165","2621"
"JEEVAA E-BIKE MFG PVT LTD","0","0","0","0","0","0","1","2","1","0","1","0","5"
"JESSUN TECHNO PVT LTD","0","0","0","0","0","0","3","0","0","2","0","0","5"
"JIANGSU AIMA (IMPORTER: FUTURE EV)","2","4","8","8","6","6","1","5","2","3","1","2","48"
"JIANGSU JINPENG (IMPORTER: KKL HITECH EV)","1","2","4","4","0","0","4","3","3","1","1","3","26"
"JIANGSU XINRI (IMPORTER: ECO FUEL SYSTEMS LTD)","7","6","0","1","0","1","0","1","2","0","0","0","18"
"JIANGSU ZHEENAIDA (IMPORTER: KLB GLOBAL)","4","2","2","1","0","2","0","0","0","0","0","1","12"
