"Maker and Month Wise Data for Uttarakhand (2023)"

"Maker","2023-Jan","2023-Feb","2023-Mar","2023-Apr","2023-May","2023-Jun","2023-Jul","2023-Aug","2023-Sep","2023-Oct","2023-Nov","2023-Dec","Total"
"3S INDUSTRIES PRIVATE LIMITED","0","0","0","0","0","0","0","0","0","3","2","4","9"
"A K GUPTA & CO.","0","1","1","0","0","0","0","1","0","0","0","0","3"
"A P I MOTORS PVT LTD","42","64","76","104","51","19","11","9","5","6","5","5","397"
"A.V.AUTOMOTIVES PVT LTD","6","4","2","3","0","0","0","2","1","0","0","0","18"
"ACTION CONSTRUCTION EQUIPMENT LTD.","6","7","9","5","6","9","6","6","11","1","6","5","77"
"ADICO ESCORTS AGRI EQUIPMENTS PVT. LTD.","0","0","0","0","0","0","0","0","1","0","0","3","4"
"ADISHWAR AUTO RIDE INDIA PVT LTD","1","1","2","0","0","1","0","1","1","0","2","0","9"
"ADITYA SAI INDUSTRIES","9","13","8","8","21","11","9","13","16","4","8","14","134"
"AFTEK MOTORS INDIA PVT LTD","1","1","3","0","3","5","0","0","1","0","0","0","14"
"AJAX ENGINEERING LTD","1","1","0","1","2","1","0","0","2","3","0","2","13"
"ALLFINE INDUSTRIES PVT LTD","5","4","6","7","9","4","4","5","7","1","0","0","52"
"ALTIER ELECTRIC VEHICLES PVT LTD","19","9","11","16","17","15","17","14","18","12","12","16","176"
"AMO MOBILITY SOLUTIONS PVT LTD","14","9","11","13","11","9","0","0","0","0","0","0","67"
"AMPERE VEHICLES PRIVATE LIMITED","50","67","92","160","109","10","26","2","10","0","2","5","533"
"ANJALI AUTO COMPONENTS","0","0","0","0","0","0","0","1","2","1","1","0","5"
"APARNA INDUSTRIES","0","0","1","1","8","0","3","0","2","1","2","4","22"
"APOLLO CARMIX EQUIPMENTS PVT LTD","0","0","0","0","0","0","2","0","0","0","0","0","2"
"ASHOK LEYLAND LTD","76","69","79","143","132","118","65","66","97","100","98","73","1116"
"ATHER ENERGY LTD","32","16","36","21","102","6","23","21","23","40","59","41","420"
"ATUMOBILE PVT LTD","0","0","0","0","0","0","0","0","1","0","0","0","1"
"ATUT SANGAM","0","0","0","0","0","0","0","0","0","1","0","0","1"
"AUDI AG","0","2","0","0","0","0","2","0","2","0","1","1","8"
"AUTOLITE (INDIA) LIMITED","0","0","0","0","0","0","0","0","0","0","0","1","1"
"AVL ELECTRIC VEHICLES PVT LTD","2","0","1","0","0","0","0","1","2","0","0","0","6"
"BABA E-VEHICLES","1","1","0","3","3","5","9","17","11","8","16","4","78"
"BAGHWAN RIKSHAW UDYOG","0","0","0","0","0","0","0","0","1","0","0","0","1"
"BAJAJ AUTO LTD","999","977","1233","1054","1212","1048","1023","1023","973","952","1706","1929","14129"
"BAJAJ IMPLEMENTS PVT. LTD","0","0","0","0","0","0","0","1","0","0","3","0","4"
"BALI AUTO INDUSTRIES","3","7","2","3","7","6","3","6","6","7","12","13","75"
"BATTRE ELECTRIC MOBLITY PVT LTD","1","0","0","0","6","0","0","0","0","0","0","1","8"
"BAXY LTD","0","0","0","0","0","0","0","0","0","0","0","3","3"
"BENLING INDIA ENERGY AND TECHNOLOGY PVT LTD","1","3","1","4","3","0","0","0","0","0","0","0","12"
"BEST WAY AGENCIES PVT LTD","4","2","5","3","0","1","2","3","7","5","3","7","42"
"BGAUSS AUTO PRIVATE LIMITED","0","0","0","0","0","0","3","1","2","6","10","10","32"
"BMW INDIA PVT LTD","11","15","7","21","17","13","20","20","9","17","14","13","177"
"BOUNCE ELECTRIC 1 PVT LTD","17","20","20","15","22","12","10","13","7","7","15","16","174"
"BULL MACHINES PVT LTD","0","2","1","3","1","0","0","1","1","0","1","0","10"
"BYD INDIA PRIVATE LIMITED","0","2","2","1","2","1","0","0","0","1","2","1","12"
"CART INDIA","0","0","0","0","0","0","0","0","0","0","0","1","1"
"CASE NEW HOLLAND CONSTRUCTION EQUIPMENT(I) PVT LTD","0","0","2","0","0","0","0","1","0","0","0","1","4"
"CATERPILLAR INDIA PRIVATE LIMITED","0","0","3","3","2","1","1","1","3","3","6","3","26"
"CEEON INDIA","0","0","0","0","0","0","1","0","0","0","0","0","1"
"CHAMPION POLY PLAST","9","14","11","11","27","26","20","22","14","16","22","12","204"
"CHETAK TECHNOLOGY LIMITED","0","0","16","5","1","0","0","0","0","0","0","0","22"
"CLASSIC LEGENDS PVT LTD","46","39","16","47","33","45","42","46","36","42","61","58","511"
"CNH INDUSTRIAL (INDIA) PVT LTD","6","5","15","0","4","23","4","1","5","2","8","18","91"
"CONTINENTAL ENGINES PVT LTD","11","17","11","10","18","7","3","17","7","7","5","1","114"
"DAIMLER INDIA COMMERCIAL VEHICLES PVT. LTD","4","1","4","8","6","2","5","5","5","4","8","9","61"
"DAKSH INDUSTRY PVT LTD","3","20","17","16","23","31","19","27","19","18","21","14","228"
"DIAMOND E VEHICLES","1","6","1","0","2","1","2","0","4","3","0","3","23"
"DILLI ELECTRIC AUTO PVT LTD","53","35","52","45","70","69","46","45","35","39","54","54","597"
"DIVANSU AUTOMOBILES LTD","9","9","1","0","0","0","0","0","0","0","0","0","19"
"DIVYA ENTERPRISES","1","0","0","0","2","0","0","0","0","2","0","0","5"
"DOOSAN BOBCAT INDIA PVT LTD","0","0","1","0","0","0","0","0","0","0","0","0","1"
"DUCATI INDIA PVT LTD","0","0","0","0","1","0","0","0","0","1","0","0","2"
"E-ASHWA AUTOMOTIVE PVT LTD","0","0","0","0","0","0","0","0","0","0","0","6","6"
"E-GURU AUTO ENERGY","0","2","0","0","0","1","0","0","0","0","0","0","3"
"EICHER TRACTORS","4","5","3","4","17","8","8","7","5","2","4","2","69"
"ENERGY ELECTRIC VEHICLES","10","6","11","10","0","4","2","5","1","0","0","3","52"
"EPOWER VEHICLES PVT LTD","2","0","1","0","1","2","0","4","2","3","0","1","16"
"ERISHA E MOBILITY PVT LTD","0","0","0","0","0","0","2","0","1","0","0","0","3"
"ESCORTS KUBOTA LIMITED (AGRI MACHINERY GROUP)","27","18","24","17","23","31","17","12","4","18","19","22","232"
"ESCORTS KUBOTA LIMITED (CONSTRUCTION EQUIPMENT)","0","3","1","4","3","1","4","1","4","2","2","1","26"
"EXIDE INDUSTRIES LTD","0","0","0","0","0","1","0","0","0","0","0","0","1"
"FERRARI SPA (IMPORTER:SELECT CARS P LTD)","0","0","0","1","0","0","0","0","0","0","0","0","1"
"FIRST CHOICE ELECTRIC VEHICLES PVT LTD","0","0","1","0","0","0","0","0","0","0","0","0","1"
"FIVE ELEMENTS","5","6","14","3","16","7","4","9","2","5","17","14","102"
"FORCE MOTORS LIMITED","44","47","64","55","52","33","25","29","29","16","16","24","434"
"FORD INDIA PVT LTD","0","0","0","0","0","0","0","0","0","1","0","0","1"
"GALAXY GREEN VEHICLES PVT LTD","0","0","0","0","0","0","0","0","0","0","0","1","1"
"GAYATRI ELECTRIC VEHICLES PVT LTD","0","1","1","0","2","1","0","0","0","0","0","0","5"
"GODAWARI ELECTRIC MOTORS PVT LTD","0","0","0","0","0","2","0","1","0","1","0","1","5"
"GODAWARI TECHNO SOLUTIONS PVT LTD","0","1","0","0","0","0","0","0","0","0","0","0","1"
"GOENKA ELECTRIC MOTOR VEHICLES PVT LTD","1","0","4","7","1","1","0","3","1","0","0","0","18"
"GOREEN E-MOBILITY PVT LTD","1","2","0","0","1","1","0","0","0","0","0","0","5"
"GRD MOTORS","2","0","1","0","1","0","0","0","0","0","1","0","5"
"GREAVES ELECTRIC MOBILITY LTD","0","0","0","0","0","4","6","19","31","42","47","25","174"
"GUANGDONG TAYO (IMPORTER: ADISHWAR AUTO)","0","1","0","0","0","0","0","0","0","0","0","0","1"
"GURUKIRPA INDUSTRIES","9","7","3","3","4","2","1","4","1","0","2","1","37"
"H-D MOTOR COMPANY INDIA PVT LTD","0","0","0","0","0","1","0","0","0","0","0","0","1"
"HARLEY DAVIDSON (IMPORTER: HERO MOTOCORP)","0","0","0","1","0","1","1","1","1","1","1","0","7"
"HERO ELECTRIC VEHICLES PVT. LTD","40","36","42","24","3","1","1","5","6","2","6","6","172"
"HERO MOTOCORP LTD","3888","3207","3935","3076","4008","3742","3483","3576","3046","3564","7725","5261","48511"
"HIM TEKNOFORGE LTD","1","2","1","0","0","1","0","1","0","0","0","0","6"
"HONDA CARS INDIA LTD","119","84","82","111","80","73","53","63","106","108","152","125","1156"
"HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD","3837","3075","3357","3645","4379","4173","3963","3829","4212","4869","7307","5388","52034"
"HOTAGE INDIA","5","7","4","7","6","11","17","22","11","5","13","29","137"
"HOVEL CYLINDER PVT LTD","0","0","0","0","0","0","0","0","0","0","1","0","1"
"HUNDAL INDUSTRIES","17","18","31","17","24","25","16","29","21","22","36","25","281"
"HYUNDAI MOTOR INDIA LTD","648","478","506","614","689","569","568","611","532","597","658","564","7034"
"INDIA KAWASAKI MOTORS PVT LTD","9","5","8","3","8","7","5","5","12","7","7","4","80"
"INDIA YAMAHA MOTOR PVT LTD","266","174","228","264","251","223","294","299","223","239","373","445","3279"
"INDIAN MOTORS","2","6","3","3","2","4","7","4","2","2","1","2","38"
"INDO FARM EQUIPMENT LIMITED","2","0","2","0","3","1","3","1","0","4","4","1","21"
"INTERNATIONAL TRACTORS LIMITED","54","41","37","48","44","74","41","40","62","60","60","103","664"
"ISUZU MOTORS INDIA PVT LTD","0","2","4","2","4","2","2","1","1","2","1","2","23"
"J S AGRO INDUSTRIES","0","0","0","0","0","1","0","0","0","0","0","0","1"
"J. S. AUTO (P) LTD","8","27","67","101","65","38","25","10","13","11","9","13","387"
"JAGUAR LAND ROVER INDIA LIMITED","3","2","0","3","6","2","0","3","2","1","2","4","28"
"JCB INDIA LIMITED","29","26","19","25","38","27","35","34","42","32","25","34","366"
"JESSUN TECHNO PVT LTD","0","0","2","5","4","14","7","7","6","9","4","4","62"
"JITENDRA NEW EV-TECH PVT. LTD","6","0","3","4","5","0","0","0","0","0","0","0","18"
"JOHN DEERE INDIA  PVT LTD(TRACTOR DEVISION)","18","13","18","11","30","29","10","13","23","16","17","37","235"
"JS MOBILEON PVT LTD","0","0","1","0","0","0","1","0","0","0","0","0","2"
"JSW MG MOTOR INDIA PVT LTD","31","38","42","51","47","46","39","58","29","32","48","39","500"
"JUNENG MOTORCYCLE (IMPORTER: ISCOOT MOTERS)","2","0","1","0","0","1","1","0","0","0","1","0","6"
"KAPTECH INDIA","1","0","1","0","0","0","0","0","0","3","0","0","5"
"KARTAR AGRO INDUSTRIES PVT LTD","0","0","0","0","1","0","0","0","0","0","0","0","1"
"KGN","0","0","1","0","0","0","0","0","0","0","1","0","2"
"KGN INDUSTRIES","0","0","0","1","0","0","2","0","0","0","0","0","3"
"KHALSAE-VEHICLES PVT LTD","4","8","15","11","20","21","15","35","39","28","22","17","235"
"KIA INDIA PRIVATE LIMITED","244","236","259","257","244","224","206","239","283","245","302","292","3031"
"KINETIC GREEN ENERGY & POWER SOLUTIONS LTD","10","6","6","13","8","8","8","1","7","11","8","14","100"
"KION INDIA PVT LTD","0","1","0","0","1","1","0","0","0","0","0","0","3"
"KLB KOMAKI PVT LTD","1","2","1","4","5","5","5","9","1","4","3","7","47"
"KRISHNA VEHICALS","0","0","0","0","0","0","0","0","2","0","1","0","3"
"KUBOTA AGRICULTURAL MACHINERY INDIA PVT.LTD.","5","4","0","4","3","3","0","1","8","2","7","5","42"
"L&T CONSTRUCTION EQUIPMENT LIMITED","0","0","0","0","0","0","0","2","0","0","0","0","2"
"LECTRIX E VEHICLES PVT LTD","3","7","17","11","20","24","19","16","10","23","8","5","163"
"LIUGONG INDIA PVT. LTD","4","2","0","0","0","0","0","1","3","0","0","3","13"
"LOCAL TRAILER MANUFACTURER","6","2","2","2","9","2","0","4","4","29","18","33","111"
"LOHIA AUTO INDUSTRIES","0","1","1","0","0","6","8","6","3","11","9","8","53"
"M.K. ENTERPRISES","1","10","4","3","1","13","5","2","3","2","7","6","57"
"M/S SCHWING STETTER (INDIA) PRIVATE LIMITED","0","1","3","0","0","2","0","0","2","0","0","2","10"
"M/S SHRIRAM AUTO TECH PVT LTD","5","5","8","2","4","7","10","4","2","4","11","7","69"
"MAA SHAKTI EXIM PVT LTD","0","1","0","0","0","1","0","0","1","0","0","0","3"
"MACONS EQUIPMENTS PVT LTD","0","0","0","2","0","0","0","0","0","0","0","0","2"
"MAHINDRA & MAHINDRA LIMITED","910","793","884","940","968","933","888","926","874","855","909","905","10785"
"MAHINDRA & MAHINDRA LIMITED (SWARAJ DIVISION)","46","46","64","43","83","87","60","56","73","78","85","91","812"
"MAHINDRA & MAHINDRA LIMITED (TRACTOR)","104","100","139","102","153","155","119","100","127","159","179","266","1703"
"MAHINDRA ELECTRIC MOBILITY LIMITED","57","56","15","7","5","0","0","1","0","0","0","0","141"
"MAHINDRA LAST MILE MOBILITY LTD","0","0","0","0","0","0","0","0","0","56","105","78","239"
"MANITA CITY MOTORS LLP","3","0","9","7","6","6","0","5","0","6","0","0","42"
"MANITOU EQUIPMENT INDIA PVT LTD","0","0","0","0","0","0","0","0","0","0","0","2","2"
"MARUTI SUZUKI INDIA LTD","2310","1715","2033","2010","1884","1846","1780","1857","1850","2057","2241","2569","24152"
"MERCEDES -BENZ AG","0","0","0","0","1","1","1","1","0","0","0","0","4"
"MERCEDES-BENZ INDIA PVT LTD","11","9","11","11","11","3","8","3","10","10","15","16","118"
"MINI METRO EV L.L.P","24","25","29","21","26","25","24","20","15","12","23","14","258"
"MLR AUTO LTD","0","1","4","3","3","0","0","0","0","0","0","0","11"
"MOON AGRICULTURE & FABRICATION WORKS","0","0","0","0","1","2","0","0","0","2","0","2","7"
"N0VA AUTOMOTIVE TECHNOLOGIES PVT. LTD","22","19","17","15","34","34","45","32","14","20","23","21","296"
"NEW GOLDEN AGRICULTURE","0","2","0","0","0","0","0","0","0","1","0","3","6"
"NINGBO LONGJIA (IMPORTER: ADISHWAR AUTO)","1","0","0","1","0","0","1","0","0","1","1","0","5"
"NISSAN MOTOR INDIA PVT LTD","85","62","76","105","71","80","75","61","67","75","100","69","926"
"NRJ ELECTRIC MOTOR VEHICLES PVT LTD","0","0","1","0","0","0","0","0","0","0","0","0","1"
"OKINAWA AUTOTECH PVT LTD","77","49","67","52","39","34","27","28","20","22","34","19","468"
"OLA ELECTRIC TECHNOLOGIES PVT LTD","151","123","161","132","237","153","216","135","51","127","278","323","2087"
"OM BALAJEE AUTOMOBILE ( INDIA) PVT. LTD","1","0","1","3","8","8","8","5","5","3","4","0","46"
"OMEGA SEIKI PVT LTD","0","0","0","0","0","0","0","0","0","0","1","0","1"
"OPG Mobility and Power Pvt Ltd","12","12","2","17","40","6","10","7","11","12","16","14","159"
"PACE AGRO PRIVATE LIMITED","0","0","0","2","0","0","0","0","0","0","0","0","2"
"PARAS INDUSTRIES","0","0","1","0","0","1","0","0","0","1","0","0","3"
"PARI E-VEHICLES","0","0","0","0","0","0","0","0","0","0","1","0","1"
"PARI METRO E RICKSHAW","0","0","0","0","0","0","0","0","1","0","0","0","1"
"PIAGGIO VEHICLES PVT LTD","47","58","63","58","30","40","61","46","70","60","79","46","658"
"POLARIS INDIA PVT LTD","0","0","0","0","1","0","0","0","0","0","0","0","1"
"PORSCHE AG GERMANY","0","0","1","0","0","0","1","1","0","0","0","0","3"
"PREET TRACTORS PVT LTD","4","6","10","4","1","4","2","1","1","2","1","3","39"
"PUBANG ETRON ELECTRIC MOTOR PVT LTD","0","0","1","0","1","1","0","1","0","0","0","1","5"
"PUR ENERGY PVT LTD","5","3","7","6","7","5","5","6","1","9","5","9","68"
"QIANJIANG-KEEWAY (IMPORTER: ADISHWAR AUTO)","0","0","0","1","0","2","1","0","1","1","1","1","8"
"RANA ENGINEER WORKS","0","0","0","0","0","9","4","20","10","9","5","14","71"
"RASANDIK ENGINEERING INDUSTRIES INDIA LTD","3","2","3","3","4","1","4","2","1","1","0","1","25"
"RAYON ENGINEERS","1","1","2","0","0","0","1","0","0","0","0","0","5"
"RCJ AUTO FORGE PVT LTD","2","5","6","5","5","1","0","2","2","0","1","0","29"
"RENAULT INDIA PVT LTD","94","57","63","72","70","46","50","41","45","56","45","46","685"
"REVOLT INTELLICORP PVT LTD","0","0","0","1","0","2","5","4","7","2","2","11","34"
"RGM BUSINESS PLUS PVT LTD","2","0","0","0","0","2","0","0","1","1","0","0","6"
"ROYAL-ENFIELD (UNIT OF EICHER LTD)","1046","974","1111","1057","1095","921","1009","961","1014","1086","1251","1283","12808"
"SAERA ELECTRIC AUTO PVT LTD","53","41","38","56","30","59","54","49","50","50","57","48","585"
"SAHNIANAND E VEHICLES PVT LTD","0","0","0","2","2","1","2","8","3","3","4","5","30"
"SAME DEUTZ - FAHR INDIA (P) LTD.","1","0","0","1","0","0","0","0","0","0","0","0","2"
"SAMRAT ELECTRIC VEHICLE","9","8","11","9","6","18","13","32","23","6","5","15","155"
"SANY HEAVY INDUSTRY INDIA PVT LTD","0","0","0","1","0","0","0","0","1","0","0","0","2"
"SATHI MOTORS ELECTRIC VEHICLE PVT LTD","0","1","0","1","0","2","1","2","1","1","3","0","12"
"SETH INDUSTRIAL CORPORATION","0","0","0","0","0","0","0","1","0","0","0","0","1"
"SHAKTTI CONSTRUCTIONS EQUIPMENT PVT LTD","0","0","0","1","0","0","1","2","0","2","1","0","7"
"SHIGAN EVOLTZ LTD","4","3","3","2","2","4","4","5","1","8","2","4","42"
"SHIV OM INDIA","0","0","0","0","2","1","0","0","0","0","0","0","3"
"SHRI BARSANA E-VEHICLES PVT LTD","3","5","0","3","1","3","9","11","7","6","4","4","56"
"SKODA AUTO VOLKSWAGEN INDIA PVT LTD","83","67","80","81","65","65","81","77","74","104","74","99","950"
"SKS TRADE INDIA PVT LTD","11","5","16","8","11","9","12","18","11","9","6","10","126"
"SKYRIDE AUTOMOTIVE","0","0","0","2","1","0","1","0","0","0","0","0","4"
"SML MAHINDRA LTD","3","8","15","23","12","12","19","8","6","11","6","5","128"
"SPEEGO VEHICLES CO PVT LTD","0","2","6","1","1","0","0","0","0","0","0","0","10"
"SSEV ENTERPRISES PRIVATE LIMITED","9","5","9","5","11","10","4","11","13","6","2","15","100"
"STAR BULL E MOTORS","9","7","5","11","10","11","16","7","6","1","3","3","89"
"STELLANTIS AUTOMOBILES INDIA PVT LTD","19","7","12","14","17","10","10","2","3","1","6","11","112"
"STELLANTIS INDIA PVT LTD","11","15","13","7","15","9","17","8","12","3","12","9","131"
"SUPER METRO INDUSTRIES","0","0","0","0","0","0","0","0","1","0","0","0","1"
"SUPERTECH EV LIMITED","0","1","0","1","0","0","0","0","0","0","0","0","2"
"SURINDERA AGRO INSDUSTRIES","1","0","0","0","0","0","0","0","0","0","0","0","1"
"SUZUKI MOTORCYCLE INDIA PVT LTD","414","381","455","622","509","438","516","504","515","578","806","580","6318"
"SYNDICATE AUTO COMPONENTS","3","9","4","1","1","4","2","1","5","1","4","3","38"
"T U K INDUSTRIES","0","0","0","0","0","0","0","0","1","1","0","0","2"
"TAFE LIMITED","12","7","8","12","13","10","8","5","10","15","9","10","119"
