"Maker and Month Wise Data for Uttar Pradesh (2024)"

"Maker","2024-Jan","2024-Feb","2024-Mar","2024-Apr","2024-May","2024-Jun","2024-Jul","2024-Aug","2024-Sep","2024-Oct","2024-Nov","2024-Dec","Total"
"3S INDUSTRIES PRIVATE LIMITED","71","62","40","18","42","44","46","60","80","89","57","100","709"
"A D AGRO WORKS","2","0","0","0","0","0","0","0","0","1","0","0","3"
"A K GUPTA & CO.","7","3","14","6","23","16","17","20","21","11","4","11","153"
"A P I MOTORS PVT LTD","27","25","28","26","19","26","22","17","16","20","16","11","253"
"A.J ENTERPRISES","7","2","0","5","3","4","5","5","4","3","0","3","41"
"A.R. MOTOR","0","0","0","10","36","24","79","37","69","46","44","39","384"
"A.V.AUTOMOTIVES PVT LTD","56","47","41","31","65","50","44","59","50","29","36","38","546"
"A1 HEAVY EQUIPMENTS DEVELOPER","0","0","0","0","1","0","0","1","1","0","0","0","3"
"AADHYA ENTERPRISES","4","0","0","0","0","0","0","0","0","0","0","0","4"
"AAHANA COMMERCE PVT LTD","2","7","7","2","5","3","10","8","3","9","0","3","59"
"AAKK AUTO PVT LTD","0","0","0","1","2","5","7","11","5","15","3","5","54"
"AARON INDUSTRIES","0","0","0","0","0","0","0","0","0","12","1","14","27"
"ACCRETION POWER AUTOS","52","35","55","45","34","43","58","18","45","48","24","41","498"
"ACTION CONSTRUCTION EQUIPMENT LTD.","118","155","137","90","108","138","85","88","334","89","79","125","1546"
"ADICO ESCORTS AGRI EQUIPMENTS PVT. LTD.","24","32","18","26","32","35","24","21","30","13","12","22","289"
"ADISHWAR AUTO RIDE INDIA PVT LTD","1","0","0","1","1","0","2","1","0","1","1","0","8"
"ADITYA SAI INDUSTRIES","28","5","11","11","14","1","8","5","8","5","0","8","104"
"ADM TECHNOLOGIES PVT. LTD.","13","9","15","11","16","14","45","31","20","6","8","9","197"
"ADRIS ELECTRIC PVT LTD","1","0","0","0","0","0","0","0","0","0","0","0","1"
"AERODRIVE PVT LTD","0","0","0","0","0","0","0","0","0","0","0","1","1"
"AFKON AUTOMOTIVES PVT LTD","0","0","0","0","0","0","0","7","13","11","33","33","97"
"AFTEK MOTORS INDIA PVT LTD","0","0","6","2","5","1","0","1","0","0","3","0","18"
"AGRI KING TRACTORS & EQUIPMENTS PVT LTD","4","0","1","4","1","0","0","1","0","1","3","1","16"
"AJAX ENGINEERING LTD","46","28","48","31","25","28","23","20","27","30","15","25","346"
"AJAY MOTORS PRIVATE LIMITED","15","9","5","11","23","21","22","13","16","26","17","12","190"
"AKG INTERNATIONAL","56","56","72","93","130","102","146","124","82","92","96","77","1126"
"ALBEDO VISION PVT LTD","0","0","0","0","2","2","0","0","0","0","0","0","4"
"ALIED E MOBILITY PVT LTD","0","0","0","0","0","0","1","9","15","12","7","27","71"
"ALLENTTI MOTORS PVT LTD","8","16","14","12","18","24","21","18","34","25","35","19","244"
"ALLFINE INDUSTRIES PVT LTD","278","227","172","202","241","205","350","340","237","324","73","89","2738"
"ALTIER ELECTRIC VEHICLES PVT LTD","30","45","37","44","37","27","47","64","43","52","48","49","523"
"ALTIGREEN PROPULSION LABS PVT LTD","6","3","16","0","0","1","0","0","0","0","0","0","26"
"ALTIUS EV TECH PVT LTD","2","0","0","0","0","0","0","0","0","0","0","0","2"
"ALVI AUTO","0","0","0","0","0","0","0","0","0","0","0","12","12"
"AMAN AUTOMOBILES","6","6","1","5","18","9","7","9","5","0","3","1","70"
"AMAN ELECTRIC VEHICLES","63","40","26","43","37","23","28","52","39","24","22","23","420"
"AMARJEET HARVESTER INDUSTRY","0","0","0","0","0","0","1","0","0","0","0","0","1"
"AMBIKA ENTERPRISES","0","0","0","0","0","2","1","2","3","1","0","0","9"
"AMBIKA INDUSTRIES","186","126","123","96","118","139","164","156","150","154","139","188","1739"
"AMMANN INDIA PVT LTD","0","0","5","2","0","0","0","0","0","1","0","1","9"
"AMO MOBILITY SOLUTIONS PVT LTD","0","2","7","0","0","1","4","1","6","1","0","0","22"
"AMPERE VEHICLES PRIVATE LIMITED","8","5","4","8","5","2","1","10","0","1","1","0","45"
"ANJALI AUTO COMPONENTS","1","4","0","2","2","0","0","15","7","5","5","2","43"
"ANVITA AUTO TECH WORKS PVT LTD","0","0","0","0","1","0","0","0","0","0","0","0","1"
"APARNA INDUSTRIES","15","5","2","0","2","2","0","0","5","0","1","0","32"
"APM AUTO SALES","45","39","33","30","34","59","66","60","59","39","46","53","563"
"APOLLO CARMIX EQUIPMENTS PVT LTD","1","0","1","1","0","0","1","0","1","0","0","0","5"
"ARCHIT ENTERPRISES","129","96","102","78","104","96","144","146","115","93","89","113","1305"
"ARD EXIM","1","0","0","0","1","0","0","0","0","1","1","0","4"
"ARIHANT ENTERPRISES","0","0","0","0","0","0","0","0","0","0","0","1","1"
"ARNA ELECTRIC AUTO PVT LTD","14","19","15","0","0","0","0","0","0","1","0","1","50"
"ARROW AUTOMOTIVE","0","0","0","0","0","18","4","8","10","0","0","1","41"
"ARYAN INDUSTRIES","0","0","0","0","0","0","0","0","0","1","0","2","3"
"ASHA IMPEX","17","12","7","16","28","22","24","15","36","23","25","15","240"
"ASHMA-MOTORS PVT LTD","6","7","5","3","3","3","12","8","1","5","6","7","66"
"ASHOK LEYLAND LTD","668","632","753","827","696","507","487","570","543","693","565","529","7470"
"ASTRO MOTORS PVT LTD","0","0","0","0","0","0","0","0","0","0","2","0","2"
"ATHER ENERGY LTD","131","175","388","124","174","131","277","274","385","486","465","241","3251"
"ATTOLENT AUTO GROUP PVT LTD","39","49","27","42","28","22","39","34","46","38","25","16","405"
"ATUL AUTO LTD","118","139","154","138","194","145","203","163","129","225","176","244","2028"
"ATUL GREENTECH PRIVATE LIMITED","0","3","5","1","2","17","11","15","8","25","31","30","148"
"ATUMOBILE PVT LTD","0","1","0","0","0","0","0","1","0","0","1","0","3"
"ATUT SANGAM","137","94","77","107","79","119","115","124","97","111","96","98","1254"
"AUDI AG","8","1","0","1","6","3","0","0","0","0","2","1","22"
"AUTOMOBILI LAMBORGHINI S.P.A","0","0","1","0","0","1","0","0","0","0","0","0","2"
"AVL ELECTRIC VEHICLES PVT LTD","73","61","107","87","142","121","116","132","138","114","122","161","1374"
"AVON CYCLES LTD","5","8","3","15","11","18","21","16","8","4","16","15","140"
