"Maker and Month Wise Data for Uttar Pradesh (2026)"

"Maker","2026-Jan","2026-Feb","2026-Mar","2026-Apr","2026-May","2026-Jun","2026-Jul","2026-Aug","2026-Sep","Total"
"3S INDUSTRIES PRIVATE LIMITED","61","56","48","41","62","48","58","35","6","415"
"A D AGRO WORKS","0","1","1","0","1","0","1","1","0","5"
"A K GUPTA & CO.","4","3","0","1","2","3","1","2","0","16"
"A N ENTERPRISES","3","0","0","2","0","5","4","5","0","19"
"A P I MOTORS PVT LTD","25","16","14","10","13","11","14","16","1","120"
"A R AGRO TECH","1","2","0","0","4","4","3","0","0","14"
"A-1 SUREJA INDUSTRIES","0","0","0","1","0","0","0","0","0","1"
"A.J ENTERPRISES","3","7","3","1","4","1","1","0","0","20"
"A.R. MOTOR","43","28","25","29","56","43","40","33","2","299"
"A.V.AUTOMOTIVES PVT LTD","27","11","12","21","21","12","15","6","1","126"
"AADITYA GARBAGE PRODUCTS PVT LTD","0","0","0","0","0","0","0","13","2","15"
"AAHANA COMMERCE PVT LTD","1","0","0","0","1","0","0","0","0","2"
"AAKK AUTO PVT LTD","16","11","15","16","14","22","36","18","2","150"
"AARON INDUSTRIES","4","0","1","0","0","0","0","0","0","5"
"ACCRETION POWER AUTOS","23","27","27","22","14","25","20","11","2","171"
"ACTION CONSTRUCTION EQUIPMENT LTD.","106","99","103","84","121","82","69","78","4","746"
"ADICO ESCORTS AGRI EQUIPMENTS PVT. LTD.","34","35","24","35","24","20","31","30","2","235"
"ADISHWAR AUTO RIDE INDIA PVT LTD","1","0","0","0","0","0","0","0","0","1"
"ADITYA SAI INDUSTRIES","8","5","2","5","7","0","8","5","2","42"
"ADM TECHNOLOGIES PVT. LTD.","2","2","2","3","3","2","1","1","0","16"
"ADRIS ELECTRIC PVT LTD","0","0","0","0","0","0","10","16","0","26"
"AERODRIVE PVT LTD","3","1","1","6","2","3","1","1","0","18"
"AEROEAGLE AUTOMOBILES PVT LTD","6","0","0","0","0","11","0","6","0","23"
"AFFLATUS ENGINEERING ENTERPRISES","0","0","0","0","0","2","0","0","0","2"
"AFKON AUTOMOTIVES PVT LTD","46","15","13","28","25","18","31","24","3","203"
"AFTEK MOTORS INDIA PVT LTD","0","0","0","2","0","0","1","0","0","3"
"AGHORESHWAR ELECTRIC VEHICLE","0","0","0","0","0","0","0","0","1","1"
"AGRI KING TRACTORS & EQUIPMENTS PVT LTD","0","2","1","2","3","2","1","3","0","14"
"AJAX ENGINEERING LTD","55","47","34","48","53","45","44","34","1","361"
"AJAY MOTORS PRIVATE LIMITED","20","21","8","14","16","12","12","8","1","112"
"AKAL AGRO INDUSTRY","0","2","1","1","0","1","0","0","1","6"
"AKG INTERNATIONAL","56","71","56","70","87","72","96","88","8","604"
"ALBEDO VISION PVT LTD","1","1","2","1","0","0","0","0","0","5"
"ALIED E MOBILITY PVT LTD","31","22","22","25","34","35","39","53","7","268"
"ALLFINE INDUSTRIES PVT LTD","73","98","120","115","107","113","138","118","19","901"
"ALTIER ELECTRIC VEHICLES PVT LTD","42","53","68","74","97","86","70","68","13","571"
"ALVI AUTO","7","10","7","2","13","13","24","14","2","92"
"AMAN AUTOMOBILES","18","13","24","23","44","43","39","22","4","230"
"AMAN ELECTRIC VEHICLES","23","41","19","36","50","37","39","29","15","289"
"AMAR ENGG. WORKS","1","1","3","1","4","3","0","1","0","14"
"AMARJEET HARVESTER INDUSTRY","1","0","0","1","2","1","3","0","1","9"
"AMBIKA ENTERPRISES","3","2","1","0","2","0","0","0","0","8"
"AMBIKA INDUSTRIES","119","109","109","155","103","131","132","132","18","1008"
"AMIR KHAN SAIFI STEEL WORKS","0","0","0","0","0","1","1","0","0","2"
"AMMANN INDIA PVT LTD","0","1","0","1","0","1","0","0","0","3"
"AMRIT AGRO INDUSTRIES","1","0","0","0","0","0","0","0","0","1"
"ANJALI AUTO COMPONENTS","1","2","0","0","0","4","1","0","0","8"
"APARNA INDUSTRIES","0","0","0","0","0","0","2","0","0","2"
"APM AUTO SALES","123","142","135","154","165","173","195","142","22","1251"
"APOLLO CARMIX EQUIPMENTS PVT LTD","0","0","0","1","0","0","2","0","0","3"
"APSARA ENTERPRISE","0","0","8","0","3","13","2","4","1","31"
"ARCHIT ENTERPRISES","101","109","109","119","87","115","164","114","33","951"
"ARIHANT ENTERPRISES","0","0","1","0","0","4","1","4","0","10"
"ARNA ELECTRIC AUTO PVT LTD","1","0","0","0","0","0","0","0","0","1"
"ARROW AUTOMOTIVE","17","17","14","22","17","14","32","22","4","159"
"ARYAN INDUSTRIES","13","22","19","23","26","34","36","27","13","213"
"ASHA IMPEX","14","18","14","12","9","8","13","5","2","95"
"ASHMA-MOTORS PVT LTD","5","15","6","1","7","12","5","15","0","66"
"ASHOK LEYLAND LTD","916","921","862","859","741","690","846","692","105","6632"
"ATHER ENERGY LTD","978","800","1657","1267","1241","1325","1297","1183","134","9882"
"ATTOLENT AUTO GROUP PVT LTD","9","24","21","17","22","25","17","12","1","148"
"ATUL AUTO LTD","110","111","164","188","101","121","74","64","9","942"
"ATUL GREENTECH PRIVATE LIMITED","15","11","8","9","7","8","8","0","1","67"
"ATUMOBILE PVT LTD","0","0","0","0","0","0","0","4","0","4"
"ATUT SANGAM","88","66","39","67","105","82","124","70","12","653"
"AUDI AG","1","1","2","0","0","1","0","1","0","6"
"AUTO SUPREME INDUSTRIES","1","2","1","1","3","3","4","0","0","15"
"AUTOMOBILI LAMBORGHINI S.P.A","1","0","0","0","0","0","0","0","0","1"
"AUTOZONE IMPEX LLP","0","0","0","0","0","8","5","3","0","16"
"AVL ELECTRIC VEHICLES PVT LTD","157","182","74","73","96","79","147","147","5","960"
"AVON CYCLES LTD","3","1","2","3","5","4","3","0","0","21"
"AVTAR AGRO INDUSTRIES","0","0","0","0","0","0","0","3","0","3"
"AVTAR ENGINEERING WORKS","5","1","1","2","2","3","3","5","1","23"
"B24 ROKET EV","13","10","14","7","21","9","17","3","0","94"
"BABA E-VEHICLES","10","9","7","10","10","11","16","9","0","82"
"BADSHAH ENTERPRISES","55","40","37","39","67","35","70","75","4","422"
"BAGHWAN RIKSHAW UDYOG","0","2","0","1","0","0","0","1","1","5"
"BAJAJ AUTO LTD","31154","30936","32964","38653","41389","30709","26644","22099","3659","258207"
"BAJAJ IMPLEMENTS PVT. LTD","19","9","6","5","8","7","9","8","2","73"
"BALAJI TRADING COMPANY","1","0","0","0","1","0","0","0","0","2"
"BALAN ENGINEERING PVT LTD","1","0","0","0","0","0","0","0","0","1"
"BALI AUTO INDUSTRIES","11","11","0","3","4","6","6","1","1","43"
"BALJEET KRISHI YANTRA","0","0","0","0","1","0","0","0","0","1"
"BAMUR INDUSTRIES & ENGINEERING PVT LTD","1","8","2","8","3","0","2","2","3","29"
"BANSAL AGRICULTURE IMPLEMENTS","2","0","0","2","1","1","0","0","0","6"
"BATTRE ELECTRIC MOBLITY PVT LTD","1","1","2","0","1","2","4","1","0","12"
"BAXY LTD","68","57","54","40","39","36","56","22","10","382"
"BENLING INDIA ENERGY AND TECHNOLOGY PVT LTD","0","2","2","6","3","4","7","7","0","31"
"BEST WAY AGENCIES PVT LTD","75","48","47","56","50","52","40","38","2","408"
"BGAUSS AUTO PRIVATE LIMITED","87","80","170","94","94","133","151","111","27","947"
"BHADAURIA ENTERPRISES","1","0","0","1","1","1","0","0","0","4"
"BHAGWAN AGRO INDUSTRIES","6","20","14","2","1","0","0","6","0","49"
"BHARATH MOTOCORP","16","17","11","14","11","5","23","28","6","131"
"BHAVE ELECTRIC VEHICLES PVT LTD","36","33","42","23","17","35","28","19","2","235"
"BHM AUTOMOTIVES PVT LTD","202","165","146","227","209","205","286","289","49","1778"
"BHOLE SHANKAR MOTOR BODY","1","2","0","0","0","0","0","1","0","4"
"BIG BULL TRADER PVT LTD","3","9","7","11","9","6","17","10","0","72"
"BMW INDIA PVT LTD","184","109","112","137","94","104","134","89","19","982"
"BOSS ENTERPRISES","23","13","27","29","21","33","28","18","3","195"
"BOUNCE ELECTRIC 1 PVT LTD","1","0","0","0","2","4","1","0","0","8"
"BPH MOBILITY PVT LTD","0","0","3","1","4","2","3","5","1","19"
"BRIGHT AUTOZONE PVT LTD","190","217","180","212","230","243","349","358","54","2033"
"BRIGHT SAFAR","17","13","13","6","14","21","14","15","4","117"
"BSERAIL ENGINEERING PVT LTD","3","1","0","9","0","5","6","3","0","27"
"BSMS AGRICULTURE WORKSHOP","0","0","0","0","0","0","1","0","0","1"
"BULL MACHINES PVT LTD","9","7","9","11","12","9","13","7","0","77"
"BYD INDIA PRIVATE LIMITED","17","22","14","34","47","41","42","20","4","241"
"CAPTAIN TRACTORS PVT. LTD.","1","0","0","4","1","0","0","0","0","6"
"CARREE YUNUS VEHICLE PVT LTD","16","16","7","14","9","16","46","63","9","196"
"CARRY MOTORS","0","0","0","0","0","0","3","0","4","7"
"CART INDIA","2","9","89","40","6","11","3","2","0","162"
"CASE NEW HOLLAND CONSTRUCTION EQUIPMENT(I) PVT LTD","5","4","3","6","5","6","3","4","1","37"
"CATERPILLAR INDIA PRIVATE LIMITED","10","4","5","18","14","5","12","7","1","76"
"CEEON INDIA","2","0","0","2","0","1","0","0","0","5"
"CELLETRON MOTOR WORKS","3","1","1","0","3","5","8","7","3","31"
"CG & BROTHER CO","17","15","18","17","33","19","16","17","3","155"
"CHAMPION POLY PLAST","196","171","186","223","212","266","263","223","38","1778"
"CHANDAKE-AUTOMOBILES LLP","0","1","0","0","0","0","0","0","0","1"
"CHANNY AGRO INDUSTRIES","0","1","0","0","0","1","0","0","0","2"
"CHAUHAN AUTO INDUSTRIES","0","0","0","3","0","0","0","0","0","3"
"CHEHAK BATTERIES","10","16","6","24","19","16","18","11","3","123"
"CHITRA MANUFACTURERS LLP","0","0","0","1","0","0","0","0","0","1"
"CITYGREEN AUTO & PETRO CHEMICALS (P) LTD","0","2","0","3","1","1","0","1","0","8"
"CLASSIC LEGENDS PVT LTD","432","485","463","510","431","462","407","335","41","3566"
"CNH INDUSTRIAL (INDIA) PVT LTD","634","545","474","642","555","404","625","523","79","4481"
"CONMAT HEAVY INDUSTRIES PVT LTD","0","0","1","2","1","0","0","1","0","5"
"CONTINENTAL ENGINES PVT LTD","1","0","1","0","1","0","0","0","0","3"
"CRANE KRAFT INDIA PRIVATE LIMITED","5","1","9","5","1","4","0","3","1","29"
"CREATIVE AUTOMOTIVE","0","0","0","1","12","35","34","40","4","126"
"CYRUS AUTO INDUSTRIES PVT LTD","0","0","0","0","1","0","3","0","0","4"
"D S INDUSTRIES","0","1","0","0","0","1","0","0","0","2"
"D&V AUTO INDUSTRIES PVT LTD","7","7","6","10","17","8","10","7","2","74"
"DAIMLER INDIA COMMERCIAL VEHICLES PVT. LTD","21","22","33","39","22","40","15","34","4","230"
"DAKSH INDUSTRY PVT LTD","170","194","166","208","205","222","228","221","49","1663"
"DASHMESH TRADERS","0","0","0","0","0","0","0","1","0","1"
"DASMESH AGRICULTURE WORKS","2","7","11","1","13","6","2","6","1","49"
"DASMESH MECHANICAL WORKS PVT.LTD","24","55","25","10","32","22","18","18","2","206"
"DE EUSI MOTORS PVT LTD.","31","47","43","23","27","21","26","20","1","239"
"DEBU AUTOMOBILES","2","1","0","0","1","1","1","2","0","8"
"DEEP ELECTRIC VEHICLES","2","7","5","1","5","9","7","15","0","51"
"DELTA AUTOCORP LTD","12","10","2","2","1","3","2","3","0","35"
"DELTEK ENTERPRISES PVT LTD","0","0","1","1","0","1","2","2","0","7"
"DEV AGRO INDUSTRIES","1","0","0","3","1","0","0","1","0","6"
"DEV MOTORS","134","74","109","99","90","214","186","241","28","1175"
"DEVAM ELECTRIC VEHICLES PVT LTD","4","2","0","1","1","2","2","15","1","28"
"DEWAN AGRICULTURE WORKS","3","3","4","1","0","7","3","0","0","21"
"DHANJAL AGRICULTURE INDUSTRIES","0","0","0","0","0","0","0","2","0","2"
"DHAR IN PVT LTD","8","14","19","14","32","25","18","23","7","160"
"DHARMPAL ENTERPRISES","20","12","8","17","20","30","17","27","0","151"
"DHIMAN AGRICULTURE","1","1","0","4","0","0","0","1","0","7"
"DHIMAN AGRICULTURE WORKS","0","0","0","1","1","0","0","0","0","2"
"DHIMAN AGRO INDUSTRIES","0","0","0","0","2","0","0","2","0","4"
"DHIMAN BROTHERS","0","0","0","0","0","1","0","0","0","1"
"DIAMOND E VEHICLES","88","67","45","81","86","76","85","61","4","593"
"DILLI ELECTRIC AUTO PVT LTD","541","506","440","390","507","471","515","439","42","3851"
"DIVANSU AUTOMOBILES LTD","0","0","1","1","2","6","1","0","0","11"
"DIVYA ENTERPRISES","80","59","32","47","59","80","92","124","10","583"
"DOOSAN BOBCAT INDIA PVT LTD","1","0","0","3","1","8","4","0","0","17"
"DUCATI INDIA PVT LTD","1","0","0","2","0","0","0","0","0","3"
"DUKE AUTO INDIA","15","28","44","37","35","41","50","46","8","304"
"DYS IMPEX PRIVATE LIMITED","5","1","0","0","1","0","0","1","0","8"
"E-ASHWA AUTOMOTIVE PVT LTD","0","0","0","0","0","1","0","0","0","1"
"E-GURU AUTO ENERGY","1","5","2","1","3","9","2","1","1","25"
"E-MOTION AUTOMOTIVE INDUSTRY LLP","14","10","12","7","5","12","4","6","1","71"
"E-POWER CORP","0","0","0","0","0","0","2","0","0","2"
"E-RIGHT MOBILITY PVT LTD","0","0","0","0","0","0","0","18","4","22"
"E-SPRINTO GREEN ENERGY PVT LTD","0","95","1","0","0","1","0","0","0","97"
"EARTH MOBILITY","0","0","0","0","0","0","0","0","1","1"
"ECO SMART VEHICLES PVT LTD","32","22","29","22","17","17","38","31","0","208"
"ECO-FRIENDLY ELECTRIC VEHICLE PVT LTD","36","33","39","36","40","51","46","39","16","336"
"ECOBIT INTERNATIONAL(IMPORTER: JHEV MOTORS)","0","1","0","0","0","0","0","1","0","2"
"EFEV CHARGING SOLUTION PVT LTD","32","29","16","26","19","19","26","21","2","190"
"EICHER TRACTORS","2320","1558","1315","1386","1385","1340","1486","1555","132","12477"
"ELECTRODRIVE VEHICLES PVT LTD","4","1","1","3","3","5","1","3","0","21"
"ELITE AUTO ENGINEERS PVT LTD","16","28","9","22","13","44","12","12","14","170"
"ENABLING E-VEHICLE PVT LTD","5","7","2","1","3","2","1","1","0","22"
"ENERGY ELECTRIC VEHICLES","534","530","453","423","515","533","603","493","88","4172"
"ENTICE IMPEX PVT LTD","13","1","0","10","4","22","16","10","2","78"
"EPOWER VEHICLES PVT LTD","3","5","5","18","6","6","7","11","5","66"
"ESCORTS KUBOTA LIMITED (AGRI MACHINERY GROUP)","2419","2351","1672","1762","1772","1495","2150","2000","281","15902"
"ESCORTS KUBOTA LIMITED (CONSTRUCTION EQUIPMENT)","25","17","25","23","16","14","18","19","4","161"
"ESSEL ENERGY INFRA PVT LTD","1","0","0","0","0","0","0","0","0","1"
"EULER MOTORS PVT LTD","155","142","189","196","222","251","316","200","30","1701"
"EVBHARAT RANGE PRIVATE LIMITED","7","3","3","0","1","0","0","0","0","14"
"EVCO AUTOMOBILES PVT LTD","127","90","78","96","99","73","109","120","10","802"
"EVEX AUTO INDIA PVT LTD","0","0","0","0","0","1","0","0","0","1"
"EVOLUTION AUTOTECH","0","0","0","0","0","3","0","0","0","3"
"EVTRIC MOTORS PVT LTD","0","0","0","0","0","0","0","1","0","1"
"EXDINDUS EV ENERGY PVT LTD","0","0","10","7","3","8","4","12","3","47"
"EXIDE INDUSTRIES LTD","8","2","8","2","3","5","5","5","1","39"
"EXTRA FAST SOLUTIONS","10","10","0","1","9","15","15","9","0","69"
"EXTREME MOTORS","0","0","4","0","4","2","2","3","1","16"
"FARMTECH AGRO INDUSTRIES","1","0","1","1","0","0","2","0","0","5"
"FIORI CONCRETE MACHINES INDIA PVT LTD","0","0","1","5","0","0","0","1","0","7"
"FIRST CHOICE ELECTRIC VEHICLES PVT LTD","42","21","19","34","19","17","18","8","6","184"
"FIVE ELEMENTS","0","1","0","2","1","2","0","0","0","6"
"FLYRIDERS ELECTRIC SCOOTERS PVT LTD","6","5","6","5","7","15","13","9","1","67"
"FORCE MOTORS LIMITED","173","252","234","290","205","209","398","259","35","2055"
"FUTURE AUTOMOTIVE","2","2","5","2","0","5","3","5","0","24"
"G & G AUTOMOTIVE","1","0","0","0","1","1","4","3","0","10"
"G. M. VEHICLE INDUSTRIES","0","0","0","1","2","1","1","0","0","5"
"G.K. RICKSHAW LTD","7","1","0","0","0","0","0","3","1","12"
"G.T TRADER","0","0","0","0","0","3","0","0","2","5"
"GAGAN AUTOMOTIVES","35","41","17","23","43","40","51","19","1","270"
"GAHIR AGRICULTURAL INDUSTRIES","1","1","0","0","1","0","1","0","0","4"
"GALAXY GREEN VEHICLES PVT LTD","33","14","8","10","18","9","20","11","0","123"
"GARGARIJI AUTOMOBILE PVT LTD","8","6","9","18","12","26","34","32","5","150"
"GAUTAM AGRO INDUSTRIES","1","1","1","1","0","0","0","3","0","7"
"GAYATRI ELECTRIC VEHICLES PVT LTD","54","46","29","29","50","45","60","54","14","381"
"GIJ AGRITOOLS PVT LTD","0","0","0","1","0","0","1","0","0","2"
"GILL AGROTECH","0","0","0","0","0","0","1","0","0","1"
"GILLPREETAGRO INDUSTRIES","0","0","2","0","0","1","0","1","0","4"
"GKON ELECTRIC MOTOR VEHICLES PVT LTD","9","4","15","4","1","6","0","7","0","46"
"GKS RICKSHAW PVT LTD","0","4","3","10","6","1","0","1","0","25"
"GLAZE EV LLP","1","1","1","0","0","1","0","0","0","4"
"GOBIND AGRO INDUSTRIES","1","3","2","0","0","2","0","1","0","9"
"GODAWARI ELECTRIC MOTORS PVT LTD","4","5","0","0","1","0","0","1","0","11"
"GODREJ & BOYCE MFG. CO. LTD","0","0","0","0","1","3","1","0","1","6"
"GOLDEN ELECTRIC VEHICLES","18","16","17","23","16","7","31","14","4","146"
"GOPAL AUTO MOTORS PVT LTD","7","13","3","7","1","5","17","8","0","61"
"GOREEN E-MOBILITY PVT LTD","1","2","0","0","0","0","0","0","0","3"
"GOYAL AGRO INDUSTRIES","0","0","0","0","1","0","0","0","0","1"
"GRAVTON MOTORS PVT LTD","4","0","0","0","2","0","0","0","0","6"
"GRD MOTORS","55","77","47","41","38","58","52","40","5","413"
"GREAVES ELECTRIC MOBILITY LTD","224","178","399","314","418","597","809","537","37","3513"
"GREEN EVOLVE PVT LTD","1","1","2","7","11","5","22","27","12","88"
"GREEN STAR MOTORS","0","2","0","0","0","0","0","0","0","2"
"GREEN TECHNOLOGIES","7","7","3","2","5","10","7","7","0","48"
"GREENFIT INDUSTRIES LLP","47","72","70","86","102","107","65","41","3","593"
"GREENWHEELS AUTOMOBILE PVT LTD","134","109","107","81","86","103","118","84","10","832"
"GROMAX AGRI EQUIPMENT LTD","29","30","11","8","11","7","20","26","7","149"
"GTH2 ENERGY PVT LTD","0","1","0","0","0","0","0","0","0","1"
"GURDEEP ENGINEERING WORKS","1","1","0","0","1","0","0","0","0","3"
"GURM AGRICULTURE WORKS","2","1","2","1","0","0","0","1","0","7"
"GURMUKH AGRO INDUSTRIES","7","8","6","9","4","5","2","3","2","46"
"GURU JI WHEELS","0","0","1","0","0","0","0","0","0","1"
"GURU NANAK AGRI ENGG WORKS","4","4","2","1","1","0","4","5","1","22"
"GURU NANAK AGRI WORKS","0","0","1","0","0","0","0","0","0","1"
"GURU NANAK AGRO INDUSTRIES","3","1","2","4","2","3","3","0","0","18"
"GURU NANAK GROUP OF INDUSTRIES","0","2","1","1","1","0","1","0","0","6"
"H R AGRO INDUSTRIES","1","1","0","1","1","1","3","1","0","9"
"HANUMAN UDYOG","9","19","20","17","23","26","13","44","5","176"
"HARJEET AGRO INDUSTRIES","1","1","0","0","0","4","1","8","0","15"
"HARLEY DAVIDSON (IMPORTER: HERO MOTOCORP)","0","0","0","0","3","0","3","1","0","7"
"HARMEET AGRICULTURE WORKS","1","2","0","0","1","0","0","0","0","4"
"HARSH TRADING CO","48","50","45","34","53","42","55","59","18","404"
"HD HYUNDAI CONSTRUCTION EQUIPMENT INDIA PVT LTD","0","0","0","2","0","0","0","0","0","2"
"HEPASU ELECTRICS PVT LTD","0","0","0","0","0","0","0","2","0","2"
"HERO ELECTRIC VEHICLES PVT. LTD","1","0","0","5","0","0","0","0","0","6"
"HERO MOTOCORP LTD","112319","114412","131699","162122","157308","122333","93278","84654","16918","995043"
"HEXALL MOTORS PVT LTD","0","1","0","1","0","0","0","0","0","2"
"HIM TEKNOFORGE LTD","6","55","3","7","4","4","3","1","1","84"
"HIND AGRO INDUSTRIES","2","1","0","1","2","2","4","2","1","15"
"HINDUSTAN AUTO","0","0","0","0","2","0","0","0","0","2"
"HIRA AGRO INDUSTRIES","1","5","10","17","3","1","4","6","3","50"
"HITECH  MECHANICAL WORKS","4","0","0","0","0","0","2","0","0","6"
"HONDA CARS INDIA LTD","711","568","611","654","457","445","532","341","58","4377"
"HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD","34767","30911","35600","39476","40542","34974","33094","31469","4714","285547"
"HOOGHLY MOTORS PVT LTD","160","109","74","110","109","126","120","66","14","888"
"HOP ELECTRIC MOBILITY PVT LTD","1","1","0","0","0","0","0","0","0","2"
"HOP MOTORS PVT LTD","4","0","1","4","1","1","1","0","0","12"
"HOTAGE INDIA","477","477","471","487","513","537","626","525","99","4212"
"HOTAGE OVERSEAS PVT LTD","1","0","0","0","0","2","7","6","2","18"
"HOVEL CYLINDER PVT LTD","1","1","0","0","0","0","1","1","0","4"
"HOVEL ELECTRIC LLP","0","1","0","2","0","1","2","2","0","8"
"HSU DRAGON (IMPORTER: HUMAN CENTERED)","25","10","0","0","0","0","0","0","0","35"
"HUNDAL INDUSTRIES","23","19","15","11","29","15","16","15","4","147"
"HYUNDAI MOTOR INDIA LTD","7476","4780","4473","4790","4223","4015","3990","3500","445","37692"
"IBOARD INDIA LTD","2","0","0","0","0","0","0","0","0","2"
"INAYAT ELECTRIC VEHICLES","0","0","0","0","0","0","0","2","0","2"
"INDERPREET AGRO INDUSTRIES","2","1","0","1","4","0","0","0","0","8"
"INDIA KAWASAKI MOTORS PVT LTD","13","19","8","9","11","8","12","9","2","91"
"INDIA SHINE TECHNOLOGIES","8","6","7","6","18","15","8","28","2","98"
"INDIA YAMAHA MOTOR PVT LTD","2389","2258","2441","2621","2573","2312","2020","1863","297","18774"
"INDIAN ENTERPRISES","0","0","0","0","0","14","9","10","2","35"
