"Maker and Month Wise Data for West Bengal (2021)"

"Maker","2021-Jan","2021-Feb","2021-Mar","2021-Apr","2021-May","2021-Jun","2021-Jul","2021-Aug","2021-Sep","2021-Oct","2021-Nov","2021-Dec","Total"
"A.S.R BODY WORKS","0","0","0","0","0","0","2","0","0","0","0","0","2"
"A1 HEAVY EQUIPMENTS DEVELOPER","0","0","1","0","0","0","0","0","0","0","0","0","1"
"AAHANA COMMERCE PVT LTD","20","23","24","13","3","0","12","37","27","0","0","8","167"
"ACTION CONSTRUCTION EQUIPMENT LTD.","19","25","29","14","7","14","24","17","29","4","6","18","206"
"ADICO ESCORTS AGRI EQUIPMENTS PVT. LTD.","0","1","6","0","4","0","0","0","0","0","3","1","15"
"ADIDEV TECHNOA PVT LTD","5","0","10","0","0","0","0","0","0","0","0","0","15"
"ADISHAKTI TRACTORS","0","0","0","0","0","0","0","0","1","6","4","3","14"
"ADISHWAR AUTO RIDE INDIA PVT LTD","5","8","12","12","10","7","17","12","18","13","25","11","150"
"AGRO INDUSTRIES","0","0","0","0","0","0","0","1","0","0","0","0","1"
"AJAX ENGINEERING LTD","1","5","5","3","1","2","1","5","4","1","0","1","29"
"ALL TERRAIN CRANE","0","0","0","1","0","0","0","0","0","0","0","0","1"
"ALTIGREEN PROPULSION LABS PVT LTD","0","0","0","0","0","0","0","0","10","5","0","5","20"
"AMMANN INDIA PVT LTD","0","1","0","0","0","0","0","0","0","0","0","0","1"
"AMPERE VEHICLES PRIVATE LIMITED","0","2","0","4","0","7","5","16","2","2","68","33","139"
"ANJALI TRADERS","3","12","2","2","2","2","3","3","2","0","0","0","31"
"APSARA ENTERPRISE","39","8","14","3","8","22","9","13","1","0","0","0","117"
"ARROW AUTOMOTIVE","8","36","28","5","16","10","20","27","16","2","0","3","171"
"ASHOK LEYLAND LTD","144","198","269","231","112","142","204","147","230","182","233","263","2355"
"ASTON MARTIN LAGONDA PVT LTD","0","1","0","0","0","0","0","0","0","0","0","0","1"
"ATHER ENERGY LTD","0","0","0","0","0","0","0","0","0","1","27","21","49"
"ATUL AUTO LTD","19","12","11","4","1","1","6","5","7","4","8","9","87"
"AUDI AG","3","3","1","1","1","0","4","1","5","5","2","4","30"
"AUTOHAUS PRIVATE LIMITED","23","3","1","0","0","0","1","15","17","4","0","0","64"
"AUTOMOBILI LAMBORGHINI S.P.A","0","0","0","0","0","0","0","1","0","0","0","0","1"
"AVON CYCLES LTD","0","0","1","0","0","0","0","0","0","0","0","0","1"
"BABA PRODUCT","0","0","0","0","0","0","0","0","0","0","4","10","14"
"BAJAJ AUTO LTD","8673","8011","9428","7015","3584","6952","9594","8581","9088","6729","9752","10145","97552"
"BANDHAN ELECTRIC VEHICLES LLP","31","6","8","4","4","1","2","3","9","0","0","0","68"
"BENTINCK INDUSTRIES PVT. LTD.","0","6","1","2","0","0","2","2","8","1","1","0","23"
"BEST WAY AGENCIES PVT LTD","69","39","56","28","32","27","48","74","33","1","1","0","408"
"BIG BULL TRADER PVT LTD","28","27","10","3","1","0","22","26","5","0","0","0","122"
"BMW INDIA PVT LTD","26","28","40","28","17","19","35","51","56","33","47","48","428"
"BSA MOTORS","0","0","0","0","0","0","0","0","0","0","1","0","1"
"BULL MACHINES PVT LTD","1","0","2","1","0","3","0","3","2","0","0","2","14"
"CARDWELL RIG","0","0","0","0","0","0","0","1","0","0","0","0","1"
"CASE NEW HOLLAND CONSTRUCTION EQUIPMENT(I) PVT LTD","2","7","11","9","3","1","9","11","40","8","1","1","103"
