"Norms and Month Wise Data for All State (2019-2021)"\n\nNorms,2019-Jan,2019-Feb,2019-Mar,2019-Apr,2019-May,2019-Jun,2019-Jul,2019-Aug,2019-Sep,2019-Oct,2019-Nov,2019-Dec,2020-Jan,2020-Feb,2020-Mar,2020-Apr,2020-May,2020-Jun,2020-Jul,2020-Aug,2020-Sep,2020-Oct,2020-Nov,2020-Dec,2021-Jan,2021-Feb,2021-Mar,2021-Apr,2021-May,2021-Jun,2021-Jul,2021-Aug,2021-Sep,2021-Oct,2021-Nov,2021-Dec,Total
BHARAT STAGE I,261,213,132,161,135,106,95,99,88,104,98,89,97,96,79,8,13,30,34,28,42,71,39,94,57,56,93,21,7,20,32,53,53,16,33,16,2669
BHARAT STAGE II,240,188,113,114,162,134,118,88,97,93,93,71,89,102,139,9,17,23,43,59,107,95,64,62,40,67,65,35,9,14,34,50,53,21,43,29,2780
BHARAT STAGE III,16748,16544,16260,10768,10334,11935,14735,12083,9286,9844,11590,13854,13693,11811,27583,1264,2025,10973,15835,13174,13153,11927,13123,14997,13949,10765,13657,5398,2947,11529,16374,11585,9840,8955,10168,12864,431570
BHARAT STAGE III/IV,521,559,411,324,361,251,442,313,242,239,303,256,301,347,429,13,1,48,31,35,28,38,27,27,13,34,30,23,13,25,13,27,15,27,18,19,5804
BHARAT STAGE IV,2029917,1833435,2001248,1977902,2085658,1922356,2016963,1771770,1615082,2049443,2453120,1794374,1834634,1702827,2361724,450533,39052,83842,48743,28342,63303,18028,11501,7808,8060,4950,5208,2905,920,2570,3724,3522,3845,3266,3199,3257,30247031
BHARAT STAGE VI,364,388,757,1206,7790,18155,29138,35402,44183,88784,102206,89884,160298,263295,380118,26600,201166,1033761,1230969,1329852,1478583,1615452,2108564,2081359,1832282,1674566,1821674,1304660,587799,1375737,1706784,1504573,1417693,1504759,1998984,1692446,30750231
Bharat Trem Stage III,229,270,308,304,211,226,214,223,301,265,251,306,276,395,674,121,46,172,282,315,562,418,328,454,518,594,725,275,112,307,311,334,440,349,182,234,11532
Bharat Trem Stage III A,49680,42319,47056,35616,37687,39326,54227,51452,36935,34870,44260,49959,52961,50582,59776,5518,9509,45422,77581,68221,72628,57706,52878,73073,63530,66408,73641,40515,17129,54762,85459,74097,55956,46399,48076,64890,1840104
Bharat Trem Stage III B,3,2,1,1,0,0,2,1,1,0,1,2,2,0,1,0,0,0,1,5,0,2,2,0,2,0,0,1,0,0,0,1,0,1,0,1,33
Bharat Stage III CEV,4732,4337,5232,4193,4250,3627,4054,3396,3258,3836,4942,4580,4462,5053,5597,1008,452,2617,3443,3562,5391,4559,4629,6053,5846,6499,8805,4365,1259,2823,3306,2963,4293,2637,2145,1967,144171
CEV STAGE IV,3,8,9,7,1,1,0,4,0,0,1,1,5,6,0,0,1,0,2,1,0,3,8,14,1,13,24,47,84,380,744,921,1316,1519,1773,2104,9001
CEV STAGE V,0,0,5,0,0,0,0,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,1,0,0,0,3,2,0,1,0,5,46,55,53,63,240
EURO 6AD,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
EURO 1,9,6,11,13,11,8,6,5,5,3,9,6,3,7,4,0,0,2,2,0,2,1,5,6,1,1,2,0,1,0,2,0,5,0,1,2,139
EURO 2,11,9,7,9,12,10,8,9,7,6,7,9,13,5,29,0,1,5,2,7,12,13,22,12,3,4,5,10,2,1,4,10,18,18,15,13,328
EURO 3,32,32,18,34,20,19,22,21,18,21,22,24,34,25,74,2,2,1,2,4,9,3,7,1,2,1,7,4,3,1,2,2,35,31,25,22,582
EURO 4,121,76,79,83,84,74,110,145,134,178,187,182,188,207,440,189,0,18,4,5,32,8,7,22,11,12,7,1,0,0,0,2,3,7,2,6,2624
EURO 6,1,0,8,10,3,5,9,20,21,20,13,12,16,12,11,3,2,3,20,35,139,139,36,52,51,11,11,15,20,8,16,10,5,3,3,3,746
EURO 6A,0,0,0,0,0,0,3,2,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,1,1,4,1,0,0,0,0,0,1,1,2,8,28
EURO 6B,0,0,0,0,0,0,0,1,4,0,1,0,2,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,13
EURO 6C,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,6
EURO 6D,0,0,0,0,0,0,5,7,15,24,9,10,18,12,22,3,1,2,4,3,4,1,3,0,0,0,0,0,1,1,3,0,3,1,0,0,152
Not Applicable,1,5,6,3,3,3,1,3,5,4,1,5,3,1,2,0,2,1,3,3,2,1,1,0,1,3,4,2,0,7,1,1,6,1,2,1,88
Not Available,119739,100103,119533,31003,19217,18120,20231,20217,22356,22399,26120,24872,24075,24529,23822,1522,3002,13953,16266,16040,22418,21671,23413,26463,26662,30916,41246,22084,5573,17546,36492,39230,45539,49634,52282,63302,1191590
TREM STAGE IV,62,38,44,29,31,32,27,30,13,28,39,29,20,38,50,5,3,5,6,5,2,3,4,10,2,1,2,6,0,3,5,8,4,1,4,12,601
TREM STAGE V,2,4,2,7,0,0,1,1,1,2,3,1,1,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29
Total,2222676,1998536,2191240,2061787,2165970,2014388,2140412,1895293,1732052,2210163,2643276,1978527,2091192,2059358,2860577,486801,255295,1190879,1393274,1459696,1656419,1730140,2214662,2210509,1951032,1794908,1965210,1380369,615879,1465735,1853306,1637394,1539169,1617701,2117010,1841259,64642094
