"Norms and Month Wise Data for All State (2025-2026)"\n\nNorms,2025-Jan,2025-Feb,2025-Mar,2025-Apr,2025-May,2025-Jun,2025-Jul,2025-Aug,2025-Sep,2025-Oct,2025-Nov,2025-Dec,2026-Jan,2026-Feb,2026-Mar,2026-Apr,2026-May,2026-Jun,2026-Jul,2026-Aug,2026-Sep,Total
BHARAT STAGE I,1,8,4,5,4,6,6,4,1,7,3,3,11,15,5,1,28,0,0,3,12,127
BHARAT STAGE II,134,37,58,30,67,43,73,58,29,32,100,125,34,20,31,35,58,1,7,34,10,1016
BHARAT STAGE III,337,326,296,215,264,250,237,173,168,161,214,196,195,248,343,124,175,256,326,192,40,4736
BHARAT STAGE III/IV,9,12,23,45,33,41,77,62,52,44,52,90,4,4,26,0,0,0,2,0,0,576
BHARAT STAGE IV,294,312,434,204,252,267,158,168,227,418,287,526,480,507,636,321,288,335,214,194,50,6572
BHARAT STAGE VI,2120602,1769710,1927380,2145621,2042610,1821586,1765426,1770943,1657504,3835059,3078041,1800107,2482742,2213063,2425730,2382674,2203701,2177071,2167097,2042043,248014,44076724
Bharat Trem Stage III,19,11,5,6,6,8,6,13,13,4,6,7,12,10,7,3,5,11,12,0,0,164
Bharat Trem Stage III A,92539,65049,73058,60247,71700,77907,89085,84448,64469,73444,125800,114064,113692,89428,82457,75658,83016,101704,117896,86446,8053,1750160
Bharat Trem Stage III B,0,1,0,4,13,28,28,20,20,6,4,7,4,25,32,2,0,0,0,3,0,197
Bharat Stage III CEV,3328,2134,2323,1798,1342,2252,369,140,49,26,22,33,11,12,7,17,16,22,13,20,4,13938
CEV STAGE IV,4339,2299,2486,1812,1517,3055,58,64,96,48,19,42,12,31,27,71,22,32,24,10,3,16067
CEV STAGE V,780,2205,3315,2788,2977,3228,2990,3468,4295,5711,5539,5679,6772,6626,6785,6247,5107,5166,5435,5109,826,91048
EURO 6AD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EURO 1,0,2,1,0,0,2,3,4,1,5,2,7,7,9,1,0,0,0,1,3,0,48
EURO 2,3,2,7,4,3,1,3,1,4,1,1,1,0,3,0,0,0,0,1,0,0,35
EURO 3,6,9,10,5,20,14,20,12,18,12,13,14,6,5,6,0,0,2,3,0,0,175
EURO 4,0,1,0,4,9,9,21,12,8,0,0,1,0,0,6,0,0,0,0,1,0,72
EURO 6,128,51,73,46,51,86,4,6,7,4,5,7,10,6,13,6,1,6,0,0,0,510
EURO 6A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
EURO 6B,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EURO 6C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EURO 6D,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Not Applicable,2,1,1,0,1,1,1,1,0,0,1,0,0,0,0,1,0,2,0,0,0,12
Not Available,184643,151585,221303,181255,192332,193315,202446,204985,201118,252423,237557,222175,237988,212620,300080,258472,282517,316492,338568,304998,35750,4732622
TREM STAGE IV,3152,3279,3835,2664,2798,2336,2368,2647,2928,2920,3512,3734,3959,4061,4064,2469,2889,2631,2234,2953,328,61761
TREM STAGE V,24,12,15,25,34,27,22,16,28,91,198,70,42,24,18,11,15,52,82,115,17,938
Total,2410340,1997046,2234627,2396779,2316033,2104462,2063401,2067245,1931035,4170416,3451376,2146889,2845981,2526717,2820274,2726113,2577838,2603783,2631915,2442124,293107,50757501
