"State Wise and Month Wise Data for All State (2019-2021)"\n\nState,2019-Jan,2019-Feb,2019-Mar,2019-Apr,2019-May,2019-Jun,2019-Jul,2019-Aug,2019-Sep,2019-Oct,2019-Nov,2019-Dec,2020-Jan,2020-Feb,2020-Mar,2020-Apr,2020-May,2020-Jun,2020-Jul,2020-Aug,2020-Sep,2020-Oct,2020-Nov,2020-Dec,2021-Jan,2021-Feb,2021-Mar,2021-Apr,2021-May,2021-Jun,2021-Jul,2021-Aug,2021-Sep,2021-Oct,2021-Nov,2021-Dec,Total
Andaman & Nicobar Island,864,743,815,743,753,665,818,715,695,832,702,767,870,662,693,157,121,611,615,2,581,651,687,564,525,540,636,728,8,7,690,541,449,462,586,545,21043
Andhra Pradesh,91570,97282,102074,107658,101928,91854,90239,86103,68990,151515,91544,63896,95790,96372,103002,11490,32870,82477,61632,85634,90645,128357,118541,80020,110375,85500,84832,81266,52701,67636,76203,75394,67656,107193,82539,56077,3078855
Arunachal Pradesh,2296,2295,3103,2361,3098,2880,2914,2675,2845,2682,3150,4690,4395,1717,3540,861,357,872,596,1147,1689,1758,2094,2008,1952,2151,2521,2203,1062,1470,1879,2097,2122,1949,2110,1996,79535
Assam,37188,44082,48095,43843,50061,44538,39333,40262,42438,52284,46053,27500,37029,43243,50232,1468,11628,27118,23364,29521,40378,50084,46874,45475,50888,45120,46320,41254,19763,28775,30957,35122,34644,42559,40147,41350,1378990
Bihar,74908,96778,120062,103935,129373,128954,106295,88178,93700,94963,137020,93364,92316,115338,178537,3783,10853,96057,61683,84184,90115,77832,122097,104244,74731,84402,98765,94457,59686,113795,85263,69731,60954,65672,123386,79240,3314651
Chandigarh,2048,5467,3082,4160,3546,3238,3717,4175,2036,7394,3182,4089,3378,3588,3368,262,731,1912,2304,2340,2240,3416,3941,3191,3192,3255,4129,2752,943,3450,3337,3322,2887,3801,4160,3374,115407
Chhattisgarh,61199,60553,63589,54619,53633,46696,54826,42024,36836,68026,83830,42668,49619,56930,62807,1316,9976,33501,34304,33292,28884,44848,80161,46168,41117,45126,47031,13472,7558,40134,40681,36422,32873,44704,73509,33257,1606189
Delhi,61276,48800,52289,56689,54521,48071,50445,48643,42488,71789,61856,38387,53572,44590,34975,1930,9024,33078,37212,37736,31063,44695,60186,34183,48840,44441,51842,24588,70,37069,43767,42624,31367,43455,54032,36060,1515653
Goa,7181,5543,5177,6127,5370,3977,4030,6603,4348,8658,7196,9893,4568,4942,4107,348,2393,2122,2220,3769,3115,5110,5764,3942,5196,4989,5218,5010,846,2402,2842,3946,4559,5313,5633,4962,167419
Gujarat,130921,122477,127398,132639,130461,111009,140799,127281,98101,193384,183944,131007,123617,121771,156059,12125,5836,62312,84192,89908,70092,118419,154972,125589,106130,108652,106253,74168,54696,87741,117421,97360,108490,121443,145095,129679,4011441
Haryana,80463,57173,67563,75309,61912,60808,72654,68798,61979,62034,108309,69815,69700,63582,66578,29405,3374,31871,54737,46749,47482,47114,63698,79828,57830,51729,61811,54927,13240,53242,45919,54330,56502,46590,68232,66184,2081471
Himachal Pradesh,11554,8845,9699,10549,11050,10195,11885,12250,8960,12163,17689,14016,11086,10371,13597,3669,729,7069,13967,12840,12787,13389,18460,15849,10777,7917,10176,8873,3504,9293,12069,10473,9450,8662,12863,11014,387739
Jammu and Kashmir,14390,9193,12660,12794,19241,15574,19396,6879,8016,8536,7721,10398,15498,21205,33200,9742,106,1939,8907,24685,21711,18649,15822,12959,10176,11055,14098,14052,4959,14694,17258,17261,12999,14481,14656,11414,486324
Jharkhand,53795,38569,43750,46711,53842,47420,45171,37177,37423,49865,60646,45169,41013,49697,77119,4520,899,34825,40204,36647,42171,41274,67412,47365,38725,40052,61463,32239,24805,40083,37500,34675,31500,36402,59627,33596,1513351
Karnataka,151522,130532,141520,124177,138885,133862,127220,128490,112532,139180,150281,102243,141362,128757,152298,17322,37862,92374,79848,96010,114484,104558,131600,109774,136325,112145,126299,87097,6580,31771,121355,115973,117156,108185,103123,113161,3965863
Kerala,96926,77439,100956,45778,78729,78670,78995,64518,79790,89453,69565,55949,77931,64748,68456,2365,15750,48341,42135,42729,74855,72157,69199,62868,80404,70556,82736,85179,12569,29379,63133,79025,74492,61017,63019,64590,2324401
Ladakh,195,16,113,96,183,398,373,317,34,113,61,208,83,79,563,220,0,8,13,113,352,192,545,310,350,146,102,34,105,156,712,605,548,362,394,250,8349
Lakshadweep,134,147,146,171,146,179,155,80,70,121,160,89,151,118,123,60,43,69,61,56,63,61,135,128,126,112,209,133,64,75,91,39,43,64,122,123,3867
Madhya Pradesh,141491,122108,126110,122408,147580,128211,146756,95947,79973,106289,163693,154234,130821,122981,167899,97054,2416,58238,100344,98955,95416,85135,128829,174408,133366,96579,112391,38469,7311,114785,131038,93559,88671,70736,124671,139466,3948338
Maharashtra,223004,168318,188008,196662,204322,161160,164812,156141,151042,206976,277044,208190,214244,172901,267901,21509,5757,60097,100670,121171,155170,175401,235784,243884,203364,185940,187524,74121,35435,114618,206607,178384,142495,188219,219116,186948,6002939
