"State Wise and Month Wise Data for All State (2025-2026)"\n\nState,2025-Jan,2025-Feb,2025-Mar,2025-Apr,2025-May,2025-Jun,2025-Jul,2025-Aug,2025-Sep,2025-Oct,2025-Nov,2025-Dec,2026-Jan,2026-Feb,2026-Mar,2026-Apr,2026-May,2026-Jun,2026-Jul,2026-Aug,2026-Sep,Total
Andaman & Nicobar Island,719,636,672,710,788,774,886,797,739,1040,899,999,1066,930,1131,948,884,1061,1214,831,298,18022
Andhra Pradesh,64782,72521,65440,74835,66162,66864,65728,70252,51375,135137,129832,63184,71542,86704,100130,95278,83975,98055,98638,94725,9705,1664864
Arunachal Pradesh,2920,2646,2856,3313,3310,3494,4163,3801,3048,3975,3595,3435,3476,3396,3522,3840,3707,3943,3899,3553,387,70279
Assam,60206,46907,54742,47180,43342,43225,43524,43256,51991,65975,46811,48366,54176,50352,58924,58478,55372,51517,47287,49230,4943,1025804
Bihar,92611,102887,114992,134407,151888,118200,95709,80611,57195,237758,227199,93661,119163,129260,141656,163559,145579,133021,115364,104272,8701,2567693
Chandigarh,4231,3166,4220,3887,3485,3890,4335,3949,4311,6249,5072,4152,4827,4053,4946,4589,4182,5184,4708,4568,462,88466
Chhattisgarh,68430,57964,59787,55789,51186,52661,49865,47256,48842,132952,69229,45070,75204,64913,64097,51922,50773,55585,54790,48882,4455,1209652
Delhi,75046,50172,59669,58859,69447,58374,67427,61631,60480,114786,88937,53192,85343,61258,70698,68060,69801,69951,75329,73001,9038,1400499
Goa,8075,6198,7789,6137,4926,5280,5477,8145,7286,11374,8085,7572,8167,7348,9177,7077,6348,6832,6717,7110,976,146096
Gujarat,164953,126621,138403,140167,134078,141089,152354,181916,173947,333816,233241,169519,209436,174047,192053,164970,158411,176799,212273,194596,26917,3599606
Haryana,99728,72812,78771,82224,80190,81012,79543,77362,71635,148371,131201,78255,103660,87406,93038,92300,91305,87996,100174,92437,12181,1841601
Himachal Pradesh,14251,10921,11067,12091,12505,12317,11518,11459,7797,13850,27602,17362,15421,13173,13341,14116,13348,12287,16452,13357,1881,276116
Jammu and Kashmir,13166,11732,14565,16448,14483,14579,18009,15252,14437,27771,15726,14149,14561,16652,20252,20127,19951,22215,21281,21857,2464,349677
Jharkhand,47108,43557,52118,61529,58315,52789,44895,42144,45979,115174,69011,46514,58145,51454,63110,70959,61800,58544,54974,49634,3528,1151281
Karnataka,171925,131540,158656,147490,150340,143397,135809,164327,139512,256806,181778,131432,196599,169493,202935,185414,174086,188678,185564,185163,19975,3420919
Kerala,74393,56454,66950,65420,69792,66529,68659,87900,74932,99294,78530,79416,92379,80588,88977,81105,87443,94813,93685,102268,12496,1622023
Ladakh,246,137,211,296,567,594,504,359,231,444,343,367,301,152,170,466,664,723,637,560,41,8013
Lakshadweep,49,135,136,126,105,100,57,41,50,39,68,104,94,150,128,100,126,75,60,75,9,1827
Madhya Pradesh,138259,116868,138864,145360,136374,106719,103170,104091,105261,317392,184208,102906,163860,150712,171638,149238,135368,128108,126402,116779,11565,2853142
Maharashtra,289719,198183,266984,277152,229809,218564,232054,239674,211032,448928,408237,267800,342616,270954,332549,302090,252940,262315,276737,267149,34959,5630445
Manipur,2142,2758,2183,2936,1278,3066,2649,4629,2988,3900,3343,3776,3417,3736,4036,2832,4141,3096,1453,2013,309,60681
Meghalaya,3816,2973,3497,3460,3415,3274,3784,3459,3698,4938,4101,3242,3812,3616,3830,3647,3976,4247,3857,3813,609,75064
Mizoram,2404,2191,2568,2874,2541,2332,2514,2302,2595,2814,2512,2684,3228,2481,3112,2821,3020,3104,3502,2858,388,54845
Nagaland,2353,2372,2146,2537,2285,2009,2497,2027,2172,1202,3139,2108,2900,2583,2706,2736,2334,2435,2585,2364,463,47953
Odisha,69875,68617,80583,71039,68691,68071,60195,56447,70115,136360,73504,70633,87222,84290,96490,88470,83200,81716,79171,70278,8076,1573043
Puducherry,7679,5407,5622,6075,5720,5935,6350,5334,5141,7346,5781,5658,9383,7116,7743,6882,6573,8013,8141,7567,948,134414
Punjab,63939,57267,61345,54301,57410,53893,62181,55777,48902,94100,122478,69999,81991,69045,71510,72356,67091,70639,72894,74645,8981,1390744
Rajasthan,127768,102964,116917,125922,118896,108855,112581,113106,107309,300924,252707,100463,153401,128082,159946,150808,143949,134002,142185,136044,16603,2853432
Sikkim,733,884,874,899,964,813,986,799,906,1007,984,839,1168,999,1117,1075,1104,1106,1116,1042,131,19546
Tamil Nadu,209834,161628,157277,167028,146505,168976,180290,168139,154076,231180,197837,175665,259442,236256,229158,214111,184384,237366,249584,224895,32243,3985874
Telangana,88705,73813,79174,79123,79781,79149,80024,79800,76410,103020,119053,93104,94878,85767,92308,82639,100279,92994,103729,86087,8443,1778280
Tripura,4864,4762,5070,4304,4006,4607,4324,3867,3814,5873,5472,5002,4823,4745,4845,4376,4347,4620,4734,4825,492,93772
UT of DNH and DD,2649,1896,1851,2481,1757,1527,2034,1965,1805,2525,3760,2913,2433,2409,2197,1837,1917,2217,2129,2405,330,45037
Uttar Pradesh,312874,290681,304351,405710,408416,289075,246908,227807,212994,611300,558114,232336,368368,335977,367154,418164,411588,347736,309541,278152,29595,6966841
Uttarakhand,22721,19149,19259,24223,24020,21118,21437,19717,17988,42894,43996,19252,28390,22882,23153,27789,25748,23924,28266,25072,3597,504595
West Bengal,97167,87627,95018,110447,109256,101311,90961,77847,90042,149902,144991,131760,121089,113738,118497,110934,118124,128866,122843,90017,16918,2227355
Total,2410340,1997046,2234627,2396779,2316033,2104462,2063401,2067245,1931035,4170416,3451376,2146889,2845981,2526717,2820274,2726113,2577838,2603783,2631915,2442124,293107,50757501
