"Vehicle Category and Month Wise Data for AN, AP, AR, AS, BR, CH, CG, DL, GA, GJ, HR, HP, JK, JH, KA, KL, LA, LD, MP, MH, MN, ML, MZ, NL, OR, PY, PB, RJ, SK, TN, TG, TR, DD, UP, UK, WB (2019-2021)"\n\nVehicle Category,2019-Jan,2019-Feb,2019-Mar,2019-Apr,2019-May,2019-Jun,2019-Jul,2019-Aug,2019-Sep,2019-Oct,2019-Nov,2019-Dec,2020-Jan,2020-Feb,2020-Mar,2020-Apr,2020-May,2020-Jun,2020-Jul,2020-Aug,2020-Sep,2020-Oct,2020-Nov,2020-Dec,2021-Jan,2021-Feb,2021-Mar,2021-Apr,2021-May,2021-Jun,2021-Jul,2021-Aug,2021-Sep,2021-Oct,2021-Nov,2021-Dec,Total
FOUR WHEELER (Invalid Carriage),153,178,147,171,181,142,148,120,120,178,190,128,207,167,254,105,18,103,117,135,166,153,179,186,218,229,249,188,111,221,237,210,260,183,195,206,6153
HEAVY GOODS VEHICLE,29629,30526,37007,28261,24385,19247,19985,17634,16134,16542,17203,15194,18727,22946,29681,3331,109,470,1406,2736,5426,7746,9294,12349,15608,17777,20552,17066,6705,10506,12049,13296,15700,16726,15783,16385,564121
HEAVY MOTOR VEHICLE,535,588,825,520,419,411,439,445,409,481,551,491,625,635,741,188,34,169,268,268,376,302,349,412,376,463,651,396,157,324,356,348,485,406,397,510,15350
HEAVY PASSENGER VEHICLE,2325,2215,2734,2793,2809,2166,2388,2307,2132,2980,2547,2450,3094,4398,8223,2229,5,23,28,57,226,194,226,220,384,431,590,705,258,495,589,613,592,589,375,1040,55430
LIGHT GOODS VEHICLE,60716,57633,59869,52655,51747,46048,52794,47482,46874,52820,63253,52861,62967,68232,85823,14206,2716,19702,29260,34555,46593,46974,49874,50472,48062,48023,53939,36776,12083,30559,45849,44925,44854,43581,46200,46559,1657536
LIGHT MOTOR VEHICLE,387870,300722,319379,295355,298553,269793,290853,262297,228771,331070,357171,294664,379061,306279,305944,29528,46492,195721,269952,283059,310390,350278,399504,396135,406885,363337,404507,277732,113188,276795,394270,370812,331968,310579,328728,350341,10837983
LIGHT PASSENGER VEHICLE,19761,22562,23616,19096,21417,20101,22719,19987,18081,18274,19367,16747,21262,19841,26512,3788,1321,5053,6546,5944,8780,7442,8329,8050,8206,9514,10835,7363,3223,6833,9528,8243,8675,8330,8524,9324,463194
MEDIUM GOODS VEHICLE,4535,4291,4483,4017,3629,3077,3452,3024,2908,3052,3547,3068,3687,4072,5459,774,61,267,595,918,1895,2286,2713,2967,3728,4002,4981,3714,847,2081,2839,3029,3790,3672,3590,3628,108678
MEDIUM MOTOR VEHICLE,1468,1476,1886,1413,1292,1204,1333,1133,970,1229,1346,1349,1600,1616,1978,299,184,1047,1389,1231,1764,1873,1598,2150,1976,1878,2323,1155,449,1144,1502,1362,1740,1393,1329,1287,50366
MEDIUM PASSENGER VEHICLE,1221,1355,1811,1820,2674,3214,2677,1927,1565,1238,1252,1072,1357,1730,4691,1129,1,24,89,133,279,240,304,239,417,486,619,354,217,440,482,349,392,437,421,549,37205
OTHER THAN MENTIONED ABOVE,3822,3877,4852,4043,3702,3530,3572,2931,2803,3100,3951,3733,3693,4396,5337,1020,473,2292,2880,3027,4679,3896,3843,5077,4946,5674,7802,3813,1214,2997,3890,3659,5069,4031,3528,3757,134909
THREE WHEELER (Invalid Carriage),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2
THREE WHEELER(NT),1396,1608,1643,1222,1413,1538,1384,1472,1485,2798,1858,1300,1453,1699,1336,17,82,297,218,298,485,1243,740,671,832,881,823,488,95,165,284,384,408,733,487,456,33692
THREE WHEELER(T),66523,64417,67200,56995,59761,57832,69945,65219,67603,76259,80685,68092,74649,77537,90327,13111,2324,13697,16987,18847,27192,26333,28177,31397,35530,37519,43023,24716,5980,16946,31356,34088,40842,43905,45009,48478,1628501
TWO WHEELER (Invalid Carriage),958,1692,1620,654,473,526,756,629,615,629,590,529,646,1345,3627,559,43,109,676,185,599,499,434,1077,829,754,921,559,61,297,1754,867,978,1324,923,677,29414
TWO WHEELER(NT),1640258,1504001,1661373,1589782,1692597,1583796,1667117,1466827,1340067,1697578,2088401,1515596,1516436,1543438,2289258,416327,201396,951804,1062764,1108205,1247437,1280101,1708561,1698355,1422155,1303168,1412204,1004837,471270,1115807,1348035,1154861,1082722,1180884,1660729,1356338,48984485
TWO WHEELER(T),1506,1393,2794,2988,916,1761,849,1856,1513,1937,1362,1253,1729,1025,1385,190,36,100,99,97,132,580,538,752,880,771,1193,507,21,123,286,349,694,928,792,1723,35058
Total,2222676,1998534,2191239,2061785,2165968,2014386,2140411,1895290,1732050,2210165,2643274,1978527,2091193,2059356,2860576,486801,255295,1190878,1393274,1459695,1656419,1730140,2214663,2210509,1951032,1794907,1965212,1380370,615879,1465733,1853306,1637395,1539169,1617701,2117010,1841259,64642077
