"Vehicle Category and Month Wise Data for Andaman & Nicobar Island (2025-2026)"\n\nVehicle Category,2025-Jan,2025-Feb,2025-Mar,2025-Apr,2025-May,2025-Jun,2025-Jul,2025-Aug,2025-Sep,2025-Oct,2025-Nov,2025-Dec,2026-Jan,2026-Feb,2026-Mar,2026-Apr,2026-May,2026-Jun,2026-Jul,2026-Aug,2026-Sep,Total
FOUR WHEELER (Invalid Carriage),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HEAVY GOODS VEHICLE,7,9,15,4,7,5,20,2,6,4,1,7,3,4,6,6,1,2,4,2,0,115
HEAVY MOTOR VEHICLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HEAVY PASSENGER VEHICLE,1,2,1,1,1,0,0,0,0,0,2,2,1,2,0,1,4,0,10,11,0,39
LIGHT GOODS VEHICLE,12,23,24,19,21,14,22,25,29,14,12,20,19,18,27,22,11,19,18,24,7,400
LIGHT MOTOR VEHICLE,188,137,128,170,212,220,169,155,140,212,230,230,231,182,258,202,175,223,244,137,71,3914
LIGHT PASSENGER VEHICLE,23,25,19,19,22,27,46,56,66,49,47,34,31,44,39,22,30,37,50,43,9,738
MEDIUM GOODS VEHICLE,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,7
MEDIUM MOTOR VEHICLE,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4
MEDIUM PASSENGER VEHICLE,0,0,1,1,0,0,0,1,0,2,0,1,0,0,1,0,0,1,2,0,0,10
OTHER THAN MENTIONED ABOVE,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,2,0,0,0,0,6
THREE WHEELER (Invalid Carriage),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THREE WHEELER(NT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THREE WHEELER(T),11,6,5,4,11,4,2,8,15,43,34,80,50,44,44,31,24,33,49,43,0,541
TWO WHEELER (Invalid Carriage),0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3
TWO WHEELER(NT),477,428,465,475,498,498,607,532,468,692,555,609,700,606,726,646,625,736,807,561,252,11963
TWO WHEELER(T),0,6,10,15,15,5,20,15,15,24,17,15,30,30,30,15,11,10,30,10,5,328
Total,719,636,672,710,788,774,886,797,739,1040,899,999,1066,930,1131,948,884,1061,1214,831,344,18068
