"Vehicle Category and Month Wise Data for Andhra Pradesh (2016-2018)"\n\nVehicle Category,2016-Jan,2016-Feb,2016-Mar,2016-Apr,2016-May,2016-Jun,2016-Jul,2016-Aug,2016-Sep,2016-Oct,2016-Nov,2016-Dec,2017-Jan,2017-Feb,2017-Mar,2017-Apr,2017-May,2017-Jun,2017-Jul,2017-Aug,2017-Sep,2017-Oct,2017-Nov,2017-Dec,2018-Jan,2018-Feb,2018-Mar,2018-Apr,2018-May,2018-Jun,2018-Jul,2018-Aug,2018-Sep,2018-Oct,2018-Nov,2018-Dec,Total
FOUR WHEELER (Invalid Carriage),2,0,1,0,2,0,0,0,1,11,11,13,18,21,18,23,30,25,21,12,5,5,7,4,7,1,4,5,5,4,5,2,6,1,7,0,277
HEAVY GOODS VEHICLE,1104,2114,1147,879,901,827,607,640,569,777,792,637,954,2259,1958,1012,432,573,713,628,720,797,910,878,1606,2616,2468,1563,1247,1007,1014,1171,1162,1269,1008,811,39770
HEAVY MOTOR VEHICLE,9,9,12,17,18,12,11,8,6,8,25,23,23,17,38,24,19,33,18,11,18,10,8,24,12,6,19,41,24,21,23,32,15,14,17,26,651
HEAVY PASSENGER VEHICLE,128,210,386,180,105,76,68,117,161,292,255,336,255,175,266,301,177,156,106,90,175,75,91,66,184,198,163,132,147,116,120,124,89,80,122,128,5850
LIGHT GOODS VEHICLE,937,1102,1171,1067,1055,1129,987,985,1112,1255,1097,821,920,996,1358,1213,1036,1429,1303,1171,1424,1427,1438,1350,1388,1561,2454,1722,1636,1708,1499,1862,1459,2024,1606,1488,48190
LIGHT MOTOR VEHICLE,8399,8833,10101,8814,10177,12572,9654,9544,9422,9671,9311,8181,8936,9355,11409,9529,8826,11120,10208,10041,10463,9033,9273,10673,10652,11169,17136,16320,14125,12166,10701,10567,9384,12705,12814,12439,383723
LIGHT PASSENGER VEHICLE,813,943,1274,1154,1292,1788,1415,1173,1217,1045,1170,938,953,1254,1520,1199,1054,1701,1340,1023,1111,1040,1161,1176,1126,1675,2891,2590,2119,2273,1674,1246,1122,1671,2004,1789,50934
MEDIUM GOODS VEHICLE,89,70,92,87,90,76,74,59,78,73,75,64,47,87,107,86,52,72,53,77,72,71,72,119,76,153,148,123,98,107,87,94,105,115,103,95,3146
MEDIUM MOTOR VEHICLE,48,53,70,66,60,54,35,44,56,72,69,53,64,55,82,54,48,85,54,58,59,70,118,101,77,79,71,86,60,56,53,43,75,97,161,93,2479
MEDIUM PASSENGER VEHICLE,31,23,53,65,87,410,235,106,70,39,40,40,54,36,100,83,205,415,168,100,61,29,48,31,42,56,50,136,213,393,184,86,47,44,20,28,3828
OTHER THAN MENTIONED ABOVE,3,4,5,5,10,11,3,7,5,81,123,110,166,112,79,108,127,145,112,80,39,51,34,30,30,13,18,13,11,15,20,16,6,8,23,22,1645
THREE WHEELER (Invalid Carriage),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THREE WHEELER(NT),2170,2459,2431,1728,1813,2334,1914,1794,1749,2061,1635,1271,1294,1470,1566,1359,934,1317,1181,1249,1608,1359,1268,1089,1368,1160,1750,1112,1312,1517,1294,1378,1302,2097,1436,959,55738
THREE WHEELER(T),2695,3111,3417,2850,3177,3555,2924,3098,2907,3459,2782,1825,1770,2182,2471,2481,2038,2828,2604,2591,3449,2863,2722,2454,3040,2722,4210,2860,3029,3260,2661,2863,2490,4254,2896,2021,102559
TWO WHEELER (Invalid Carriage),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWO WHEELER(NT),50995,60465,65129,59402,74522,103205,71824,66279,63726,79825,75066,54169,62584,71761,79129,86210,79224,90327,75543,75709,84536,104707,68745,52865,83235,60056,101503,91654,84462,85089,79419,88173,66457,105262,81312,48058,2730627
TWO WHEELER(T),0,1,2,0,0,1,0,1,0,1,0,0,0,2,1,1,7,11,27,9,10,5,14,4,8,2,4,4,4,7,3,11,15,17,9,12,193
Total,67423,79397,85291,76314,93309,126050,89751,83855,81079,98670,92451,68481,78038,89782,100102,103683,94209,110237,93451,92849,103750,121542,85909,70864,102851,81467,132889,118361,108492,107739,98757,107668,83734,129658,103538,67969,3429610
