"Vehicle Category and Month Wise Data for Andhra Pradesh (2025-2026)"\n\nVehicle Category,2025-Jan,2025-Feb,2025-Mar,2025-Apr,2025-May,2025-Jun,2025-Jul,2025-Aug,2025-Sep,2025-Oct,2025-Nov,2025-Dec,2026-Jan,2026-Feb,2026-Mar,2026-Apr,2026-May,2026-Jun,2026-Jul,2026-Aug,2026-Sep,Total
FOUR WHEELER (Invalid Carriage),7,4,8,4,4,7,5,4,6,2,8,6,7,7,4,5,31,73,56,146,23,417
HEAVY GOODS VEHICLE,902,966,985,976,757,652,632,723,528,713,709,795,971,1614,1597,1337,1147,1063,1144,1042,190,19443
HEAVY MOTOR VEHICLE,15,6,10,8,17,30,3,2,3,9,10,4,4,9,10,20,6,10,3,2,0,181
HEAVY PASSENGER VEHICLE,306,179,248,165,157,293,111,151,41,56,37,34,23,40,85,48,73,119,122,119,12,2419
LIGHT GOODS VEHICLE,1679,1685,1938,1873,1649,1627,1843,1938,1719,3004,3345,2239,2094,2913,2836,2805,2721,3140,2859,2993,629,47529
LIGHT MOTOR VEHICLE,10198,8683,8248,8924,7870,7848,7906,8070,6120,11496,14767,9132,10804,9742,10631,11527,11265,12726,12027,11141,2050,201175
LIGHT PASSENGER VEHICLE,584,539,534,647,635,669,699,688,715,983,1204,735,696,589,867,1062,967,2123,1206,1342,203,17687
MEDIUM GOODS VEHICLE,63,90,64,77,81,71,62,65,47,74,74,72,73,94,110,105,79,107,144,95,16,1663
MEDIUM MOTOR VEHICLE,21,70,83,83,9,10,12,3,11,16,17,8,20,17,15,15,10,30,11,6,1,468
MEDIUM PASSENGER VEHICLE,40,82,158,118,210,521,316,170,77,68,98,81,19,91,137,138,249,895,386,156,39,4049
OTHER THAN MENTIONED ABOVE,181,216,235,276,210,206,148,130,197,216,334,311,290,331,377,404,324,408,370,392,83,5639
THREE WHEELER (Invalid Carriage),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2
THREE WHEELER(NT),0,1,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,7
THREE WHEELER(T),2517,3293,3352,3326,3154,3502,3694,3409,2531,5681,5425,3346,3479,4962,4700,4686,4359,5758,5549,5271,1033,83027
TWO WHEELER (Invalid Carriage),25,48,191,78,24,12,9,9,6,3,3,2,3,3,1,1,53,72,44,155,17,759
TWO WHEELER(NT),48155,56640,49369,58269,51381,51327,50236,54875,39360,112790,103732,46320,52934,66228,78650,73015,62613,71460,74622,71767,11726,1285469
TWO WHEELER(T),89,19,18,11,1,89,53,14,14,26,69,99,125,64,110,110,77,68,95,98,4,1253
Total,64782,72521,65441,74835,66162,66864,65729,70252,51375,135137,129832,63184,71542,86704,100130,95278,83975,98055,98638,94725,16026,1671187
