"Vehicle Category and Month Wise Data for Arunachal Pradesh (2019-2021)"\n\nVehicle Category,2019-Jan,2019-Feb,2019-Mar,2019-Apr,2019-May,2019-Jun,2019-Jul,2019-Aug,2019-Sep,2019-Oct,2019-Nov,2019-Dec,2020-Jan,2020-Feb,2020-Mar,2020-Apr,2020-May,2020-Jun,2020-Jul,2020-Aug,2020-Sep,2020-Oct,2020-Nov,2020-Dec,2021-Jan,2021-Feb,2021-Mar,2021-Apr,2021-May,2021-Jun,2021-Jul,2021-Aug,2021-Sep,2021-Oct,2021-Nov,2021-Dec,Total
FOUR WHEELER (Invalid Carriage),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HEAVY GOODS VEHICLE,53,250,297,49,63,36,61,43,67,67,73,49,100,111,191,17,20,20,5,20,54,56,80,105,91,83,124,51,60,62,58,29,57,80,41,62,2685
HEAVY MOTOR VEHICLE,6,15,10,14,12,4,3,3,6,5,6,9,3,6,17,6,7,10,3,4,7,3,9,12,3,3,4,4,2,2,4,2,2,8,4,12,230
HEAVY PASSENGER VEHICLE,90,193,159,58,76,32,30,36,38,76,44,52,61,74,168,44,2,2,1,2,6,3,9,6,8,9,23,12,8,12,17,17,2,10,13,3,1396
LIGHT GOODS VEHICLE,79,92,101,61,98,84,114,88,88,80,105,67,116,88,131,85,6,28,25,42,68,79,102,110,92,75,116,110,45,71,110,109,80,80,77,108,3010
LIGHT MOTOR VEHICLE,699,551,763,581,684,784,734,651,629,677,683,638,873,469,814,211,128,311,202,414,621,659,670,716,665,777,884,721,306,562,665,763,652,595,651,713,22116
LIGHT PASSENGER VEHICLE,46,94,66,39,37,25,29,33,17,16,13,15,56,13,34,9,4,6,0,4,1,1,16,3,5,6,6,8,60,7,12,9,14,10,8,6,728
MEDIUM GOODS VEHICLE,11,20,15,6,5,5,18,10,5,17,8,8,15,14,33,8,0,2,2,3,6,4,9,11,16,11,31,6,2,3,2,3,9,4,10,6,338
MEDIUM MOTOR VEHICLE,1,3,28,14,3,3,1,2,2,1,3,6,2,3,5,3,0,2,2,3,2,6,7,6,4,4,13,2,3,1,0,1,4,12,6,5,163
MEDIUM PASSENGER VEHICLE,13,28,48,16,2,7,4,9,6,4,11,7,10,4,8,0,1,0,1,0,0,3,0,0,8,0,1,2,1,0,1,0,1,0,0,1,197
OTHER THAN MENTIONED ABOVE,22,62,80,12,17,14,9,17,21,24,29,29,31,19,18,3,4,9,3,3,4,6,10,31,22,35,38,19,4,16,11,20,25,22,25,27,741
THREE WHEELER (Invalid Carriage),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THREE WHEELER(NT),18,10,41,34,67,52,51,35,21,34,22,23,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,413
THREE WHEELER(T),47,28,35,35,85,71,68,59,62,46,43,19,27,27,80,28,0,1,2,4,3,6,8,9,10,22,8,11,18,8,5,16,5,10,1,12,919
TWO WHEELER (Invalid Carriage),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWO WHEELER(NT),1212,949,1460,1443,1949,1762,1792,1689,1883,1635,2110,3766,3096,889,2041,447,185,481,350,648,917,932,1174,999,1028,1126,1273,1257,553,726,994,1128,1271,1118,1274,1041,46598
TWO WHEELER(T),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total,2297,2295,3103,2362,3098,2880,2914,2675,2845,2682,3150,4688,4395,1717,3540,861,357,872,596,1147,1689,1758,2094,2008,1952,2151,2521,2203,1062,1470,1879,2097,2122,1949,2110,1996,79535
