"Vehicle Category and Month Wise Data for Assam (2025-2026)"\n\nVehicle Category,2025-Jan,2025-Feb,2025-Mar,2025-Apr,2025-May,2025-Jun,2025-Jul,2025-Aug,2025-Sep,2025-Oct,2025-Nov,2025-Dec,2026-Jan,2026-Feb,2026-Mar,2026-Apr,2026-May,2026-Jun,2026-Jul,2026-Aug,2026-Sep,Total
FOUR WHEELER (Invalid Carriage),0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2
HEAVY GOODS VEHICLE,304,336,573,277,260,222,258,308,234,336,428,389,421,291,347,315,242,248,327,390,85,6591
HEAVY MOTOR VEHICLE,7,8,4,1,1,5,7,0,0,0,4,5,8,1,2,3,4,3,1,2,1,67
HEAVY PASSENGER VEHICLE,28,18,30,18,19,17,17,17,29,17,21,81,29,91,17,17,27,11,16,9,4,533
LIGHT GOODS VEHICLE,1732,1484,1909,1489,1634,1628,1723,1337,1193,1776,1789,1775,1651,1774,1753,1519,1913,2140,1819,1437,228,33703
LIGHT MOTOR VEHICLE,6221,4327,6074,5500,4879,4984,5909,5367,6627,7989,6568,7957,6482,6361,7150,6658,7083,6579,6606,6349,857,126527
LIGHT PASSENGER VEHICLE,332,312,359,315,363,245,310,419,339,504,359,391,209,228,298,319,329,291,226,291,49,6488
MEDIUM GOODS VEHICLE,23,25,30,20,27,6,36,15,54,41,45,37,63,40,47,47,56,68,78,66,11,835
MEDIUM MOTOR VEHICLE,0,2,5,10,2,0,1,3,2,2,2,2,3,2,1,1,0,2,3,8,2,53
MEDIUM PASSENGER VEHICLE,12,90,41,55,38,28,28,31,13,23,34,46,62,32,42,39,49,43,38,49,4,797
OTHER THAN MENTIONED ABOVE,84,85,101,66,36,61,39,25,42,49,79,118,108,104,71,58,55,48,31,41,16,1317
THREE WHEELER (Invalid Carriage),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THREE WHEELER(NT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THREE WHEELER(T),5428,4873,6193,5907,7571,7477,8518,8381,8226,8005,7858,7106,7129,8140,8285,9034,10371,9528,9301,9776,1582,158689
TWO WHEELER (Invalid Carriage),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWO WHEELER(NT),46035,35347,39423,33522,28512,28547,26661,27341,35225,47232,29624,30458,38011,33287,40911,40467,35242,32555,28839,30809,5395,693443
TWO WHEELER(T),0,0,0,0,0,5,17,12,7,0,0,1,0,0,0,1,1,2,2,3,1,52
Total,60206,46907,54742,47180,43342,43225,43524,43256,51991,65975,46811,48366,54176,50352,58924,58478,55372,51518,47287,49230,8235,1029097
