"Vehicle Category and Month Wise Data for Bihar (2016-2018)"\n\nVehicle Category,2016-Jan,2016-Feb,2016-Mar,2016-Apr,2016-May,2016-Jun,2016-Jul,2016-Aug,2016-Sep,2016-Oct,2016-Nov,2016-Dec,2017-Jan,2017-Feb,2017-Mar,2017-Apr,2017-May,2017-Jun,2017-Jul,2017-Aug,2017-Sep,2017-Oct,2017-Nov,2017-Dec,2018-Jan,2018-Feb,2018-Mar,2018-Apr,2018-May,2018-Jun,2018-Jul,2018-Aug,2018-Sep,2018-Oct,2018-Nov,2018-Dec,Total
FOUR WHEELER (Invalid Carriage),0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
HEAVY GOODS VEHICLE,693,856,949,778,646,741,636,502,583,603,572,572,440,695,3449,774,309,1150,2639,1613,1817,1701,1968,1507,1717,870,1041,1109,1118,924,946,913,1018,1359,1165,922,39295
HEAVY MOTOR VEHICLE,0,1,1,0,1,1,0,0,0,0,0,1,0,1,3,0,0,0,3,0,0,0,3,2,2,0,0,0,0,3,2,1,5,1,0,0,31
HEAVY PASSENGER VEHICLE,39,120,100,152,115,108,111,86,92,61,56,133,98,79,251,249,103,62,70,50,57,49,46,61,72,91,116,106,133,129,108,119,75,109,105,82,3593
LIGHT GOODS VEHICLE,4790,5432,6806,4138,4039,5529,5995,5883,4578,5843,6254,7144,4740,4815,6266,4985,2032,3332,4885,3305,3396,3946,6620,7837,6728,4340,6005,5643,6256,6870,7107,6100,5751,5949,6564,9072,198975
LIGHT MOTOR VEHICLE,3444,3920,4113,3802,3663,3354,3588,3450,3024,3843,4534,4866,3224,3629,3434,2919,4507,3134,4397,5131,3552,3787,6252,6163,7918,4282,8867,6415,6386,5264,5772,6126,3618,3939,6535,5286,166138
LIGHT PASSENGER VEHICLE,393,464,477,401,405,365,346,432,369,354,336,359,300,431,561,741,338,306,366,416,405,553,517,407,484,383,660,560,579,482,462,448,371,359,385,436,15651
MEDIUM GOODS VEHICLE,106,104,115,74,84,133,147,99,115,87,76,147,111,110,162,107,160,133,139,76,68,102,150,253,192,197,322,300,427,321,298,129,206,254,262,357,6123
MEDIUM MOTOR VEHICLE,2,4,0,2,0,0,0,2,0,1,0,0,2,1,0,2,0,3,4,4,3,10,7,12,2,0,1,1,0,1,2,2,18,23,13,43,165
MEDIUM PASSENGER VEHICLE,24,27,35,57,63,55,41,44,43,39,39,40,29,34,126,135,44,42,63,46,28,30,58,42,51,33,90,90,72,58,35,63,44,54,41,41,1856
OTHER THAN MENTIONED ABOVE,0,0,0,2,1,0,4,1,1,0,1,2,3,3,1,3,0,0,0,1,3,0,1,2,1,1,4,1,0,3,1,0,4,0,1,4,49
THREE WHEELER (Invalid Carriage),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THREE WHEELER(NT),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
THREE WHEELER(T),2679,2666,2922,2020,2628,3132,3065,3566,4364,4296,3843,2861,2166,2556,3392,3910,2077,2168,3226,3366,3304,3863,4702,3622,3505,2640,3800,2910,3175,3274,4005,4466,4899,4723,5073,4974,123838
TWO WHEELER (Invalid Carriage),1,14,12,19,16,1,15,23,18,5,0,3,1,1,0,0,0,0,10,7,0,0,0,0,0,0,1,0,1,0,0,0,4,1,0,1,154
TWO WHEELER(NT),43679,53503,61044,78357,67496,65408,60957,52207,48562,56447,69895,47211,37872,34126,51151,45140,80526,84389,65147,67165,62020,55387,86308,73709,116341,53151,128281,97003,118385,87762,85883,81432,66008,61940,106528,65348,2515768
TWO WHEELER(T),0,1,1,1,0,1,0,2,0,0,0,1,1,0,0,0,0,0,2,1,0,2,1,1,5,0,1,0,0,3,0,1,3,3,4,1,36
Total,55850,67112,76575,89804,79158,78828,74906,66297,61750,71579,85606,63340,48987,46481,68797,58965,90096,94719,80951,81181,74653,69430,106633,93618,137018,65988,149189,114138,136532,105094,104621,99801,82024,78714,126676,86567,3071678
