"Vehicle Category and Month Wise Data for Chhattisgarh (2025-2026)"\n\nVehicle Category,2025-Jan,2025-Feb,2025-Mar,2025-Apr,2025-May,2025-Jun,2025-Jul,2025-Aug,2025-Sep,2025-Oct,2025-Nov,2025-Dec,2026-Jan,2026-Feb,2026-Mar,2026-Apr,2026-May,2026-Jun,2026-Jul,2026-Aug,2026-Sep,Total
FOUR WHEELER (Invalid Carriage),7,3,2,4,5,3,4,2,4,7,8,8,4,1,0,10,0,2,6,1,1,82
HEAVY GOODS VEHICLE,1263,853,1047,1170,837,543,613,686,774,1117,1193,911,1516,1233,1447,1351,1053,821,1129,881,197,20635
HEAVY MOTOR VEHICLE,14,3,11,4,3,1,4,3,2,0,0,3,5,2,4,4,0,1,1,0,1,66
HEAVY PASSENGER VEHICLE,35,20,43,38,22,51,11,32,29,44,39,25,35,50,28,31,26,21,12,20,2,614
LIGHT GOODS VEHICLE,1825,1643,1217,1152,1021,1067,1107,1117,1342,2313,1475,1197,1991,1859,1190,1075,1060,1113,1052,1126,161,27103
LIGHT MOTOR VEHICLE,15702,12613,8671,9276,8611,9705,11280,9094,9297,15730,10589,9530,17656,14407,9279,8740,9246,10238,11053,8666,1229,220612
LIGHT PASSENGER VEHICLE,371,292,219,203,207,288,377,279,274,326,226,220,412,383,266,564,339,369,408,390,44,6457
MEDIUM GOODS VEHICLE,31,28,19,12,22,11,11,14,18,22,20,18,30,34,23,26,12,20,15,14,3,403
MEDIUM MOTOR VEHICLE,38,15,56,5,26,37,7,15,21,25,24,15,25,35,50,18,16,14,19,43,1,505
MEDIUM PASSENGER VEHICLE,52,52,60,70,36,100,80,101,73,44,60,80,73,53,77,64,41,63,130,122,8,1439
OTHER THAN MENTIONED ABOVE,530,399,289,284,292,304,139,135,240,339,413,383,411,388,201,218,169,169,160,143,42,5648
THREE WHEELER (Invalid Carriage),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THREE WHEELER(NT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THREE WHEELER(T),1286,1068,1173,1076,1250,1296,1402,1292,1391,1978,1437,1225,1380,1351,1430,1212,1455,1757,1733,1664,184,28040
TWO WHEELER (Invalid Carriage),1,1,0,1,1,1,1,1,3,0,0,3,0,1,1,0,1,0,3,0,0,19
TWO WHEELER(NT),47275,40974,46980,42494,38853,39254,34829,34485,35374,111007,53745,31452,51665,45116,50101,38609,37355,40998,39071,35836,5674,901147
TWO WHEELER(T),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total,68430,57964,59787,55789,51186,52661,49865,47256,48842,132952,69229,45070,75203,64913,64097,51922,50773,55586,54792,48906,7547,1212770
