"Vehicle Category and Month Wise Data for Chandigarh (2022-2024)"\n\nVehicle Category,2022-Jan,2022-Feb,2022-Mar,2022-Apr,2022-May,2022-Jun,2022-Jul,2022-Aug,2022-Sep,2022-Oct,2022-Nov,2022-Dec,2023-Jan,2023-Feb,2023-Mar,2023-Apr,2023-May,2023-Jun,2023-Jul,2023-Aug,2023-Sep,2023-Oct,2023-Nov,2023-Dec,2024-Jan,2024-Feb,2024-Mar,2024-Apr,2024-May,2024-Jun,2024-Jul,2024-Aug,2024-Sep,2024-Oct,2024-Nov,2024-Dec,Total
FOUR WHEELER (Invalid Carriage),4,6,4,4,3,3,4,3,5,4,5,14,7,2,3,5,5,9,10,15,8,7,13,7,10,11,12,11,9,8,11,17,3,16,6,13,277
HEAVY GOODS VEHICLE,3,8,6,4,34,19,2,7,3,4,31,1,3,9,9,13,10,10,8,10,8,5,10,6,8,7,6,5,3,2,2,3,8,3,5,12,287
HEAVY MOTOR VEHICLE,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6
HEAVY PASSENGER VEHICLE,0,4,0,3,1,1,0,3,9,31,22,9,1,1,5,5,27,6,7,6,5,4,9,9,6,5,10,5,39,12,11,17,6,3,6,68,356
LIGHT GOODS VEHICLE,50,49,57,49,131,53,61,51,61,76,54,46,51,60,68,49,56,55,64,57,36,44,60,94,66,75,68,32,74,41,59,59,41,35,63,67,2112
LIGHT MOTOR VEHICLE,1506,1940,2273,2159,2206,1978,2679,1883,2104,2412,2262,2278,2491,2057,2583,2482,2558,2768,2472,2107,1666,1915,2036,1622,1815,1496,1423,1537,1572,1555,1910,1723,1121,2772,1278,1842,72481
LIGHT PASSENGER VEHICLE,10,9,11,15,41,27,33,33,33,26,30,13,17,19,28,20,17,19,21,16,18,13,13,17,23,15,42,50,58,38,38,33,23,35,34,31,919
MEDIUM GOODS VEHICLE,4,6,3,8,6,2,7,3,12,3,6,16,3,10,3,11,17,3,2,8,9,5,4,9,1,12,4,7,9,3,3,2,5,5,9,7,227
MEDIUM MOTOR VEHICLE,0,0,0,0,1,2,0,1,0,0,4,1,0,0,0,0,2,3,0,1,0,1,1,0,0,0,1,0,3,1,1,0,1,0,0,1,25
MEDIUM PASSENGER VEHICLE,0,0,1,3,1,1,6,7,2,4,0,1,2,1,9,9,17,2,3,5,5,10,10,2,3,5,9,7,17,6,6,10,4,2,1,7,178
OTHER THAN MENTIONED ABOVE,0,0,0,2,0,0,1,0,1,1,0,0,0,0,2,0,0,0,0,1,1,1,0,2,0,1,19,1,0,1,0,0,2,0,0,1,37
THREE WHEELER (Invalid Carriage),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THREE WHEELER(NT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THREE WHEELER(T),63,84,127,63,127,169,170,162,153,208,211,229,242,138,189,172,255,246,259,331,389,378,337,389,326,242,278,158,210,240,353,281,317,271,202,191,8160
TWO WHEELER (Invalid Carriage),0,0,1,1,0,2,1,0,0,0,3,1,0,0,0,3,2,2,2,2,2,4,3,2,2,2,1,0,2,2,3,2,3,3,4,2,57
TWO WHEELER(NT),1289,1180,1879,1861,1789,1795,2083,1889,1929,3097,1718,1461,1972,958,660,2070,2354,2647,1812,1803,1882,1981,2443,1165,1458,1429,1528,1700,1751,1546,1873,1782,1506,3768,1937,1282,65277
TWO WHEELER(T),0,0,1,11,0,7,5,0,0,0,11,0,5,0,0,8,0,1,2,0,0,0,1,0,2,4,6,4,0,2,3,7,1,8,3,4,96
Total,2930,3287,4363,4183,4340,4060,5052,4043,4312,5866,4357,4070,4794,3255,3559,4847,5321,5771,4662,4362,4029,4368,4940,3324,3720,3304,3407,3517,3747,3458,4273,3936,3041,6921,3548,3528,150495
