"Vehicle Category and Month Wise Data for Goa (2016-2018)"\n\nVehicle Category,2016-Jan,2016-Feb,2016-Mar,2016-Apr,2016-May,2016-Jun,2016-Jul,2016-Aug,2016-Sep,2016-Oct,2016-Nov,2016-Dec,2017-Jan,2017-Feb,2017-Mar,2017-Apr,2017-May,2017-Jun,2017-Jul,2017-Aug,2017-Sep,2017-Oct,2017-Nov,2017-Dec,2018-Jan,2018-Feb,2018-Mar,2018-Apr,2018-May,2018-Jun,2018-Jul,2018-Aug,2018-Sep,2018-Oct,2018-Nov,2018-Dec,Total
FOUR WHEELER (Invalid Carriage),1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,2,2,1,3,1,0,0,2,3,1,1,0,2,24
HEAVY GOODS VEHICLE,45,29,34,13,11,7,11,13,9,25,22,14,14,21,23,10,14,8,9,22,18,23,17,18,36,30,17,14,19,27,15,25,25,31,47,18,734
HEAVY MOTOR VEHICLE,0,1,1,2,1,0,0,1,3,0,0,2,1,6,2,1,2,0,0,2,1,1,3,0,5,0,2,1,1,0,0,1,4,0,0,1,45
HEAVY PASSENGER VEHICLE,0,6,5,7,7,3,1,4,3,2,2,5,1,1,4,2,2,0,0,5,2,0,3,3,1,8,7,11,1,2,3,1,2,3,2,0,109
LIGHT GOODS VEHICLE,139,113,117,78,80,92,59,142,101,135,97,77,143,106,148,101,96,99,99,128,132,118,129,98,142,118,145,129,100,95,122,157,138,142,130,100,4145
LIGHT MOTOR VEHICLE,1505,1301,1797,1051,1324,1161,1354,1945,1558,2058,1264,1550,1769,1319,1982,1512,1433,1962,1128,2471,1921,1858,1783,1577,2124,1444,1935,1537,1430,1364,1365,1904,1863,1639,1663,1306,58157
LIGHT PASSENGER VEHICLE,100,36,42,41,139,105,88,110,105,150,130,136,186,94,159,83,91,92,65,193,192,213,170,129,146,109,115,144,106,101,117,189,212,276,297,184,4845
MEDIUM GOODS VEHICLE,15,17,10,7,12,9,8,10,10,4,10,5,15,20,22,13,6,7,6,8,12,16,16,7,9,16,12,10,9,8,8,10,6,16,12,9,390
MEDIUM MOTOR VEHICLE,7,5,5,3,1,3,9,3,4,13,6,7,9,2,9,4,1,7,3,3,3,0,0,0,0,0,0,0,0,1,1,1,2,6,1,1,120
MEDIUM PASSENGER VEHICLE,1,2,6,1,5,6,13,16,10,11,6,7,5,3,12,4,1,1,5,4,8,11,4,4,20,17,11,7,4,4,4,5,5,5,3,4,235
OTHER THAN MENTIONED ABOVE,1,0,1,3,0,2,3,0,2,7,1,0,1,1,2,5,1,1,3,0,4,6,5,14,7,10,7,6,4,6,4,5,7,9,4,3,135
THREE WHEELER (Invalid Carriage),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THREE WHEELER(NT),0,0,2,0,1,0,0,2,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,1,15
THREE WHEELER(T),17,10,6,13,9,10,8,12,10,9,11,10,10,10,6,7,8,4,3,5,8,5,8,4,7,10,9,5,6,6,8,5,7,3,7,9,285
TWO WHEELER (Invalid Carriage),1,0,2,0,1,0,3,1,0,1,0,0,0,1,2,0,2,1,1,0,1,2,1,0,0,1,3,2,1,0,1,1,1,2,0,3,35
TWO WHEELER(NT),5366,5035,4914,4616,4227,3330,3125,5246,5039,7358,4496,4304,5313,4791,6798,4718,4229,4177,3208,6347,6267,6238,5531,4364,5644,4891,5586,4649,4069,3512,3201,4356,5960,5649,5816,3432,175802
TWO WHEELER(T),32,34,44,18,23,13,12,26,25,45,49,28,22,17,27,14,17,9,8,20,29,20,25,50,36,28,18,22,18,8,23,43,29,35,49,69,985
Total,7230,6589,6986,5853,5841,4741,4694,7532,6879,9818,6094,6145,7489,6392,9197,6475,5904,6368,4540,9208,8599,8513,7696,6271,8179,6684,7870,6538,5769,5135,4874,6706,8262,7817,8031,5142,246061
