"Vehicle Category and Month Wise Data for Gujarat (2016-2018)"\n\nVehicle Category,2016-Jan,2016-Feb,2016-Mar,2016-Apr,2016-May,2016-Jun,2016-Jul,2016-Aug,2016-Sep,2016-Oct,2016-Nov,2016-Dec,2017-Jan,2017-Feb,2017-Mar,2017-Apr,2017-May,2017-Jun,2017-Jul,2017-Aug,2017-Sep,2017-Oct,2017-Nov,2017-Dec,2018-Jan,2018-Feb,2018-Mar,2018-Apr,2018-May,2018-Jun,2018-Jul,2018-Aug,2018-Sep,2018-Oct,2018-Nov,2018-Dec,Total
FOUR WHEELER (Invalid Carriage),38,46,32,43,28,24,29,23,27,53,53,38,44,46,38,32,51,40,42,35,39,75,74,34,60,52,44,49,49,55,58,30,41,47,75,46,1590
HEAVY GOODS VEHICLE,2169,2379,2656,2507,2224,2089,1553,1425,1727,2066,1848,1274,1680,1794,3554,1684,873,956,844,820,1206,1378,1812,1683,2218,1750,1962,1993,1811,1612,1815,1998,2110,2700,2082,1962,66214
HEAVY MOTOR VEHICLE,30,25,31,31,26,18,28,51,38,35,36,21,29,20,58,31,43,42,54,37,56,84,111,115,69,45,50,61,67,41,48,24,23,38,42,33,1591
HEAVY PASSENGER VEHICLE,90,92,165,199,288,159,121,248,258,395,243,377,200,318,321,119,71,71,56,33,43,113,91,118,117,97,80,80,77,98,96,166,197,358,231,240,6026
LIGHT GOODS VEHICLE,4834,3764,3421,3256,3490,3596,2955,2677,2875,3907,2912,2865,2659,2909,3969,3310,2027,2056,2093,2064,2309,3192,3829,2524,3282,3040,3075,3393,2984,2764,3526,2908,2967,3843,3775,3423,112473
LIGHT MOTOR VEHICLE,24136,25091,21980,23622,24653,20913,20651,20503,19123,39493,30247,19963,26233,24303,31346,23094,22664,28741,31946,30156,27508,34621,32967,22129,32348,26100,25621,26785,25681,23646,37335,27455,24054,29696,32373,24520,961697
LIGHT PASSENGER VEHICLE,328,354,442,403,497,705,486,469,412,554,419,342,629,611,719,534,452,558,471,595,497,538,760,533,602,559,739,701,776,999,818,616,785,623,587,468,20581
MEDIUM GOODS VEHICLE,928,487,372,467,511,450,345,359,367,523,455,400,347,385,627,275,159,138,101,105,133,206,232,189,306,272,237,256,203,151,191,225,230,277,202,271,11382
MEDIUM MOTOR VEHICLE,55,40,38,34,43,46,50,32,39,52,44,37,46,42,55,20,41,78,67,65,66,86,143,271,631,230,129,173,110,77,76,56,53,110,105,130,3370
MEDIUM PASSENGER VEHICLE,113,80,98,148,113,201,111,77,51,63,36,68,69,37,176,105,27,70,72,81,127,175,135,99,53,50,45,56,134,317,146,50,127,103,41,63,3517
OTHER THAN MENTIONED ABOVE,182,158,148,162,147,214,169,170,160,184,146,138,138,126,241,127,134,141,195,158,154,211,337,291,406,442,493,503,458,384,515,318,356,503,501,497,9607
THREE WHEELER (Invalid Carriage),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THREE WHEELER(NT),1,1,3,1,0,2,2,0,3,0,0,1,4,3,1,3,2,2,1,3,2,2,2,4,8,3,2,4,1,7,6,3,1,4,1,3,86
THREE WHEELER(T),4989,5889,5178,4072,4404,5409,4705,4552,5135,6472,4471,3294,4148,4934,6284,5185,3320,4289,3792,4381,4232,4953,6482,3712,5267,5716,5102,5537,5423,5633,6655,5742,5542,7689,6801,5856,185245
TWO WHEELER (Invalid Carriage),67,73,66,53,87,89,56,49,72,70,58,73,70,44,85,65,56,47,63,44,77,56,97,67,78,67,64,74,77,70,81,62,48,73,69,66,2413
TWO WHEELER(NT),83194,97366,87073,86517,97687,97467,92397,85293,82314,146885,127873,85945,82134,94382,104942,108321,81569,101198,90712,99033,97858,150016,162911,92782,113364,105199,113668,116876,110371,104611,106116,82685,99739,122078,140098,120115,3770789
TWO WHEELER(T),2,1,2,1,3,0,1,2,0,3,3,1,2,2,1,2,1,3,3,0,1,4,1,3,2,2,15,5,8,3,5,2,4,6,2,7,103
Total,121156,135846,121705,121516,134201,131382,123659,115930,112601,200755,168844,114837,118432,129956,152417,142907,111490,138430,130512,137610,134308,195710,209984,124554,158811,143624,151326,156546,148230,140468,157487,122340,136277,168148,186985,157700,5156684
