"Vehicle Category and Month Wise Data for Gujarat (2025-2026)"\n\nVehicle Category,2025-Jan,2025-Feb,2025-Mar,2025-Apr,2025-May,2025-Jun,2025-Jul,2025-Aug,2025-Sep,2025-Oct,2025-Nov,2025-Dec,2026-Jan,2026-Feb,2026-Mar,2026-Apr,2026-May,2026-Jun,2026-Jul,2026-Aug,2026-Sep,Total
FOUR WHEELER (Invalid Carriage),85,39,45,47,66,39,46,53,30,37,52,64,57,56,42,62,36,49,48,40,8,1001
HEAVY GOODS VEHICLE,2427,2248,2096,2279,1698,1600,1670,1518,1758,2451,2455,2551,2850,2777,2498,2499,1795,1692,2349,1953,478,43642
HEAVY MOTOR VEHICLE,8,7,13,2,9,9,4,1,2,1,4,0,6,8,2,1,3,3,2,6,0,91
HEAVY PASSENGER VEHICLE,110,104,116,60,68,37,255,286,307,450,261,349,70,125,226,166,232,158,309,252,100,4041
LIGHT GOODS VEHICLE,5570,4310,4571,3984,3882,3520,4378,4368,4804,8348,6362,5664,6506,5710,5570,4595,4666,4916,5516,5291,874,103405
LIGHT MOTOR VEHICLE,47914,26274,25790,28889,25202,25135,36617,50825,39633,51685,39711,47391,54413,35260,36594,33824,31450,41882,57642,48522,6807,791460
LIGHT PASSENGER VEHICLE,1865,1421,1762,1929,1934,1634,1722,1889,1532,2078,1780,1978,774,2778,2351,2470,2283,2645,2284,2192,340,39641
MEDIUM GOODS VEHICLE,241,196,218,219,196,201,194,182,237,291,310,267,274,324,381,295,264,190,260,260,64,5064
MEDIUM MOTOR VEHICLE,19,10,12,40,76,31,29,47,38,27,32,55,91,123,40,86,35,46,49,44,10,940
MEDIUM PASSENGER VEHICLE,144,124,88,134,166,203,144,367,193,96,138,138,70,127,163,267,243,360,303,222,34,3724
OTHER THAN MENTIONED ABOVE,1243,1027,1046,795,863,1275,631,586,884,820,1067,1163,977,1125,1126,1061,810,758,769,709,129,18864
THREE WHEELER (Invalid Carriage),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THREE WHEELER(NT),1,3,0,4,4,0,0,2,2,4,2,2,1,0,0,1,0,2,4,0,3,35
THREE WHEELER(T),7777,6732,6504,5709,5908,6780,6913,6378,8138,11283,8712,6425,9526,8236,8097,6870,7515,7878,8479,7925,1431,153216
TWO WHEELER (Invalid Carriage),18,13,15,13,15,15,14,8,9,10,18,20,20,35,12,13,16,13,17,19,6,319
TWO WHEELER(NT),97527,84110,96112,96060,93981,100609,99726,115395,116363,256233,172321,103418,133795,117358,134938,112751,109063,116207,134212,127161,28844,2446184
TWO WHEELER(T),4,3,15,2,10,1,11,10,16,2,16,34,6,5,13,9,0,0,30,0,0,187
Total,164953,126621,138403,140166,134078,141089,152354,181915,173946,333816,233241,169519,209436,174047,192053,164970,158411,176799,212273,194596,39128,3611814
