"Vehicle Category and Month Wise Data for Himachal Pradesh (2016-2018)"\n\nVehicle Category,2016-Jan,2016-Feb,2016-Mar,2016-Apr,2016-May,2016-Jun,2016-Jul,2016-Aug,2016-Sep,2016-Oct,2016-Nov,2016-Dec,2017-Jan,2017-Feb,2017-Mar,2017-Apr,2017-May,2017-Jun,2017-Jul,2017-Aug,2017-Sep,2017-Oct,2017-Nov,2017-Dec,2018-Jan,2018-Feb,2018-Mar,2018-Apr,2018-May,2018-Jun,2018-Jul,2018-Aug,2018-Sep,2018-Oct,2018-Nov,2018-Dec,Total
FOUR WHEELER (Invalid Carriage),0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,11
HEAVY GOODS VEHICLE,196,243,248,335,348,276,267,247,160,172,189,159,132,212,534,288,250,174,204,227,184,193,173,196,217,226,247,305,387,260,303,273,199,219,168,256,8667
HEAVY MOTOR VEHICLE,2,2,2,4,5,2,2,6,2,9,1,5,7,5,14,2,5,3,3,2,1,2,2,9,1,3,4,4,3,0,10,2,2,6,2,7,141
HEAVY PASSENGER VEHICLE,22,25,18,12,25,11,4,20,8,13,7,218,99,49,22,5,5,6,16,24,63,139,77,42,10,22,12,20,19,6,9,3,9,5,3,3,1051
LIGHT GOODS VEHICLE,267,408,359,425,539,446,525,524,458,347,344,385,255,344,481,351,502,427,544,576,468,366,389,413,350,417,416,480,583,376,489,511,443,368,455,413,15444
LIGHT MOTOR VEHICLE,3671,3481,3598,3420,3582,2552,2812,3520,2902,3272,5190,3794,4222,3838,4200,3508,4160,3573,3654,3326,3069,4653,5327,4338,4775,4077,4449,4438,4911,3451,4224,3838,3281,3582,5904,4670,141262
LIGHT PASSENGER VEHICLE,144,147,182,170,312,205,226,203,119,76,115,203,97,103,266,243,245,168,124,102,164,103,289,251,128,197,217,232,217,160,531,464,295,276,267,258,7499
MEDIUM GOODS VEHICLE,26,35,37,48,61,57,61,49,40,45,43,43,41,54,103,77,40,35,47,31,33,28,39,36,36,44,50,53,50,57,46,40,31,39,44,38,1637
MEDIUM MOTOR VEHICLE,10,25,27,14,21,16,15,19,19,17,15,13,12,26,30,17,12,11,9,16,7,8,6,5,6,2,20,12,22,5,17,7,10,12,10,26,519
MEDIUM PASSENGER VEHICLE,6,14,8,20,31,22,4,15,18,17,13,35,15,8,12,20,21,29,23,26,18,14,6,4,8,4,19,24,43,27,31,30,29,29,12,15,670
OTHER THAN MENTIONED ABOVE,6,12,7,8,9,9,7,6,6,6,8,11,11,20,11,4,7,7,19,39,24,20,21,33,41,23,61,41,62,68,63,32,47,25,43,60,877
THREE WHEELER (Invalid Carriage),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THREE WHEELER(NT),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
THREE WHEELER(T),16,21,18,16,29,25,16,24,27,30,38,26,16,23,30,18,20,16,19,13,8,6,25,31,13,20,30,12,17,9,13,20,21,44,46,23,779
TWO WHEELER (Invalid Carriage),0,1,0,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,3,0,0,0,1,0,0,2,16
TWO WHEELER(NT),4496,5410,4494,4900,6049,5339,5766,6162,5553,5435,10466,6425,4417,5231,6402,7730,6787,5629,5213,6250,5166,8128,11203,7119,5729,5374,6046,5892,7301,5815,7487,6634,5847,5424,9723,8548,229590
TWO WHEELER(T),0,1,3,3,4,4,3,18,3,1,1,0,0,2,2,5,11,1,1,5,11,25,6,0,0,6,8,1,4,73,43,7,7,4,1,1,265
Total,8862,9826,9001,9375,11017,8967,9710,10813,9316,9440,16430,11319,9324,9915,12108,12268,12067,10079,9877,10638,9217,13685,17563,12477,11315,10415,11579,11514,13622,10307,13266,11861,10224,10033,16678,14321,408429
