"Vehicle Category and Month Wise Data for Haryana (2022-2024)"\n\nVehicle Category,2022-Jan,2022-Feb,2022-Mar,2022-Apr,2022-May,2022-Jun,2022-Jul,2022-Aug,2022-Sep,2022-Oct,2022-Nov,2022-Dec,2023-Jan,2023-Feb,2023-Mar,2023-Apr,2023-May,2023-Jun,2023-Jul,2023-Aug,2023-Sep,2023-Oct,2023-Nov,2023-Dec,2024-Jan,2024-Feb,2024-Mar,2024-Apr,2024-May,2024-Jun,2024-Jul,2024-Aug,2024-Sep,2024-Oct,2024-Nov,2024-Dec,Total
FOUR WHEELER (Invalid Carriage),4,10,10,5,9,14,12,8,10,15,14,5,13,12,9,19,15,18,20,20,13,10,16,19,15,18,19,22,20,19,15,11,10,15,15,10,489
HEAVY GOODS VEHICLE,1803,1820,2299,2506,2090,1762,1657,1915,2169,1917,1975,1827,2414,2296,2736,3100,2483,1882,1687,2045,1956,2208,1863,1632,2278,2112,2364,2433,2332,1767,1958,1888,2341,2118,1746,1597,74976
HEAVY MOTOR VEHICLE,37,27,53,44,39,44,37,42,39,43,40,50,48,47,62,69,60,47,25,67,79,56,75,65,69,80,84,68,70,70,72,69,75,96,99,89,2136
HEAVY PASSENGER VEHICLE,35,115,57,46,89,77,107,118,113,133,94,97,67,166,293,329,328,115,78,78,195,199,229,131,151,114,174,46,53,50,43,35,52,33,32,60,4132
LIGHT GOODS VEHICLE,1664,1418,1828,1789,1589,1585,1537,1558,1739,1477,1683,1667,2100,1779,1827,1690,1722,1549,1396,1466,1492,1335,1657,1800,1982,1826,1771,1695,1682,1386,1465,1470,1566,1533,1778,1540,59041
LIGHT MOTOR VEHICLE,20801,19147,21991,19640,21870,20408,19829,20236,14930,22336,22330,19573,25930,21816,22932,23593,22545,23630,10508,24044,25049,22515,23653,26278,30124,26411,25057,25100,22531,24154,22062,25057,23282,32803,27942,28644,828751
LIGHT PASSENGER VEHICLE,548,334,684,823,931,893,1458,1712,1668,1786,2159,1887,2406,1618,2566,2597,3104,3378,3283,3753,2490,1708,2137,2530,3099,2804,2915,3341,3493,3039,3462,2969,3145,3038,2717,2029,82504
MEDIUM GOODS VEHICLE,533,502,557,624,397,322,370,340,398,461,419,282,362,314,349,407,351,231,257,298,290,385,373,303,336,344,321,341,336,366,393,359,503,480,391,369,13664
MEDIUM MOTOR VEHICLE,64,66,101,80,104,89,91,78,60,80,72,52,68,82,85,68,86,81,53,76,75,52,72,57,68,94,125,71,83,69,76,75,74,71,94,67,2759
MEDIUM PASSENGER VEHICLE,40,23,20,50,188,127,140,139,132,83,92,71,110,105,188,276,313,246,220,202,157,130,91,118,105,156,196,419,474,271,308,243,246,170,130,107,6086
OTHER THAN MENTIONED ABOVE,101,238,322,242,208,158,127,153,130,124,142,168,171,240,277,216,178,320,65,195,219,192,170,210,213,291,319,309,241,214,183,206,293,186,195,263,7479
THREE WHEELER (Invalid Carriage),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THREE WHEELER(NT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THREE WHEELER(T),1542,1279,1582,1672,1730,1920,2073,2155,2283,2600,3276,3152,2686,3230,3551,2850,3774,3504,3708,3625,3009,2832,2665,3182,3910,2939,3694,2295,3311,2437,2609,2568,3201,3081,3280,2786,99991
TWO WHEELER (Invalid Carriage),0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8
TWO WHEELER(NT),28316,25659,30262,30540,32000,30426,30652,33329,25824,38916,58444,37557,29916,31267,33158,34082,34392,33317,15518,38097,44444,37086,42357,60561,42708,38140,41811,37017,35746,40247,34297,47224,45297,57282,85792,47004,1388685
TWO WHEELER(T),1,0,0,0,0,0,0,0,0,0,0,1,70,0,1,79,1,3,1,0,1,0,0,7,80,0,1,1,7,8,10,120,13,111,0,64,580
Total,55489,50638,59766,58061,61244,57825,58090,61783,49497,69971,90740,66389,66361,62974,68034,69376,69353,68322,36819,73966,79469,68708,75359,96893,85138,75329,78851,73158,70379,74097,66953,82294,80098,101017,124211,84629,2571281
