"Vehicle Category and Month Wise Data for Haryana (2025-2026)"\n\nVehicle Category,2025-Jan,2025-Feb,2025-Mar,2025-Apr,2025-May,2025-Jun,2025-Jul,2025-Aug,2025-Sep,2025-Oct,2025-Nov,2025-Dec,2026-Jan,2026-Feb,2026-Mar,2026-Apr,2026-May,2026-Jun,2026-Jul,2026-Aug,2026-Sep,Total
FOUR WHEELER (Invalid Carriage),15,4,17,10,11,11,7,8,2,5,1,5,4,1,6,6,2,2,2,0,1,120
HEAVY GOODS VEHICLE,2535,2513,2404,3000,2675,2179,2045,2376,2221,2887,2642,2553,3929,3867,3404,4375,2616,2542,3003,2694,555,57015
HEAVY MOTOR VEHICLE,81,65,71,71,98,110,61,57,66,61,67,67,72,73,74,68,61,66,75,41,2,1407
HEAVY PASSENGER VEHICLE,79,96,53,75,121,222,267,141,97,167,221,72,23,137,62,56,107,106,95,47,11,2255
LIGHT GOODS VEHICLE,2535,1866,1713,1792,1734,1608,1675,1723,1752,2380,2545,1928,2742,2189,2009,2346,2005,1942,2401,2093,443,41421
LIGHT MOTOR VEHICLE,36645,24170,27032,26757,23906,25985,25381,23197,21286,36965,27962,32816,37725,29846,31065,29823,29846,28239,29057,26860,4428,578991
LIGHT PASSENGER VEHICLE,4444,2993,3116,3860,3579,3447,3995,3757,2694,4393,3218,2899,1070,5295,4890,5003,3900,4053,4296,4032,669,75603
MEDIUM GOODS VEHICLE,539,446,448,597,486,414,504,574,596,652,666,541,808,690,652,764,517,450,647,565,104,11660
MEDIUM MOTOR VEHICLE,87,84,99,110,98,98,52,48,55,61,47,62,46,62,47,76,59,55,74,56,3,1379
MEDIUM PASSENGER VEHICLE,168,153,236,386,369,302,266,291,233,138,133,104,47,192,262,365,333,282,363,310,19,4952
OTHER THAN MENTIONED ABOVE,383,396,450,287,326,333,295,325,371,341,250,308,308,478,468,303,296,307,312,364,67,6968
THREE WHEELER (Invalid Carriage),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THREE WHEELER(NT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THREE WHEELER(T),3487,2602,2068,2477,2574,2568,2742,2787,2622,2955,3140,2822,2907,2442,2352,2626,2414,2767,3222,2881,384,54839
TWO WHEELER (Invalid Carriage),0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
TWO WHEELER(NT),48716,37338,41060,42802,44173,43672,42242,42078,39639,97282,90309,34076,53918,42129,47746,46487,49144,47112,56562,52458,10556,1009499
TWO WHEELER(T),14,86,3,0,40,63,11,0,1,83,0,2,61,5,1,1,6,72,65,44,0,558
Total,99728,72812,78770,82224,80190,81012,79543,77362,71635,148371,131201,78255,103660,87406,93038,92299,91306,87995,100174,92445,17242,1846668
