"Vehicle Category and Month Wise Data for Jharkhand (2016-2018)"\n\nVehicle Category,2016-Jan,2016-Feb,2016-Mar,2016-Apr,2016-May,2016-Jun,2016-Jul,2016-Aug,2016-Sep,2016-Oct,2016-Nov,2016-Dec,2017-Jan,2017-Feb,2017-Mar,2017-Apr,2017-May,2017-Jun,2017-Jul,2017-Aug,2017-Sep,2017-Oct,2017-Nov,2017-Dec,2018-Jan,2018-Feb,2018-Mar,2018-Apr,2018-May,2018-Jun,2018-Jul,2018-Aug,2018-Sep,2018-Oct,2018-Nov,2018-Dec,Total
FOUR WHEELER (Invalid Carriage),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
HEAVY GOODS VEHICLE,532,644,558,594,499,482,465,414,680,521,523,607,499,562,1807,1135,661,370,405,456,501,465,907,752,914,903,904,838,799,712,773,752,1137,1141,914,1067,25893
HEAVY MOTOR VEHICLE,2,14,0,2,17,1,3,2,2,4,0,4,4,1,4,0,1,3,1,1,0,1,4,2,2,0,0,1,2,1,2,3,3,4,1,4,96
HEAVY PASSENGER VEHICLE,14,13,23,18,26,28,35,19,21,17,10,21,19,15,57,91,100,51,47,19,41,24,40,46,26,34,27,49,58,52,32,61,30,40,40,72,1316
LIGHT GOODS VEHICLE,1609,1713,1297,1532,1768,1640,1800,1821,1836,1541,1496,1930,1988,268,1004,1741,2115,1926,2185,2449,2200,1832,3223,3529,3635,3270,2933,2647,2810,2653,2952,3082,2320,2954,2107,3600,79406
LIGHT MOTOR VEHICLE,4091,3886,3093,3247,3510,3207,3416,3367,3183,3061,3288,5283,4881,1928,5886,4621,4442,4234,4954,4057,3675,4746,6327,4507,4491,4846,4877,4479,5257,4051,4563,4212,4138,4783,6887,7236,156710
LIGHT PASSENGER VEHICLE,198,211,174,206,199,194,179,188,191,185,203,188,184,54,177,626,322,233,248,221,223,201,325,356,323,357,387,264,314,294,260,268,261,230,240,329,9013
MEDIUM GOODS VEHICLE,49,60,57,79,93,102,109,90,86,76,50,140,138,26,109,84,104,51,71,73,37,21,87,95,80,155,141,137,135,94,75,57,120,100,78,145,3204
MEDIUM MOTOR VEHICLE,1,0,1,1,3,1,0,0,2,0,1,0,0,0,2,1,0,0,1,1,0,0,1,1,0,2,0,1,1,0,2,2,0,1,1,1,28
MEDIUM PASSENGER VEHICLE,18,33,35,37,48,52,38,22,29,30,23,33,24,28,27,36,23,27,13,12,12,12,15,27,31,29,31,25,26,14,9,28,12,10,22,25,916
OTHER THAN MENTIONED ABOVE,24,19,13,23,26,12,13,4,11,11,10,14,15,11,22,19,10,19,21,17,23,7,12,15,25,25,24,26,18,18,17,17,38,30,32,29,670
THREE WHEELER (Invalid Carriage),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THREE WHEELER(NT),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
THREE WHEELER(T),1376,1200,1134,1298,1204,1508,1308,1317,1286,1461,1169,1563,1701,389,1218,2198,2079,1475,1365,1184,1303,1150,2356,2132,1673,1762,1912,1584,1566,1518,1692,1761,1597,1761,1645,2554,55399
TWO WHEELER (Invalid Carriage),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
TWO WHEELER(NT),27326,28905,25754,29531,31119,33128,33587,34279,27159,24302,26252,36890,48766,12788,42484,49414,52055,39409,38337,32110,31004,45335,49577,32956,34165,36113,45963,41510,50657,42078,42925,37369,34000,39815,56386,41729,1335177
TWO WHEELER(T),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Total,35240,36698,32139,36568,38512,40356,40953,41523,34486,31209,33025,46673,58219,16070,52797,59971,61913,47798,47648,40600,39020,53794,62874,44418,45365,47497,57199,51561,61643,51485,53302,47612,43656,50869,68354,56792,1667839
