"Vehicle Category and Month Wise Data for Jharkhand (2025-2026)"\n\nVehicle Category,2025-Jan,2025-Feb,2025-Mar,2025-Apr,2025-May,2025-Jun,2025-Jul,2025-Aug,2025-Sep,2025-Oct,2025-Nov,2025-Dec,2026-Jan,2026-Feb,2026-Mar,2026-Apr,2026-May,2026-Jun,2026-Jul,2026-Aug,2026-Sep,Total
FOUR WHEELER (Invalid Carriage),1,0,0,2,2,1,2,0,0,0,0,0,1,1,1,1,0,0,2,0,1,15
HEAVY GOODS VEHICLE,757,579,622,743,569,417,451,459,458,567,636,577,656,729,653,790,579,568,704,464,109,12087
HEAVY MOTOR VEHICLE,5,4,6,3,10,1,5,4,1,6,2,3,3,3,2,0,2,4,4,3,2,73
HEAVY PASSENGER VEHICLE,12,18,22,9,12,3,9,10,24,12,4,14,3,0,2,6,8,4,8,5,1,186
LIGHT GOODS VEHICLE,2017,1732,1846,1948,2292,2526,3212,2812,1833,2466,2830,2891,2455,2469,2308,2405,2407,3141,3819,2704,271,50384
LIGHT MOTOR VEHICLE,6113,4934,5050,5816,5197,4509,4871,4297,5167,10034,6692,5449,7579,6313,6561,7451,6666,6226,5957,5390,635,120907
LIGHT PASSENGER VEHICLE,383,340,341,350,346,327,348,325,283,355,322,318,231,202,266,508,435,467,429,387,51,7014
MEDIUM GOODS VEHICLE,24,25,29,27,27,32,32,17,20,48,52,48,43,48,54,79,36,67,73,50,9,840
MEDIUM MOTOR VEHICLE,1,3,5,4,5,4,0,0,1,0,2,4,2,4,1,4,2,7,3,2,0,54
MEDIUM PASSENGER VEHICLE,78,75,74,98,89,64,75,60,132,47,54,47,15,14,41,142,57,105,68,41,6,1382
OTHER THAN MENTIONED ABOVE,138,130,145,142,142,217,63,68,77,90,74,96,84,97,117,124,67,75,104,89,20,2159
THREE WHEELER (Invalid Carriage),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THREE WHEELER(NT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THREE WHEELER(T),2063,2194,2302,1970,2482,2478,2892,2814,3003,3843,4096,3351,2870,3060,2723,2849,3006,3156,3678,3560,467,58857
TWO WHEELER (Invalid Carriage),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWO WHEELER(NT),35516,33523,41676,50417,47142,42210,32935,31278,34980,97706,54248,33716,44203,38514,50382,56600,48535,44724,40127,36990,4726,900148
TWO WHEELER(T),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total,47108,43557,52118,61529,58315,52789,44895,42144,45979,115174,69012,46514,58145,51454,63111,70959,61800,58544,54976,49685,6298,1154106
